"Year","ACCESS-ESM1-5","AWI-CM-1-1-MR","BCC-CSM2-MR","CanESM5","CNRM-CM6-1","CNRM-ESM2-1","EC-Earth3","GFDL-ESM4","GISS-E2-1-G","HadGEM3-GC31-LL","INM-CM5-0","IPSL-CM6A-LR","MIROC-ES2L","MIROC6","MPI-ESM1-2-HR","MPI-ESM1-2-LR","MRI-ESM2-0","NESM3","UKESM1-0-LL","ensemble"
2015,210.5,163.9,121.3,150.3,180.5,176.7,180.3,116,140.7,126.2,81,237.7,155.1,196.2,181.5,171.4,118.9,259.9,197.9,259.9
2016,170.1,73.2,160.8,155.8,171.9,230.9,171.6,78.9,199.5,119.2,143.9,256.5,149.7,177.6,206.1,199.5,127.5,146.9,199.6,256.5
2017,184.6,198.6,156.9,182.1,229.9,202.2,170.8,143.8,161.7,160.9,171.8,247.2,77.2,174.7,168.4,176,183.2,170.8,145.2,247.2
2018,183.4,219.1,117.9,160.8,218.4,230.1,156.2,148.1,157.7,96.1,140.5,220.4,82.9,172.4,162.2,191.2,234.6,143.4,182.3,234.6
2019,179.1,150.3,207.4,215.4,260.9,237.7,145.8,158.7,158.2,189.9,110.3,228.5,133.5,186.5,170.7,213.5,207.8,195.7,149.3,260.9
2020,183.4,209.5,148.6,183,192,183.1,196.4,161,149.2,158.5,157.5,207.5,135.9,192.6,203.5,185.2,192.6,232.8,172.5,232.8
2021,214.7,133,145.2,179.8,216.2,226.4,158.8,180.7,119,173.7,131.3,215.4,111.4,207.2,120.7,189.4,220.7,204.3,206.3,226.4
2022,181.8,80.5,196,193.6,218.3,224.7,161.1,121.4,180.8,135.8,125.1,246.2,196.2,178.1,172.4,193.9,192.3,196,238.9,246.2
2023,210.7,142.1,141.1,178.6,253.2,183.4,160.4,147.7,163.6,142.3,143.3,269.4,179.3,180.2,149.9,188.6,102,217.9,192.6,269.4
2024,230.8,173.2,196.6,197.5,239.6,227.8,213,176.2,183.3,175.3,151.4,275.8,144.4,204.9,216.8,215.2,199.6,141.4,182.5,275.8
2025,202.1,114.1,140,152.4,195.7,147.3,266.3,132.5,136.6,163,125.3,278.5,86.9,190.6,154.7,210.9,242.5,201.9,141,278.5
2026,205.9,153.2,149.1,172.2,212,197.8,210.9,143,151.9,119.2,164.7,237.8,107.4,187.8,214.2,194.7,154.7,158.6,204.9,237.8
2027,172.3,165.5,180.5,176.4,240.6,213.5,174,151.5,175.8,129.8,184,193.5,171.3,221.9,153.6,174.3,220.9,167.4,153,240.6
2028,194.8,201.6,185.7,190.4,209,176.8,162.1,145,185.1,160,147.8,254.2,129.5,167.3,152.9,189.9,227.3,138.6,153.8,254.2
2029,221.2,86.7,215.8,207,238.1,219.9,214.9,182.6,135.5,108.7,163.1,212.1,179,212.9,159.4,206.6,170.9,207.4,166.1,238.1
2030,165.8,90.1,182.1,165.4,181.6,184.3,170.4,115.6,169,203.7,143.2,281.5,167.6,184.1,216.4,183.1,200,183.8,154.6,281.5
2031,173.3,155.8,140,167,222.5,223.3,188.7,137.8,152.7,176.5,95.2,256.4,178.6,212,147.2,210.6,206,136.1,159.9,256.4
2032,206,212.6,164.2,176,198.9,168.3,176,199.1,161.6,156.9,150.2,245.2,123.7,215.2,165.9,199,32.5,236.6,192.4,245.2
2033,190.9,178.6,121.4,195.1,206.6,205,190.5,144.6,137.9,157,160.9,249.1,161.3,181.8,166.3,216.7,221.1,165,175.2,249.1
2034,188.2,123.7,101.8,186.1,206.7,210.9,165.8,177.3,164.2,152,199.8,216.7,160.3,196.9,174.8,191.7,171.9,245,182.7,245
2035,192.9,70.5,192,189.9,181,278.6,176.3,230.4,181.9,191.5,113.2,202.9,122.9,176,146.7,181.3,178.8,164.7,191.4,278.6
2036,171.7,78,112.7,191.2,221.9,200.6,171.7,135.7,158.3,121.2,141.8,189.4,148.9,221.7,153,202,151.4,186.5,255.6,255.6
2037,170.9,133.4,133.1,168.3,210.8,232.6,156.9,145.9,158.2,130.3,165.1,173.2,89.7,205,203.5,203,242.3,243,178.5,243
2038,209.1,118.4,147.4,178.5,219.2,236,175.7,189.3,179.8,149.2,129.2,251.8,116.7,220.9,216.2,233.9,199.5,195.3,201.5,251.8
2039,211,162.1,210.7,183.8,222.2,214,160.3,121.6,171.3,148.5,150.9,175.5,119.5,192.2,132,188.1,151.7,163.7,208.2,222.2
