"Year","ACCESS-ESM1-5","AWI-CM-1-1-MR","BCC-CSM2-MR","CanESM5","CNRM-CM6-1","CNRM-ESM2-1","EC-Earth3","GFDL-ESM4","GISS-E2-1-G","HadGEM3-GC31-LL","INM-CM5-0","IPSL-CM6A-LR","MIROC-ES2L","MIROC6","MPI-ESM1-2-HR","MPI-ESM1-2-LR","MRI-ESM2-0","NESM3","UKESM1-0-LL","ensemble"
2015,464.3,520.2,433.5,551.2,657.5,614.4,300.2,302.9,339.8,384,570.6,548.4,448.6,517.3,350.9,326.7,387.4,424.2,368.8,657.5
2016,613.6,318.2,131,349.8,636.7,581.3,482,309.4,463.6,538.7,479,618.2,511.4,442.3,267.9,401.1,495,427.7,534.5,636.7
2017,534.6,390.2,319,428.9,590.5,462.3,372.4,359.7,296,412.1,371.4,610,343.3,474.3,374.7,381.3,511.2,352,341.3,610
2018,528.2,383,458.9,459.6,474.7,575.5,476.1,431.9,391.7,465.3,443.9,502.5,393.6,524.1,479,396.1,618.9,409.7,425.6,618.9
2019,447.8,469.7,549,544.4,560.4,558,486.9,401.5,387.7,321.5,515.1,436.4,354.5,434.2,426.9,403.6,422,440.8,406,560.4
2020,445.5,333.6,529.3,451.6,514.2,518.2,423.1,407.3,343.4,413.6,391.3,667.8,348.6,464,349.9,395.2,436.7,496.7,448.6,667.8
2021,566.5,416.7,400.9,482.8,540.3,575,377.5,389.7,381,471.6,489.3,527.2,429.4,466,412.3,460.6,493.4,497.3,510,575
2022,424.6,391.4,413.5,454.7,611.2,525.7,436.2,335,352.7,410.6,465.5,604,355.3,506.2,320.9,414.7,572.7,439.2,409.7,611.2
2023,452.6,510.4,484.8,449.7,508,527.3,409.6,493.5,416.7,345.2,352,544.6,438.5,731.1,296.5,458.4,426.6,365.6,511.4,731.1
2024,590.8,276.1,468,491,577.7,583.4,418.3,378.8,365.5,508.5,283.6,663.2,601.6,469.5,422.7,606.6,541.3,459.9,465.8,663.2
2025,545.1,471.8,308.2,538.8,556.9,568.3,446.4,529.8,409.7,520.1,390.6,623.2,419.4,486.4,257.9,441.6,794,423.8,486.2,794
2026,459.7,468.4,350,456.3,555.9,722.4,434,573.6,406.1,428.5,447.2,513.4,213.8,568.9,361.3,205.7,536.1,435.2,413.1,722.4
2027,456.4,445.8,495.5,519.3,544,469.9,367.3,443,377.8,338.9,234.6,578.7,480.8,487.9,649.1,417.7,429.3,400.1,428,649.1
2028,566.3,314.7,248,577.2,518.6,540.1,448,419.9,422.4,558.7,527,516.7,477.6,472.9,261,356.2,444.1,502,507.6,577.2
2029,576.2,354.2,486,452.9,649.7,656.3,513.2,420.8,448.3,442.5,448,582,562.2,577.7,389.4,403.2,540.3,460.4,414.9,656.3
2030,525.4,502.6,290.8,538.6,544.4,819.5,410.1,471.2,431.8,437.7,297.6,602,322.2,553,445,382.3,520.8,368.5,402.7,819.5
2031,448.5,397.9,317.8,515.2,590.8,580.3,485.6,365.1,485.7,401.1,438.8,612,292.2,549.9,491,470,602.4,406,426.1,612
2032,530.9,401.8,475,490.8,574.5,497.7,524.8,304.8,415.4,497.1,593.7,610.1,579.3,431.7,546.3,476.3,463.5,511.1,571.2,610.1
2033,588,366.2,275.7,463.5,681.1,610,482.3,375.5,410.3,337.5,485.2,466.9,552.9,592.7,497.8,445.3,611.2,523.1,629.6,681.1
2034,539.2,381.5,345.4,530.6,582.6,546.9,453.3,595.5,449.3,420.3,415.6,543.9,449.1,593.2,325.1,456.6,477.6,565.8,510.8,595.5
2035,560.9,482.1,482.5,506.7,529.7,615.4,490.6,262.3,505.3,382.1,422,597,343.3,469.4,300.5,312.3,510.3,339.4,398.9,615.4
2036,604.6,504.9,418.3,503.3,673.6,569.6,400.3,502.5,401.7,384.7,564.9,549.3,517.3,582.8,311.1,524.5,546.9,555.5,477.9,673.6
2037,556.2,358,166.2,529.2,513.7,594.6,619.8,541.4,308.1,595.5,400.9,567,513.1,534.6,614.5,401.1,370.4,367.3,463.7,619.8
2038,471.3,673.6,243.1,472.5,609,624.5,391.6,416.3,334.2,442.2,444.8,618.4,418.7,525.5,291.7,470.3,536,476.6,418.2,673.6
2039,543.7,336.4,297.9,518.6,667.4,663.2,465.3,504.1,450.3,290,354,553.5,390.3,562.4,377.4,488.3,513.9,466.6,380.2,667.4
2040,527.4,396.7,379.5,491.5,644.5,517.3,414.2,598.3,321.1,452.3,484.4,475.8,360.1,590.4,295.3,477.3,478.1,609.5,435.3,644.5
2041,512.1,371.8,476.8,544.8,770,555.2,629,478.6,371,476.1,476.8,548.3,502.5,582.3,458.9,379.6,591.8,225.2,429.3,770
2042,540.7,293.7,326.6,504.9,600,657,486.9,401.2,426.6,470,469.9,578.2,416.8,465.9,403.5,442.3,425.8,332.9,513.5,657
2043,438.7,382.6,359.6,482.7,607.3,550.5,501,463.8,418.5,421.3,453.7,744.5,409.2,529.8,461.5,431.3,432.3,411.3,437.9,744.5
2044,447.7,361.7,262.9,502.8,555.8,611.6,434.2,440.5,450.2,365.2,455.1,536.8,414.5,516.3,452.8,539.8,621.3,348,360.2,621.3
2045,479.6,455.8,287.3,515.8,528.9,505,431.1,384.5,496.2,361.8,464.5,514.4,565.6,508.5,235.9,389.6,387.8,475.3,507.4,565.6
2046,509.9,336.8,533.4,529.8,657.5,567.1,397.8,283.6,433.1,447.1,400.7,495.3,541.4,545.1,237.8,332.1,454.6,482.4,603.7,657.5
2047,515.1,412.3,500.8,455,667,614.6,405,548,335.4,412.7,528.3,760,366.8,468.8,540.4,386.8,308.3,419.6,420,760
2048,546.6,293.2,404.1,514,645.9,734.1,390.6,486.8,492.2,441.9,552.2,737.4,310.2,668,401.4,425.4,353.3,365.1,414.9,737.4
2049,577.7,468.8,361.8,534.6,650.5,685.1,482.4,331.2,430.8,482.3,341.3,524.4,319.8,570.7,324.6,429.5,322.1,508.8,513.2,685.1
2050,622.2,511.1,400.7,512.4,716.2,781.5,454.3,479.9,363.9,520.8,443.5,544.8,625.6,500.9,572.2,497.3,619.4,499.4,384.6,781.5
2051,494.4,345.8,419.2,507,639.9,731.1,467.6,397.8,423,440.8,550.7,652,449.4,574.7,512.7,419.2,583,566.9,420.8,731.1
2052,490,386.8,431.9,589.9,700.3,633.7,515,507.4,424.4,446.2,446.6,686.3,409.9,506.6,390.7,435.2,260.9,422.6,577.1,700.3
