"Year","ACCESS-ESM1-5","AWI-CM-1-1-MR","BCC-CSM2-MR","CanESM5","CNRM-CM6-1","CNRM-ESM2-1","EC-Earth3","GFDL-ESM4","GISS-E2-1-G","HadGEM3-GC31-LL","INM-CM5-0","IPSL-CM6A-LR","MIROC-ES2L","MIROC6","MPI-ESM1-2-HR","MPI-ESM1-2-LR","MRI-ESM2-0","NESM3","UKESM1-0-LL","ensemble"
2015,19.9,22.3,10.9,17.7,16.6,17.7,16.5,14.2,17.3,15.7,17.5,12.6,19.1,26.1,18.1,16.1,17.2,12.1,16.3,26.1
2016,18.2,24.7,15,16.2,16.8,19.4,14.9,14.3,22.7,14.4,15.1,15.9,18.9,24.2,14.5,14,15.4,11.3,17.7,24.7
2017,18,22.1,15.8,16.7,17.9,20.3,15.7,13.7,16.9,14.3,16,15.9,16.3,24.3,11.4,14.2,15.9,11.6,15.8,24.3
2018,20.9,21.1,12.6,16.5,17,19.7,18.1,13.8,17.1,16.4,15.8,15.3,19.1,26.4,16.2,16.4,17.6,13.7,16.5,26.4
2019,20.2,21,18.9,17.1,17.1,18.9,15.1,15.5,17.7,19.3,15.8,14.9,19.8,23.5,14.1,13.9,20.3,15.3,16.8,23.5
2020,19,23.7,13.7,17.4,17.4,19.7,19.1,13,18.4,16.8,14.4,16.6,20.2,24.8,17.3,13.9,16.5,13.7,16.7,24.8
2021,20.3,24.8,15.6,17.6,18.5,17.8,15.6,11.8,19.3,15.4,16.2,16,20.4,25.8,15.5,15,14.9,10.5,15.9,25.8
2022,20.1,24.5,15.7,18,18.1,19.9,18.8,15,18.4,18.9,16.6,15.5,19.5,25.6,14.9,14.9,14.4,13.1,17.2,25.6
2023,19.1,21.6,17,17.4,17.9,18.9,14.7,15.3,19.6,16.8,18.6,15.6,18.8,24.1,16.2,17.5,18.5,10.5,16.7,24.1
2024,22.6,25.3,14.3,18.6,17.4,17.7,15.4,12.9,20.3,17.7,17.2,14.8,22.5,26,17.9,16.6,16.6,16.3,16,26
2025,20.2,22.4,11.5,18.3,18.3,20.5,19.7,13.6,18.2,17.4,18.9,17,18.2,24.7,17.7,16.7,17.3,13,18.6,24.7
2026,19.6,22.4,17.2,18.6,18.4,19.8,17.3,15,15.8,17.6,17.4,17,19.5,25.3,14.8,13.4,13.5,11.6,17.5,25.3
2027,20.2,24.2,14,19.1,17.6,17.8,15.7,13.5,18.1,15.8,18,14.9,20.7,24.6,17.7,15.1,16.4,12.8,17.9,24.6
2028,19.6,22.2,12.6,16.8,18.9,19,17.9,14.9,20,17.1,18.8,16.5,18.2,25.5,16,15.2,15.7,10.6,16.1,25.5
2029,20.5,25.8,12,18.5,19.1,18.9,16.5,15,18.7,16,20.7,16.3,19.6,27.4,15.3,15,13.3,12.3,17.2,27.4
2030,20.3,23,16,17.6,19.6,19.3,17.1,14,20.1,17.4,16.6,17.2,20.8,26.1,15.2,14.5,17.8,12.4,17.7,26.1
2031,21.5,21.4,12.7,19.4,20.7,20.5,16.5,14.8,18.5,17.6,17,15.8,20.6,27,13.2,15.7,17,12.7,17.9,27
2032,20.4,23.4,14.6,20,20,19.1,17.9,14.4,21.9,17.6,16.6,17.5,21.8,27.1,17.2,15.8,18.7,12.8,18.5,27.1
2033,20.1,26.1,11.3,18.1,17.5,18.3,17.2,14.7,18.5,18.2,17.5,16.9,19.5,25,17.2,13,16.4,13,19.3,26.1
