"Year","ACCESS-ESM1-5","AWI-CM-1-1-MR","BCC-CSM2-MR","CanESM5","CNRM-CM6-1","CNRM-ESM2-1","EC-Earth3","GFDL-ESM4","GISS-E2-1-G","HadGEM3-GC31-LL","INM-CM5-0","IPSL-CM6A-LR","MIROC-ES2L","MIROC6","MPI-ESM1-2-HR","MPI-ESM1-2-LR","MRI-ESM2-0","NESM3","UKESM1-0-LL","ensemble"
1850,9,7.9,5.2,6,7.2,9.3,NA,7.9,4.9,5.7,8.1,6.2,7,10.6,5.6,4.3,8.1,3.3,7,10.6
1851,9.6,14.8,4.9,5.1,7.6,8,7.7,3,2.9,5.7,7.3,7.9,5.8,9.4,5.6,6.3,8.1,1.7,6.4,14.8
1852,7.2,7.9,4.4,5.9,8,12.6,9.5,6.5,2.8,6,7,5.4,6,9.9,5.2,4.2,8.1,2.5,7.7,12.6
1853,7.6,11.7,1.8,5.3,7.8,10,5.1,6.4,3.3,8,7.4,8.2,7,10.4,7,5.9,8.7,3.3,6.7,11.7
1854,6.2,10.7,3.4,5.8,8.6,8.4,6.1,4.6,4.1,9.5,8.1,7.1,7.6,10,5,4.9,5.9,3.1,7,10.7
1855,6.7,10.7,5.1,7.2,10.2,11.4,6.1,2.2,3.9,5.6,6.5,5.6,5.9,7.4,4,4.3,8.5,1,5.8,11.4
1856,7.1,13.6,4.6,3.8,7,10.7,7,5.5,4.6,7,6.7,4.4,7.3,9.2,5.2,3.6,8,2.4,6.1,13.6
1857,9.5,9.9,6,4.7,6.6,11.4,4.9,5.7,4.4,6.1,7.6,6.2,5.5,8.9,4.2,5.1,9.4,4.1,7,11.4
1858,7.2,11.3,2.6,6.2,8.7,8.1,6.9,4.2,2.8,6.1,7.2,6.7,5.5,8.3,5,6,7.5,1.2,7.2,11.3
1859,8.2,13.6,2.6,5.8,8.7,11.8,7.6,2.2,2,7.2,6.3,6.6,6,9.1,6.3,3.4,6,2,7,13.6
1860,9.2,13.5,4.9,4.5,7.5,9.1,8,5,2.8,4.9,7.4,7.2,6.9,10,8.8,4.9,7.9,2.7,7.9,13.5
1861,7.2,13.2,1.8,5.2,6.3,8.3,6.8,4.5,2.2,6.5,7,5.6,4.1,7.9,4.8,4.1,7.5,-0.5,6.7,13.2
1862,7.2,14,2,5.4,9,10.5,7.8,5,7,7.3,7.1,6.5,6.6,9,4.4,2.7,6.2,1.6,7.8,14
1863,9.7,12.5,6.3,7.6,9,10.2,4.4,4.2,5.1,6.2,7.2,3.9,6.6,9.6,5.5,6.1,5.3,2.4,7.3,12.5
1864,7.3,14,5.8,6.9,9.8,8.9,5.3,7.4,2.6,5,7.7,6,8.5,8.1,3.9,4.3,7.7,2,7.7,14
1865,7.9,15.5,3.4,5.1,8.8,10.7,4.6,5.7,2.1,6.6,6.1,6.9,5.8,8.8,5.7,5.4,8.7,3.4,9.7,15.5
1866,7.6,10,1.1,4.3,8,10.8,4.9,4.2,1.2,7.6,10,7,6.4,10.2,5.8,5.3,5.7,3.3,7.7,10.8
1867,6.4,9,5.6,5.1,7,9.3,6.2,3.1,3.2,7.6,7,6.3,6.8,8.7,5.1,6,7.4,3.7,8.1,9.3
1868,5.2,8.6,2,5.6,10.1,9.6,6.1,7.9,1.9,7.3,8.2,6.7,5.8,10.4,5.5,5.5,7,0.9,5.9,10.4
1869,6.3,13.2,3.6,5.9,6.6,9.1,7.9,4.1,3.2,9.3,7.1,5.7,7.2,9.6,6.8,5.2,8.4,2,8.7,13.2
1870,7.9,10.5,2.5,5.2,9.1,7.4,7.3,6.1,3.6,7.4,10.3,7.4,6.7,9.3,5.4,5.2,6,1.8,8.4,10.5
1871,9.1,11.2,3.8,6.3,8.9,10.5,9,6.4,2,7.4,8.7,6,6.9,9.3,6.3,7.4,5.9,2.2,7.2,11.2
1872,7.1,13.2,1.4,6.6,7.3,8.9,9.3,2.9,1.8,5,7.6,4.1,7.2,9.3,4.2,5.5,8.2,3.1,7.4,13.2
1873,6.8,15,3.1,6,7.5,8.4,5.7,4.7,4.3,9.2,6,7,5.7,9.2,4.7,4.5,6.2,3.1,8.2,15
1874,6.4,14.6,4,6.9,8.1,11.6,6.6,5.1,3.7,6.2,8.7,6.1,7.4,9.8,3.5,8.5,7.6,3.6,8.3,14.6
1875,5.2,15.6,4.5,8.2,8.3,7.7,5.1,3.9,3.1,6.6,10.2,6.4,7.3,8.2,5.6,5,8.6,3.1,8.7,15.6
1876,8.7,15.4,4,7.2,9.3,9,5.5,6.4,3.9,6.3,8.9,6,6.2,8.4,4.9,5.7,8.7,2.9,7.3,15.4
1877,7.3,12.3,2.4,5.2,10.3,10.2,2.9,7.3,3.5,8.5,7.2,5.5,5.7,10.1,5.6,3.5,8.2,1,6.9,12.3
1878,6.9,11.5,2,7.3,9.1,9.2,5.2,3.4,4.8,5.3,8.1,4.9,5.1,9.4,3.8,6.1,7.6,1.9,8.3,11.5
1879,7.7,10.4,6.1,6,10.3,9.7,8.8,5.8,3.1,7.5,5.1,6.3,6.8,10.7,4.8,4.7,5.9,3.1,7.6,10.7
