"Year","ACCESS-ESM1-5","AWI-CM-1-1-MR","BCC-CSM2-MR","CanESM5","CNRM-CM6-1","CNRM-ESM2-1","EC-Earth3","GFDL-ESM4","GISS-E2-1-G","HadGEM3-GC31-LL","INM-CM5-0","IPSL-CM6A-LR","MIROC-ES2L","MIROC6","MPI-ESM1-2-HR","MPI-ESM1-2-LR","MRI-ESM2-0","NESM3","UKESM1-0-LL","ensemble"
1850,46.1,34.8,35.8,49.2,36.1,53.4,NA,78.5,39.3,58.6,68.5,60.2,76.6,79.7,54.4,48.8,79,59,50,79.7
1851,52,51.3,45,39.8,39.4,60.2,27.7,68.5,36.1,56.3,47.2,85.2,102.3,67.9,35.2,54.5,66.7,36.5,64.2,102.3
1852,51.5,63.5,44.2,37.2,35.3,33.6,32.8,44.5,46,46.6,54.6,58.1,84.8,71.6,49.6,65.3,36.3,60.2,46.5,84.8
1853,40.9,43.4,46.4,81.1,33.9,65.5,40.8,80.3,40.1,58.2,60.7,49.5,69.1,89.1,49.3,49.8,87.1,39.8,53.5,89.1
1854,53.6,40.2,46.5,57.4,48.5,42.3,34.9,53.7,53.6,47.2,64.8,62.1,135.5,79.7,46.8,56.2,61.9,60.2,31.5,135.5
1855,39.7,59.1,47.2,43,40.8,52,36.6,61.1,32.2,43.7,58.1,52.3,65,73.1,61.1,56.7,66.8,44.1,56.3,73.1
1856,37.5,38.2,28,64.6,27.4,58.8,29.6,51.2,51.4,36.2,47.8,111,66.5,81,50.5,51.1,50.7,35.1,35.2,111
1857,37.1,62.3,39.3,53.1,45.9,43.7,18.6,68.6,41.7,51.3,60,65.9,84.8,49.7,43.1,54.5,58.7,43.5,40,84.8
1858,50.1,48.4,58,50,29.9,40.5,32.4,56.4,41.7,42.8,58,60.6,84.7,51.9,52.2,58.2,59.8,52.4,47.9,84.7
1859,44.5,64.5,53.4,40.8,28.2,47.9,34.7,70,45.4,63,54.2,78.8,86,53.4,64.2,62.3,77.3,44.5,59,86
1860,52.1,91.1,35,40.4,27,55,37.8,49.9,50.1,36.9,62.4,68.6,77,61,54.2,74.4,83.3,42.3,47.9,91.1
1861,52.1,42.1,33.8,42.5,48.8,52.3,57.6,64,52.1,44,51.6,77.1,73.1,61.4,41.7,46.2,52.8,52.7,53.6,77.1
1862,49.9,53,64.5,50.1,29.8,30.7,35.2,44.4,26.6,51.7,64.3,80.5,136.8,64.9,69.6,54,55.6,55.6,50.7,136.8
1863,48.6,50.2,47.1,69.3,41,47.8,25.6,40.9,37.1,67.1,56.7,60.4,72.1,73.8,50.1,57.6,64.4,47.5,52,73.8
1864,56,64.7,62.5,54.3,45.2,55.4,38.2,43.5,52.3,60,66.4,85.2,91.7,68.1,57.9,44.5,70.9,42.5,57.9,91.7
1865,50.3,42.6,69.4,69.1,53.5,54.8,42.1,81.9,45.9,59.4,75.6,70.2,97.2,75.7,44.2,45.2,66.8,48.5,53.1,97.2
1866,63.1,40,37,50.7,42.3,38,39.4,49.3,30,94.9,61.4,60,101.3,71.2,51.1,57.9,104.1,70,39.9,104.1
1867,44.7,66.3,45.8,52.6,32.5,54.6,50.1,50.4,37,44.8,50.7,71.5,69.1,66.6,40.1,57,74.5,52.9,51.8,74.5
1868,49.3,88.3,54.6,54.2,40.1,42.5,40.3,57.8,62.5,49.4,63,56.9,89.5,67.4,54.1,44.3,65.4,43.8,48.5,89.5
1869,55.8,87.6,47.9,45.8,35.7,42.8,37.4,64.2,31.9,44.5,42.5,72,61.2,76.4,51.6,58.3,53.8,47.4,58.9,87.6
1870,41.4,56.1,47.8,50.6,38.8,49.6,38.2,53.8,36.3,52.7,57.7,80.1,69.7,83.5,69.1,51.4,51.8,30,35.5,83.5
1871,35.5,48.1,42.7,65.5,47.7,34.2,33.6,46.7,37.3,66.5,61.6,80,97.1,67.2,37.6,74.4,56.8,38.1,54.8,97.1
1872,41.5,60.8,64.5,52.9,42.1,38.1,25,54,49.6,56,47.3,86.1,87.4,73.3,50.5,58.3,63.9,48.2,61.8,87.4
1873,52.9,30.5,52.8,39.2,30.3,34.4,41.6,71.9,40.2,34.8,44.8,53.7,67,67.8,58.9,47.2,62.8,50.8,38.7,71.9
1874,47.2,58.4,57,41.9,43.3,26.6,34.6,47.8,39.3,41.9,49.9,51.3,85.3,58,47.9,59.5,67.9,63.9,45.5,85.3
1875,54.6,67.2,33.8,60.7,38.7,29.2,36.2,68.4,40.2,57.6,54.1,83.3,101.2,65.6,39.1,57.1,76.9,37.1,51.4,101.2
1876,49.3,52.7,56.6,51.1,35.7,44.5,27,66.2,28.3,44.5,72.8,61.2,68.7,64.7,55.5,54.3,62.9,59.3,69.1,72.8
