"Year","ACCESS-ESM1-5","AWI-CM-1-1-MR","BCC-CSM2-MR","CanESM5","CNRM-CM6-1","CNRM-ESM2-1","EC-Earth3","GFDL-ESM4","GISS-E2-1-G","HadGEM3-GC31-LL","INM-CM5-0","IPSL-CM6A-LR","MIROC-ES2L","MIROC6","MPI-ESM1-2-HR","MPI-ESM1-2-LR","MRI-ESM2-0","NESM3","UKESM1-0-LL","ensemble"
2015,123.2,56.6,73.5,130.2,132.3,175.5,75.6,137.2,61.7,29.2,39,152.9,123.3,136.7,82.6,76.3,70,94.8,63.5,175.5
2016,117.9,57.9,157.3,121.9,94.3,126.4,104.9,79.8,69.8,108.6,49.2,139.3,125.4,146.1,45.2,87.6,63.2,93.5,126.3,157.3
2017,116.9,26.9,20.1,119.3,121.4,170.7,87.6,68.6,59.7,85.6,19.8,118.5,139.9,126,105,65.2,51.3,37.5,114.9,170.7
2018,136.1,61.1,42.4,123.3,76.1,151.7,106,112.4,76.5,57.6,48.7,99.8,118.8,113.6,74.7,102.1,38.5,136.1,139.1,151.7
2019,141.4,36.9,68.6,105.9,73.8,42.2,112.3,107.4,58,55.9,35.4,133.2,110.1,119.2,28.4,110.9,68.4,82.5,110.6,141.4
2020,97.1,28.7,46.8,147.4,117.3,85.4,61.2,69.4,51.7,24.6,50.3,182.6,129.9,118.9,97.9,97.4,47,47.2,110.7,182.6
2021,117.1,59.1,53.8,134,79.1,38.1,84.9,87.9,72.3,70.1,50.3,141.3,179,174.7,84.6,75.4,59.2,54,84.9,179
2022,117.1,42.4,36.5,165.4,72.6,90.8,52.8,120.7,55.3,43.3,53.2,127.8,111.2,174.9,82,123.5,65.3,63,122.8,174.9
2023,114.7,125.1,50,142.6,56.6,129.6,84.6,98.5,93.3,19.1,77,105.7,109.8,132.7,114.6,124.7,51.9,63.5,108.8,142.6
2024,117.9,43.3,27.5,127.2,77.3,173.3,106.8,91.5,67.5,49.7,47.2,134.4,108.5,177,134.9,89.1,52.4,82.7,110.8,177
2025,126,12.8,33,175,116.6,121.9,67.5,42.3,74.2,43.8,73.1,98.9,97.1,131.5,34.2,97.4,109.2,114.8,91.7,175
2026,113.5,96.3,57.1,166.5,73.8,88.5,115.1,98.1,109.8,153.2,51.4,144.1,137,135.3,130.3,114.9,59.7,15.6,143.7,166.5
2027,129.2,68.3,50.1,98.7,90.4,129.2,92,45,80.1,97.4,63.1,122.9,140.2,163.7,126.7,151.4,92.2,65.8,84.7,163.7
2028,110.9,11,28.6,148.6,109.1,99.3,78.4,44.8,76.6,53.9,110,107.9,153.8,125.2,74,75,106.7,82.1,109.2,153.8
2029,166.5,43.6,70.2,111.3,65.3,119.5,96.6,83.5,70.8,20.2,54.8,96.9,110.5,108.8,71.2,75.3,72,74.6,72.2,166.5
2030,102.7,61.9,37,145.1,126.8,89,93.2,61.1,77.2,98.3,64,144.7,138.2,167.4,88.2,103.8,105.5,98.2,144,167.4
2031,158,6.3,110.5,129,86.5,80.1,109.7,62.4,63.4,110.8,27.2,137,120.6,138.6,50.2,52.8,134,68,97.9,158
2032,129,24.1,39,188.7,139,109.9,119,88.7,51.6,59.2,104.7,121.8,156.9,137.8,16.8,85.8,56.9,94.9,100.6,188.7
2033,183,18.9,56.5,148.4,45.4,112.1,92.4,90.2,72.2,42.5,31.8,107.7,96.4,104.3,33.2,105.1,38.1,150.7,110.9,183
2034,104.8,33.2,62.3,127.5,132.5,109.1,93.2,76.4,56.9,57.6,136.1,102.5,152.8,123.7,94.8,118,112.1,105.3,131.7,152.8
2035,92.7,63.9,58.8,123.7,89.4,101.9,71.1,17.6,52.4,49.1,121.2,90.4,124.5,94.8,60.2,101.4,124.7,92.9,69.6,124.7
