"Year","ACCESS-ESM1-5","AWI-CM-1-1-MR","BCC-CSM2-MR","CanESM5","CNRM-CM6-1","CNRM-ESM2-1","EC-Earth3","GFDL-ESM4","GISS-E2-1-G","HadGEM3-GC31-LL","INM-CM5-0","IPSL-CM6A-LR","MIROC-ES2L","MIROC6","MPI-ESM1-2-HR","MPI-ESM1-2-LR","MRI-ESM2-0","NESM3","UKESM1-0-LL","ensemble"
2015,208.3,92.2,90.9,142.4,133.9,140.4,146,154.1,112.3,NA,202.2,232.6,323.4,194.7,220.2,179.6,217.8,NA,175.6,323.4
2016,252.4,132.1,116.1,144.1,123.3,162.4,187.5,117.4,140.3,NA,205.6,218.9,222.3,263.8,263.4,209.1,188.4,NA,156.1,263.8
2017,229.1,87.4,165.1,112.3,148.3,145.2,122.8,137.7,128.3,NA,208.2,184.9,334.9,157.1,242,169.9,180.4,NA,129.7,334.9
2018,226.7,105.5,88.2,146.5,133.6,155.6,143.2,148,130.7,NA,184.4,215,208.9,195,249.4,191.3,204.6,NA,122.3,249.4
2019,249.5,198.5,158.6,161.6,93.2,98.6,212.6,116.9,127.6,NA,232,208.9,224.4,211.3,211.2,225.7,208.7,NA,169.4,249.5
2020,252.5,222.9,133.7,172.9,128.7,133.2,190.7,158.2,116.5,NA,211.8,234.6,326.4,180.4,184.8,274.4,191.8,NA,159.7,326.4
2021,197.2,115.2,170.2,150.7,124.4,112.6,156.5,209.5,113.2,NA,209,184.1,196.8,201.9,249.6,210.9,185.9,NA,155,249.6
2022,222.1,125.1,134.4,137.1,208.6,168.4,157.2,192.1,123.2,NA,215.2,197.7,202.4,209.3,232.5,291.8,180.9,NA,158.5,291.8
2023,271.8,143.5,111.1,150.1,166.2,162.6,185.5,100.5,141.7,NA,195.4,208.4,306,169.9,332.6,216.7,133.3,NA,175.6,332.6
2024,284.9,230.2,118.7,161.7,204.6,164.1,174.1,222.7,96.4,NA,229.6,169.5,285.6,183.8,203.7,201.6,182.7,NA,151.4,285.6
2025,207.8,132,113.4,162.5,166.9,129.8,122.6,149,106.2,NA,212.9,179.1,278.2,181.5,199.4,206.3,249.8,NA,117.3,278.2
2026,257.1,153.7,162.6,138,189.9,130.8,157.2,161.3,133.1,NA,163.8,171.4,263,211.9,242.5,197.2,209.2,NA,195.6,263
2027,247,139.6,113.2,158.1,179.8,126.8,129.9,124.2,137.2,NA,185.6,210.8,328.4,182.6,196.3,236.6,190.8,NA,149.1,328.4
2028,285,207.3,126.7,146.8,165,154.2,136.4,149.4,150.4,NA,185.7,231,248.8,175.5,192.1,239.7,204.5,NA,224.9,285
2029,288.4,145.6,158.1,160.6,226.5,88.7,134.8,169.9,95.4,NA,220.3,203.5,328.3,190,193,184.2,174.3,NA,155.9,328.3
2030,248.3,102.2,151.4,195.5,144.5,117.7,161.2,95.5,125.4,NA,226.7,186.3,331.3,166.1,197,206.4,176.2,NA,199.3,331.3
2031,265.8,165.8,120.8,145.5,143.9,106.2,182.5,180.3,128.5,NA,205,196.3,242.8,183.1,162.2,219.2,162.9,NA,182.5,265.8
2032,286.3,165.3,130.9,179.4,125.3,141.5,157.9,169.8,106.4,NA,168.4,211.5,254.4,247.5,161.2,224.5,170.6,NA,161.1,286.3
2033,241.5,208.7,119,169.3,128.4,131.9,226.2,160.8,107.6,NA,190.3,197,349.3,221,238.7,206.2,228.7,NA,188,349.3
