"Year","ACCESS-ESM1-5","AWI-CM-1-1-MR","BCC-CSM2-MR","CanESM5","CNRM-CM6-1","CNRM-ESM2-1","EC-Earth3","GFDL-ESM4","GISS-E2-1-G","HadGEM3-GC31-LL","INM-CM5-0","IPSL-CM6A-LR","MIROC-ES2L","MIROC6","MPI-ESM1-2-HR","MPI-ESM1-2-LR","MRI-ESM2-0","NESM3","UKESM1-0-LL","ensemble"
2015,31.4,17.1,21.4,25,23,25.6,25.7,19.7,32.7,28.2,21.6,26,24.1,26.5,22.9,22.9,23.4,28.4,27.7,32.7
2016,27.7,24.1,19.9,25.3,27.1,25.2,28,20.4,27.3,25.8,22.8,26.2,24.7,26.5,24.1,23.6,19.8,32.2,29.2,32.2
2017,26.8,23.4,18.8,28.2,26.5,25.1,27.4,22.3,30.7,24.5,21.7,27.1,23.7,25.9,23.7,25.6,21.7,29.6,30.9,30.9
2018,31.1,21.1,18.4,28.1,26.9,24,27.3,20.9,30.7,33,22.4,27,26,27.6,26.7,23.3,21.5,27.5,27.1,33
2019,30.4,25.2,18.2,28.3,25.3,25.2,29.7,23.1,29,26.4,18.4,27.6,24.9,26.1,20.7,23,24,29.2,26.2,30.4
2020,30.6,25.6,18.1,26.2,27,27.2,27.1,23.5,27.5,25.5,21.7,26.6,24.5,25.8,24.1,23.7,21.7,26.1,27.4,30.6
2021,28.9,17.3,18.1,27.5,25.2,25.1,28.5,26.9,28.3,28,22.2,27.4,22.6,24.5,23.5,24,23.2,25.7,27.9,28.9
2022,28,22,24,28,24.1,28.2,30.9,23.1,22.6,29.3,22.6,29.1,23.6,25.1,22.3,24.2,26.5,28.1,30.5,30.9
2023,26.4,16.6,21.4,27.6,23.9,25.9,27.8,21.6,28.7,25.4,22.7,28.8,24.6,27.5,22.3,24.5,23,29.8,28.9,29.8
2024,26.5,16.4,16.7,28.7,25.6,26.9,28.3,22.3,28.9,28.2,21.3,26.5,25.9,25.8,27.7,23.9,22,28.4,29.6,29.6
2025,27.4,18.8,22.4,29.5,27,25.4,25.9,22.1,28.4,27.4,20.8,26,24.6,26.7,23.5,23,21.8,29.5,27.7,29.5
2026,28.1,21.9,17.5,28.3,26.7,26,26.8,21.2,28.2,25.1,21.5,26.9,23.2,25.3,24.5,26.4,23.7,25.5,31.4,31.4
2027,31.7,24.8,15.5,28.2,24.3,25,29.4,23.5,26.3,26.3,23.9,28.1,23.4,25.5,27.5,24,20.1,29,31.1,31.7
2028,27.2,16.5,30.7,27.5,25.5,25.2,28.8,21.2,27.3,24.1,21.1,25.8,25.2,29.3,23.5,22.3,23.1,28.1,29.2,30.7
2029,29.8,25.4,21,29.8,23.4,26.7,26.8,23.3,26.7,24.7,22.5,28.2,23.5,25,21.9,25.9,22.1,29.5,28.3,29.8
2030,28.8,23.4,21.7,27.8,25.9,25.9,28.8,21.6,29.8,23.7,22.6,27.2,24.6,26,21.8,25.3,22.7,22.8,27.2,29.8
2031,28.8,25.2,17.2,29.5,25.7,25,27.3,23.5,29.8,27.8,18.9,29.1,25.6,26.1,23.1,22.9,24.9,25.5,28.7,29.8
2032,29,15.8,25.4,27.8,25.5,25.8,26.6,20.9,29,25.5,23.9,26.6,21.6,27.9,23.9,23.9,22.3,30.2,27.5,30.2
2033,28.1,20.1,22.8,30.6,24.8,26.1,28.3,21.2,29.9,26.7,25,26.1,25.6,25.2,24.1,25.3,22.8,26,28.6,30.6
2034,29,19.1,17,25.9,25.4,26.5,27.9,21.3,30.6,24.6,24.8,29.6,24.2,27.7,19.9,26.1,19.4,29.5,29.7,30.6
2035,29.9,25.6,22.4,28.9,23.6,26,26.6,21,27.4,28,23.9,26.6,26,26,22.4,23.3,24.1,29.2,31.6,31.6
2036,29.2,21.7,20.1,27,28.4,26,27.1,22.8,27.1,27.6,20.4,27.5,24.3,24.5,28,24.8,24.5,30.6,27.9,30.6
2037,28.9,18.8,16.5,28,27.7,24.7,30.2,23.7,24.8,28.4,23.2,27.2,25.9,25.7,22.4,24.7,19.8,28.4,26.3,30.2
2038,29.9,14.4,20.8,28.4,27.1,27.6,28,23.1,25,28,25.4,26.9,25.9,27.7,22.1,23.7,21.5,26.5,26.7,29.9
2039,27.2,25.8,18.8,26.1,28,25.3,25.5,22.2,24.3,25,24.9,27.4,24.1,27.5,28.6,25.1,23.5,26.2,32.6,32.6
2040,28.9,20,22.7,26.2,25,26.2,30.7,25.3,29.3,30.2,24,28.6,23.2,25.7,26.4,26.6,21.3,29.9,30.7,30.7
2041,31.1,24,17.6,27,28.2,25.7,26.1,23.8,34.9,26.5,23,28.2,22,27.3,23.3,22.7,22.2,29.5,31.8,34.9
2042,28.2,16.7,19,28.4,28.8,25.3,25.7,21.5,28.8,26.3,18.4,29.1,23.5,26.9,23.5,26.7,26.8,31.7,27.5,31.7
2043,28.7,23.8,18,27.7,26.3,28.9,30.1,20,26.2,29,22,28.1,23.2,27.3,23.4,25.3,24.5,26.7,29.1,30.1
2044,28.8,18.6,16.5,27.1,24.8,24.8,30.8,21.4,30.7,26.8,21,27.8,24.1,24.9,27.1,25,23.6,29,30.1,30.8
2045,30.7,20.8,20.8,26.6,26.2,26.1,27.3,23.2,28.8,27.7,21.1,29.2,23.7,25,20.8,25.2,21.2,24,30.1,30.7
2046,30.1,21.5,16.3,27.1,25.4,26.4,27.9,21.6,28.6,25.1,22.8,26.8,24.3,25.7,21.2,24.4,25,26.4,31.7,31.7
2047,30.1,20.8,15.7,27,26.6,25.2,29.5,20.7,24.9,28.9,23.5,27.1,24.9,24.8,22.9,24.1,29,26.8,30.8,30.8
2048,30.2,16.4,16,28.1,24.5,24.7,27.3,21.3,29.3,24.7,21.4,31.6,24.6,26.3,25.2,23.8,28.7,26.1,28.8,31.6
2049,31.1,24.3,16.7,27.6,26.2,27.6,31.5,22.8,30.1,26.7,25.2,27.2,21.1,26.1,23.9,26.5,20.7,29.2,31.3,31.5
2050,28.8,22.9,22.1,28.7,24.7,24.5,29.4,22.1,28.9,29.3,21.1,29,22.4,27.7,27.2,22.2,21.4,27.5,32.6,32.6
2051,31.5,21.3,22.5,27.8,27.6,27.4,29.4,22.9,29.9,28.1,26.8,27.6,28.5,27.1,25.7,23.9,23.3,29.2,28.1,31.5
2052,29.2,22.5,15.7,27.1,25.8,28.4,26.6,21.4,29.3,29.2,20.2,27.2,24.7,28.8,26.5,25.3,21,27.2,29.2,29.3
2053,28.7,21.2,20.7,27.6,26.9,26.9,30.3,21.8,28.9,27.9,19.3,29.5,23.4,26.9,24.6,24,23.3,30.7,29,30.7
2054,30.4,20.6,19.5,28.1,25.4,23.8,30.9,21.6,31.4,28.1,21.8,27.6,25.1,25.7,20.8,23.6,21.4,29.7,30.5,31.4
2055,27.9,24.6,18.7,28.9,25.5,26,27.5,21.5,28.5,26.9,23.1,30.5,24.5,27.1,24.4,28.1,23.3,29,29.4,30.5
2056,29.2,20.8,25.4,27.2,27.5,25.7,26.7,21.5,29,28,25.7,30.9,24.6,28.2,23.9,25.7,24.4,30.2,30.1,30.9
2057,29.8,22.1,21.2,27.4,25.6,26.1,30.9,21.2,29.6,28.3,18.7,29.9,25.7,27.5,24.6,25.8,25.2,27.8,30.1,30.9
2058,28.7,26.4,22,28.3,27.2,27.3,27.4,23.2,27.5,28.5,19.7,27.7,23.9,27.5,21.2,25.6,20.7,29.7,30.8,30.8
2059,30.7,19.8,23.9,27.8,27.3,26.3,28.4,22.3,30.6,25.9,21.4,28.8,24.7,25.6,23,26.2,21.7,27.2,30.5,30.7
2060,29.1,20,17.1,27.3,26.8,29.5,28.6,22.3,27.4,30.1,25.6,26.9,24.8,26.4,26.8,27.8,23.5,31.5,31.2,31.5
2061,30.8,16,24.7,28.1,26.5,27.1,30.9,24.2,21.3,29,24.3,28.4,24.5,24.7,23.9,26.3,22.8,31.3,31.1,31.3
2062,31.4,21.5,18.4,26.4,27.3,26.6,27.9,22.7,28.6,28.1,22.8,27.6,22.9,28.5,25.4,25.2,23.1,27.6,31,31.4
2063,31.1,22.3,16.7,29,26.2,27.6,28.5,21.5,27.8,24.5,22.6,28.8,25.5,27.1,25,25.7,23.2,27.7,33.5,33.5
2064,29.8,22,19.6,30.5,24.6,28.3,29.3,21.3,28.3,27,23.5,29.7,26.8,26.6,25.8,25.4,24.5,31.3,29.8,31.3
2065,31.9,20.5,20.3,29,26,26.9,27.8,22.9,29,29.6,23.6,28.5,25.6,26.8,22.4,23.4,21.2,29.7,30.3,31.9
2066,30.5,19.2,21.1,27.8,25.6,24,28,20.6,26.6,28.2,23,29.1,26,29.2,26.6,24.7,24.6,30.4,33.6,33.6
2067,31.4,21.9,17.8,28.6,25.6,28.1,28.9,23.9,29.2,29.4,25.3,29.5,25.6,27.2,24.2,28.2,22.6,27.1,29.6,31.4
2068,31.7,21.6,16.4,30.6,28.6,25.2,33.4,20.4,31,24.6,21.8,28.5,25.2,26.4,24.4,25.4,23.5,28.3,30.9,33.4
2069,30.7,22.2,21.4,27.4,25.3,25.7,28.1,20.8,29,31.8,24.1,28,24.9,25.6,25,28.5,23.4,27.6,30.6,31.8
2070,30.3,19.8,20.1,28.1,28.2,25.7,28.5,23.6,31,28.6,20.5,30.5,23.1,26.4,24.7,26.1,27.2,31.1,30.7,31.1
2071,29.3,14.8,26.7,29.6,25.6,26.5,27.8,22,26.9,31.7,21.2,29.1,23.6,25.8,23.2,26,23.3,27.4,32,32
2072,31.5,22.1,17,29,26,26,27.2,23.7,23.7,28.2,26.9,29.1,25.6,26.8,21.7,23.9,22.6,28.1,32.6,32.6
2073,30.7,25.6,20.1,27.8,26.5,27.5,28.3,22.2,27.7,26.6,24.9,27.8,23.5,25.3,22.3,25.3,26.6,24.7,32.5,32.5
2074,32.7,25.4,19.7,28.4,27.1,26.1,28,23.1,30.2,28.6,24.4,28.8,23.6,28.1,27.2,24.5,23.8,29.3,29.8,32.7
2075,30.8,22.3,17.4,29.6,29,26.8,26.1,24.1,25.2,26.8,23,29.2,23.9,27.3,23.1,25.7,21.5,27.3,30.8,30.8
2076,31,22.1,24.4,29.7,24.9,26.5,29,19.9,34,29.2,24.2,29.4,24.8,26.8,24,25.4,23.8,26,32.2,34
2077,30.4,19.1,17.1,28,28.5,25.7,31.7,24.8,31.7,25.9,23.3,27.9,23.9,26.8,25.3,26.7,24.9,26.8,32.8,32.8
2078,32.3,22.7,19.3,29.7,28.7,26.4,26.7,23,29.5,29.6,23.1,30.3,24.9,25.5,24,25.2,23.5,29.5,31.4,32.3
2079,31.6,19.5,23.7,28.6,25.8,25.7,28.1,24.9,28.2,26,18,28.5,26.1,26.2,24,25.1,23.9,34.5,33.9,34.5
2080,30.3,18.9,24.8,28.8,26.4,26.6,26.7,26.3,23.7,31.2,23.8,28.7,25.7,26.4,26.9,25.3,23.6,29.2,30.9,31.2
2081,30.8,23.1,26.6,29.8,24.8,29.3,29,25,24.7,30.5,25,30.9,23.8,26.3,22.8,26.3,22.8,27.3,32.2,32.2
2082,32.2,25.2,26,29.9,26.8,27,27.4,20.5,28.9,27.8,20.8,28.6,25,27.4,23.2,26.7,23.2,29.2,32.6,32.6
2083,31.5,23.6,23.6,28.1,25.6,25.8,28.8,22.1,25.9,28.9,25.6,32.4,25.8,28.6,25,27.1,22.7,29.4,31.5,32.4
2084,31.3,23.2,17.8,30.4,25.9,27.6,28.4,22.7,28.5,28.8,21.4,30.3,23.7,26.7,24.5,24.8,24.8,27.5,30.7,31.3
2085,29.5,26.5,16.2,29.8,28.4,30.5,28,22.8,26.8,28,23.8,28.4,24.5,27.9,26.5,25.5,22.3,28.4,31.8,31.8
2086,31.3,22.8,21.4,29.2,26.4,28.9,29.3,20.9,27.8,30,22.6,29.8,24.5,26.4,27.5,24.5,24.1,26.8,32.6,32.6
2087,31.3,25,17.6,30,29.4,26.6,31.1,23.7,32.6,29,22.5,30,24.4,28.7,24.9,25,26.1,34.1,31.1,34.1
2088,30.2,27.4,25.3,26.6,26.5,26,31.6,25.2,31.6,29.8,22.5,29.6,26.4,29.4,25.9,27.2,24.9,28.1,31.8,31.8
2089,30.8,26.5,21.5,29.6,26.2,29.6,31.8,24,26.9,31,26,28.6,25.8,27.7,27,25.3,23.8,33,31.2,33
2090,30.4,18.7,20.5,28.9,27.3,29,28.2,23.3,30.2,29.7,21.4,27.9,23.9,27.4,27.1,26.2,22.9,27.3,29.8,30.4
2091,31.8,21,25,28.9,27.5,27.1,28,22.7,27.9,29.3,18.4,30.5,26.7,27.7,28,25.5,20.7,25.3,31.6,31.8
2092,31.6,20.5,22.5,29.4,27.1,26.9,30,25.1,27.8,33,25.1,29.5,25,27.5,26,26.3,23.2,29.6,30.8,33
2093,30.2,19.7,23.1,29.9,27,25.7,28.5,23.5,31.4,29.7,25.2,28.9,24.7,27.1,26.3,27,25,27.9,30.6,31.4
2094,31.4,21.1,23.4,29.9,26.3,30,29.4,22.1,26.1,29.5,23.6,27.7,26.9,27.6,24,25,24.3,26.9,31.6,31.6
2095,31,14.6,20,30.3,27.4,25.5,31.4,23,27.9,25.5,22.4,32.4,26.7,28.1,27.7,25.8,27.3,28.6,30.9,32.4
2096,32.3,18.8,25.4,29.3,24.4,27.5,30.4,21,29.1,29.4,22.3,30.4,24.5,28.2,24.4,25.1,25.1,29.4,32.9,32.9
2097,30,24.7,18.6,27.9,25,26.4,28.8,22.8,27.1,29.6,19.9,28.6,24.3,27.6,24.4,24.4,26,28.4,31.5,31.5
2098,31.7,24.4,22.5,27.4,27.1,29.8,29.2,22.2,30.5,28.6,26,31.8,25.9,27.6,26.9,26.2,21.1,28.6,34.2,34.2
2099,30.4,24,21.6,28.9,28.3,28,32.1,21.2,27.6,27.8,23,31,26.5,27.7,24.1,25.5,21.2,28.9,34,34
2100,32.2,20.6,21.5,31.6,27.1,26.9,27.8,20.8,31.8,27.6,24.6,29.1,24.4,29.5,27.9,25.8,25.9,26.7,30.6,32.2
