"Year","ACCESS-ESM1-5","AWI-CM-1-1-MR","BCC-CSM2-MR","CanESM5","CNRM-CM6-1","CNRM-ESM2-1","EC-Earth3","GFDL-ESM4","GISS-E2-1-G","HadGEM3-GC31-LL","INM-CM5-0","IPSL-CM6A-LR","MIROC-ES2L","MIROC6","MPI-ESM1-2-HR","MPI-ESM1-2-LR","MRI-ESM2-0","NESM3","UKESM1-0-LL","ensemble"
2015,0,0,0,0.1,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0.3
2016,0.1,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0.6
2017,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0.1
2018,0,0,0,0,0,0,0,0,0,0,0,0.1,0.2,0,0,0,0,0,0,0.2
2019,0.1,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0.1
2020,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.1,0,0,0,0,0,0.5
2021,0,0,0,0.1,0,0,0,0,0,0,0,0,1,0.4,0,0,0,0,0,1
2022,0.1,0,0,0,0,0,0,0,0,0,0,0,1.7,0.2,0,0,0,0,0,1.7
2023,0,0,0,0,0,0,0,0,0,0,0,0,1.4,0.1,0,0,0,0,0,1.4
2024,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0.1
2025,0,0,0,0.8,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0.8
2026,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
2027,0.1,0,0,0.3,0,0,0,0,0,0,0.1,0,0.7,0,0,0,0,0.1,0,0.7
2028,0.1,0,0,0.1,0,0,0,0,0,0,0.2,0,0.4,0,0,0,0.1,0,0,0.4
2029,0,0,0,0.9,0,0,0,0,0,0,0,0,0.3,0.2,0,0,0,0,0,0.9
2030,0,0,0,0.1,0,0,0,0,0,0,0.1,0,0.2,0.3,0,0,0,0,0,0.3
2031,0.1,0,0,0.2,0,0,0,0,0,0,0,0,0.3,0.3,0,0,0,0,0,0.3
2032,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4
2033,0.1,0,0,0.2,0,0,0,0,0,0,0,0,1.2,0.1,0,0,0,0,0,1.2
2034,0.2,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3
2035,0,0,0,0.4,0,0,0,0,0,0,0,0,0.5,0.1,0,0,0,0,0,0.5
2036,0.1,0,0,0.1,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0.4
2037,0.1,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.1
2038,0.1,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.1
2039,0,0,0,0.6,0,0,0,0,0,0,0.3,0,13.9,0.1,0,0,0,0,0,13.9
2040,0,0,0,0.1,0,0.1,0,0,0,0,0,0,0.7,0.2,0,0,0,0,0,0.7
2041,0.6,0,0,0.5,0.1,0,0,0,0,0,0,0.2,1.7,0.4,0,0,0,0,0,1.7
2042,0.1,0,0,0.3,0,0,0,0,0,0,0,0,1.6,0,0,0,0,0,0,1.6
2043,0.1,0,0,0.1,0,0,0,0,0,0,0,0.1,9.5,0,0,0,0,0,0,9.5
2044,0.1,0,0,0.5,0.1,0.1,0,0,0,0,0,0,0,0.4,0,0,0.2,0,0,0.5
2045,0.1,0,0,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0.1
2046,0.1,0,0,1.8,0,0,0,0,0,0,0,0,3.1,0.6,0,0,0,0,0,3.1
2047,0.1,0,0,0.1,0,0,0,0,0,0,0,0.1,0.5,0.6,0,0,0,0,0,0.6
2048,0.1,0,0,0,0,0.1,0,0,0,0,0,0.1,0.1,0.7,0,0,0,0,0,0.7
2049,0,0,0,0.2,0,0.1,0,0,0,0,0,0,1.5,0,0,0,0,0,0,1.5
2050,0.1,0,0,1.7,0,0,0,0,0,0,0,0,1.8,0,0,0,0,0,0,1.8
2051,0.1,0,0,0.4,0,0,0,0,0,0,0.2,0,2.1,0,0,0,0,0,0,2.1
