"scenario","Year","ACCESS.ESM1.5","AWI.CM.1.1.MR","BCC.CSM2.MR","CanESM5","CNRM.CM6.1","CNRM.ESM2.1","EC.Earth3","GFDL.ESM4","GISS.E2.1.G","HadGEM3.GC31.LL","INM.CM5.0","IPSL.CM6A.LR","MIROC.ES2L","MIROC6","MPI.ESM1.2.HR","MPI.ESM1.2.LR","MRI.ESM2.0","NESM3","UKESM1.0.LL","ensemble"
"historical",1850,364.1,245.9,239.4,371.5,335.1,329.1,NA,278.5,183.7,315.4,258.5,345.3,482.1,481.5,257.1,272.6,448.4,370.8,348.4,482.1
"historical",1851,376.2,172.5,310.4,390.1,362.5,313.5,227.1,302.9,266.3,270.1,296.4,345.7,517.2,394.6,304.7,302.9,421.4,383.6,315.4,517.2
"historical",1852,378,177.2,277.1,319.6,327.9,316.8,213.2,369.6,156.3,323.5,280.7,478.9,548.1,443.3,315.4,317.1,317,357.5,325.4,548.1
"historical",1853,356.6,207.9,293.2,337.7,379.8,282.5,208.5,311.6,191.9,242.5,273.5,346.2,491.7,369.8,250.2,389.1,362.5,293.7,298.1,491.7
"historical",1854,345.7,231.2,226.5,331.4,364.3,340.7,222.3,378.9,192.1,259.1,236.1,356.9,512,444,295.7,374.1,386.7,345,341.4,512
"historical",1855,339.3,220.8,278.8,294,324.9,293.1,247.2,278.5,215.2,267.6,262.8,386.9,506.4,399.7,261.3,317.9,391.4,296.1,374,506.4
"historical",1856,347.3,219.3,271.8,307.8,354.4,264.9,256.1,322.9,212.8,319.9,256.4,349.4,413.8,408.4,299.5,396.3,372.9,300.2,306.4,413.8
"historical",1857,442.1,175.6,276.5,296.6,320.7,299.2,175.2,388.9,208.2,242.4,274.1,374.6,424.6,413.4,320.2,314.3,314.8,388.3,300.6,442.1
"historical",1858,327.5,182.5,355.7,317.5,358.5,291.5,268.3,345.4,179,347.9,225.6,366.1,612.7,410,285,350.9,314,374.9,352.2,612.7
"historical",1859,347.5,175.3,282.3,350.4,325.9,320.3,181.9,332.6,189.9,306.1,323.9,411.1,470.5,485.4,331.5,298.1,353,313.6,319.5,485.4
"historical",1860,402.1,173,308.7,359.9,313.9,298.1,218.8,310.5,278.3,340.1,309.3,438.7,503.1,422.5,287.1,332.3,347.7,414.7,304.6,503.1
"historical",1861,328.1,204.8,248.7,334.4,319,274.9,237,339.6,156.1,348.8,270.3,412.9,616.9,403.1,273.3,292.4,400.3,339.5,320.9,616.9
"historical",1862,356.5,245.4,303.8,428,370.6,286.9,191.2,322.1,218,295.5,277.3,346.4,490.8,414,282,334.5,398,326.8,340.5,490.8
"historical",1863,366.6,207.2,305.6,318.7,301.3,315.1,190.2,360.2,163.1,217,303.6,410.6,517.7,393.7,304.1,349,333.8,312.8,329.1,517.7
"historical",1864,412.7,199.8,240.6,312,365.3,264.3,298.8,354.6,191,267.1,237.1,355.6,471.6,364.9,284.8,349.6,414.8,373.3,437.5,471.6
"historical",1865,415.6,217.2,237.1,363,317.6,312,175.3,299.2,163.6,350.1,242.2,407.4,555,425.1,293.6,326,366.2,315.2,275.7,555
"historical",1866,330.2,267.7,316.1,354.3,342.8,331.2,193.2,364.9,219,276.5,302.7,395.6,453,471.7,350.2,328.3,341.4,307.4,302.1,471.7
"historical",1867,337.7,320.9,371.3,372.9,371.9,375.1,171.3,304.7,149.3,339.2,217.5,454.3,524.1,488.3,316,330.8,349.5,412.9,312.6,524.1
"historical",1868,344.7,231.1,304.4,393.4,329.6,329.7,191.1,408.9,184,233.5,304.9,354.9,473.5,452.4,284,401,397.4,370.4,273.4,473.5
"historical",1869,381,246.6,317.8,332.1,339.9,282.5,258.1,309.1,188.4,209.6,252.8,424.4,505.4,430.7,321.7,348.2,378.6,374.7,371.4,505.4
"historical",1870,363.4,166.2,350.1,346.8,329.7,273.9,204.1,314.7,185.5,324.1,278.8,338.7,414.7,443.4,263.4,303.9,398.7,421.8,316.2,443.4
"historical",1871,408.3,209.4,312.7,354.3,401.1,313.7,220.1,395.9,223.8,278.8,292.3,385.8,488.9,453.4,309.7,280,420.3,424.9,366.4,488.9
"historical",1872,342,155.1,344.9,306.9,363.5,333,202.5,339.2,200.1,350.1,245,334.3,473,465.5,278.5,372.6,374,365.6,331.2,473
"historical",1873,378.6,188.3,281.2,325.1,287.2,311.7,219.8,345.9,187.5,301.1,274.8,411.5,506.7,453.2,357.7,313,415.4,382.5,335.1,506.7
"historical",1874,334.7,154.1,337,298.3,329.3,277.9,185.2,416.1,205,229.1,256.5,366.9,515.8,436.7,279.7,334,304,355.4,347.5,515.8
"historical",1875,318.7,223.9,306.1,306.2,354,305.9,223.4,303.7,144.2,279.1,253.5,481.4,466.4,438.3,334.7,300.6,353.2,418.7,350.1,481.4
"historical",1876,347.8,169.7,313.4,333.4,327.9,315.5,236.3,369.3,237.2,283.1,237.6,405.3,592.2,386.8,267.5,341,372.2,361,333.2,592.2
"historical",1877,347.4,250.4,288.4,312.2,356.4,274.4,223,318,194.2,239.2,272.6,400.8,547.7,413.4,300.9,293.1,344.2,350.8,328.7,547.7
"historical",1878,374.2,164.7,256.5,342.2,313.8,353.7,189.2,379.6,357.4,386.2,277.9,366.6,484.3,444.6,262.5,301.4,414.6,332.6,320.3,484.3
"historical",1879,434.5,159.6,311.2,398.1,294.9,292.6,250.9,337.9,167,276.3,236,425,483.7,385.9,256.4,405.1,361.4,381.9,313.9,483.7
"historical",1880,391.2,261.1,321.6,378.3,312.1,303.6,186.5,380.2,213.4,269.3,286.8,396.7,506.4,387.5,265.7,329.2,341.9,378.3,372.7,506.4
"historical",1881,346.4,187.7,324.9,329.4,328.7,316.1,252.8,338.5,206.8,292.6,278.2,348.6,477,389.9,286.9,346.3,340.1,293.7,305.4,477
"historical",1882,361.2,255.4,290.2,330.2,267,278.9,226.6,319.5,175.7,264.9,269.7,397.3,443.9,473.6,324.1,319.7,353.8,345,321.4,473.6
"historical",1883,405,172.6,245.2,415.9,306.5,365.3,283.4,317.8,248.2,333.9,308.9,424.6,497.8,400.9,339,360,384.8,370.5,316.7,497.8
"historical",1884,412.3,191.6,253,355.8,375.1,303.6,272.9,314.1,219,267.2,267,355,596.6,449,282.2,318.4,352.9,366.8,286.7,596.6
"historical",1885,391.4,138.9,334.5,441.2,280.7,293.7,215.6,324.3,161.7,325.7,269.6,421.5,532.3,406.8,247.5,320.7,363.3,393.5,311.3,532.3
"historical",1886,408.4,130.3,290.8,354.6,321.2,343.5,221.2,359.4,174.4,335,235.3,385.9,546.5,485,316.9,318.8,359.1,338.6,352.6,546.5
"historical",1887,439.7,221.5,277.2,441,359,347,199.1,390.7,164.7,274.7,304.2,357.6,524.3,414.4,273.4,346.5,348.8,413.2,314.4,524.3
"historical",1888,402.7,210.4,278.1,383.1,317.3,372.9,265,357.4,159.4,276,330.4,376.7,474.6,475.4,323.7,336.4,296.4,384.6,267,475.4
"historical",1889,348.1,160.5,296.8,327.3,308.2,323.6,242.6,293.1,198.2,282.7,289.9,399.4,565.1,419.1,262.7,341.5,408.2,348.8,381.8,565.1
"historical",1890,406,179.1,235.1,337.6,313.7,248.3,197,335.1,221.6,224.8,334,393.7,603,424.8,246.9,324.2,371.2,361,384.3,603
"historical",1891,434.6,134.8,270.1,417.2,341.7,339.2,242.3,377.9,207.7,341.5,280.8,381.7,604.7,528.5,358.5,309,362.3,408,294.7,604.7
"historical",1892,330.1,280,263.9,343.2,323.8,329.2,235,341.3,139.9,266,329.9,440.4,467.6,423,332.8,287.4,360.1,389.7,351.2,467.6
"historical",1893,342.6,234.4,342.8,350.6,373.6,333,318,321.6,224.3,312,261.4,412.2,533.6,469.3,300.4,304.3,334.5,389.2,332.8,533.6
"historical",1894,303.6,198,309,308.1,355.5,356.1,190.8,362.6,212.9,261.8,267.8,361.5,445.8,401,267.3,372.9,300.1,359.9,335.6,445.8
"historical",1895,429.1,190.1,240.1,346.4,349.7,323.3,186.9,304.1,184.8,341.6,280.1,383.1,518.9,370.8,327.8,336,352.7,256.9,391.2,518.9
"historical",1896,367.5,192.7,315.3,379.2,325.1,347.1,244,339.2,193.5,332.1,245.4,422.4,440.1,406.5,303.2,290.6,387.8,332,279.7,440.1
"historical",1897,372,303,299,321.9,328.3,349.2,178.2,343.3,157.9,257.2,251.4,362.9,499.7,435.2,225.4,348.2,395.8,415.9,362.5,499.7
"historical",1898,386.1,205.8,221,412.6,347.3,356.1,232.5,308.1,253.2,267.8,295.6,382.2,514.2,429.1,227.7,371,293.2,306.3,352.3,514.2
"historical",1899,308.1,258.8,214.8,341.9,320.5,336.4,264.7,339.9,203.8,299.4,250.9,396.1,473.3,439.4,260.9,405.2,388.5,346.4,330.6,473.3
"historical",1900,371.5,189.3,290.8,295.6,327.3,322,194.5,326.5,245.7,303.6,235.8,474.7,519.1,406.4,280.9,319.5,368.4,430.3,296.2,519.1
"historical",1901,378,257.4,423.9,283.9,288.9,290.5,238.2,360,246.1,343.3,321.4,381.9,475.5,392.1,266.2,366.7,314.7,444.5,312.8,475.5
"historical",1902,367.1,220.1,284.4,316.5,374.9,277.7,221.8,267.9,236.8,234.8,267.9,430.4,540.1,440.7,301.4,308.2,356.9,283.9,387.7,540.1
"historical",1903,308.8,183.8,271.3,357.4,363.8,357.1,294.9,304.3,231.4,374.3,340.5,403.6,460.2,396.7,343.6,355.4,369.3,404.2,327.8,460.2
"historical",1904,345.1,213.5,316.6,317.8,301.5,294.5,210.1,372.5,232.1,275.3,275.9,356.5,519,433.3,311.4,330,355.7,329.4,298.5,519
"historical",1905,374.4,249,210.6,354.2,297.4,301.3,261.8,378.7,226.5,342.7,244.4,442.5,463.3,466.6,336.8,311.2,369,370,313.1,466.6
"historical",1906,419.2,162,229.3,334.4,359.2,349.3,217.5,317.5,190.4,299.5,303,417.2,512.8,458.6,294.7,326.8,333,391.6,350,512.8
"historical",1907,336.9,191.4,293,424.3,347.4,309.9,280.8,422.3,219.2,268.8,270.5,352.7,506.8,411.3,303.8,306.1,352.7,338.9,313.3,506.8
"historical",1908,323.5,154.8,305.1,341.8,343.9,322.5,212,402.4,276,287.2,298,435.3,454.1,413.2,334.2,412.2,387.4,447.8,307.5,454.1
"historical",1909,372.3,236.3,255.4,341.8,402.1,258.8,233.7,403.4,159.7,313.6,230,437.1,536.3,414.3,295.7,395.5,420.5,323.2,322.8,536.3
"historical",1910,402.4,144.6,334.4,362.9,306.5,427.6,207.4,354.5,158.8,222,241.6,369.8,514.9,470.2,320.8,315.1,373.2,302.4,274.4,514.9
"historical",1911,344,223.9,247.2,322.5,328.1,348.8,241.4,320,214.3,286.1,267.5,459.3,455,403.9,349.5,333.8,327.7,407.3,353.9,459.3
"historical",1912,348.7,147.5,285.9,372.8,349.2,300.4,200.3,289.3,187,328.4,266.8,484.7,509.2,458.2,306.1,405.4,314.5,350.3,339.1,509.2
"historical",1913,480.5,271.8,329.5,310.2,306.1,339.1,183.1,355.1,259,293.5,269.7,374.2,550.9,408.1,393.1,347.4,368,394.2,278.2,550.9
"historical",1914,457.4,214.1,316.3,345.6,369.6,289.8,164.2,334.3,249.4,373.5,325.6,405,446.4,429.6,320.3,302.4,340.4,315.9,365.7,457.4
"historical",1915,371.8,154,311.4,301.9,357.6,307.9,247.4,299.3,183.8,308.3,238.5,504.1,537.2,372.5,351.2,340.6,344.7,301.1,286.1,537.2
"historical",1916,393.7,159.3,246.9,255.8,327.8,313.7,247.2,322.5,177,256.1,293.5,402.9,549.2,376.7,253.8,330.2,292.8,340.3,354.9,549.2
"historical",1917,304.1,244.5,248.8,295.5,310.9,295.1,255.7,339.1,118.4,322.3,232.8,411.2,469.6,379.2,304.3,320.1,401,382.8,347.8,469.6
"historical",1918,343.3,160.6,287.6,327.8,369.7,315.8,266.8,330.2,237.8,270.4,290.5,422.2,429.7,447.6,257,442.1,385.1,372.1,322.1,447.6
"historical",1919,351.1,196,250.2,324.1,375.6,311,223.7,344.3,179.5,391.7,314.2,370.7,486.1,431.9,284.6,322.1,347.4,388.2,327.1,486.1
"historical",1920,310.2,160.6,431.7,303.5,306.2,281.7,283,442.2,246,337.4,285.6,428.7,544.7,380.2,260.5,356.5,379.1,319.4,333.5,544.7
"historical",1921,365.8,245.4,356,359.8,371.4,289,274.2,329.7,214.7,278.4,262,428.2,517.6,423.1,367,289.8,316.3,377.7,333.4,517.6
"historical",1922,374.1,170.7,310.2,323.1,350.2,253.6,213.2,365.2,275.2,224.9,287.2,396.5,642.1,444.6,370.7,291.2,413.7,361.8,326.3,642.1
"historical",1923,332.5,130.6,294.5,364.5,303.2,268.4,261.2,376.2,154,347.8,258.8,405.8,529.4,470,317.1,353.9,420.3,436.8,332.9,529.4
"historical",1924,460.9,244.5,273,382.4,338.7,325.7,230.8,323.9,261,294.5,262.8,403.6,494.7,571,284.8,362.8,358.8,373,318.3,571
"historical",1925,331.2,197.4,269.8,354.7,341.7,324.1,249.9,317.3,243.8,277.3,262,396.7,531,420.2,304,350.9,350.2,387.6,354.6,531
"historical",1926,363.5,228,232.3,408,373.9,271.2,192.5,318.5,111.8,371.5,230.8,405.7,554.1,375,259.5,373.8,338.3,363.6,334.6,554.1
"historical",1927,340.4,258.4,359.3,463,348.7,290.1,258.4,351.7,228.2,288.6,231.8,363.1,519.1,424.5,268,327.5,334.2,359.2,347.3,519.1
"historical",1928,370.7,262.7,275.5,359.3,318.4,323,225.8,341,219.2,267.8,292.9,400.1,446.4,443,311.8,350.6,334.2,336.8,300.8,446.4
"historical",1929,381.6,235.3,320.2,358.5,363.2,293.6,218.5,360.5,244,251.4,234.5,374.7,583.2,466.8,309,339.7,338.8,387.8,306.2,583.2
"historical",1930,420.2,270.6,263.9,280.5,291.2,319.2,190,365,197.1,267.1,257.4,378.5,606.9,423.9,332.8,349.3,372.9,379.2,421.8,606.9
