"Year","ACCESS-ESM1-5","AWI-CM-1-1-MR","BCC-CSM2-MR","CanESM5","CNRM-CM6-1","CNRM-ESM2-1","EC-Earth3","GFDL-ESM4","GISS-E2-1-G","HadGEM3-GC31-LL","INM-CM5-0","IPSL-CM6A-LR","MIROC-ES2L","MIROC6","MPI-ESM1-2-HR","MPI-ESM1-2-LR","MRI-ESM2-0","NESM3","UKESM1-0-LL","ensemble"
2015,330.6,135,302.3,382,298.5,345.2,289,318.3,199.8,202.2,76.9,399.5,505.6,473.8,228.8,295.2,322.8,297.2,321.4,505.6
2016,337.1,229.8,265.4,343.4,322,314.6,236.1,263.9,246,251.1,368.7,396.7,476.6,424.3,225.5,331.9,322.1,244.6,290.7,476.6
2017,330.1,235.8,293.8,354.1,317.4,378.8,241.4,370.6,166.6,235,202.8,361.4,536.9,431.3,304.5,299.5,332.6,294.8,270.2,536.9
2018,277.5,180.6,251,287.1,322,312.2,261.7,302.5,235.6,233.3,180.2,398.3,454.5,378,225.3,359.1,317.5,382.2,296.5,454.5
2019,401.1,182.4,252.7,374.7,352.2,285.4,268.9,212.8,154.3,244.8,150,327.3,449.7,450.8,210.3,282.9,329.8,249.8,315,450.8
2020,297.4,148,272.7,414.3,291.6,343.3,196.8,354.2,214.7,193.1,138.9,460.4,427.2,406.9,309.4,301,267.2,274.8,299.1,460.4
2021,349.3,208.9,207.4,401.6,375.8,321.9,303.3,373,254.6,235.1,181.2,406.4,496.4,489.2,200.8,350.1,302.3,314.1,309.1,496.4
2022,346.6,276.4,179.5,353.4,386.2,302,262.7,352.9,217,282.5,98.4,477.3,375.6,404.1,327.7,332.1,336.1,256.8,351.8,477.3
2023,333.2,134,178.3,475.1,339.3,289.9,244.7,296,202.7,223,131.2,413.4,435.7,495.2,241.7,294.2,302.3,299.5,340.5,495.2
2024,281.6,259,194,324.1,307.8,356.1,283.6,262.1,231.6,189.9,212.4,405.3,546.6,452.9,360.7,337.9,364.8,227.1,329.8,546.6
