"Year","ACCESS-ESM1-5","AWI-CM-1-1-MR","BCC-CSM2-MR","CanESM5","CNRM-CM6-1","CNRM-ESM2-1","EC-Earth3","GFDL-ESM4","GISS-E2-1-G","HadGEM3-GC31-LL","INM-CM5-0","IPSL-CM6A-LR","MIROC-ES2L","MIROC6","MPI-ESM1-2-HR","MPI-ESM1-2-LR","MRI-ESM2-0","NESM3","UKESM1-0-LL","ensemble"
2015,5.2,2.8,-0.9,3.5,5,5.3,5.8,2.2,2.4,5.8,4.8,5.9,6.2,7.7,3.2,1.8,3.8,2.8,5.2,7.7
2016,6.2,1.2,-1.1,4.8,4.4,6,4.2,0.7,1.2,5.7,5.1,4.8,6.4,7.3,2.2,3.7,5.3,3,4.2,7.3
2017,5.8,2.2,-0.6,4.2,4.9,5.4,4.6,1.2,2.6,5,5.6,3.8,5.2,6.9,1.9,0.6,3.4,3.1,4.3,6.9
2018,6.2,-0.6,2.1,4.3,4.3,5.5,5.5,1.9,1.9,5.6,5.9,5.3,5.5,5.4,0.5,1,4.7,3.8,4.4,6.2
2019,7.5,2.5,1.2,4.6,4.6,4.7,3.8,2.9,2.8,7,5.3,7.1,7.5,6.4,2,1.9,5.4,3.2,6.4,7.5
2020,6.3,3.2,0.9,3.8,5,6.1,4.6,1.9,2.8,5.1,6.2,4.5,4.8,6.9,1,1.6,2.7,4.7,5.1,6.9
2021,7.5,0.5,1.5,5.5,4.3,6.4,4.7,-0.4,3.5,6.3,5.9,5.5,5.8,7.1,0.6,4,2.9,1.4,4.7,7.5
2022,7.4,2.2,1.3,4.9,6.1,4.8,4.1,1.7,3.5,6,6.9,6.1,5.6,7,3.6,1.6,4.4,0,6,7.4
2023,8.2,2.5,2,4.1,4.9,5.7,4.5,-0.4,2.9,5.3,6.6,6.1,7.1,7.3,2.6,1.5,2,4,6.2,8.2
2024,6.3,3.7,3.7,5.3,5.8,7.1,4.4,0.7,2.8,5.5,5.7,5,6.6,6.7,4,0.2,5.1,2.1,4.8,7.1
2025,7.2,2.6,-0.3,5,6.3,5.5,3.9,2.3,1.1,6,5.2,6,6,6.9,1.8,2.7,4.4,3.8,5.5,7.2
2026,7.1,2.6,3.3,5.2,5.6,6.8,4.9,1.8,1.7,6.4,7.1,5.2,6.5,7,1.5,1.2,3.8,2.9,5.3,7.1
2027,7.9,2.1,-1.2,5,5.5,6.8,4.8,2.4,5.3,6.4,5.6,4.3,4.8,6.9,3.6,4.1,2.9,3.6,5.6,7.9
2028,8.1,3.9,0.9,5.2,5.8,6.2,4.9,2.8,2.7,6.9,5.9,5.3,7.7,7.1,4.4,1.3,3.4,4,7.1,8.1
2029,7.8,0.8,4.4,4.5,5.9,6.9,5.2,1,3.6,5.7,5.4,6.3,7,7.7,3.2,1.4,5.6,4,5.4,7.8
2030,7.6,2.7,2.2,5.8,4.9,7.7,6,2.7,4.5,7.4,3.5,6.6,6.9,7.5,3.2,0.7,4.3,3.4,6.2,7.7
