"Year","ACCESS-ESM1-5","AWI-CM-1-1-MR","BCC-CSM2-MR","CanESM5","CNRM-CM6-1","CNRM-ESM2-1","EC-Earth3","GFDL-ESM4","GISS-E2-1-G","HadGEM3-GC31-LL","INM-CM5-0","IPSL-CM6A-LR","MIROC-ES2L","MIROC6","MPI-ESM1-2-HR","MPI-ESM1-2-LR","MRI-ESM2-0","NESM3","UKESM1-0-LL","ensemble"
2015,19.8,26.5,14.6,19.5,18.8,20.6,18.2,13.6,21,NA,17.7,19,18.9,18.1,17.7,18.8,16.5,NA,19.5,26.5
2016,22.7,22.7,13.7,17.2,18.4,20,18.9,15.8,21.2,NA,19.6,16.7,22,20.6,19.7,16.4,21.3,NA,16.5,22.7
2017,21.7,24.1,13.4,20.5,18.5,21.4,17.1,16.4,23,NA,20.1,15.3,20.1,21.6,16.8,16.4,18.5,NA,15.8,24.1
2018,22.4,22.2,12.3,18.8,18.2,20.4,16.7,15.4,23,NA,17.5,16.1,18.2,24.5,20.3,15.4,16.6,NA,17,24.5
2019,20.5,22.6,16.7,18.9,18,18.2,20.1,12.6,16.7,NA,20.6,16.7,19.6,25.2,17.9,16.2,18.6,NA,18.2,25.2
2020,20,24.1,12.2,18.9,17.4,18.7,18.8,17.5,20.2,NA,19.1,15.9,20.2,23.5,16.9,20.5,19.1,NA,16.5,24.1
2021,19.7,19.9,12.1,20.8,17.9,21.4,18.9,11.5,21,NA,17.8,17.3,19.2,24.4,20.1,17,16.6,NA,15.6,24.4
2022,21.6,22.2,17.2,18,17.7,19.3,19.9,15.5,20.9,NA,20.4,17.5,21.6,27.2,18,16.6,17.5,NA,17.6,27.2
2023,20.2,23.3,11.8,19.7,18,18.8,18.9,15.3,18.6,NA,19.2,17,17.7,21.3,21.3,14.9,19.4,NA,19.6,23.3
2024,22.1,19.8,11.4,20.1,18.8,19.8,17.4,14,18,NA,19.6,16.4,18.9,22.4,17.8,18.6,20.6,NA,18.4,22.4
2025,20.7,21.7,13.4,19.8,18.4,21.7,17.7,15,20.8,NA,18.6,17.1,17.2,22.3,18.7,16.6,20,NA,20.4,22.3
2026,24,26.4,9.7,19,20.2,19,18.4,15.1,19.7,NA,20.9,17.2,18.1,27.5,18.5,16.1,18.6,NA,17.2,27.5
2027,21,21.2,13.1,21,19.2,20.2,18.8,15.8,20.3,NA,18.8,15,19,21.3,20.8,16.5,17,NA,19.6,21.3
2028,21.3,25.7,16.1,20.2,18.5,20.1,18.2,13.3,19,NA,20.2,17.3,17,24.9,19.8,17.4,17.7,NA,18,25.7
2029,20,20.7,17.8,18.7,18.1,20.7,17,18.3,20.8,NA,18.7,16.6,19.5,23,20,17.9,19.6,NA,22.2,23
2030,20.8,28.6,14.4,18.1,18,19.5,17.5,16.1,17.3,NA,19.5,17.7,20.5,25.3,17.7,16.5,17.8,NA,19.1,28.6
2031,21.4,28.1,11,19.2,17.7,21.6,20.8,15.1,16.9,NA,19.4,17.6,21.1,21.2,17.5,17.9,21.2,NA,20.7,28.1
2032,20.6,23.8,13.4,20.8,19.5,22,20.2,14.9,19.9,NA,18.8,17.2,18.8,23.6,19.3,16.7,17.1,NA,19.9,23.8
2033,21.5,26.5,9.5,22.3,18.7,19.9,23.6,14.1,21.3,NA,21.1,18.9,19.5,21.6,22,17.3,16.8,NA,18.8,26.5
2034,20.3,26.5,17.8,18.8,19.2,20.7,19.1,16,21.4,NA,22.4,18.3,16.5,22.1,19.2,16.3,18.9,NA,19.7,26.5
2035,21.8,27.5,15.2,21,18.3,18.9,19.2,13.6,18.1,NA,18.7,18.1,19.5,23.7,18.6,17.6,19.7,NA,22.4,27.5
2036,22.3,21.8,16.4,20,18.6,20.2,16.6,17.2,23.1,NA,19.5,16.1,19,24.7,21.1,19,21.1,NA,18.7,24.7
2037,21.7,24.8,15.2,19,21.7,18.7,14.4,16.3,17.6,NA,20,16.6,18.5,24,19.5,17.6,18.7,NA,17.4,24.8
2038,22.5,20.4,13.8,21,17.9,21.1,17.9,17.4,27.5,NA,21.9,17.3,19.7,24.2,18.4,16.3,18.7,NA,19.9,27.5
2039,22.8,23.4,14,19.8,18.5,21.8,18.4,16.2,16.4,NA,19.7,18.3,19.8,23.6,19.6,17.1,19.5,NA,18.7,23.6
2040,23.2,24.2,13.1,19.2,19.3,18.8,21.4,16,23.8,NA,19.9,17.6,19.2,22.3,19,18.4,19.6,NA,20.7,24.2
2041,23.7,23.2,15.2,21.3,19.1,19.6,16.8,17.2,20,NA,19.9,19.3,19.3,22.5,19.4,16.9,18.7,NA,24,24
2042,22,25.6,16.3,22.6,18.6,21.9,18.7,19.2,21.5,NA,20.3,18,20.6,23.2,20,19.3,19.4,NA,21.7,25.6
2043,22.3,22.5,17.4,21.7,19,19.5,20.8,13.2,21.4,NA,19.6,18.2,16.8,26.6,21.3,18,18.7,NA,20.7,26.6
2044,23.1,22.7,11.6,21.6,18.9,20.4,20,14.6,20,NA,20,20.1,18.5,24,19.2,17.4,17.6,NA,22,24
2045,21.9,23.9,14.9,20.2,19.1,19.7,24.9,16.4,21.9,NA,21.2,17.3,20.6,27.1,18.3,18.1,19,NA,21.6,27.1
2046,22.3,23.5,16.1,20.5,19.4,22,17.8,16.2,23.1,NA,18.4,18.4,18.1,24.8,17.1,17.9,18.4,NA,21.4,24.8
2047,21.1,20,16.4,21.9,17.8,20,18,18.3,25.8,NA,21.6,17.7,17.7,21.8,20.7,20.4,18,NA,21.3,25.8
2048,22.7,19.8,12.7,20.2,18.2,22.1,18.8,15.4,21.7,NA,22.3,19.4,20.3,23.7,19.8,17.1,18.7,NA,21,23.7
2049,24.4,26.1,10.1,21.8,18.8,23.3,18.8,14.2,23.5,NA,22.4,18.4,18.5,24.1,18.7,17.3,19.7,NA,23.5,26.1
2050,24.8,21,16.3,20.7,17.2,21.7,18.6,13,23.7,NA,21.3,19.5,19.2,25.2,19.9,17.7,18.6,NA,21.4,25.2
2051,25.2,22.5,14.3,22.5,19.4,21,20,17,22.1,NA,20.5,20.7,19.2,28.7,19.5,16.7,20.1,NA,23.8,28.7
2052,24.5,29.1,21.4,20.1,19.5,21.8,20.1,12.3,20.8,NA,20.3,19.9,21.2,23.3,20.1,18.2,18.2,NA,18.6,29.1
2053,23.4,23,11.4,24.2,19.7,20.3,19.1,15.3,20.8,NA,21.1,18.4,20.3,23.9,18.2,19.4,20.4,NA,21.9,24.2
2054,23.2,25.6,20.7,23.3,18.2,21.3,19.3,17.5,19.9,NA,21.3,20.4,20.3,25.1,18.7,15.9,19,NA,20.3,25.6
2055,23.2,25.6,18.7,21.4,20,19.3,20,14.1,26.9,NA,19.5,17.9,21.8,21.7,18.7,18.7,18.6,NA,22.1,26.9
2056,23.1,26,18.8,20.7,19.7,20.5,21.2,18.2,21,NA,21.6,19,17.4,25.1,19.4,19.1,18.8,NA,22.8,26
2057,22.3,26,17.4,20.4,20.2,19.3,20.2,14.8,22.5,NA,21.5,19.5,16.7,25.4,19.8,17.9,20.9,NA,23.4,26
2058,22.4,24.3,17.4,22.2,21.6,19.9,23.3,16.8,17.4,NA,22,19.8,19.8,27.6,21.6,19.3,18.2,NA,22,27.6
2059,25.3,25.2,17.2,21.1,21.3,22.4,16.9,16.4,18.8,NA,19,17.8,18.7,23.5,18.9,18.1,21.4,NA,21.8,25.3
2060,27.2,26,14.4,23.1,19.1,20.7,20.8,15.2,24.3,NA,20.2,19.3,19.9,24.5,19.8,17.8,17.8,NA,20.9,27.2
2061,27.1,22.3,21,25.3,21.1,19.3,21.7,17.2,22.2,NA,19.2,19.3,18.9,25.3,20.8,18.4,17.6,NA,22.9,27.1
2062,25.5,24.3,20.3,22.1,20.3,21.3,21.5,15.7,23.8,NA,19.2,22.4,18.7,23.6,20.9,17,21.1,NA,21.1,25.5
2063,26,23.9,15.3,20.3,19.3,20.1,19.5,16.1,24.4,NA,21.2,19.3,20.2,27.3,19.5,20.1,18.5,NA,21.7,27.3
2064,23.7,21,13.6,22.6,18.4,19.5,18.4,16.5,22.8,NA,20.8,19.3,20.8,24.9,18.9,17,19.2,NA,23.8,24.9
2065,24.3,22.8,21.3,23.8,22.1,23.8,20.5,16,20.9,NA,20,21.6,20,25.2,20.3,16.7,19.2,NA,23.9,25.2
2066,24,22,19.2,23.2,21.3,20.4,19.8,17,20,NA,21,20.2,21.3,23,20.9,20,19.2,NA,22.5,24
2067,25.8,22.8,11.7,22.1,20.7,21.8,18.7,15.4,21.8,NA,20.2,21,20.5,25.6,21.1,18.1,18.5,NA,21.1,25.8
2068,26.9,27.9,16.5,23.9,17.9,23.9,25.1,17.4,23,NA,22.2,19.6,18,20.9,22.2,20.3,18.9,NA,24,27.9
2069,24.2,23.5,22.1,21.7,19.2,19.7,22.4,16.7,21,NA,18.7,20.8,19.5,26.5,20.4,18.4,20.7,NA,22.3,26.5
2070,24.1,27,12.4,23.1,20.6,19.6,21.1,19.2,18.5,NA,22.1,20.3,17.5,26.8,19.8,18.6,19.6,NA,22.3,27
2071,23.4,27.1,17.9,22.6,20.5,23.9,24.8,15.8,20.5,NA,21.4,20.2,17.5,27,19.4,21.6,20.2,NA,21.8,27.1
2072,24.2,26.9,19.7,23,17.8,20.9,19.4,19.5,21.7,NA,21.2,20.3,20.7,24.2,23.7,19,20.5,NA,23.6,26.9
2073,25.6,27,14.7,22.9,19.5,21,20.2,18.3,23.8,NA,20.5,22.2,18,25.4,18.3,18.2,20.3,NA,25,27
2074,24.4,26.1,12.9,22.5,21.6,20.3,23.6,18.9,19.9,NA,19.3,23.2,20.6,29.4,21.5,19.3,22,NA,23.8,29.4
2075,25,26,18.7,22.4,22.8,21.6,20.4,14.5,24.2,NA,20.4,20.9,23.8,28.1,21.6,18.2,18.2,NA,24.9,28.1
2076,24.3,27.1,22.3,22.8,19.1,22.2,21,15.3,22.1,NA,21.4,20.3,21,22.9,19.6,18.9,19.6,NA,21.1,27.1
2077,29.2,29.8,15.3,24.2,20.1,21.1,21.1,19.2,22.4,NA,20.4,19.4,18.1,23.7,20.4,19.8,18.2,NA,24.3,29.8
2078,25.6,24.5,26.2,23.5,22.5,22.9,22.8,16.6,23.1,NA,20.2,22.4,20.6,27.7,20.4,19.5,22.1,NA,21.9,27.7
2079,24.6,26.9,15,25.3,21.1,22,21.9,16.5,22,NA,19.3,21.8,21.9,27.4,20.7,20.2,20.9,NA,22.9,27.4
2080,23.4,26.2,16.1,23.2,21,19.9,25.5,18,20.4,NA,22.3,18.5,20.7,25.2,20.3,19.2,19.2,NA,24.8,26.2
2081,25,24.5,19.1,23.2,21.3,21.6,19.9,17.2,22.6,NA,22.2,20.7,18.4,22.1,21,18.6,22.1,NA,23.7,25
2082,25,26.5,16,23.5,21.4,22.3,20.6,18.6,21.5,NA,22.5,23.1,24.4,27.6,19.8,18.1,20.1,NA,25,27.6
2083,26.9,22.9,14.4,23.6,20.4,21.4,20.9,17.6,20.2,NA,20.3,21.3,19.2,24.2,23.3,17.5,19.6,NA,26.7,26.9
2084,26.2,24.6,18.4,24.5,20.8,21.8,20.8,19.9,22.7,NA,22,21.1,22.5,26.2,19.5,21.2,19.2,NA,24.5,26.2
2085,24.5,22.9,18.3,24.3,22.9,22.8,21.8,17.4,24.3,NA,20.7,20.8,21.3,26.9,22,20.3,20.1,NA,22.8,26.9
2086,25.5,30.3,18.2,24.6,20.2,23.3,22.6,15.2,20.8,NA,22.4,21.5,20.8,23.6,22.7,19.5,20.3,NA,25.8,30.3
2087,25.1,27.8,17.6,26.1,22.8,22.6,20.9,18.4,22.6,NA,22.8,21.9,19.8,27.3,20.9,17.7,20.6,NA,27.8,27.8
2088,26.1,24.9,14.5,25,21.4,22,24.2,15.8,22.9,NA,21.4,23.1,20.2,27.3,19.5,19.9,22.2,NA,23.7,27.3
2089,26.1,26.1,13.2,25.1,22.9,22,22.6,18.7,22.9,NA,19.2,23.1,19.6,23.7,21,20.6,19.9,NA,27.4,27.4
2090,25.9,24.8,21.4,22.9,21.3,23.8,23.5,17.9,25.1,NA,20.8,24.4,19.2,23.7,21.5,18.6,20.6,NA,26,26
2091,24.6,23.5,22.9,25.6,22,23.6,22.3,15.6,21.2,NA,20.9,22.4,22,27.1,20.9,19.4,19.5,NA,25.7,27.1
2092,28.3,27.5,23.8,24.3,20.1,22.7,19.9,16.8,21.6,NA,22.4,23.3,19.1,26.3,20.9,17.9,19.6,NA,26.6,28.3
2093,27.6,22.1,19.9,23.5,24.3,23.2,20.4,21.2,27.8,NA,21.2,22.2,19.2,25.2,20.1,18.7,23.9,NA,23.7,27.8
2094,27.1,25.8,18.1,24.3,22.8,20.2,22,18.7,23.3,NA,21,21.3,18.6,25.2,22,21.4,21.5,NA,25.1,27.1
2095,27.6,27.8,18.8,24.3,21.3,25,21.1,19.5,22.6,NA,21.6,22.9,19.8,26.8,23,18.9,19.5,NA,23.9,27.8
2096,26.8,29.1,16.7,24.8,21.3,21.8,24,15.2,22.4,NA,21.8,20.3,20.6,25.8,21.6,21.2,22.4,NA,28.5,29.1
2097,27,28.7,20.3,26.7,23,23.4,24.1,17.7,20.9,NA,20.5,22.2,20.5,25.6,20.8,19.5,21.6,NA,24.9,28.7
2098,28.3,26.8,24.4,25,21.5,23.3,22.2,17,21.2,NA,21.7,24.3,20,26.8,23,19.6,19.4,NA,28.2,28.3
2099,27.1,19.4,23,27.1,23.3,23.2,23,17.5,21.9,NA,22.7,23.4,19.7,23.1,22,21.9,20.3,NA,29.2,29.2
2100,25.9,26.6,14.2,23.9,21.8,21.6,22.3,17.1,20.5,NA,20.5,22.4,22.4,27.4,23.2,20.2,23.1,NA,25.7,27.4
