"Year","ACCESS-ESM1-5","AWI-CM-1-1-MR","BCC-CSM2-MR","CanESM5","CNRM-CM6-1","CNRM-ESM2-1","EC-Earth3","GFDL-ESM4","GISS-E2-1-G","HadGEM3-GC31-LL","INM-CM5-0","IPSL-CM6A-LR","MIROC-ES2L","MIROC6","MPI-ESM1-2-HR","MPI-ESM1-2-LR","MRI-ESM2-0","NESM3","UKESM1-0-LL","ensemble"
2015,18.2,0,11.1,19.1,14.1,14.5,9.9,0.3,5.1,6.9,4.4,14,19.1,19.3,4.5,4,17.5,2.1,4.3,19.3
2016,15.3,0,7.5,13.3,11.7,20.7,10.3,3.8,2.4,12,0.7,7,20.7,25,0.4,8.7,9.1,1.5,7,25
2017,17.9,0,10.2,24.6,10.3,20.8,11.4,11.2,0.4,6.1,20.7,6.3,10.2,22,6.5,5.3,8.1,2,13.7,24.6
2018,18.8,0,12,24.3,25.2,14.1,15.8,0.4,1,6.5,25.7,13.6,15,22.6,1.3,7.9,9.2,8.9,8.4,25.7
2019,21.5,0,15.1,25.2,16,24.8,12.4,4,1.8,7,10.8,6.8,9.5,17.9,2.8,6.5,17,2,9.1,25.2
2020,19.2,0,9,17.8,13.4,15.8,8.6,9.5,4,6.4,14.1,14.9,21.6,26.6,5.1,8.7,18.8,3.1,7.7,26.6
2021,16.2,0,12.4,22.6,21.6,13.9,15.3,6,1.6,7.3,17.7,12.5,8.5,13.5,9.3,8.7,13.5,4.3,8.3,22.6
2022,15,0,6.6,16.9,12.9,23.4,10.4,2,2,12.7,7.4,11.4,13.9,10.2,9,6.5,26.8,5.1,12.6,26.8
2023,23,0,8.1,15.1,18.2,20.8,14.1,0.3,2,9.2,16.7,16.5,36.7,12.2,9.8,8.3,20.2,1,10.1,36.7
2024,17.7,0.1,3.3,13.6,20,19.1,11.7,1,0.5,9.6,13.1,10.2,26,35.5,11.5,6.2,3.4,12.6,13.9,35.5
2025,18.6,0,10.7,30.2,13,12.5,14,8.5,3.4,4.8,11.8,11.3,27.6,35.7,2.9,5.2,10.4,1,11.5,35.7
2026,19.7,0.1,6,22.2,14.9,18,19.1,8.5,0.3,8,19.3,14.7,10.9,10,1.3,5.4,20.4,9.1,8.3,22.2
2027,19,0,3.8,20.6,17.5,17.2,13.1,4.9,2.2,8.3,8.5,16.8,15.3,33.3,4.9,11.7,25.9,8.9,14.9,33.3
2028,20.7,0.1,4.9,12.8,16.1,20.8,13.9,5.9,5,10.9,9.7,19.3,34.9,35.9,6.9,3.5,21.7,4.7,14.1,35.9
2029,22.4,0.4,4.9,24,20.5,19.6,12.7,6.9,2.1,5.4,13.5,12.5,32,27.2,1.6,9.2,8.1,3.6,10.3,32
2030,18.2,0,7.8,25.5,12.7,19.2,11.7,14.2,0.6,6.8,11.7,16.5,4.7,25.2,1.9,4.3,14.6,2.1,11.2,25.5
2031,17.8,0,3.6,19.6,17.2,17.2,13.1,5.6,0.6,10.2,9.2,15.2,10.1,28.8,4.7,11.5,16.7,3.7,12.8,28.8
2032,17.1,0,9.9,24.3,10.9,17.6,13,0.7,2.1,5,8.2,6.3,20.4,27.9,5.8,11.5,11.3,3,10.9,27.9
2033,23.4,0,14.8,26.4,19.2,15.3,14.1,11.1,2.7,10.2,14.7,18.1,28.3,28.4,6.2,4.3,14.6,4.7,15.5,28.4
2034,19.9,0,13,25.7,20,12.7,15.9,4.2,1.5,10.4,4.1,19.9,25,29.6,6.6,6.6,5.9,12.9,10.6,29.6
2035,18.7,0,10.9,23.9,14.1,23.3,14,1.3,0.7,9.6,12.9,16.9,15.5,45,4.4,10.1,18.7,15.6,13.1,45
2036,19,0.2,10.7,32.1,17.6,22,14.4,5.6,1.8,6.7,17.4,14.3,3.3,32.6,3.8,8,19.6,3.7,10.1,32.6
2037,22.5,1.2,7.5,25.7,18.3,16.5,15.8,15.2,4,10.8,12.7,18.1,29.1,20.4,9.6,7.9,17,2.5,13.9,29.1
2038,27,0,6,24.6,18.1,22.4,17.1,3.7,2.5,11.2,5.9,29.4,34.6,29,7,10.4,11,1.8,11.5,34.6
2039,24.4,0.9,4.9,22,16.2,23.3,16.8,1.2,2.6,9.3,24.3,11.6,10.7,29.5,11.5,11.5,11.6,1.6,11.5,29.5
2040,19.3,0,7.3,23.2,13.6,25,13,3,5.4,10,27.2,23.3,10.5,29.1,4.8,10.8,21.8,10.1,9.8,29.1
2041,24.4,0,11.8,28.8,24.1,26.7,20.9,9.4,3.4,5.4,6,13.4,5,26.8,12.4,11.3,27.1,5.5,14.4,28.8
2042,23.9,0,21.1,15.5,21.2,27.7,10.6,13.5,4.6,12.8,9.5,21.8,16.8,21.6,3.1,7.7,24.8,16.7,17.6,27.7
