"Year","ACCESS-ESM1-5","AWI-CM-1-1-MR","BCC-CSM2-MR","CanESM5","CNRM-CM6-1","CNRM-ESM2-1","EC-Earth3","GFDL-ESM4","GISS-E2-1-G","HadGEM3-GC31-LL","INM-CM5-0","IPSL-CM6A-LR","MIROC-ES2L","MIROC6","MPI-ESM1-2-HR","MPI-ESM1-2-LR","MRI-ESM2-0","NESM3","UKESM1-0-LL","ensemble"
2015,429.8,201.1,393.8,359.1,504.6,436,300.6,270.4,317,322.4,343.4,469.3,273.5,458.9,282.8,393.9,329.7,398.1,383.2,504.6
2016,395.8,345.6,331.8,309.4,415.2,376.1,316.5,266.8,279.9,293.1,349,459.7,258.6,390.9,423.6,384.9,377.7,368.1,366.7,459.7
2017,347.3,257.6,342.6,350.6,482.3,420.1,338,299,305.4,203.9,247.6,416.4,250.5,392.2,392.4,413.8,295.9,373.1,374,482.3
2018,387.7,193.3,208,356.3,476.1,409.7,325.6,341.3,414.6,240.7,284.1,495,206.4,352,305.6,441.1,326.8,311.2,385.8,495
2019,425.9,255.1,361.9,306.2,487.5,421.2,365.3,303,285.6,280.7,316.5,562.2,247.1,339.1,362.6,477.2,219.2,354.3,345.3,562.2
2020,439.8,238.5,249.9,366.4,558.1,433.3,311.6,228.4,264.7,328.6,246,502.1,331,269.8,380.9,365.4,281.3,512.9,326.1,558.1
2021,362.1,400.4,249.2,316.4,438,519.7,383.7,243.3,356.8,252.3,220.1,463.5,231,277.1,318,395.2,349.2,302.5,323.1,519.7
2022,376.7,219.3,297.9,396.6,423.9,465.3,417.5,244.5,309,327.8,242.7,385.6,238.3,406.5,401.1,382.2,249.5,426.3,331.3,465.3
2023,382.3,206.8,280.1,335.7,415.9,425.6,347.3,334.5,254.5,188.7,245.7,482.1,188.6,336.6,317,380.9,350.9,342.1,389,482.1
2024,412.3,179,334.2,356.3,421.2,450.9,341.1,318.8,239.5,407.3,213.6,554.5,220.4,328.2,407.1,374.4,321.7,419.5,301.9,554.5
2025,392.2,294.1,328.8,324.7,421.8,385.1,336.4,350.5,343.4,282.5,183.7,447.5,297.9,361.5,298.7,390.6,341,346.7,372.8,447.5
2026,376.6,261.1,324.4,290.6,474.8,442.1,356.8,349.7,356.8,140.3,279.2,527.5,283,357,333.5,332.7,302.5,403.1,326,527.5
2027,405.5,320.3,278.7,327.1,434.8,490.6,345.8,263.5,311.7,187.4,236.2,500.3,237,352.4,358.7,402.7,363.3,494.3,299.8,500.3
2028,407,441.6,247.6,382,507.5,434.7,390.2,266.2,299.7,293.2,230.9,394,176.3,397.4,291.3,392,347.7,359.6,411.7,507.5
2029,416.6,264.3,273.1,357.9,507.6,519.6,282.6,310.7,317.1,361.9,260.4,555.9,298.9,298.5,339.6,375.5,343.4,404.3,340.9,555.9
2030,434.2,166.4,303.6,391.1,453.3,548.8,308.5,344.9,315.2,196,281.8,461,298.1,368.2,431.4,378.3,378.3,379.3,344.9,548.8
2031,402.8,313.6,284.8,369.9,575.7,427.7,364.3,364,360.2,330.4,290.2,415.1,358,348.1,357.7,393,282.9,460,337.3,575.7
2032,411.7,304,349.5,407.3,461.5,475.9,324.1,311.1,373.1,251,203.9,512.3,275.7,363.9,309.4,316.4,414.1,403.9,279.6,512.3
