"Year","ACCESS-ESM1-5","AWI-CM-1-1-MR","BCC-CSM2-MR","CanESM5","CNRM-CM6-1","CNRM-ESM2-1","EC-Earth3","GFDL-ESM4","GISS-E2-1-G","HadGEM3-GC31-LL","INM-CM5-0","IPSL-CM6A-LR","MIROC-ES2L","MIROC6","MPI-ESM1-2-HR","MPI-ESM1-2-LR","MRI-ESM2-0","NESM3","UKESM1-0-LL","ensemble"
2015,409.3,311.4,256.5,335.9,434.7,341.4,410.4,271.9,254.9,292.3,190.7,348.3,150.1,311.1,487.1,295,317,488.6,325.6,488.6
2016,405.5,436.7,326.3,282.3,502.1,316.7,356.7,222.5,306.3,365.3,360,385.1,177.1,185.4,547,386.9,331.6,344.9,461.5,547
2017,426.1,23.5,317.3,298.9,399.6,505.8,369.8,295.5,332.2,435.7,238.5,357.4,199,285.5,354.1,321.7,236.8,253.3,341.3,505.8
2018,493.4,275.7,89,315.7,357.9,498.9,339.4,235.4,250.3,334.6,180.9,330.6,60,205.1,273.1,318.8,392,244.2,427.3,498.9
2019,546.9,349.2,118.1,304.1,415.2,376.7,279.6,318.1,215,288.9,190.2,533.9,180.1,207.4,328.8,308.1,389.3,304,302.6,546.9
2020,469.4,189.5,334,296.4,409,398.8,341,252.2,273,286.9,260.1,478.1,257.1,227.3,411.2,319.8,186.8,399.1,329.9,478.1
2021,468.6,292,323.7,323.5,310.8,482.7,252.5,419.3,297.1,254.8,139.4,479.9,297.6,351.7,306.5,322.8,360.7,261.5,328.3,482.7
2022,414.9,418.2,324.5,237.9,381.7,418.6,332.5,235.6,192.3,237.5,281.9,508.6,151.8,233.6,597,376.6,279.4,164.9,372.6,597
2023,462.3,225.6,128.6,282.7,483.5,386.1,327.3,427.9,249.2,333.1,209.4,503.2,149.1,261.4,448.4,382.3,394.9,242.1,327.1,503.2
2024,463.7,406.3,162.8,349.2,402.5,396.3,306,285.7,180.3,208.9,183.7,479.8,174.2,268.1,290.1,383.2,261.3,325.8,446.7,479.8
2025,495.2,218.8,94,341.2,365.2,504.2,348.5,299,253.1,302.4,257.6,439.3,157.2,238,344.7,309.9,315.1,221.6,302,504.2
2026,435.4,181,155.1,380.8,440.9,452.5,361.3,267,229.3,231.6,189.7,317,107.9,294.7,415.1,387.4,95.7,269.6,390.9,452.5
2027,532.4,405.7,167.3,336.1,389.8,491.6,217,471.6,350.7,190.6,307,312.1,185.3,274.1,241.9,325.6,424.4,454,374.7,532.4
2028,384.2,418.4,187.1,320.9,469.1,429.6,333.3,428.7,150.8,318.2,172.8,344.7,219.2,163.3,113,363.2,311.2,295.5,432.8,469.1
2029,553.9,109.7,263.6,329.6,448.2,391.2,428.6,372.2,239.1,219.2,281.5,495.8,268.6,321.5,411.4,407.6,304.5,385.2,264.1,553.9
2030,452.9,463.6,185,305.5,455,389.6,301.2,298.2,273.5,310.5,210.1,381.2,248.6,354.8,287.4,353.7,291.9,470.7,313.8,470.7
2031,480.4,560.1,269.1,313.1,394.3,440.8,348.6,296.8,246.2,291.4,180.5,509.8,302.9,237.5,358.1,397.4,157.1,331.6,345.7,560.1
2032,443.4,155.4,187.7,315,449.1,453.1,477.3,329,212.6,322.2,275.9,337.7,143.4,263.4,384.8,328.9,494.3,164.2,329.7,494.3
2033,454.1,378.1,243.3,322.7,387.7,486.6,507.3,253.4,258.2,262.6,70.3,358.6,129.3,233.2,206.9,374.1,423.6,254.8,435.9,507.3
2034,503.7,453.5,196.3,386.6,402.6,374.7,455.1,348.8,245.4,226.3,338.4,308.3,221.4,290.5,341.4,412.8,317,379.5,463.6,503.7
