"Year","ACCESS-ESM1-5","AWI-CM-1-1-MR","BCC-CSM2-MR","CanESM5","CNRM-CM6-1","CNRM-ESM2-1","EC-Earth3","GFDL-ESM4","GISS-E2-1-G","HadGEM3-GC31-LL","INM-CM5-0","IPSL-CM6A-LR","MIROC-ES2L","MIROC6","MPI-ESM1-2-HR","MPI-ESM1-2-LR","MRI-ESM2-0","NESM3","UKESM1-0-LL","ensemble"
2015,3,-11.7,-6.9,0.8,0.8,2.2,-0.5,-2.3,-1.9,-0.7,0.3,3,2.1,3.9,-0.8,-1.7,0.8,0.7,2.5,3.9
2016,3.2,-13.8,-8.5,3.3,0.8,2.3,-2,-4.8,-3.3,-0.4,2.3,2.4,4.4,4.3,-2.8,0.2,3.3,1,1.3,4.4
2017,2.9,-17.4,-5.8,1.4,0.7,2,-1.5,-2,-2.2,-2.2,2.5,2,2.7,4.8,-2.8,-1.4,-1.7,1.9,-1.4,4.8
2018,1.9,-23.6,-2.5,3.3,1,1.9,-0.6,-3,-0.8,0,2.6,2.9,2.4,3.4,-1.9,-2.5,2.8,3.2,-0.4,3.4
2019,4,-11.5,-2.5,3.2,1.1,1.7,-2,-1.1,-3.1,2.5,1.7,2.9,5,2.2,-2.8,-1.1,1.1,1,1.7,5
2020,3.2,-12.8,-1.4,1.7,0.8,0.3,-0.8,-1.8,-2.6,0.2,3.3,-1.5,-0.7,3.5,-6.8,-1.5,-2.9,1,1.1,3.5
2021,3.3,-20.4,-3.9,2.5,2.8,1.4,-0.7,-5.9,-0.6,-0.5,3.7,2.8,1.1,4.2,-4.5,0.7,0.5,-1.8,0,4.2
2022,4.9,-17.6,-2.4,1.9,2.4,2.2,-0.8,-1.1,-3.5,1.4,2.7,1.2,0.8,3.8,-3.5,-3.2,0,-4.8,1.1,4.9
2023,4.3,-9.4,0.5,1.7,1.5,1.7,-1.9,-6.4,-2.8,1,3.2,0.5,4.3,3.6,-3.3,-2.4,-3.1,2,2,4.3
2024,3,-4.9,1.8,2.3,2.6,3.5,-1.4,-3.8,-2.8,0.3,3.1,3.6,4,3.2,2.7,-3.4,2.4,-1.9,0.8,4
2025,3.7,-13.4,-3.3,4.1,2.4,1.8,-0.4,0.6,-3.4,2.1,1.9,3.8,0.7,3.4,-1.4,-1.8,-1,2.5,0.5,4.1
2026,3.4,-17.4,1.6,2.2,2,3.6,0.9,-3.9,-3.4,3,4.4,3.3,3,3.6,-2.5,-2.3,0.4,-1.7,1,4.4
2027,3,-8.4,-2.8,3.1,1.2,2.6,-0.5,-0.4,-1,3.3,3.1,0,3.7,4.9,0.1,2.9,-2.1,-1.6,0.2,4.9
2028,2.6,-8.5,-0.8,3,1.9,2.5,0.9,-0.9,-0.4,1.8,4.4,-0.3,5.9,2.4,0.8,-1.1,-2.7,2.6,3.7,5.9
2029,4.5,-14.8,2.3,2,3.2,1.4,-0.4,-2.9,-0.8,0.5,2,1.2,4,4.1,0.9,-1.9,2.3,2.4,0.7,4.5
2030,3.5,-9.7,0.9,3.8,2,5.2,0,-2.2,-2.8,2.9,-1.7,3.8,3.6,4.6,-4.2,-2.7,0.6,0.8,2.1,5.2
2031,3.8,-11.5,-1.8,4.4,1.6,1.3,-1.2,1.1,-1.5,2.2,2.8,4.9,6.1,5,-1.9,0.7,-0.9,0.6,2.5,6.1
2032,3.5,-12.7,-2.7,3.5,1.3,3.1,-1.6,-2.4,-2.9,0,1.7,1,1.1,3.9,-2.4,-0.4,-1.2,0.7,1.8,3.9
2033,3.3,-16.9,-1.5,3.1,2.1,2.6,-0.2,-2.4,-1.3,2.5,1.3,1.4,4.3,3.8,-2.9,-2.7,3,1.6,1.5,4.3
2034,4.2,-8.2,-0.9,4.1,2.3,2.8,-0.2,-2.7,-2.6,0.5,4,3.6,3.7,4.1,-5.2,0.5,2.1,2.3,2.1,4.2
2035,3.5,-11.2,-1,4.3,1.6,3.5,0.3,-3.3,-3.4,4.5,2.8,5,5,2.6,-2.1,-3.5,-0.1,1,1.4,5
2036,4.1,-15,-6.3,4.2,2.5,2.1,-0.7,-3.1,-3.7,0.9,2.6,3.3,3.8,4.7,-1.3,-1,-0.1,2,2.2,4.7
2037,4.1,-9.6,-3.8,3.1,3.3,4.2,-0.1,-0.5,-2.3,1.3,3.8,2.5,5.1,5.1,-2.8,-0.7,2.8,1,5.4,5.4
2038,4.3,-6.5,-4.1,3.7,3.4,2.9,-0.5,-1.5,-3,3,4.1,2.8,2.6,4.2,-4.1,1.9,0.7,2.7,2.5,4.3
2039,5.3,-17,-0.9,4.5,4.1,4.7,-0.3,-3.5,-4,2.2,4.3,0.1,4.3,3.4,-4.8,0.5,-0.2,0.8,2.4,5.3
2040,4.7,-14.9,-1.2,4.9,1.6,3.9,0.9,1,-1.3,1.1,4.1,3.1,3.5,4.2,-1.2,0.2,0.1,2.7,0.9,4.9
2041,4.7,-10.4,1.3,4.3,3.3,4.7,0,-2.7,-1.5,4.1,3.3,2.8,2.6,6.4,-5.8,0.6,1.3,1.2,1.8,6.4
2042,5.1,-11.7,-2.1,4.3,2.3,3.7,0.4,-0.9,-1.8,3.4,3.3,0.6,4.8,4.1,-2.1,-0.5,2.7,2.3,1.9,5.1
2043,3.5,-11.4,1.5,3.8,3.5,2.6,0.3,-2.5,-3.3,2.8,-0.6,2.8,5.3,4.9,-4.8,-3.8,3.5,3.6,2.4,5.3
2044,4.2,-15,-2.2,4.8,2.9,3.3,0.3,-2.1,-2.2,2.9,-0.5,3.3,5.5,3.8,-4.4,0.1,3.5,-1.4,3.2,5.5
2045,3.5,-7.4,-1.5,2.6,3.4,3.3,-1.4,-1.6,-2.7,3.6,2.7,2.2,5.7,5.9,0.9,-1.6,3.1,1.4,4.4,5.9
2046,4.8,-9.6,1,3.9,4.2,3.6,0.2,-4.8,-1.7,3.2,3.8,4.4,3.1,5,1.2,0.1,2.2,5.1,3.7,5.1
2047,5.1,-11.6,-2.8,5.5,2.2,3.1,0.9,-1.2,-0.9,-0.3,4.6,3.4,5.7,6,1.6,-1.6,1.1,1.6,4.2,6
