"Year","ACCESS-ESM1-5","AWI-CM-1-1-MR","BCC-CSM2-MR","CanESM5","CNRM-CM6-1","CNRM-ESM2-1","EC-Earth3","GFDL-ESM4","GISS-E2-1-G","HadGEM3-GC31-LL","INM-CM5-0","IPSL-CM6A-LR","MIROC-ES2L","MIROC6","MPI-ESM1-2-HR","MPI-ESM1-2-LR","MRI-ESM2-0","NESM3","UKESM1-0-LL","ensemble"
2015,706.3,475.7,220.5,286.7,628.5,346.2,520.6,428.2,554.8,539.4,173.6,773.9,253.2,443.7,651.5,628,200.3,704.9,694.7,773.9
2016,688.6,361.5,409.4,433.4,624.8,803.7,453.2,186,431.2,290.7,139.4,432.8,380.7,429.5,676.1,572,432.3,494.6,679.6,803.7
2017,741.2,561.2,238.1,465.9,499.4,498.4,602.7,280.9,465.8,459.3,376.6,436.2,105.8,467.8,485.6,586,712.7,414.4,628.7,741.2
2018,863.4,513.7,289.7,394,578.1,530.2,419.1,399.3,450.3,449.6,163.3,452.3,187.4,446.7,522.8,562.5,454.5,279.4,515.2,863.4
2019,683.1,588.6,705.9,618.7,755.8,475.5,480.3,277.4,437.3,616.1,238.7,462.4,123.8,415,622.6,626.5,524.5,454.1,837.9,837.9
2020,725.1,367.5,369.4,431.7,685.2,502.7,470.7,520.8,562.5,561.4,235,493.3,227.6,421.7,480.4,488.6,577.5,562.3,778.5,778.5
2021,713.8,728.6,355.4,553.1,776,539.8,503.3,407.6,419.4,568.7,148.1,540.5,216.1,476.3,427.8,577,482.3,418.8,823.5,823.5
2022,562.3,491.8,312.8,514.5,561.7,681,475.4,350.5,661,274.8,260.6,559.1,291.7,544.5,577.8,587.4,722.6,538.6,984.6,984.6
2023,615.8,387.5,285.6,418.1,641.6,593.9,580.3,502.4,442.6,417,208.1,578.1,241.8,401.3,469.9,468,474.3,688.4,606.7,688.4
2024,863.3,353.1,641.6,394.5,619.9,608.2,759.7,491.5,552.3,504.1,236.5,464.9,262,419.4,620.9,653.9,714.6,332.6,900.8,900.8
2025,810.8,661.7,215.1,434.3,485.3,558.8,546.5,258.4,327.2,438.6,118.9,563.7,115.6,430.9,522.6,586.5,436.2,614.5,668.5,810.8
2026,551,267.7,438.3,445.6,522.9,471.1,539.5,369.2,573.2,440,233.2,627.4,154.5,438.8,774.3,677.7,328.6,466.9,737.1,774.3
2027,489.4,516.8,495.7,516.5,457,521.4,623.8,424.3,557.3,426,303.5,405.6,337.1,503.3,646,560,700,347.4,724,724
2028,682.8,625.4,458.4,512.4,680,430.5,600.1,351.5,534.7,718.5,172.6,596.2,199.7,381.5,423.7,586.2,563.9,323.6,656.9,718.5
2029,770.6,624.2,394.9,458.9,530.7,581,662,561.1,479.6,390.3,201,457.1,260.4,472.5,296.8,628.1,278.9,569.7,687.5,770.6
2030,566.2,446.9,440.1,421.5,524.9,423.6,598,192.8,514,771.2,433.3,717,269.5,495.2,746.2,586.7,496.3,512.7,797.7,797.7
2031,798.1,702.3,379.5,454.8,813.8,641.9,608.7,434.8,428.5,720,199.6,614.2,281.4,384.7,350.7,651.7,531.3,482.9,938.3,938.3
2032,948.8,721.6,229.9,362.8,663.9,512.7,491.5,587.4,486,738.1,186.5,559.5,109.1,517.9,578.5,563.4,116.1,642.5,666.8,948.8
2033,831.2,429.7,291.1,471,592.7,720.5,667.5,638.5,435.2,709.8,271.3,444.2,205.5,402.5,469.2,634.6,583.1,391.9,532.4,831.2
2034,613.3,480.2,315.6,467.6,422.3,578.7,430.3,436.4,527.4,706.1,252.7,466.3,226.9,461.3,559,603,399.8,757.4,738.1,757.4
2035,738,559.9,309.6,482.7,534.1,656.3,533,409.2,595.5,738.5,107.1,547.9,193.7,331.1,316,489.5,458.9,401.4,810.6,810.6
2036,749.4,359.9,249,524.3,712.8,683.2,520.2,436.2,473.3,278.8,181,387.7,179.7,506.5,332.1,521.2,286.6,575.6,799.6,799.6
2037,751.5,422.3,481.9,519.4,532,594,718.9,582.2,515.5,327.7,133.3,329.4,183.8,440.7,587.2,640.3,758.3,688,645.9,758.3
2038,782.5,364.4,328.5,477.8,828.4,645.2,487.8,494,550.9,646.6,218.3,526.9,183.1,388.9,484.1,599.6,643.1,551,698.9,828.4
2039,642.4,575.6,774.9,462.7,520.2,529.3,437.6,334.1,476.8,468.2,313.5,324.7,102.8,432.9,341.1,529.3,318.9,240.8,796,796
2040,716,445,387.7,393.9,573.2,747.6,564.4,513.6,600.5,481.3,271,565.5,320.2,391.6,548.4,666.1,708.6,331,717.9,747.6
2041,840.5,935.5,593.8,337.6,573,827.6,792.3,448.9,447.1,249.4,218.6,453.2,174.5,362.6,391.4,559.3,424.4,533.1,701.5,935.5
2042,707.3,929.6,390.7,379.8,524.7,371.9,634.5,406.4,489,303.1,234,467.1,246.3,457.2,507.7,561.9,653.8,443.2,802.5,929.6
2043,829.5,680.4,588.8,443.2,469.3,522.3,597.5,284.5,375.4,445.2,160.3,274.8,298.5,415.1,472.9,590,442.5,578.5,651.3,829.5
2044,708.4,208,368.9,463.1,642.4,627.5,638.9,161.1,472.1,457.4,169,590.5,189.4,406,562.5,536.5,287.9,630.6,682.8,708.4
2045,793.1,675.9,652.6,395,628.4,630.2,441.7,400.9,491.8,290.4,229.5,604.5,172.1,540.2,355.7,562.6,156.8,473.7,579.1,793.1
2046,781.5,787,531.6,523.1,631.5,697.1,535.7,655.3,645.7,611.5,159.5,409.1,84,362.8,356.2,509.4,679.5,536.6,923.1,923.1
2047,836.2,621.4,418.6,445,673.8,611.1,578.5,437.1,528.3,369.5,214,820.9,302.2,447.3,409,629,738.5,394.7,768.1,836.2
2048,633,412,245.2,408.4,685.6,425.5,658.2,427.4,594.3,612.4,87.1,532.3,168,432,462.8,529.3,479.4,424.9,1031.1,1031.1
2049,810,507.7,360.1,421,639.4,336.6,711.4,515.4,490.9,486,224.7,569,265,398,670.6,553.4,319,546.3,776.6,810
2050,722.4,680,367.2,512.2,711.7,630.9,668.1,395.2,569.8,369.5,197.2,575.1,291.7,379.2,512.8,633,312.3,699.8,770.7,770.7
2051,679,690,292.4,451.1,759.4,710.1,519.8,335.8,528.8,471.8,200.8,317,327.6,528.6,372.2,598.7,452.2,548.6,704.2,759.4
2052,789.7,511.9,508.7,436,834.7,704.5,396.9,666.6,492.5,561.3,194,517.1,179.8,403.6,647.2,481.4,471.5,527.7,644.4,834.7
2053,814.3,420.2,316.6,568.1,669,503.9,536.8,300.3,566.4,635.5,237.1,322.6,447.7,334.9,373.8,651.4,620,713,575.2,814.3
2054,612.3,458.6,307.6,476.3,640.7,746.6,447.5,428.8,564.3,478.1,237.9,324.2,208.4,401.7,359.7,695.9,625.6,460.9,470.6,746.6
2055,882.8,768.9,327.7,411,471.2,763.4,591.1,401.5,494.2,512.3,162.4,411.7,206.2,445.2,404.5,543.1,499.9,354,540.9,882.8
2056,749.2,658.7,223.1,416.2,590.3,639.2,554.3,348.4,492.3,648.6,249,437,304.7,486,696.3,662.9,694.6,349.8,828.7,828.7
2057,751.5,434.6,760.2,405.1,462.3,665.9,552.9,324.4,522.8,428.6,226.3,528.9,281.3,419.7,428.4,623.4,524.2,368.1,1208.1,1208.1
2058,773.8,458.8,352.6,414.6,647.7,586.2,570.8,227.3,566.3,654.8,189.5,549.5,212.3,463.2,399.5,530.8,583,321.3,561.5,773.8
2059,836,657.3,248.3,405.9,540.1,573.2,741.6,491.4,542.7,533.3,249.6,628,303.6,375.1,422.6,520.9,391.1,512.1,706,836
2060,888.4,800,384.3,416.4,727.7,584.1,729.3,537.2,506.9,778.6,100,545.7,354,421.2,546.9,528.2,490.8,564.8,517.3,888.4
2061,895.5,204,460.4,410.3,578.2,685.8,372.6,159.8,544.8,396.9,114.1,644.5,115.7,550.9,567.3,555,620,567.2,782.5,895.5
2062,649.5,713.7,516,407.9,551.5,606.3,610.3,315.7,428.2,183.8,194.4,333.7,290.9,473.7,709,672.1,499.3,526.8,729.9,729.9
2063,900.3,243.2,207.4,437.1,637.4,636.1,574.9,367.3,635.1,708.9,76.2,461.4,221.5,392.8,595.9,416.5,309.4,416.5,666.3,900.3
2064,838.4,573,556.3,416.8,516.2,825,520.1,165.5,592.3,335.7,276,671.1,203.3,547.9,638.4,615.7,381,476.9,772,838.4
2065,848.1,486,389.7,414.9,810.6,545.4,648.8,371.5,511.8,373.4,157.8,433.1,339.9,431.5,451.8,564.3,539.2,462.3,634.1,848.1
2066,905.2,382.3,296.2,364,587.4,822.2,702.1,445.2,490.2,441.6,306.2,527.7,218.2,347.1,291.2,534,410.8,476.5,863,905.2
2067,710.1,481.1,313.5,449.5,654.8,671.7,569.1,380.9,520.4,239.6,245.2,635,67.1,432.6,417.2,550.2,249.7,654,725.5,725.5
2068,812.2,630.8,504.7,522.5,642.6,433.3,567.7,469.8,535.2,521.9,186.7,378.3,194.5,419.9,664.2,575.4,465.7,573.4,692.9,812.2
2069,672.9,663.5,354.7,457.1,749.9,669.6,729.5,535.4,524,576.6,113.9,524.4,264,463.8,542.8,626.7,589.6,561.4,750.6,750.6
2070,880.1,607.1,509.1,410.8,587.3,678.7,607,393.3,402.6,263.3,101,510.5,139.8,373.2,362,659.8,458.9,419.9,558.4,880.1
2071,809,495.3,304.5,496.3,602.6,711.8,839,342.3,552.7,722.9,234.7,726.7,157.3,427.9,737,608.2,372.6,376.7,771,839
2072,659.6,424.2,283.1,466.2,503.5,546.9,569.6,402.6,396.1,489.5,142.5,461.7,254.6,567,470.4,489.4,437.6,361.6,640.4,659.6
2073,622.3,359.7,410.3,503.1,786.6,650.6,344.2,445.4,543.8,693.9,129.3,377.6,229.9,466.2,642.1,456.9,735.4,438.8,784,786.6
2074,671.2,811.7,267.8,557.7,611.5,487.5,378.5,532.3,531.6,792.8,231.7,457.6,217.8,397.8,599.6,476.2,365.3,427.9,649,811.7
2075,748.5,575.8,289.1,370.3,505.6,768.9,555,501.4,631.6,300.6,176.5,468.9,221.5,489.8,440.3,531.9,443.5,542.6,724.1,768.9
2076,772.9,554.7,527.4,498.1,585.5,637.8,619.2,623.5,485.9,532.9,258.9,455.3,301.4,457.9,596.1,617.9,575.4,515.9,822.1,822.1
