"Year","ACCESS-ESM1-5","AWI-CM-1-1-MR","BCC-CSM2-MR","CanESM5","CNRM-CM6-1","CNRM-ESM2-1","EC-Earth3","GFDL-ESM4","GISS-E2-1-G","HadGEM3-GC31-LL","INM-CM5-0","IPSL-CM6A-LR","MIROC-ES2L","MIROC6","MPI-ESM1-2-HR","MPI-ESM1-2-LR","MRI-ESM2-0","NESM3","UKESM1-0-LL","ensemble"
2015,407.4,303.8,204.8,354.5,448.4,461.9,387.3,191.1,224.6,NA,297.4,414.4,258.5,252.4,438.5,416,513.9,NA,551.8,551.8
2016,408.6,164.5,140.1,275.3,533.4,530.4,412.8,230.7,315.5,NA,345.6,682.2,398.7,275.5,604.2,365.6,459.3,NA,521.4,682.2
2017,447.7,254.1,363.7,302.4,535.5,573.6,468,366.5,220.5,NA,333.6,504.7,152.1,306.3,614.5,377.5,443.4,NA,520.5,614.5
2018,695.8,737.2,219.9,311.1,443.3,643.9,442.5,338.4,202,NA,333,532.4,228.2,292.8,467.8,495.3,380.3,NA,403.4,737.2
2019,623.1,313,275.6,373.3,661.5,473.6,500.2,215.2,264.1,NA,334.7,557.7,178,334.3,628.9,473.5,653.2,NA,567.7,661.5
2020,460.5,95.4,204,362.1,504.7,465.8,475.7,380,272.4,NA,319.5,458,70.8,370.9,693.4,434.5,460.5,NA,298.9,693.4
2021,490.7,251.5,319.6,402.5,401.1,657.4,532.4,324.7,325.1,NA,325.4,510.6,303.9,299.2,813.4,399.6,451.9,NA,593.6,813.4
2022,564.6,249.6,197.4,369.1,422.6,541.1,487.3,259,409.6,NA,271.1,496.4,123.5,415.1,510.3,577.5,498.3,NA,538.1,577.5
2023,525.4,270.6,218.7,335.4,549.6,410.7,510.5,312.3,268.4,NA,303.1,537,102.9,410.7,504,557.1,475.6,NA,573.5,573.5
2024,448.2,539.7,263.3,328.2,451.8,575.3,416.5,266.3,348,NA,275,614,328.3,368.2,463.8,396,628.5,NA,488.3,628.5
2025,355.3,297.2,275.9,387.7,474.2,589.9,396.6,207.5,217.7,NA,280.6,602.7,105.3,329.1,525,518.4,513.9,NA,695.6,695.6
2026,440.9,217,112.8,417.5,544.8,451.6,514.6,240.4,314.8,NA,317.7,449.7,212.7,313.4,707.1,587.2,461.7,NA,435,707.1
2027,476.3,184.4,122.6,305.4,476.4,612.5,404.4,294.7,279.6,NA,359.7,401.1,279.2,363.3,616.2,593.9,359.6,NA,434.8,616.2
2028,506.9,321,187.4,330.4,585.3,396.2,312.9,209.8,201.1,NA,307.8,692.8,348.6,420.4,671.4,714.6,387.4,NA,458.1,714.6
2029,536.2,417.8,173.2,393,633.3,475.1,463.5,272.8,252.5,NA,335.8,523.5,253.6,394.1,574.8,445.1,451.6,NA,370.2,633.3
2030,743,307.2,234.6,302.5,480.5,375.4,371.7,267.5,331.6,NA,298.8,390.2,170.2,305.4,613,493.7,317.8,NA,512.1,743
2031,417.9,414.1,468.8,442,586.2,547.2,495.8,234.4,349.1,NA,208.9,487.9,188.6,316.6,596.5,368.7,536.4,NA,550.5,596.5
2032,572.8,371.3,231.7,348.4,529,398.7,361.5,165.8,256.6,NA,284.8,554.2,209.9,346.4,436.8,390.7,472.2,NA,526.3,572.8
2033,518.4,620.2,149.2,306.3,517.3,487.4,420.7,375.2,301.8,NA,383,538.9,294.3,374.8,452.7,711.6,549.1,NA,398.6,711.6
2034,393.3,369.5,167,424.5,629.2,462.4,472.4,341.1,280.7,NA,360.2,487.1,282.2,468.7,626.7,496.3,500.3,NA,480.5,629.2
2035,508.1,487.7,285.5,355.7,572.8,532.8,550.3,280.9,307.6,NA,303.1,507.4,174.4,364.2,588.4,443.3,572.6,NA,500.1,588.4
2036,426.6,352.7,436.1,322.2,514.3,726,455.1,215.1,198,NA,281.8,357.5,173.8,310.8,581,564.7,453,NA,787.8,787.8
2037,879.4,264.8,188.5,409.9,544.6,733,488.3,400.7,246.6,NA,283.9,475.2,181.3,468.2,466.3,563.4,497.4,NA,440,879.4
2038,440.3,303.6,278.6,322.7,575.8,523.9,344.7,300.7,191.8,NA,344.3,577.8,148.5,283.6,645.6,469.4,651.8,NA,641.2,651.8
2039,552.3,384.1,132.3,404.5,566,445.8,347.9,319.2,267.7,NA,238.5,539.2,224.1,335.8,504.8,466.4,501.6,NA,597.5,597.5
2040,628.2,306.2,170.9,373.2,507.9,501.8,361.9,198.4,325,NA,266.1,492,285.5,418.5,513.6,448.6,503.4,NA,495.1,628.2
2041,609.4,613.8,270.5,348.8,440.4,505.1,435.4,230.2,320.8,NA,358.2,400.8,191.3,229.7,450.1,402.1,548.2,NA,601.2,613.8
2042,542.1,384,166.2,340.4,526.4,543.8,685.2,409.4,247.7,NA,404.1,511.2,327.7,438.4,520.6,457,397.5,NA,401.9,685.2
2043,439.7,552.6,243.3,402.8,407.5,491.5,461.6,381.9,289.9,NA,270,446.5,339.5,315,539.8,581.7,430.6,NA,404,581.7
2044,481.9,207.6,316.8,331.9,573.9,506.2,457.4,421.9,297.5,NA,359.5,484.7,320.2,363.9,510.1,451.5,492.2,NA,650.7,650.7
2045,380.1,135.8,374.5,404,586.9,592.6,542.8,203.9,293.5,NA,301.9,300.6,143.1,314.9,644.3,482.7,284.9,NA,609.5,644.3
2046,627.1,587.5,427.6,358.9,500,517.8,488.9,250.1,298.1,NA,385.7,479.5,188,387.3,489.2,448.9,508.1,NA,554.3,627.1
2047,530.5,537.1,277.9,484,573.6,569.2,390.9,306.9,227,NA,304.3,483.5,249.2,278.7,610.7,438,489.9,NA,605.5,610.7
2048,632.3,431.1,180.6,352.6,542.5,580.8,516.7,210.1,282.5,NA,242,451.8,317.7,557.1,629.6,500.9,373.6,NA,346.6,632.3
2049,713.8,316.5,283,342.9,495.9,478.4,419.4,126,257.2,NA,344.8,473.2,197.2,235.3,600.5,633.9,616,NA,622.1,713.8
2050,373.5,231.7,351.9,368.4,574.8,548,507.7,335,263.1,NA,345.3,535.3,368.6,351.2,607,534,510.5,NA,524.5,607
2051,587.8,163.5,475.3,326.4,578.9,686.1,403.6,247.4,393,NA,269.7,465.6,254.9,433.6,673,518.1,481.5,NA,443,686.1
2052,540.1,422.4,227.1,373,517,556.8,426.9,395.5,293.6,NA,296.9,440.1,169,399.4,527.9,454.4,438.2,NA,511.7,556.8
2053,501.8,336.4,480.3,384.9,526.6,583.3,410.2,286,283.3,NA,332.6,498.1,301.5,370.1,541.6,576.3,473.8,NA,490.4,583.3
2054,477.4,151,326.4,365.9,620.6,489.9,455.5,435.3,299.5,NA,298.3,485.4,207.6,351.3,465.8,390.7,487.6,NA,436,620.6
2055,368.9,190.2,258.9,379.8,504.5,571.1,332.4,256.6,235.1,NA,231.9,352.4,430.4,220.8,622.6,475.2,484.1,NA,550.9,622.6
2056,603.5,439.2,100.6,360.4,607.9,579.9,394.7,316.3,406.6,NA,342.5,683.7,258.7,254.2,474.9,602.2,642.4,NA,506.6,683.7
2057,624.7,289.5,122.2,276.3,642,566,491,573.6,271.1,NA,313.2,409.5,390.8,447.9,530.9,631.8,427.2,NA,533.3,642
2058,486,157.5,286.6,420.1,436.3,687.6,406.8,284.1,292.3,NA,406.9,473.6,168,406.7,532.6,466.6,612.6,NA,670.5,687.6
2059,471.3,541.8,260.4,342.7,505.6,564.7,685.2,273.6,214.2,NA,275.7,465.7,180.7,523.6,598.1,342.3,430.3,NA,619.9,685.2
2060,608.7,318.3,154.6,401,442.1,415.8,523.5,384.3,330.5,NA,355,518.7,244.8,415.4,507.5,533.7,267.3,NA,476,608.7
2061,489.9,436.9,358.6,345.7,675.2,407.6,396.8,365.8,268.6,NA,366.5,473.6,264.3,318.6,496.5,492.5,492,NA,657.1,675.2
2062,563.5,286.8,345.5,337.8,498.3,529.2,611.6,374.5,370.7,NA,289,444.4,149.3,355.4,583.4,457.3,537.8,NA,544.2,611.6
2063,423.2,202.4,262.2,331.6,523.7,548.3,385.2,329.2,307.9,NA,296.5,436.2,297.9,287,573.8,524.2,417.8,NA,554.1,573.8
2064,517.3,263,306,388,611.3,576.4,413.8,298.9,290.1,NA,328.4,519.3,340.8,422.4,690.6,460.4,494,NA,592.4,690.6
2065,576.1,321.2,303.6,371.3,421.1,521.3,571,283.1,245,NA,286.2,454.1,164.2,354,607.1,621.7,433.9,NA,515.5,621.7
2066,475.5,181.1,348.9,321.4,440.4,567.8,463.2,479.8,255.9,NA,317.8,536.1,411.6,306,598.4,515.4,463.2,NA,523.3,598.4
2067,489.2,269.8,179.9,346.1,474.6,340.6,566.6,214.5,292.9,NA,279.6,654.2,209.9,402.6,476.2,551.2,529.1,NA,510,654.2
2068,490.8,314.9,252,463.4,652.7,611.2,495.5,154,253.2,NA,319.6,564.9,336.9,396,622.9,534,566,NA,613.6,652.7
2069,628.7,530.4,585.9,448.7,643.9,378,460,336.5,208.1,NA,364.6,512.1,210.5,258.7,486.9,415.9,369.9,NA,572.9,643.9
2070,555.3,528.5,231.4,449.4,595.6,661.4,583.1,297.5,298.8,NA,316.4,535.2,258.7,241,601.1,622.1,636.5,NA,542.3,661.4
2071,637.4,336.6,201.4,389.9,658.2,485.1,522.8,346.9,413.7,NA,336.8,448,311.2,420.8,618.5,632.1,417.6,NA,729.6,729.6
2072,745.1,337.9,342.4,304.4,605.5,410,437.4,329.9,180.5,NA,358.6,499.9,245.1,275.5,512,407.2,549.4,NA,553.2,745.1
2073,491.3,316.9,187.9,301.2,488.5,610.9,510.2,198.9,348.8,NA,317.9,547.9,246.7,378.9,656.5,466.9,477.3,NA,577.8,656.5
2074,488.1,315.8,347.4,325.8,573.2,691.4,407.6,76.2,221.3,NA,302,565.3,259.4,354.1,567.6,600,573.6,NA,651.3,691.4
2075,603.7,78.4,279.5,399.1,471,524.5,669.3,253,220.7,NA,266.6,641.2,274.9,420.8,571,705.2,521.8,NA,629.8,705.2
2076,523.5,620.8,157.7,394.5,457.5,621.4,511.8,439.3,219.7,NA,386.8,431.9,232.2,375.1,476.2,634,450.1,NA,612.9,634
2077,684.1,667.5,328.5,350.9,483.1,467.7,469,362.6,261.4,NA,283.2,631.4,328.5,464.9,405.9,594.7,390.5,NA,615,684.1
2078,496.1,624.1,241.2,450.6,618.5,638.3,486.7,343.9,234.9,NA,433.1,576.2,146.9,427.3,494.9,597.2,609.1,NA,500.4,638.3
2079,688,336.8,178.1,450.2,428.4,440.4,419.6,294.9,258.4,NA,289.5,599,380.1,273.9,636.1,480,354.1,NA,420.1,688
2080,682,446.5,240.5,395.6,520.9,574.1,628.8,159.9,346.3,NA,330.6,532.2,338.6,397.7,489,383.9,464.5,NA,661,682
2081,652.3,284.8,68.6,441.4,588.8,698.2,542.8,238.1,300.3,NA,291.9,450.6,355.3,381,402.2,516.4,497,NA,579.6,698.2
2082,649.8,231.9,198.7,386.6,510.2,739.9,344.7,341,320.2,NA,354.9,444.7,325.3,306.2,528.8,555.3,511.9,NA,539,739.9
2083,604.9,215.5,284.4,501.2,462.2,558.6,534.4,232,264.1,NA,281.4,401.5,371,428.5,667.8,651.6,443.7,NA,637.3,667.8
2084,428.9,359.5,216,328,675.8,682.1,343.6,240.2,311.7,NA,306.5,749.6,256.3,308.1,685.7,583.8,417.8,NA,519.8,749.6
2085,552.4,604.9,214.3,446.5,546.2,473.2,626.4,148.9,262.2,NA,363,588.1,375.8,356.7,730.5,577.1,480.5,NA,573,730.5
2086,482.1,514.5,230.2,391.8,490.8,486.9,490.4,379.3,280.6,NA,390,575.9,205.1,429.5,558.4,498.5,335.8,NA,423.6,575.9
2087,532.2,247.3,455.3,384.1,732.6,624.8,434.3,354.5,217.7,NA,334,522.9,270.6,286.8,571.6,557.6,492.3,NA,599.6,732.6
2088,498.2,304.3,421.4,495.4,615.2,523.1,502.7,261.7,259.4,NA,332.5,478.4,144.9,481.8,622.5,485.3,677.8,NA,595.1,677.8
2089,420.3,468.3,334,412.1,587.5,630.2,436.1,260.1,347.7,NA,387.5,389.8,151.2,403.4,572.4,632.9,405.5,NA,590.4,632.9
2090,484.2,372.8,227.5,352.7,811.6,769.3,536.5,275.9,205.2,NA,316.7,468.9,340.7,505.5,665.6,529.9,469.1,NA,501.7,811.6
2091,682.9,550.1,204.5,326.7,549.4,714.4,445.9,315.1,316.4,NA,294.9,475.7,234.4,245.8,517.4,571.1,518.2,NA,701.5,714.4
2092,473.1,420.3,347.7,429.7,550.3,590.5,540.4,241.9,239,NA,311.8,501.4,187.1,235.6,745.9,376.9,699.7,NA,617.2,745.9
2093,572.9,114.7,245.6,402.6,520.9,603.6,434.5,503.6,375.2,NA,360.5,640.4,336.2,363.6,464.4,451,594.1,NA,550.6,640.4
2094,586.3,283.3,335.5,459.1,539.5,434.1,716.4,391.1,339,NA,281.1,394.7,433.5,511.4,554.5,660,464.2,NA,576.2,716.4
2095,709.4,420,144,440.8,548.4,486,558.4,200.8,285.8,NA,443.1,414.7,364.4,210.2,767,494,502.7,NA,657.9,767
2096,633.9,206.6,216.3,475.7,604.7,606.8,464.5,475.5,311.3,NA,292.3,421.8,123.7,339.2,640.2,497.3,838.4,NA,455.3,838.4
2097,541,365.4,254.6,419,519.7,597.7,658.5,467,313.3,NA,351.4,434.5,199.5,523.3,722.6,569.9,650.6,NA,453.6,722.6
2098,522.5,359.9,266.3,483.5,579.9,826,491.8,403.4,266.4,NA,380.1,608.2,194.4,351.8,582.9,712.6,493.7,NA,673.1,826
2099,734.2,378.8,201.2,453.9,583.7,665.7,698,219.8,227.9,NA,363,521.4,516.3,270,518.4,646.9,454.3,NA,584.8,734.2
2100,573.1,88.8,196.9,414.6,633.1,730.1,504.1,387.5,359.9,NA,377.8,423.8,267.6,466.3,553.6,536.2,523.7,NA,494.7,730.1
