"Year","ACCESS-ESM1-5","AWI-CM-1-1-MR","BCC-CSM2-MR","CanESM5","CNRM-CM6-1","CNRM-ESM2-1","EC-Earth3","GFDL-ESM4","GISS-E2-1-G","HadGEM3-GC31-LL","INM-CM5-0","IPSL-CM6A-LR","MIROC-ES2L","MIROC6","MPI-ESM1-2-HR","MPI-ESM1-2-LR","MRI-ESM2-0","NESM3","UKESM1-0-LL","ensemble"
2015,0.8,-26.1,-4.1,4.7,1.6,0.8,3.4,-4.7,0.9,-4.4,-0.3,-2.5,4,3,1.3,-1.8,3.6,-0.1,-1.3,4.7
2016,0,-14.6,-3.8,2.4,1.3,4.8,2,2.3,0.8,-4.1,-0.1,-1.8,1.9,3.4,0.8,-2.8,1.2,2.2,-1.1,4.8
2017,1,-8.5,-1.4,2.9,1.9,3.2,3.2,1.7,-1.4,-5.1,1.3,-1,2.7,2.5,-5.7,1.3,3.1,-1,-1.9,3.2
2018,-0.4,-18.5,-5.3,3.5,4.5,2.2,3,0.1,-1.4,-0.8,1.9,-1.1,4.6,4.5,-1.9,1.6,0.2,0.7,-1.2,4.6
2019,0.5,-13.9,-2,2.4,1.4,0.7,2.5,0.8,-1,-5.7,1.7,-3,-0.2,3,0.8,0.8,1.5,0.9,-2.7,3
2020,1.5,-6,-0.5,3.2,1,3,2.3,-1.1,-0.7,-0.8,1.3,1.7,2.4,4.8,0.3,-0.3,3.3,0.3,-0.9,4.8
2021,1.2,-23,-8,3.7,1.2,3.9,2.3,2.8,-1.7,-3.5,-0.1,-0.9,4.1,4.8,0,1.1,-0.4,1.2,-1.1,4.8
2022,-0.3,-13.7,1.8,3.7,1.7,3.9,4.3,1.8,-1.4,-0.9,3.4,-1.3,3.1,3.6,-3,0.7,2.5,-1.5,0.5,4.3
2023,-0.1,-17,-2.9,3.3,2,2.8,2,-0.3,-0.8,-2.5,-3.2,-2.1,4,2.7,1,-2.7,2,2.6,-0.8,4
2024,1.4,-10.4,-2.2,4.4,2,3.1,2.9,-0.2,-1.1,-4.5,2.4,-0.1,1.3,2.9,-1.9,0.4,2,0,-2.9,4.4
2025,0.7,-15.9,-7,4,2.9,4,1.9,-1.9,0.5,-1.1,4.2,0.4,5.9,4.4,0.1,-0.1,1.9,0.8,-1.1,5.9
2026,0.6,-2.7,-4.3,3.2,2,4,2.8,-1.5,-1.5,-1.4,-4.2,1.3,0.8,4.7,0.7,0.1,3.7,-0.1,0.2,4.7
2027,1.1,-6.9,-2.3,4.9,2.6,3.1,2.1,-1.1,-0.5,-1.2,1.5,1.5,1.6,3.4,-3,0.7,-1.2,0.9,-4.4,4.9
2028,1.7,-9.7,1.9,4,2.2,4.7,4.2,1.5,2.7,-0.4,1.4,1.4,3.1,5,1.1,1.7,1.9,1.5,-1.3,5
2029,2.1,-15,-4.9,2.9,0.4,2.9,3,2.9,-0.7,-3.6,3.6,-0.2,2.4,5,-0.7,-1.5,4.6,-2.9,-0.8,5
2030,0.1,-15.9,-4.2,4.2,3.1,4.3,4,1.8,-2.7,-3.5,3.9,-0.5,1.1,4.8,0.8,-1.2,4.3,-2.4,-1.1,4.8
2031,1.8,-18.8,-3.4,4.3,4,0.7,1.9,4.5,0.7,0.4,3.9,2,2.9,4.9,-3.7,2.8,2.9,0.2,-1.3,4.9
2032,0.3,-7.4,-0.9,5.6,2.7,3.7,4.1,0.7,-1.4,-2.7,2.1,-0.2,0.7,4.1,0.6,0.1,4.4,1.2,-0.5,5.6
2033,0.4,-20.3,2.8,3.5,3,2.7,2.8,0.8,-0.5,-2.3,0.2,-1.2,6.2,4.8,-0.6,-0.8,4.4,1,-2.2,6.2
2034,0.8,-11.9,2.6,1.5,2.8,2.4,2.6,3.4,1.4,-11.3,-0.7,1.8,1.8,4.9,-1.2,1.7,4.3,0.1,-1.1,4.9
2035,1.1,-16.4,-2.8,5,2.3,3.4,4,-2.2,0.4,-6.4,2.6,1.1,4.3,4.7,0.6,-1.6,-4.1,2.4,-1,5
2036,1.5,-16.5,2.5,4.3,2.8,4.1,4,0.1,0.5,-8.7,2.4,0.9,-0.3,3.4,0.7,-0.5,-0.8,2.7,-0.2,4.3
2037,1.8,-7.2,-1.9,4.7,2.8,2.3,3.5,3.4,-0.3,-1.6,-0.3,2,3.5,3.4,1,0.3,5.4,0.9,-1.4,5.4
2038,0.8,-17.3,-1,3.4,4.2,4.6,3.4,3,0.6,-1.7,0.2,-1.9,3.9,4.4,0.3,-2.2,1.5,-2.4,0,4.6
2039,2.7,-11.8,1.5,4,4,4.9,3.3,0.3,-0.1,-7,2.5,1.2,0.6,5.3,3.6,-0.6,3.6,-0.4,-1.5,5.3
2040,0.5,-15.5,-2.3,6.5,3,3.2,5,-0.3,-1.2,-0.2,2.2,2.6,2,4.9,0.5,1.1,2.7,-2.4,-1.3,6.5
2041,2.4,-18.1,-2.1,3.4,2.6,3,3.7,2.4,-2.1,-5.4,0.4,0.4,1.1,4.4,0,0.7,2.4,2.2,-1.7,4.4
2042,3.3,-15.7,2,4.5,3.3,2.9,3.4,3.6,1.6,0.3,0.4,0.1,5.2,3.5,0.1,1.5,-3.2,1.2,0,5.2
2043,1.9,-13.7,3.7,5.8,1.5,3.8,4,0.2,-2.6,-4.3,-4.3,4.7,2.1,4,-0.8,0.2,-0.2,-1.2,-1,5.8
2044,3.2,-0.6,-0.4,5.1,3.2,1.7,3.3,0.2,0.3,0.2,0.6,1.5,4.8,5.3,-7,-0.5,1,-0.3,-2.1,5.3
2045,2.3,-20.8,-1.7,3.8,2.5,1.7,3.5,0.7,-0.5,-8.1,1.1,1.9,2.5,4.6,0.5,-1.3,4.6,-0.2,0.1,4.6
2046,2.3,-5.1,-3.2,3.5,2.9,3.5,3.7,4.3,3,-4.8,2.4,0.3,4.5,5.5,-3.4,-1.9,2.5,-4.1,1.2,5.5
2047,0.8,-11.3,3.8,5.4,3.5,2.8,3.2,3.5,1,-0.4,1.2,1.4,2.5,4.5,1.8,0.6,4.8,-0.8,-0.6,5.4
2048,1.4,-4.2,-0.9,3.5,5.3,2.1,5,2.2,-1.2,-0.9,3.6,1.4,3.3,4,-2.8,0.1,4.2,2.7,-2.1,5.3
2049,3,-5.8,-6.2,3.5,3.1,3.4,4.3,4.9,-3.6,-1.3,2.6,-1.4,4.6,4,2.1,-0.5,1.6,0,-1.5,4.9
2050,1.3,-20,-1.3,5.2,3.2,3.6,3.3,3.2,0.7,-4.4,0.5,-1.1,3.5,4.8,-3.2,-1.1,1.4,-0.4,-1.2,5.2
2051,1.2,-6.4,-1.4,3.7,4.2,4.8,3,1.8,-3.8,-4,3,0.7,-0.7,4.6,0.3,0.2,4.4,0.1,0.1,4.8
2052,1.4,-8.8,1.2,4.9,3.5,5,2.2,3.3,1.4,-0.8,4.1,2.4,1.8,5.4,4.3,2.9,5.4,-0.3,0.2,5.4
2053,1.7,-22.2,-0.2,3.3,4.8,4.7,2.2,2.8,0,-3.2,-0.1,0.4,3,4.8,0.9,-0.7,4.1,2.3,1.4,4.8
2054,2,-15.6,0.3,4.5,3.3,4.6,4.4,2.3,-1.2,-8.4,-3.3,-1.1,-0.3,4.7,2.1,-0.2,3.8,1.8,1,4.7
2055,2.5,-7,2.8,3.1,2.6,2.9,3.6,2.3,2,-7.2,-3.9,-1.7,4.6,4.3,3.4,0.7,3.1,3.1,2.1,4.6
2056,3,-8.3,-1.4,4,2.4,4.7,4.3,-0.4,0.7,-5.8,4.3,-1.4,5.1,3.4,3.5,2,3.4,3.1,2,5.1
2057,1.3,-9.6,1.6,5,2.7,3.7,4.3,-2.7,-1.6,-0.5,1.9,2,3.1,4.6,3.1,1.6,0,1.9,0.3,5
2058,2.7,-2.3,1.9,4.9,4.1,5.3,3.8,-0.6,0.2,-0.6,-3.4,1.4,4.3,4.5,0.9,0.4,3.6,1.6,-0.3,5.3
2059,2.3,-20.2,1.4,2.2,2,2.7,4.1,-0.9,0.6,-5.8,3.1,-0.9,1,4.6,2,2.7,-3.5,1.3,0.2,4.6
2060,2.3,-0.3,1.4,5.6,2.6,4.7,4.4,-5,1.8,-1.2,2.6,3.5,3.3,4,3.1,-1.7,1.3,3.7,-0.7,5.6
2061,3.4,-18.6,3.4,4.2,2.2,3.9,3.7,-5.2,0.4,-3.9,-0.5,0.5,3.6,4.8,-0.7,1.2,3.8,1.6,-0.5,4.8
2062,2.6,-16.1,4.6,5.3,2.7,1.8,4.2,-2.6,-2.1,-2,4.2,0.6,-2.9,5.7,0.2,-1.2,4.1,1.9,-0.4,5.7
2063,0.3,-9.7,3.8,5.6,2.2,2,3.9,0.5,0.9,-0.9,2.8,4.4,4.9,4.3,-2.2,0.2,0.1,-2.5,-0.5,5.6
2064,2.4,-10,-8.4,4.5,3.8,3.8,3.9,5,-1.8,-1,6.3,2.9,4.4,6.2,-2,0.6,4,-0.7,1.6,6.3
2065,2.3,-22.6,3.3,5.7,2.8,2,3.1,-4.7,0.2,-4.7,1.9,-1.4,-1.1,4.2,0.3,-1,5.5,-1,-0.3,5.7
2066,1.7,-7.5,3,4.9,3.4,3.8,3.7,2.3,0.9,0.4,4.8,4.7,1.1,4.6,0.6,0.4,3.3,-1.3,0.3,4.9
2067,1.6,-17.1,3.4,5.5,3.9,2.4,3.7,4.4,-1.7,-3.3,-0.4,-2.7,2.1,5,2.9,1.7,2.2,1.6,-0.2,5.5
2068,2.2,-13.5,-0.2,5.5,2.4,4.5,3.3,1.3,-0.9,-2.1,2.8,-0.2,2.4,5.4,0.9,-0.8,1.8,-0.3,1.1,5.5
2069,1.6,-8,-13.6,5.1,2.7,2,4.1,2.5,1.5,-3.7,3.4,2.4,3.7,4.6,1.1,1.1,5.4,-0.1,0.2,5.4
2070,2.6,-13.9,-5.8,2.5,4,2.6,3.8,-1.3,0,-1.9,4.4,4.9,1.2,4.8,2.1,-0.2,-2.1,1.1,-1,4.9
2071,2.4,-7.3,0.6,4.8,2.7,3.9,4.9,-1.5,1.5,-3.2,1,0.4,3.4,3.4,-0.1,-1.4,3.9,1.3,0.4,4.9
2072,3.2,-7.9,-5.1,5,3.5,2.9,3.4,-1.3,-0.2,-2.8,3.2,2.2,3.3,4.5,0.7,-1.2,4,0.3,-1.9,5
2073,1.8,1.7,0.6,4.7,3.7,3,2.8,2.5,-3,-1,4.3,1.3,5.2,4.8,-1.5,-1.1,5,-1.3,0.4,5.2
2074,3,-4.5,4.1,4.9,4.2,2.7,3.1,1.8,1.4,-0.1,-1.2,2.3,3.8,4.8,3.7,-0.1,2.8,3.9,0.5,4.9
2075,1.9,-14.3,-4.9,4.4,3.5,4.5,3.8,2.5,-1.2,-0.9,4.1,-0.6,2.8,5.1,-3,-2,-4.3,-3.6,0.3,5.1
2076,2.3,-16,0.6,4.2,3.2,4.7,2.9,-4.8,0.8,-1,2.3,2,1.8,3.4,2.4,0.6,3.1,2.6,-0.7,4.7
2077,1.4,-10.2,1.5,4.6,3.4,4.4,1.8,-1.4,-0.8,-3.5,2.7,0.8,3.9,4.7,1.8,1.7,1.9,0.9,-0.3,4.7
2078,2.3,-8,0.8,2.9,3.3,3.2,4.6,1.6,0.5,-1.2,0.3,3.8,4.9,4.6,4.4,1.2,3.6,-1.8,0.7,4.9
2079,2.5,-8,-3.5,4.8,3.4,5.1,6.3,2.2,1.6,-9.8,1,-1.4,5.1,4.7,-1.8,1.2,1.6,-0.3,1,6.3
