"Year","ACCESS-ESM1-5","AWI-CM-1-1-MR","BCC-CSM2-MR","CanESM5","CNRM-CM6-1","CNRM-ESM2-1","EC-Earth3","GFDL-ESM4","GISS-E2-1-G","HadGEM3-GC31-LL","INM-CM5-0","IPSL-CM6A-LR","MIROC-ES2L","MIROC6","MPI-ESM1-2-HR","MPI-ESM1-2-LR","MRI-ESM2-0","NESM3","UKESM1-0-LL","ensemble"
2015,865.7,530.2,999,1004.6,1094.5,1208.2,760.8,931.3,698.8,796.1,869.7,1066.5,1158.6,1191.4,1051.6,1008.3,1138.7,1017.7,739.2,1208.2
2016,898.7,733,1020.4,1108.3,1156.4,1068.9,876.8,942.8,704.6,774.4,897.2,1068.1,1173.3,1194.4,920.6,1040.5,1093.9,864.3,785.2,1194.4
2017,892.2,672.7,921.3,1033.5,1104.6,1117.9,688.7,982.8,720.3,803.7,928.5,1077.5,1135.8,1190.8,849.2,956.8,972.5,915.8,776,1190.8
2018,955.2,617.2,739.7,1053.4,1158.1,1201.4,813.1,967.6,775.2,724.9,979.5,1112.7,1137.9,1192.2,711.3,956.6,1001.3,931.1,770.7,1201.4
2019,953.8,717.7,936.6,1011.6,1143.1,1083.9,857.7,895.9,671.5,689.3,903.2,1092.2,967.3,1013,832.4,969.4,920.9,988.6,763.9,1143.1
2020,909.1,600.8,870.8,1138.3,1279.6,1093.8,785.7,974,675.3,717.6,908,1115.8,1118,966.7,867.9,1010.3,892.1,1124.1,936.9,1279.6
2021,909.4,700.5,916.2,968.4,1047.5,1160,810,892.3,698.6,714.3,1007.2,1068.1,1180.5,1223.8,790.4,987.6,1213.6,1005.1,863.7,1223.8
2022,1014.1,898.4,859.3,966,1164.3,1241.8,843.1,893.7,800.5,731,849.9,1073.3,983.3,1137.7,859.3,933,899.9,1096.5,935.1,1241.8
2023,1041.8,565.8,934.5,1061,1153.1,1218.1,808.7,1008.2,814.1,667.1,1017.1,1117,1087.4,1076.1,846,918.7,1017,1068.7,853.9,1218.1
2024,971.9,785.9,917.5,1025.2,1203.8,1186.9,854.1,1013.4,758.6,694.1,874.5,1104.1,1163.4,1065.8,882.4,985.5,1042.2,870.8,805.6,1203.8
2025,981.7,722.2,753,1185.6,1202.8,1163.9,820,991.2,827.5,745.7,1059.8,1145,1210.7,1170.7,837.7,988.8,886.5,1004.1,859.1,1210.7
