"scenario","Year","ACCESS.ESM1.5","AWI.CM.1.1.MR","BCC.CSM2.MR","CanESM5","CNRM.CM6.1","CNRM.ESM2.1","EC.Earth3","GFDL.ESM4","GISS.E2.1.G","HadGEM3.GC31.LL","INM.CM5.0","IPSL.CM6A.LR","MIROC.ES2L","MIROC6","MPI.ESM1.2.HR","MPI.ESM1.2.LR","MRI.ESM2.0","NESM3","UKESM1.0.LL","ensemble"
"historical",1850,370,197.1,250.8,309.3,336.5,414.6,NA,345.1,227.7,253.7,367.2,281.2,393.6,379.2,325.8,336,368.8,450,350.7,450
"historical",1851,384.6,189.1,258.1,305.4,370.2,359.5,235.9,349.6,200.8,282.2,344.7,310.4,440.6,410.5,449,324.5,409,357.2,323.2,449
"historical",1852,400.9,247.1,234.7,354.5,443.8,360,256.8,339.2,212.5,296.8,329,338.8,397,428.6,399.5,342,393.6,376.2,343.7,443.8
"historical",1853,436.5,280,285.4,387.6,369.3,423.3,254.2,336.1,222.7,288.8,299,298.1,353.2,448.8,336.1,356.6,330.5,492.4,327.3,492.4
"historical",1854,369.1,213.2,245.5,315.9,427.5,375.6,234.7,359.8,246.8,263.4,367.6,318.4,373.9,408.9,421.3,327.8,420.8,351.9,353.4,427.5
"historical",1855,355.9,204.6,250.8,292.6,357.9,348.3,293.4,305,228.9,333.6,367.8,319.1,422.1,376.8,324.8,341.9,396.8,382.2,289.1,422.1
"historical",1856,358.5,226.6,245.6,293.8,370.9,354.8,273,383.3,213.9,293.6,376.5,303.6,457.7,417.2,360.2,359.4,370.9,376.3,330.7,457.7
"historical",1857,415.1,204,254.1,311.1,367.2,386.9,237.3,335.2,193.2,269.3,370,310.8,445.1,439.3,331.1,344.2,334.9,371.6,302.7,445.1
"historical",1858,347.2,159.4,236.7,338.9,388.3,370.3,202.6,337.8,197.6,298.4,328.2,290.5,355.8,443,407.2,355.3,340.8,425.6,299.8,443
"historical",1859,441.3,187,269.9,312.6,375.2,351.8,229.6,334.3,210.9,265.9,391.8,279.5,353.9,439.9,348.3,315.3,307.2,370.4,304.4,441.3
"historical",1860,416.3,232.2,287.3,353.6,371,371.6,285.1,409.1,221.2,370.2,316.8,308.2,383.6,501.6,341.1,308.6,410.1,383.6,329.5,501.6
"historical",1861,371.2,240,251.1,300.1,346.9,415.1,247.2,363.5,205.7,301.8,370.1,298.4,432.9,448.2,324.5,340.6,413.9,406.6,267.8,448.2
"historical",1862,444.8,287.1,245.5,346,371,329,219,380.4,208,297.7,332,357.8,386.1,403.2,367.4,389,383.8,422,359.8,444.8
"historical",1863,452.3,208.5,234.6,308.3,382.3,425.4,229.9,302.7,201.3,219.9,380.3,288.5,376.7,416.4,351.4,375.2,337,417.1,342.1,452.3
"historical",1864,367.7,286.3,262.2,369.1,359.3,359.3,216.4,324.3,202.6,329,395.2,320.8,400.5,405.1,326.9,318.1,356.4,389.5,292.5,405.1
"historical",1865,379.1,247.9,280.6,394.6,420.8,372.6,229.5,304.3,176.4,317.7,351.2,289.2,380.8,448.7,328.4,339.2,325.8,328.3,335.8,448.7
"historical",1866,422.2,259.8,294.7,316.1,432.1,390.4,221.2,338.5,211.6,298.3,380,317.3,377.8,500,389.1,344.5,341.3,358.5,340,500
"historical",1867,434.8,281.7,254.9,310.5,377.4,385.7,217.7,308.2,207.9,318.1,316.9,321.1,456.4,440.7,348.4,322.4,346,383,405.4,456.4
"historical",1868,394.2,221.6,254.1,305.2,351.1,397.3,250.8,306.7,200.9,265.2,372.3,374.8,385.3,464.8,363.8,328.7,337.4,413.7,301.1,464.8
"historical",1869,364.6,239,260.5,321.5,355.3,411.3,219.2,344.3,266,271.6,392.4,312.4,484.8,435.6,402.2,350.1,339.5,350,329.8,484.8
"historical",1870,440.3,209.5,243,287.3,338.6,401.8,224.5,344.7,195.4,333.5,383.5,307.4,405.5,439.9,376.8,337.5,389.1,411.4,411.5,440.3
"historical",1871,366.5,209.9,223.8,421.1,404.4,325,290.7,375.8,228,281.8,344.1,287.4,408.3,433,309.1,367.2,339.3,424.2,350,433
"historical",1872,393.1,173.2,281.4,295.6,366.7,344.9,210,327.9,207.4,334.1,371.9,296.6,415.9,431.5,351.7,373.8,374.5,334.9,310.5,431.5
"historical",1873,388.3,241.9,230,326.4,334.1,375,281.5,303,196.8,288.9,318.9,293.2,379.1,411.3,361.9,366.9,352.4,389.7,337.9,411.3
"historical",1874,388.2,252.9,315.7,333.2,421.1,360.9,236.4,328.5,205.8,288.5,331,347.1,440.9,372.8,349.5,358.8,419.2,351.5,388.6,440.9
"historical",1875,411.3,226.6,250.5,352.8,405,308.1,267.7,306.9,187.2,282.5,379.4,349.5,422.7,428.6,368.9,329.8,368.1,378.4,350.3,428.6
"historical",1876,359.4,236.4,283.2,344.6,399.7,369.8,246,302,201.7,345.3,302.9,373.5,475.5,446.4,376.2,351.2,324.5,420.9,304.1,475.5
"historical",1877,394.6,218.5,232,314.3,366,352.3,240.4,352.8,199.7,269.2,333.3,317,400.8,424.9,370.6,352.9,387.4,419.3,307.2,424.9
"historical",1878,415.9,233.8,268.2,394.8,430.8,308.4,231.7,259.7,221.3,285,358.2,289.2,378.8,409.2,319.8,351.2,385.4,369.6,333.5,430.8
"historical",1879,385.5,172.5,266.8,373.3,346.3,371.7,251.2,388,220.8,279.3,329.7,284.8,390,461.2,333.8,350.5,359.7,389.5,314.8,461.2
"historical",1880,389.3,253.5,234.3,326.9,408.6,391.2,302.6,344.7,212.8,319.1,433.1,273.8,408.1,465.1,331.6,436.4,372.7,433,341.3,465.1
"historical",1881,347.9,232.7,248.5,339.3,390.9,396.6,277.6,360.6,220.2,393.5,400.6,289.6,422.8,377.5,365.5,352.6,384.5,411.6,327.3,422.8
"historical",1882,411.5,199.9,246.3,400.3,393.1,396.9,219.3,373,225,248,328.2,289.7,396.8,402.6,312.8,356.5,374.7,441.9,313.5,441.9
"historical",1883,434.2,255.3,301.4,324.5,378.2,395.9,234,331.2,197,255.1,418.1,295.5,403.4,399.3,351.4,382.7,367.6,392.2,399,434.2
"historical",1884,389.9,211.8,181.5,294.5,349.1,398.6,229.8,316.4,225.9,322.4,369.1,347,403.6,430.3,369.2,340.7,338.2,351.8,318.6,430.3
"historical",1885,357.7,186.6,317.4,301.5,420.4,296.2,208.1,303.6,196.3,251.3,385.3,331.1,390.7,411.1,316.1,340.6,310.2,380.4,355.2,420.4
"historical",1886,381.3,206.7,266.6,256.5,374.5,413.3,213.6,310.6,204.7,273.6,326.3,287,379.8,440.7,372.3,311.1,337.6,451.4,354.3,451.4
"historical",1887,404.3,274.2,256.9,342.5,355.5,336.6,223.1,368.4,205.6,304.1,366.8,276.5,447.8,439.1,336.8,320.3,374.2,387.8,379,447.8
"historical",1888,402,192,239.1,307.3,350.5,384.6,255.6,318.5,212.7,279.3,334.3,355.1,409.9,407.7,314.4,333.3,411.2,391.9,340.2,411.2
"historical",1889,379.9,238.9,230.7,313.2,342.9,354,215.4,325.5,240.9,330.1,461.7,288.8,388.2,375.9,342.6,395.7,401.4,388.9,385.2,461.7
"historical",1890,433.4,219.8,277.3,339.2,359.7,350,248.6,290.3,254.2,313.3,335.3,329.1,380.2,404.5,314.8,341.3,380.4,403.2,441.6,441.6
"historical",1891,429,193.9,252.9,329.3,377.6,400,278.1,341,215.7,288.4,338.6,253.9,401.5,415.2,329.3,354.4,367.4,387.8,306.6,429
"historical",1892,351.5,182.4,288.9,328.6,388.6,343,224.9,360.5,175.8,289.2,339.8,333.6,402.7,470.5,387.4,362.4,347.2,367.2,327.8,470.5
"historical",1893,422.1,230.7,282.4,341.4,357.9,330.2,257.7,324.4,191.7,346.6,346.4,283.5,423.8,421.5,295.5,334.8,384.4,366.9,297.3,423.8
"historical",1894,365.5,203.2,251.3,330.9,397.7,414.6,226.5,321,218.6,316.2,367.3,308.7,422.7,422.6,332.6,365.4,297.2,364.2,319.7,422.7
"historical",1895,405.9,215,257.8,332.4,371.8,359.2,201.8,368.3,199.8,318.8,352.6,287.2,396.4,463.4,341.1,340.8,409,383.4,319.1,463.4
"historical",1896,369,213.5,286.1,336.8,391.2,331,299.7,374.7,169.2,266.9,308.4,318,327.4,436.9,387.8,312.3,401.1,393.3,300.6,436.9
"historical",1897,392.4,223,299.5,357.2,393.6,316.3,205.3,368,187.1,248.7,330.5,291.2,376,465.8,338.2,346.3,367.9,451.1,274.4,465.8
"historical",1898,398.2,238,245.4,392.4,398,376.6,285,380.9,226.8,281,322.2,283.7,397.1,441.5,359.6,346,318.6,391.7,353.9,441.5
"historical",1899,381.8,231.6,250.6,374.2,365.7,370.2,238.8,380.7,186.9,305.6,335.3,277.9,415.6,465.9,350.4,360,331.4,384.2,350.5,465.9
"historical",1900,420.4,251.5,233.6,385.5,356.3,363.7,250.8,278.9,192.6,280.7,366.5,315.7,417.1,523.5,341.4,334,348.1,384.3,283.1,523.5
