"Year","ACCESS-ESM1-5","AWI-CM-1-1-MR","BCC-CSM2-MR","CanESM5","CNRM-CM6-1","CNRM-ESM2-1","EC-Earth3","GFDL-ESM4","GISS-E2-1-G","HadGEM3-GC31-LL","INM-CM5-0","IPSL-CM6A-LR","MIROC-ES2L","MIROC6","MPI-ESM1-2-HR","MPI-ESM1-2-LR","MRI-ESM2-0","NESM3","UKESM1-0-LL","ensemble"
2015,154.1,65.3,111.7,132.6,161.2,180.3,99.9,112.7,151.6,98.4,86.9,143.7,249.5,188.7,98.5,148.7,165,170,115.5,249.5
2016,217.7,107,116.8,153.7,185.8,182.5,107.8,115.1,112.4,153.1,131.1,133,231.2,220.4,130.6,125.7,165.8,179.6,109.5,231.2
2017,187.3,71,71.4,150.8,203,191.2,120.3,72.6,109.8,150,101.1,173,207.3,202.1,179,125.9,167.6,129.2,103.4,207.3
2018,155.6,78.9,158.6,190.2,206.3,197.3,94.7,92.9,134.6,125.3,171.3,141.5,249.6,199.6,134.9,143.9,88.8,180.3,138.5,249.6
2019,187.7,69.2,118.3,153.7,171.6,153.3,101.2,101.9,101,102.3,174.5,133.2,226.8,189.8,119.5,127.3,127.8,128.3,120.9,226.8
2020,166,69.2,128.9,151.4,153,135,127.1,77.3,143.1,92.3,119,148.7,199,217.3,68.7,168.1,135.5,155.3,120.8,217.3
2021,164.2,86.5,143.5,167.5,187.7,164.3,106.7,109.4,135.3,114.2,185.7,138.3,227.3,214.2,102.8,163.2,103.5,155.2,100.5,227.3
2022,176.8,58.6,185.4,146.9,202.6,167.8,121.7,85.8,132.9,130.3,158.3,172.9,202.8,239.9,93.7,155.8,107.4,117.8,118,239.9
2023,152.8,92,174.4,127.9,141.4,203.4,113,104,118.1,128.1,183.4,159.8,224,212.5,126.3,137.5,145.4,138.8,112.8,224
2024,166,51,137.8,142.1,174.8,204.9,153.9,76.8,131,126.3,186.5,190.2,202.3,224.2,189,173.5,159.4,165.8,134.1,224.2
2025,172.2,103.3,122.9,173.5,169.2,200.4,104.1,86.2,123.8,113.4,167.7,175.3,240.8,214.4,181.9,104.1,157.3,195.3,101.4,240.8
2026,153.5,104.3,55.7,196.6,169.2,205.2,83.5,120.5,129.6,109.9,194.3,224,246.1,224.1,144.1,195.7,170.5,165.9,138.4,246.1
2027,169,79.2,170.5,171.8,174,185.6,88.9,135.7,141.2,114.9,88.4,169.6,251.5,230.4,164.6,173.1,156.2,115.4,108.2,251.5
2028,227.7,86.4,121.4,140.1,179.7,172.4,106.5,116.2,137.2,98.2,157.6,189.2,167.6,211.1,116.6,139.9,133.7,140,120.9,227.7
2029,174.9,81.8,94,164.7,200.4,173.9,102.2,88.9,138.8,122.1,127.9,182.2,289.9,206.6,101.5,161.5,125.6,148.8,132.8,289.9
2030,214.7,73.4,199.7,167.4,204.9,159,108.9,79.3,119.1,128.5,114,189.4,225.7,243.2,143,184,138.6,193,187.2,243.2
2031,177.2,54,100.2,153.4,188.1,227.6,107,116.2,143.3,125.9,173.9,142.8,254.3,220.3,164.5,123.9,145.6,142,136.4,254.3
2032,200.4,95.9,118,189.2,215.2,185.3,87.3,98.4,150.6,132.7,128.9,143.4,315.6,239.4,97.2,156.4,131.1,188.7,152.9,315.6
2033,174.2,65.4,121.6,186.3,168.3,170.4,103.4,139.6,160.6,125.1,121.4,151.4,221,202.8,187.4,129.1,235.2,140.6,199.4,235.2
2034,165.6,67.2,196.3,188.1,180.5,158.5,136.1,109.9,107.3,137.9,145,166.4,279.7,216.9,88.6,139,186.3,224.2,137.6,279.7
2035,184.7,107.1,75.8,177.6,176,180.3,89,79.5,148.2,101.4,116,158.4,202.3,207,188.7,156.5,144.1,218.2,140.8,218.2
2036,178.8,122,141.9,169.3,192.2,221,133.5,100.6,162.5,133.7,163.5,162.2,255.7,200.8,158.1,103.7,115.3,210.4,128.4,255.7
2037,166.9,68.4,118.8,184.2,186.2,156.2,100.8,84.8,133.5,144.2,146.2,172.1,249.9,198.3,138.7,175.8,152.2,111.6,157.7,249.9
2038,203.7,109.2,90.4,216.5,188.3,238.1,115.8,140.6,166.9,123,235.6,162.2,256.9,242.7,87.8,167.4,190.8,224.5,125.3,256.9
2039,167.1,77.4,158.5,189.3,199.8,242.2,86.1,109,124,140,208.3,224.6,207.9,264.3,135.7,152.6,190.4,214.4,143,264.3
2040,183.9,90.9,121.9,167,201.7,220.4,95.7,70.9,134.9,164.6,193.1,149.2,252.1,212.3,122.5,135.2,211.2,182.7,135,252.1
2041,178,89,150.9,179.3,178.4,181.2,113.8,113.7,145.3,113.6,187.7,149.3,288.2,233.8,132.8,108.4,143.9,217.9,158,288.2
2042,192.3,55.9,119.6,175.2,194.2,198,154.5,134.8,140.9,149.5,220.3,180.4,270.7,246.3,114.1,138.1,133.5,157.3,170.8,270.7
2043,188.8,83,123.5,207.7,301.2,211.9,87.3,84.1,136.7,132.8,148.1,190.9,215.6,238.7,99,139.3,117.9,181.7,141.2,301.2
2044,214.8,49.1,122.2,198.7,185.1,210.4,105.9,164.1,155.7,147.4,146.7,169.4,310.8,295.5,122.4,142,205.2,153.5,147.7,310.8
2045,219.8,131.6,226.2,266.6,200.5,253.1,115.6,170.2,166.3,152.9,151.6,193.7,272.6,201.9,124.7,122.8,148.6,168.6,144.6,272.6
2046,177.7,90.6,178.2,219.8,190.1,177.2,124.2,100.8,121.6,93,193.8,145.2,240.5,237.1,177.1,174.5,142.1,194.2,156.8,240.5
2047,198.3,110.8,94.5,218.3,159.1,194.5,96.7,178.3,166.2,151.1,173.8,197,214.6,276.9,167.2,129.8,172.3,228.9,183.1,276.9
2048,209.2,76.2,216.3,216.2,172.5,208.1,143.9,120.1,200.7,135.2,159.7,214.5,197.3,236.7,160.1,178.3,223.4,199.9,146.9,236.7
2049,168.4,90.2,157.6,275.5,214.3,235.4,105.3,168.2,136.2,107.1,144.8,216.6,307.1,203.7,143.4,173.4,172.3,154.8,171.8,307.1
2050,198.8,25.7,142.9,217.4,238.1,253,107.9,107.6,122,166.9,186.5,164.3,283.6,256.9,96.2,150.2,132.5,184.1,156.4,283.6
2051,152.1,121.4,96.3,246.9,202.2,228.6,111.5,157.2,160.4,156.7,159.4,224.6,265.1,275.8,178.4,213.5,177.2,167.2,166.7,275.8
2052,185.6,66.5,136.3,250.1,216.1,185,137.1,86.6,150,119.3,190,154.6,236.6,275.8,145.9,220.2,145.3,204.5,187.9,275.8
