"Year","ACCESS-ESM1-5","AWI-CM-1-1-MR","BCC-CSM2-MR","CanESM5","CNRM-CM6-1","CNRM-ESM2-1","EC-Earth3","GFDL-ESM4","GISS-E2-1-G","HadGEM3-GC31-LL","INM-CM5-0","IPSL-CM6A-LR","MIROC-ES2L","MIROC6","MPI-ESM1-2-HR","MPI-ESM1-2-LR","MRI-ESM2-0","NESM3","UKESM1-0-LL","ensemble"
2015,91.9,115.2,119.4,156.3,128.8,157,148,84.2,121.5,91.1,89,157.4,140,159.3,148.6,129.4,57.3,116.1,85.9,159.3
2016,109.9,84.6,115.5,139.2,166.8,156.7,131.8,103,131.6,103.3,112.7,181.5,117.8,180.1,105.6,122.5,144.1,58.8,98.6,181.5
2017,129.1,104.3,122,165.5,134.2,109.2,111.5,108.3,102.1,78.7,90.7,141.4,134.2,130.1,132.9,180.7,80.2,78.2,100.4,180.7
2018,110.9,101.5,95,124.3,188,187.5,111.5,162.4,121.2,66.2,136.3,194.3,205.4,127.1,56.6,141.9,111.1,119.5,105.9,205.4
2019,116.9,114.1,83.2,140.8,167.7,157.5,105.5,63.6,119.6,58.8,79.2,211.5,109.4,113.1,117.5,131.6,105.5,96,80.8,211.5
2020,96.7,110.5,134.9,173.6,164.4,135.5,136.8,123.1,95.7,87.5,101.4,152.3,52.9,112,78.2,128.1,54.7,107.2,103.5,173.6
2021,118.1,69.7,134.2,139.7,188.6,154.9,158.6,125,92.7,40.6,140.4,190.9,84,130.5,97.2,124.8,102,119.9,89.1,190.9
2022,80.2,73.8,77.3,151.9,161.5,194.3,108,105.9,102.4,89.1,47.3,174.2,47.1,88.3,106.8,141.2,110.1,116.6,80.9,194.3
2023,105.1,39.2,164.4,124.7,168.9,194.4,114.5,81.8,100.3,40.3,65.2,202.3,83.2,142.5,119.5,150.2,87.7,155.1,108.8,202.3
2024,109,107,131.8,121.3,153.4,167.8,112,151.4,97.8,51.3,80.4,221,186.1,198,86.8,137.7,96.7,112,83.4,221
2025,99.1,56.8,100,146.7,151.7,179.6,139.8,97.5,101.6,35.8,122.5,153.2,106.9,87.7,89.9,123.3,102.1,44.8,109.4,179.6
2026,98.5,97.7,139.5,122.7,160.6,177.8,108.8,159.7,106.4,82.5,149.6,167.4,164.6,131,74.1,156,70.1,95.5,100.8,177.8
2027,91.3,84,147.2,145.2,162.5,185.9,89.2,141.8,163.6,53,122.9,131.4,160.6,136.3,105.2,125.5,116.8,178.8,135.4,185.9
2028,126.4,98,89.6,128.5,147,151.8,125.1,113.3,68.6,83.3,85.1,171.3,67,172.2,103.2,169.6,115.1,100.1,110.6,172.2
2029,112.4,100.7,83.9,143.6,167,153.8,124.5,130.6,96.3,44.8,118.4,143.6,95.1,153.9,129.4,153.5,66.3,61,108.2,167
2030,108.4,119.1,127.7,132.7,105.9,152.3,152.8,115.7,141.8,43,129.6,148.8,78.2,178.4,96.7,142.3,123,130.5,89.5,178.4
2031,157.4,57.8,189.6,148.6,171,157,105.8,108.6,147.9,103.7,110.3,152.5,128.6,185.6,87.9,181.6,91.8,75.6,78.8,189.6
2032,120.3,149.5,168.7,153,157.5,133.4,99.3,119.7,119.1,71,179.6,273.4,164.9,133.2,99.5,124.1,75,101.6,108.2,273.4
2033,104.2,61.2,80.8,143.1,152.5,148.9,115.6,101.2,119.4,53,129.7,178,87.5,142.9,116.2,124.5,105.8,102.6,69.4,178
2034,104.3,81.7,56.9,145.5,159.6,165,142.4,115.2,109.6,67.5,136.6,197.5,81.1,122.9,91.6,117.4,66.8,142.7,115.2,197.5
2035,113,101.5,85.6,159.7,165.4,150.9,138.4,142.7,124.6,60.6,70.4,195.9,116.4,159.6,111,147.4,118.7,109.1,108.9,195.9
2036,106.1,81.7,109.7,158.2,183.3,214.3,113.7,139.7,109.5,82.2,86.3,136.7,135.4,113,95.5,155.3,79.4,94.4,100.3,214.3
2037,151.8,116.6,134.4,141.5,202.4,186.4,124.7,137.9,124.3,109.4,159.8,173.2,88.8,162.5,140.3,125.1,118.7,168.1,62.1,202.4
2038,112.8,81.3,138.9,157.9,115.2,136.3,133.3,105.2,136,108.6,82.3,179.4,157.5,104.4,83,150.9,99.7,144,126.8,179.4
2039,121,107.6,80,142.1,126.1,193.6,135.6,145.6,106.1,80.4,102.5,160.5,111,172.2,98.3,129.5,79.9,128.9,109.4,193.6
2040,122.3,94.8,120.7,146.7,158.5,140.5,105,115.8,108.3,72.5,113.8,200.2,170.3,119.2,108.9,126.6,110.2,75.3,120.8,200.2
