"Year","ACCESS-ESM1-5","AWI-CM-1-1-MR","BCC-CSM2-MR","CanESM5","CNRM-CM6-1","CNRM-ESM2-1","EC-Earth3","GFDL-ESM4","GISS-E2-1-G","HadGEM3-GC31-LL","INM-CM5-0","IPSL-CM6A-LR","MIROC-ES2L","MIROC6","MPI-ESM1-2-HR","MPI-ESM1-2-LR","MRI-ESM2-0","NESM3","UKESM1-0-LL","ensemble"
2015,83.2,24.8,68.9,78.3,76.6,78.6,76.7,79,80.4,77.3,81.4,78.9,86.5,82.5,78.5,78.8,78.7,96.1,78.7,96.1
2016,82.6,26.8,74.1,76.3,80.4,79.8,74.6,75.5,76.7,81.8,80.9,77,87.7,83.7,75.3,80.1,79.1,95.2,77.3,95.2
2017,83.8,26.4,77.1,77.9,77.9,77.9,76.2,74.9,78,80.6,81.7,79.8,84.9,82.9,79.6,79,77.9,95.3,80,95.3
2018,83,30.6,72.4,76.9,78.7,78.9,77.3,78.5,79.6,78.6,80.2,76.2,84.5,83.2,76.8,80.8,78.7,96.2,79.7,96.2
2019,82.5,26.4,74.1,78.4,80.1,78.9,77.7,77.7,77.6,77.5,82.3,80.1,85.6,83.3,79.6,79.9,79.6,95.7,78.2,95.7
2020,82.6,24.9,69.7,77,80.1,78.6,77.3,75.8,78,73.7,83.5,80.4,86.1,83,78.4,80.7,82.6,95.3,78.4,95.3
2021,83.1,29.1,69.8,77.4,78.9,79.7,75.1,79.3,79.2,77.8,82.6,80.8,85.3,83.5,76.8,82.7,78,95.6,78.6,95.6
2022,83,31.3,76.6,79.3,79.9,78.8,77.3,74.3,79.6,79,79.3,78.9,83.7,82.5,79.5,80.2,79.4,95.3,76.4,95.3
2023,83.1,22.7,78.2,79.4,78.2,80.1,74.9,73.7,80.2,77.7,83.4,75.8,84.8,85.2,77.9,81.3,76.8,95.9,78.2,95.9
2024,83.5,30.8,69.7,78.9,80.5,80.1,76.7,80.3,79.3,76.2,80.3,81.3,88.8,82.6,79.8,78.7,80.5,95.1,78.9,95.1
2025,82.4,27.5,79.1,78.8,78.1,79.1,77.1,77.7,78,79.7,84.7,78.3,86.8,83.1,81,79.2,79,95.4,79.9,95.4
2026,83.6,38,75.7,77.4,79.4,77.8,76.9,75.1,77.4,74.8,82.8,78.2,86.6,84.4,76.1,79.6,77.8,95.3,81.3,95.3
2027,82.7,32.7,71.5,78.8,78.9,79.6,76.5,75.6,79.9,78.2,83.6,75.5,85.9,83.9,78.1,80.6,81.1,95.9,78.9,95.9
2028,82.7,27.5,77,77.6,80,79.2,76.7,79.3,79.3,80.4,84.3,82,86.8,84.2,77.7,80.7,78.8,94.8,80.8,94.8
2029,82.3,33,80.1,79,79.5,78.8,77.6,74.5,78.8,78.2,82.2,81.9,87.8,83.6,80.7,81.3,76.2,96.1,79,96.1
2030,82.3,29.5,73.7,77.2,79.2,77.7,77.4,77.2,78.6,73.4,83.5,80.1,86.6,83.8,79.8,81.2,77.5,95.4,79,95.4
2031,82.7,25.1,71.5,80.6,79.3,80.7,77.4,75.1,78.9,81,79.7,76,87.3,83.7,78.3,79.8,80.4,95.6,78.3,95.6
2032,83.7,25.3,72.1,79.1,78,78.2,75.5,76.1,77.5,77.6,79.7,76.4,87.4,84.1,77.3,79.9,73,96.2,76.6,96.2
2033,82.9,31.8,77.2,79.2,79.4,78.5,77.3,77.1,78.4,78.7,82.8,81.3,85.8,81.9,76.4,79.7,81.2,96.3,79.7,96.3
2034,83.2,30.4,76.5,77.2,78.7,78.3,76.4,74.8,78.4,80.4,79.8,79.2,88.1,83.1,78.4,82.1,77.2,96.2,79.3,96.2
2035,84.5,21.5,74.6,77.4,79.2,79.6,75.4,76.3,79,77.3,84,78.3,86.6,83.5,80.4,81.4,78.8,95.7,81.3,95.7
2036,83.3,32.6,74.8,79.5,79.9,78.3,76.3,74.2,78,81.3,81.6,80.9,84.6,83.2,78.9,81.2,77.8,95.5,80.3,95.5
2037,83,29.1,70.3,78.7,78.7,79.6,78.2,73.5,78.6,77.6,80.3,79.9,87.3,83.4,78.2,81.1,80.1,95.6,81,95.6
2038,82.6,30.9,81,79.6,80.1,79.2,76.6,81.1,80,77.9,83,80.9,86.2,83.6,81.1,80.9,78.9,96,79.9,96
2039,82.7,37.5,76.8,77,78.6,79.4,76.5,74.3,78.1,83.2,81.2,74.9,87.1,83.5,76.5,80.6,80.2,95.7,79.3,95.7
2040,83.9,27.4,75.4,81.1,79.8,79,78.3,76.1,80,80.5,82,79.4,87.5,84,79.2,79.4,82.7,95.9,78.6,95.9
2041,83.4,35,73.8,79.6,77.9,79.4,77.2,78.2,79.1,80.7,82.1,82.6,86.3,84.9,79,78.3,80.5,95.9,80.4,95.9
2042,82.8,28.3,73,78.1,78.6,80.7,76.6,74.9,79,76.1,82.7,81,86.2,84.4,79.6,79.6,80.7,96.1,79.1,96.1
2043,83.1,29.6,73.9,80.6,81.2,79,76.2,76,79.7,81,84.3,80.6,88.4,84.4,80.1,82.4,81.1,96.2,79,96.2
2044,83.4,38,72.4,77.5,78.9,79.7,76.8,79.1,79.2,77.1,85.8,79.2,86.2,83.2,80,80.5,82.8,95.4,80.5,95.4
2045,82.8,29.5,75.6,78.4,77.9,79.9,79.4,77.9,79.7,78.2,84.1,80.6,87.3,84,80.9,81,78.7,95.9,78.9,95.9
2046,83.1,43.4,78.3,80,79.3,81.6,78.1,78.2,78.7,78.7,83.4,78.7,86.3,83.4,80.4,78.7,80.1,95.8,79.9,95.8
2047,82.5,29.4,80,80.5,79.4,79.9,76.4,78.3,79,79.7,81.2,77.5,87,83.4,82.4,81.5,82.1,95.5,79.8,95.5
2048,82.9,29,76.7,79.8,79.6,79,76.3,79.1,78.1,81.1,82.8,77.2,85.7,82.9,76.6,80.3,78.4,96,76.9,96
2049,83.3,33.2,73.4,79.2,78.8,79,78.1,74.3,79.4,73.5,83.4,79.5,86.7,83.6,78.3,82.3,79.3,96,79.9,96
2050,83,37.8,72.8,79.8,78.3,78.8,76.9,78.1,79.6,78.9,82,79.1,88.2,84.4,77.6,79.5,76.8,95.6,79.3,95.6
2051,83.1,25,76.2,77.8,79.7,80.1,78,78.2,80,79.3,82.4,80.3,88.2,84.3,78.3,80.6,80.6,95.4,80.5,95.4
2052,83,36.7,80.1,80.4,78.7,80.1,77.3,77,78.6,76.9,81.3,81.5,83.7,83.7,79.7,80.1,78.2,96.3,79.6,96.3
2053,83.8,23.1,76.6,80.3,79.8,78.7,77,79.3,78.3,78.6,83.8,81.4,87.5,85.2,80.3,80.2,79.8,96.2,81.8,96.2
2054,84.3,27,78.4,78,79,80.1,76.4,72.8,78.4,82.3,82.5,79.7,87,84,79.5,81.7,80.2,96,81.7,96
2055,83.9,32.7,74.8,80.7,79.8,80.3,77.6,78.1,78.3,80.3,80.7,80,86.4,84.8,78.5,80.2,82.3,96.1,81.4,96.1
2056,83.7,28.3,77.6,81.3,79,79.6,77.5,78.4,79,75.5,83.2,79.3,88.3,82.4,79.9,80.8,82.7,95.6,80.2,95.6
2057,83.5,29.7,69,79.3,78.9,79.7,78.3,80.9,78.3,79.6,79.3,80.9,87.5,82.3,78.7,79.9,80,96,81.1,96
2058,83,31.9,74.5,79.9,80.5,79.1,76.6,80.9,80.6,77.7,81.4,79.7,85.8,83.2,79.2,81.1,79.9,96.1,79.4,96.1
2059,82.7,26.2,74.7,80.2,79.3,79.8,77.7,76.2,77.3,77.8,82.7,81.3,86.8,85.4,78.8,81,78.4,95.8,81.2,95.8
2060,83.5,29.3,74.5,78.9,79.2,80.3,76.4,76.7,76.5,79.5,82.2,78.8,88.5,84.8,79.6,81.1,79.6,96.5,80.1,96.5
2061,83.3,29.1,72.6,80.3,79.3,79.2,77.6,79.8,80.1,81.8,84.6,80.1,87,83.5,80.7,83.2,81.7,95.7,79.4,95.7
2062,82.9,28.2,72.8,80.5,79.1,79.2,76.4,77,79.7,85.1,81.5,80.9,87.2,83.7,79.9,80.9,82.5,96.1,80.9,96.1
2063,82.1,34.4,77.7,78.5,79.5,79.3,77.2,78.3,81.9,76.8,85,78.6,88,83.6,83,81.1,78.9,96.1,79.8,96.1
