"Year","ACCESS-ESM1-5","AWI-CM-1-1-MR","BCC-CSM2-MR","CanESM5","CNRM-CM6-1","CNRM-ESM2-1","EC-Earth3","GFDL-ESM4","GISS-E2-1-G","HadGEM3-GC31-LL","INM-CM5-0","IPSL-CM6A-LR","MIROC-ES2L","MIROC6","MPI-ESM1-2-HR","MPI-ESM1-2-LR","MRI-ESM2-0","NESM3","UKESM1-0-LL","ensemble"
2015,18.9,19.7,12.2,18.9,18.1,17.9,19.3,11.8,19.5,NA,16,18.1,21.3,23.4,15.5,14.8,17,NA,18.2,23.4
2016,18.8,21.8,10.3,17.2,17.6,18.2,19.4,16.4,14.8,NA,16.7,17.4,20.4,23.7,17.3,15,18.2,NA,16.4,23.7
2017,19.1,23.5,12.2,17.3,17,16.4,16.3,12.2,19.6,NA,16.2,16.2,21.7,26.4,16.4,16.5,19.2,NA,16.7,26.4
2018,17.8,17.5,11.2,18.1,17.2,19.6,17.7,14.1,20.2,NA,17.1,14.9,21.3,23,16.5,16,17.6,NA,18.9,23
2019,19.4,22.1,10.7,18.5,15.8,19.2,16.7,12.5,17.4,NA,16.3,17.1,22.3,24.7,17.9,16,17.9,NA,18.3,24.7
2020,21,21.9,14.6,17.6,16.7,19.4,18.1,16,18.7,NA,16.7,15.7,22.9,21.3,16.9,15.6,17.6,NA,16.9,22.9
2021,19,19.5,11.8,17.1,17.5,17.6,16.7,17.3,15.2,NA,18.7,16.4,22.8,25.1,17,14.8,16.6,NA,19.4,25.1
2022,19.4,22.2,14.2,19.1,17,17.8,16,16.5,19.8,NA,16.6,16.7,24.1,26.5,18.4,15.2,17.1,NA,16.6,26.5
2023,18.8,21.7,14.3,18.3,16.8,19.7,15.7,13,19.1,NA,18.4,17.2,23.3,25.3,15.3,16.3,20.5,NA,18.1,25.3
2024,18.6,19.8,14.3,17.9,17.2,18,20.7,15.7,18.9,NA,16.6,16.4,24.7,23.9,15.1,15.5,17.3,NA,19.4,24.7
2025,19,21.9,12.6,17.6,17.7,19.5,17.6,12.5,19.9,NA,17.1,16.9,22.9,24,18.9,16.9,19,NA,19.5,24
2026,21.8,22.7,12.7,19.1,17.4,18.1,16.7,13.5,22.2,NA,16.2,17.6,21.2,27.8,17.3,16.7,17.7,NA,18,27.8
2027,20.4,23,15.4,20.9,19.4,18.7,15.7,12.4,18.1,NA,16.4,17.7,22.4,23.9,16.5,16.4,17.6,NA,17.2,23.9
2028,20.7,24.3,11.3,18.8,18.2,19.4,18.6,13.3,20.6,NA,17,16.3,20.3,24.5,15.5,15.5,18.3,NA,17.8,24.5
2029,20.8,21.6,16,19.3,16.9,19.3,18.4,12.7,20.8,NA,17.1,17.2,22.4,24.1,15,17.1,17,NA,18.8,24.1
2030,20.4,23.3,17.3,18.8,17,18.7,16.5,13.9,19.1,NA,16.5,16.5,22,27.9,17.1,15.6,17.5,NA,18.1,27.9
2031,18.9,23.9,15.8,21.4,17.7,18,18,14.1,15.3,NA,16.9,16.6,20.8,28.1,17.4,15.6,17.7,NA,19.6,28.1
2032,18.7,20.2,15.5,19.7,20,20.8,18.5,12.9,19.8,NA,18.4,15.8,23.4,26.9,18.8,16.5,18.3,NA,18.9,26.9
2033,19.5,19.1,12.5,17.8,17.8,18.6,22.8,14.4,18.7,NA,17.6,17.4,21.7,24.6,17.5,16,18.2,NA,19.1,24.6
2034,19.7,16.9,13.6,17.7,17.5,18,16.1,13.5,18.4,NA,17.9,17.2,22.3,22.1,17,17.2,18.9,NA,20.2,22.3
2035,19.1,24.7,14.5,17.6,18.3,18.8,17.7,14.3,18.5,NA,16.7,18.1,20.4,22,16.7,15.9,17.7,NA,18.7,24.7
2036,21.3,22,11.2,19.7,17.6,17,16.4,15.7,17.2,NA,17.6,17.2,22,24.4,16.8,14.1,18.3,NA,18.6,24.4
2037,20.4,20.1,15.2,20.1,17.6,19.9,14.8,17,18.6,NA,17.5,16.4,23.1,25.4,16.8,15.5,18.5,NA,18.4,25.4
2038,20.1,19.6,11.6,17.9,16.8,19.4,17.9,14.3,21.7,NA,18.7,17.7,21.8,25.4,17.8,14.7,19.6,NA,19.5,25.4
2039,20.2,21.3,14,20.7,18.5,20.4,18,14.9,16.6,NA,17.6,17.8,24,24.5,16.9,14.9,17.7,NA,20.6,24.5
2040,19.8,17.1,8.3,20,17.6,17.8,15.6,12.5,22.6,NA,17.2,17.6,21.4,22.4,16.6,16.8,18.6,NA,18.5,22.6
2041,23.6,20.6,11.7,18.4,16.6,18.4,18.7,15.6,19.8,NA,17.7,18,23.2,26,16.1,18.3,17.6,NA,19.6,26
2042,19.6,21.6,16.6,18.8,18.8,19.6,18.5,14.6,21.7,NA,18.8,17.8,23.4,25.2,18.9,15.6,17.9,NA,18.5,25.2
2043,20.7,21.6,11.6,19.3,18.7,19.2,18.1,16.1,20.5,NA,18.4,18,22.7,26.4,17.2,14.9,17.4,NA,20.8,26.4
2044,20.8,21,14.9,20.1,18.2,18.7,18.5,16.6,17.3,NA,19.2,19.2,21.2,23.5,17.1,15.9,19.2,NA,20.6,23.5
2045,22.2,19.4,15.3,21.2,18.3,21.1,18.9,14.5,17,NA,18.1,18.3,24.6,24.5,18.3,14.4,18.7,NA,21.1,24.6
2046,21.2,22.4,14.6,20.2,18.4,19.5,16.9,16,21.4,NA,16.8,17.8,25.7,24.3,18.8,18.2,17.6,NA,20.7,25.7
2047,21.1,22.9,13.1,19.5,19.2,19.7,19.8,14.4,20.1,NA,19,18.8,21.3,27.8,16.6,16.3,16.8,NA,20.6,27.8
2048,22.9,22.5,10.9,19.3,18.2,19.8,19.4,16.5,21.8,NA,18.5,20.2,23.3,27,18.3,15.8,20.8,NA,21,27
2049,22.2,25.9,9.2,21.9,19.4,19,17.5,14.5,18.7,NA,18.2,19,22.4,26.6,19.9,15.7,17.9,NA,20.8,26.6
2050,23.8,20.7,12.8,19.6,19.3,19.7,16.9,13,18.9,NA,19,20.4,26.2,24.4,18.7,16.9,20.5,NA,20,26.2
2051,21.1,18.3,10,22.6,18.6,22.7,19.6,16.8,21.8,NA,16.8,20.3,23.3,25.6,18.1,15.3,18.1,NA,23.2,25.6
2052,26.2,22.1,14.4,21.6,19.4,20.3,18.3,13.7,20,NA,18.6,18.3,23.4,27.1,17.9,17.3,18,NA,23,27.1
2053,22.8,23.2,14.9,20.3,19.1,19.1,18.8,16.4,19.9,NA,19,18.4,22,29.7,17.7,18.7,17.9,NA,21.9,29.7
2054,22.8,23.5,18.9,21.1,19.1,21.5,20.7,14.5,21.6,NA,18.6,19.5,22.2,25.2,17.8,16.1,18.9,NA,21.9,25.2
