"Year","ACCESS-ESM1-5","AWI-CM-1-1-MR","BCC-CSM2-MR","CanESM5","CNRM-CM6-1","CNRM-ESM2-1","EC-Earth3","GFDL-ESM4","GISS-E2-1-G","HadGEM3-GC31-LL","INM-CM5-0","IPSL-CM6A-LR","MIROC-ES2L","MIROC6","MPI-ESM1-2-HR","MPI-ESM1-2-LR","MRI-ESM2-0","NESM3","UKESM1-0-LL","ensemble"
2015,1,-13.1,-9.7,-2.1,-0.9,-0.5,-4.7,-4.1,-6.3,NA,0,0.8,1.5,0.5,-2,-2,-1.9,NA,-1,1.5
2016,0.5,-11.6,-8,-0.6,0,0.1,-2.4,-3.8,-4.7,NA,0.2,-1.6,1,-0.6,-2,-1.8,1.3,NA,-1.2,1.3
2017,0,-15.5,-8.4,-1.6,-0.4,-2.1,-2.6,-3.2,-4.6,NA,-1,-0.1,-0.7,2.1,-2,-2.9,-0.5,NA,-1.8,2.1
2018,1.3,-16.7,-4.4,-0.6,-0.2,-0.2,-1.7,-5.3,-5.4,NA,-1.3,-0.9,0.1,2,-3.5,-0.4,-0.6,NA,-0.7,2
2019,1.8,-10.7,-8.2,-2.1,0.5,0,-4.9,-4.2,-5,NA,-0.4,1.7,-0.7,1.9,-3.1,-2.4,0,NA,-0.5,1.9
2020,1.1,-7,-5.4,0.2,-0.1,-1.6,-3.8,-2.2,-4.1,NA,0.2,0.5,1,2.6,-1.8,-3,-2.4,NA,0,2.6
2021,0.4,-12.2,-6.3,-2.4,-1.3,0.4,-5.8,-6.8,-5.2,NA,1.4,0.5,1.9,1.3,-2.3,-2.8,0.2,NA,-2.2,1.9
2022,0.5,-16.4,-8.5,0.4,-0.2,0.7,-2.3,-2.2,-4.5,NA,0.2,-1.2,0.5,1.4,-2.1,-3.3,-0.8,NA,-0.6,1.4
2023,2.2,-16.9,-7.1,-2.4,-0.1,0.3,-2,-2.4,-5,NA,0.1,-1.6,1.6,1.2,-3.3,-0.7,0.2,NA,0.3,2.2
2024,1,-14.7,-5.9,-1.4,-1.1,-0.8,-2.8,-6.8,-4.7,NA,-0.1,-1,2.1,0.5,-1.8,-1.1,-0.7,NA,-1.1,2.1
2025,1.4,-12.7,-4.1,-1,-0.1,-0.7,-1.2,-1.6,-5.1,NA,1.1,-0.7,1.7,1.4,-2.5,-2.2,0,NA,-1.1,1.7
2026,0.2,-17.9,-3.8,-0.1,1.8,0.4,-3.1,-3.9,-4.5,NA,1.4,-0.3,-1.7,1.8,-3,0.2,-0.4,NA,1.3,1.8
2027,1.5,-11.1,-4.8,-1.7,-1.5,0.4,-2,-7.1,-4.2,NA,0.8,1.8,0.8,-1.1,-2,-0.1,-0.7,NA,-0.2,1.8
2028,1.8,-5.1,-4.1,-0.8,0.1,-0.8,-6.4,-4,-5.5,NA,0.9,1.1,-3.3,1,-2.7,-1.1,-0.1,NA,-1.3,1.8
2029,0.7,-12.2,-4.8,-2.2,-1.1,-0.3,-5.2,-6.9,-5.9,NA,-0.5,0.5,0.9,2.7,-2.4,-2.4,0.1,NA,1.1,2.7
2030,-0.1,-11.8,-4,-0.2,-0.6,-0.1,-3.4,-3.5,-4.1,NA,-0.5,-1,-1.4,2.4,-2.7,-2.5,0.4,NA,0.9,2.4
2031,1.4,-11.1,-2.5,-0.6,0.2,0.5,-3.9,-5.5,-6.2,NA,0.5,-0.9,2.9,1.8,-2.3,-1.7,1.9,NA,-0.6,2.9
