"scenario","Year","ACCESS.ESM1.5","AWI.CM.1.1.MR","BCC.CSM2.MR","CanESM5","CNRM.CM6.1","CNRM.ESM2.1","GFDL.ESM4","GISS.E2.1.G","HadGEM3.GC31.LL","INM.CM5.0","IPSL.CM6A.LR","MIROC.ES2L","MIROC6","MPI.ESM1.2.HR","MPI.ESM1.2.LR","MRI.ESM2.0","NESM3","UKESM1.0.LL","ensemble"
"historical",1850,110.2,91.6,101,102.2,155.4,192.8,153.6,125.1,86.8,179.9,108,126,114.3,111,101.7,235.2,112.9,112.6,235.2
"historical",1851,109.1,101.5,141.9,110.8,214.7,213.5,173.6,117.9,125,136.8,160.2,179.3,177.8,124.6,109.6,145.8,147.3,135.9,214.7
"historical",1852,140.2,160.8,110.2,128.3,157.2,137.5,107.9,78.3,88.7,153.6,216,137.6,167.3,100.3,113.6,221.8,140.3,128.2,221.8
"historical",1853,156.1,118.9,121.3,122.8,167,202.1,124.8,94.3,109.7,153.9,165.5,133.4,201,100.5,102.4,167.3,155.3,112.8,202.1
"historical",1854,98.5,156.7,82.5,126.4,182.8,126.8,125.1,102.3,100.8,136.3,94.5,159.1,101,164.2,130.6,199,69.1,100.5,199
"historical",1855,106.3,125.2,128.1,159.6,193.6,134.6,130.3,124.2,149.4,141.5,115.8,175.8,97.4,137.3,134.5,140.8,82.9,107.8,193.6
"historical",1856,86.8,143.1,144.5,152.1,160.3,138.3,124.6,108.6,108.9,137.6,150.2,153.6,147.8,91.7,100.7,112.9,145,134.5,160.3
"historical",1857,85.6,114.8,132.9,137.4,146,198.3,144.6,131.7,123.9,177.1,133.8,100.8,152.2,137.1,96.1,103.2,129.9,90.2,198.3
"historical",1858,90.3,157.1,115.6,131.1,146.2,188.7,87.9,85.5,104.7,158,120.4,136.9,146.5,105.7,106.9,117.8,109,118.3,188.7
"historical",1859,62.2,106.4,102.4,174.8,142.6,141.2,159.6,120.7,119.8,174.7,163.5,77.4,128.2,121.3,187,148,96.5,118.8,187
"historical",1860,122.1,117.6,95.6,157.5,130.6,174.8,135,98.4,95.5,158,203.4,124.3,153.8,131.9,141.4,106.6,141.5,134.4,203.4
"historical",1861,186.2,120,133.1,152.8,151.4,182.1,128.9,108,82,163.5,142.9,137.8,160.3,128,113.6,156.6,110.5,121.2,186.2
"historical",1862,74.9,98.7,184.6,154.3,180.1,186,182.7,68.2,111.1,137.4,145.2,143.7,194.4,166.8,119.3,140.2,83,139.3,194.4
"historical",1863,100.9,131.5,136.6,125.7,212.8,205.6,88.9,153.7,111.5,167.1,159.3,149.7,161,117.2,113.9,156.1,99.7,109,212.8
"historical",1864,92.1,151.4,122.3,123.9,202,185.1,125.4,87.4,97.4,162.8,162.7,129.4,157.5,114.3,111.1,165.7,139,139,202
"historical",1865,115.1,64,139.2,136.4,144.6,191.4,127.8,82.3,106.2,165.2,159.5,73.1,152.1,150,126.7,181.1,94.7,99.5,191.4
"historical",1866,66.5,98.7,126.2,123.3,166.5,200.2,142.8,79.7,106.3,153.9,159.5,99,190.1,102.6,101.3,139,80.3,92.1,200.2
"historical",1867,68.8,70.3,91.5,155.1,185.7,127.2,110.8,111.1,132.2,143.3,175.9,137.7,136.4,122.6,123.7,170,123.1,135.6,185.7
"historical",1868,169.2,112.3,99.2,125.3,186.3,195.6,137.9,86.6,151.8,182,160.7,146.5,149.2,120.5,113,170.5,129.5,117.4,195.6
"historical",1869,97.5,148.1,132.8,134.4,155.8,149.7,140.4,83.6,106.2,199,142,180.2,159.1,118.4,91.7,142.9,165.2,106.2,199
"historical",1870,128.7,140.2,133.6,120.2,168,230.7,139.1,118.5,87.5,131.9,187.2,161.5,143.6,126.2,131,125,107.7,112.5,230.7
"historical",1871,82.1,158.8,89.5,137.1,171.4,126.5,109.2,117.3,68.8,141.6,158.3,108.1,154.7,135.7,102,134.4,130.1,142.1,171.4
"historical",1872,62.7,94.9,102.5,128.6,171.7,194.6,129.2,139.7,115.1,148.4,188.4,101.3,139.1,136.7,127.1,155.7,123.1,137.9,194.6
"historical",1873,99.6,130.2,128.2,131.8,200.8,159.7,163,111.7,134.2,156.8,119.4,138.2,153.4,136.1,107.7,186.6,68.7,86,200.8
"historical",1874,113.5,142,90.5,171,137.6,170.4,151.9,131,55.3,176.6,132.9,190,183.6,131.7,120,95.4,111.3,135.4,190
"historical",1875,72.5,88.8,125.7,127,190.2,146.9,103.8,79.7,115.8,173.9,208,228,159,146.2,135.3,120.9,114.2,101.1,228
"historical",1876,70.3,169.1,117.7,123.3,179.8,170.3,134.2,149.8,84.2,183.7,192,122.6,167.1,127.6,93.2,146.2,130.2,128.5,192
"historical",1877,100.9,124.4,112.5,105.1,161.8,179.1,116.6,125.1,89.1,207.8,151.4,121.2,161.2,168.6,154,157.1,113.9,91.3,207.8
"historical",1878,70.5,99.3,99.1,119.3,145.8,170.8,175.1,114.9,130.2,134.7,144.8,128.2,139.3,212.9,143.1,143.5,102.8,140,212.9
"historical",1879,127.9,120.5,130.1,177,144,214.4,99,94.2,82.7,152.4,142,151.2,116.4,122.7,124,171.1,144.2,95.7,214.4
"historical",1880,91.9,114.6,80.6,137.8,186.1,177.3,140,91.7,72.2,193.6,119.5,197.1,159.1,120.9,110.5,135.1,127.5,108.8,197.1
"historical",1881,135.7,129.3,99.1,161.8,159.8,127.6,183.1,84.7,91.8,114.7,120.9,140.4,128.3,135.1,84.1,165.8,99.9,103.1,183.1
"historical",1882,59.3,82.1,169.1,157.5,142.1,163.2,156,101.7,105.9,128.1,148,153.9,155.2,173.7,137.8,151.2,98,117.1,173.7
"historical",1883,62.1,125.3,119.2,101.4,171.9,195.8,136.3,97.9,111.2,167.5,169.2,115.7,152.6,139.6,112,177.6,77.6,136.7,195.8
"historical",1884,119.5,103.7,84.1,101,199.9,171.1,116.8,115.7,91.4,147.2,119.4,121.8,209.6,155.2,132.3,149.4,76.6,111.1,209.6
"historical",1885,77.7,54.6,107.1,162.1,162.9,129.5,177.2,76.3,120.5,166.6,157.1,78.7,198.4,115.3,107.4,143.8,150.2,133.7,198.4
"historical",1886,74.1,118.4,148.7,168,167.4,178.2,142.2,58.6,84.4,151.6,111.6,136.2,186.7,84.7,107.8,119.9,138.2,102.8,186.7
"historical",1887,103,106,113.1,118.6,192.6,249.7,190.2,95.6,95.3,181.1,148.7,160.2,156,120.6,143.2,183.5,147.9,90.5,249.7
"historical",1888,114.6,133.1,94.3,97.7,119.6,186.8,79.4,112.7,98.3,147.3,151.5,144.5,231.9,106.1,126,116.8,137.5,88.6,231.9
"historical",1889,122.2,136.5,161.9,159.3,152.7,181.5,112.8,81.5,127.8,181.5,116,145,155.6,138.7,95.5,145.2,83.2,111.8,181.5
"historical",1890,134,88.9,106.6,124.7,155.6,139.2,125.4,122.8,115.9,130,147,114.1,172.4,138.5,128.2,175,92.5,112.3,175
"historical",1891,123.7,164.2,117.8,131.4,173.2,203,162.3,127.2,128.9,108.9,159.6,146.6,160.5,174.9,105.7,182.5,85.8,110.2,203
"historical",1892,90.5,70,102,128.3,148.4,167,129.8,118.7,91.2,148.4,155,70.3,164.1,140.9,135,154.4,69.9,122.5,167
"historical",1893,72.3,89.4,107.8,154.1,210.9,205.3,132.9,81.3,78.1,191.9,120.5,171.9,136.5,151.6,92.5,173.2,99.2,85.6,210.9
"historical",1894,109.6,173.9,124.7,145.6,199.3,177.6,129.2,119.3,94.8,171.8,248.6,118.5,138.8,114.5,137.6,182.4,73.8,122.3,248.6
"historical",1895,93.2,127.5,99.8,160,171.4,197.7,153.1,100.4,60.7,133.6,202.5,160.9,159.7,120.5,109.8,143.5,125.2,147.6,202.5
"historical",1896,101.1,110.9,130.8,133.2,231.3,150.4,120.8,120.3,146.3,182.4,165,128.6,185.6,109.8,139,128.9,99.7,109.7,231.3
"historical",1897,109.4,159.6,153.4,128.3,158.7,245.2,151.6,82.3,120.3,138,159,108.9,127.2,116.5,87.9,138,154.9,184.8,245.2
"historical",1898,70.9,174.7,186.8,114.9,143.9,145.8,123.5,137.8,129,145.3,142.3,118.3,144.3,116.5,104.1,129.7,116.4,108.6,186.8
"historical",1899,72,87,94.8,131,137.4,152.6,124.3,142.5,125.8,118.1,173.1,225.2,149.3,142.6,101.2,216.2,96.6,83.3,225.2
"historical",1900,82.8,110.1,113.6,132.1,149.7,168.1,130.6,106.4,108.3,183.5,178.3,245.4,134.3,155.5,110.5,135.9,88.7,94,245.4
"historical",1901,104.2,129.5,109.8,127.7,149.7,193.2,133.2,100.4,93.9,149,191.4,168.9,119.2,135.2,129.4,117.6,152.8,74.2,193.2
"historical",1902,69.2,121.3,179.6,122.4,182.4,152.1,119.1,108.6,114.7,235.9,153.3,126.7,169,128.8,166.1,162.8,122.9,117.8,235.9
"historical",1903,89.4,96.5,110.1,137.6,163.5,141.1,156.6,97.7,107.2,178.2,157.9,224.2,191,118,179.2,159,90.3,136.2,224.2
"historical",1904,122.3,113.7,126.8,151.4,175,145,108.5,84.3,124.5,135.1,126.9,123,149.6,142.9,121.8,151,60,118.1,175
"historical",1905,110.6,108.3,97.8,116.2,138.3,215.3,134,131.6,110.3,111.6,130.8,121.6,168.9,116.3,113.8,161.8,100.6,111.4,215.3
"historical",1906,90.7,80,121.1,136.7,202.7,141,120.5,84.9,61.2,155.3,122,111.1,172.8,133.9,92.5,160.3,110.4,97.7,202.7
"historical",1907,113,105.2,83.7,124.6,144.2,157.8,149.6,99.8,110.7,177.2,179.3,126.6,142.4,108.7,93.3,168.2,183.5,122,183.5
"historical",1908,98.6,91.5,110.9,124.9,142.2,152.9,88.6,83.5,103.7,150.2,110.4,108,138.6,139.6,118.2,129.9,85.6,106.2,152.9
