"Year","ACCESS-ESM1-5","AWI-CM-1-1-MR","BCC-CSM2-MR","CanESM5","CNRM-CM6-1","CNRM-ESM2-1","EC-Earth3","GFDL-ESM4","GISS-E2-1-G","HadGEM3-GC31-LL","INM-CM5-0","IPSL-CM6A-LR","MIROC-ES2L","MIROC6","MPI-ESM1-2-HR","MPI-ESM1-2-LR","MRI-ESM2-0","NESM3","UKESM1-0-LL","ensemble"
2015,267,289.4,209.3,219.5,256.6,243.6,209.5,298.9,197.7,189.9,241.2,281.8,378.6,280.7,137.7,197,241,211.5,172.4,378.6
2016,263,270.3,223.9,236.8,235.9,209.6,211.6,269.6,160.7,245.4,262.9,226.1,367.8,290.4,276.7,199.9,225.2,241.4,185.2,367.8
2017,231.3,230.7,173.3,228.8,271.7,302.6,210.9,218.9,191.1,224.5,228.2,274.6,382.6,258.3,290.4,260.6,260.3,251.5,183,382.6
2018,235.9,240.4,279.7,256.5,311.1,265.6,154.7,254.6,208,164.7,298.7,254.2,359.2,295.3,152.4,240.3,195.5,282.6,168.1,359.2
2019,271.8,275,260.7,277.2,269.5,279.8,185,198,175.8,242.2,311.3,313.4,341.3,259.6,307,225.6,226,232.1,177.7,341.3
2020,226.6,230.8,286.4,261.8,242.8,262.9,210.3,251.4,188.6,177.8,274.4,266.9,369.1,312.5,247.2,295.6,234.8,228.6,229.5,369.1
2021,269.5,327.9,226.8,293.8,267.9,234.4,222.6,254.9,190.6,224.5,241.6,252.9,371.1,314.3,279.4,255.4,194.9,254.4,192.9,371.1
2022,247.9,270.1,215.8,257.2,307.1,276.5,212.1,228.7,243,243.6,329.1,270.1,390.6,285.8,217.3,249.3,228.1,187.8,174.8,390.6
2023,237.8,311.5,259.3,226,214.8,240.1,188.8,241.8,231.6,226.1,270.8,327.2,295.2,312.5,215.3,225.3,213,255.2,226.1,327.2
2024,277.4,217.2,319.5,288.8,254.3,262.4,197.9,221.7,192.5,223.6,292.5,312.4,245.9,285.9,343.5,186.8,274.7,278.2,203.4,343.5
2025,225.6,283.9,233.5,245.4,237.6,274.3,174.9,189.4,195.2,219.2,325.5,269.7,421.5,292.2,187.9,180.1,230,307.4,178,421.5
2026,260.9,288.9,194.3,287.2,253.8,247.4,169.7,277.1,220.2,158.8,319.8,319.3,426.5,284.3,330.5,258.9,299.9,227.8,190.2,426.5
2027,266,231.3,256.4,247.9,243.8,291.6,151,274.2,198,188,206.1,281.8,369,365.8,280.6,250.4,301.9,191.1,182.9,369
2028,282.3,255.1,335.1,272.7,272.8,222.3,191.4,248.4,188,195.6,307.2,320.6,402.5,307.9,210.2,229.4,249.3,237.4,200.4,402.5
2029,242,290.4,154.9,277.8,339.4,247.3,162.5,207.3,198.3,203.5,276,301.7,391.8,318.1,187,242.9,204.6,228.3,249.2,391.8
2030,277.7,237.7,287.2,255.6,289.3,228.9,217.6,288.8,248.6,178.1,265.2,307.1,327.8,294.3,244.4,210.4,236.9,275.5,268.5,327.8
2031,245.5,292.6,192.8,290.2,278,256.7,196.3,289.3,201.1,209.8,396.5,323.3,379,276.6,194.9,244.3,326,262.6,229.1,396.5
2032,214,199.7,251.5,275.3,239.3,267.7,171.5,217.6,229.8,197.8,168.6,265.6,395.3,314.4,223.3,212,172.2,277.1,199.9,395.3
2033,293.4,203.8,231.9,280.2,192.9,248.8,225.7,233.9,196.4,179.2,264.6,244.5,341.1,326.7,263.9,237.9,257.3,239.2,223.2,341.1
2034,302.8,258.4,228.7,301.3,270.1,306.8,213.7,183.7,181.1,237.2,297.6,281.5,429.4,311.1,199.3,210.7,400.7,324.4,204,429.4
2035,245.7,308.9,206.8,262.3,328.7,243.7,191,269.8,188.9,203.3,204.7,291.6,311.5,291.7,269.1,227.3,255.3,270.1,183.8,328.7
