"Year","ACCESS-ESM1-5","AWI-CM-1-1-MR","BCC-CSM2-MR","CanESM5","CNRM-CM6-1","CNRM-ESM2-1","EC-Earth3","GFDL-ESM4","GISS-E2-1-G","HadGEM3-GC31-LL","INM-CM5-0","IPSL-CM6A-LR","MIROC-ES2L","MIROC6","MPI-ESM1-2-HR","MPI-ESM1-2-LR","MRI-ESM2-0","NESM3","UKESM1-0-LL","ensemble"
2015,82.4,29,65.1,76.4,77.2,75.2,75.6,75.7,80.5,76.6,78.2,82.2,87.8,82.6,76.5,79.9,76.8,96,78.9,96
2016,82.2,28.8,75.2,78.6,80.6,78.4,73.4,76.1,77,82.2,81.1,80,89.7,82.2,76.2,79.3,79.5,95.2,77.3,95.2
2017,82.6,21.5,73.9,77.3,77,76.4,74,77,78.3,81.7,83.9,82,85.8,82.9,80.3,79.3,76,95.3,78.3,95.3
2018,81.1,32,72,77.5,78.4,78.4,74.8,78.5,79.4,79.6,77.1,81.7,85.5,85.6,75.8,81.9,78.1,95.8,80.1,95.8
2019,82.6,24.5,75.7,77.9,79.5,77.2,75.4,74.5,77.1,79,81.2,79.9,86.5,84.7,78.7,78.4,79.4,95.6,79,95.6
2020,82.6,27.6,71.2,77.2,79,77.3,75,77.7,79.4,72.9,79.4,84.5,88.1,83,77.5,79.8,83.3,95.4,80.4,95.4
2021,81.9,34.5,65.5,77.5,77,77.3,73.8,78.3,77.6,82.3,83.4,80.8,87.4,83.9,76.7,82.5,75.8,95.6,79.3,95.6
2022,84,29.9,77.9,79.8,78.9,78.1,74.9,71.6,80.1,80.8,76.5,80.8,85.6,83.1,80.3,80.6,81.5,95.1,78.7,95.1
2023,83.4,22.8,75.8,78.4,78.3,78.1,73.8,74.5,80.2,79,80.9,80.4,87,83.7,77.7,81.4,73.6,95.5,79,95.5
2024,84.2,34.6,69.6,79.5,78.5,77.5,75.1,82.4,78.5,76.1,78.4,83,90.1,82,79.5,79,79.1,95.4,79.2,95.4
2025,82.8,25.3,78.2,80.5,76.6,78,74.3,74.8,77.5,81,82,81.5,87,83.8,81.6,78.3,79.3,95.1,82.2,95.1
2026,82.1,40.3,75.3,77.9,79.1,77.6,73.5,72.8,78,76.6,81.6,81.6,87.6,83.2,76.9,79.8,76.4,94.8,82.3,94.8
2027,81.8,32.7,71.9,78.6,78.2,78.9,74.8,72.9,80.4,80.1,84.7,79.2,88.6,84.2,76.1,79.8,80.2,95.6,81.4,95.6
2028,83,33.1,78,78.7,78.7,76.9,74.5,76.6,78.9,80.4,84.7,83.4,87.9,83.8,77.3,80.8,79.2,95,79.9,95
2029,81.8,34.3,77.8,78.1,78.7,77.7,75.9,74.9,78.5,77.8,82.7,81.8,88.9,83.6,81,80.6,75.4,96.3,79,96.3
2030,82.7,27.5,71.9,78.8,79.6,77,74.6,73.6,78.9,76.3,84.4,81.7,89.1,83.8,77.7,83.2,77.1,95.7,80.9,95.7
2031,81.9,27.9,72.1,78.5,79.7,78.4,76.1,74.6,78.2,81.7,77,81.6,88.1,83,75.4,80.5,79.8,95.4,81.6,95.4
2032,83.7,22.1,70.4,79,78.7,76.4,75.3,76.9,77.4,79.9,77.8,79.8,87.5,84.2,76.2,80.9,70.4,96.3,77.6,96.3
