"Year","ACCESS-ESM1-5","AWI-CM-1-1-MR","BCC-CSM2-MR","CanESM5","CNRM-CM6-1","CNRM-ESM2-1","EC-Earth3","GFDL-ESM4","GISS-E2-1-G","HadGEM3-GC31-LL","INM-CM5-0","IPSL-CM6A-LR","MIROC-ES2L","MIROC6","MPI-ESM1-2-HR","MPI-ESM1-2-LR","MRI-ESM2-0","NESM3","UKESM1-0-LL","ensemble"
2015,-2.5,-23.8,-19,-6.3,-4.9,-4.7,-6.1,-8.2,-7.9,-8.9,-10.4,-1.9,-2.5,0.2,-6.1,-8.2,-5.6,-5.6,-2.8,0.2
2016,-2.3,-19.9,-16.2,-2.7,-4.4,-3.9,-8.4,-12.4,-9.8,-7.6,-5.7,-3.2,0.5,-0.1,-9.3,-5.3,-3,-4.5,-5,0.5
2017,-3.2,-26.8,-15.7,-6.2,-4.6,-3,-8.6,-7.8,-7.8,-9.9,-5.1,-3.3,-0.8,0,-10.4,-8.6,-10.1,-3.2,-7.4,0
2018,-4,-31.7,-9.7,-3.9,-4.2,-3.3,-7,-10.4,-6.9,-6.1,-4.4,-2.9,-2.5,-3,-8.2,-9.7,-3.4,-1.9,-7.1,-1.9
2019,-2.5,-20,-12,-3,-5,-4.5,-9.6,-7.2,-9.5,-4.5,-7.7,-2.1,0.7,-3,-8.1,-6.7,-5.4,-3.9,-3,0.7
2020,-2.7,-22.3,-9.1,-5.9,-4.6,-4.7,-9.8,-6.7,-7.8,-5.5,-4.9,-8.3,-6.9,-1.2,-14.6,-7.6,-11.2,-3.9,-4.5,-1.2
2021,-2.1,-30.5,-14.1,-4.1,-2.5,-3.3,-8.2,-12,-5.6,-7.7,-2.4,-3.6,-4.2,-0.8,-11.1,-6.2,-6.7,-7.3,-7,-0.8
2022,-2.1,-26.3,-10.4,-6.1,-3,-2.6,-6.7,-6.6,-9.3,-4.1,-5.1,-5.6,-4.3,-0.9,-10.3,-9,-6.5,-12.4,-5,-0.9
2023,-2.1,-20.4,-5.9,-6.4,-4.1,-3.4,-8.8,-13.3,-7.7,-5.3,-3.3,-6.3,-0.2,-2.1,-10.2,-8.6,-11.2,-3.7,-3.6,-0.2
2024,-3,-10.5,-3.6,-4.1,-2.6,-1.2,-7.7,-10,-8.2,-7.5,-3.9,-2.8,-0.9,-1.8,-2.9,-10.4,-3.5,-8.7,-7,-0.9
