"Year","ACCESS-ESM1-5","AWI-CM-1-1-MR","BCC-CSM2-MR","CanESM5","CNRM-CM6-1","CNRM-ESM2-1","EC-Earth3","GFDL-ESM4","GISS-E2-1-G","HadGEM3-GC31-LL","INM-CM5-0","IPSL-CM6A-LR","MIROC-ES2L","MIROC6","MPI-ESM1-2-HR","MPI-ESM1-2-LR","MRI-ESM2-0","NESM3","UKESM1-0-LL","ensemble"
2015,142.2,34.1,66.2,121.3,96.3,108.8,104.1,76.4,109.5,114.9,120.8,110.6,147.1,146.7,100,102.6,82.6,129,115.6,147.1
2016,135,58.5,83.4,113.4,99.9,104.3,99.5,58.4,106.9,118.9,130.5,97.7,141.4,134.6,101.6,101.1,101,146.7,113.9,146.7
2017,151,80.5,86.6,107.3,95.4,104.9,96.1,66.4,104.1,113,128.7,113.6,132.7,140.3,86.4,101.7,101.8,141.3,113.8,151
2018,142.8,79.1,77.1,112.8,108.9,105.4,100.9,60.3,96.4,120.8,118.2,108,152.2,138.5,104.4,100.1,104.7,134.6,126.1,152.2
2019,145.6,23,71.6,111.1,98.3,114.1,101.8,69.2,104.4,107.3,121.6,109.2,147.4,131.1,104.8,111.1,120.6,132.3,115.6,147.4
2020,143.3,55.7,61.6,111.8,94.1,104.9,114.4,81.9,104.7,110.1,128.8,109.5,154.8,144.4,91,99,102.6,131.9,116.2,154.8
2021,134.4,58.1,75.3,113.4,109.6,105.7,113.2,67.2,104.7,114.2,138.2,108.4,138.5,135.6,107.2,104.5,101.9,133.8,120.1,138.5
2022,132.4,70.2,61.3,110.4,100.4,112.6,103.6,64.6,114.5,118.2,124.9,105.9,149.8,140.9,97.3,111.9,84.4,125.1,128.4,149.8
2023,141.7,56.8,79.8,109.5,100.2,103.1,98.2,59.1,104.3,118.8,120,108.6,152.7,140.7,100.1,100.1,100.4,142.2,122.3,152.7
2024,143.3,86.8,52.9,114.4,102.7,110.3,93.5,63.8,108.3,120.8,140.4,116.3,155.3,142.3,99.3,112.3,98.1,125.4,118.9,155.3
2025,139.8,58.6,52.7,114.2,102.8,111.6,101.2,90.3,111.4,133.5,123.2,112.5,146.9,141.9,94.2,105.1,90.2,132.5,118.9,146.9
2026,138.4,61.3,56.5,110.6,105.4,107.2,113.4,80.5,100.8,133.5,126.4,118.4,136.8,145.9,103.7,96.8,107.9,129.9,119.6,145.9
2027,144.9,49.7,66.2,115.1,108.9,109.7,113.6,55.2,118.8,122.7,142.9,120,140.4,140.4,91.9,111.5,115.3,140.5,119.3,144.9
2028,154.4,44.6,64.1,111,102.9,108.5,103,73.7,113.6,130.4,126.6,114.9,150.3,152.9,107.1,99.5,102,127.7,129.1,154.4
2029,143.2,46.1,78.7,116.7,95.4,104.6,103.3,67.1,114.2,108.2,123.3,110.7,149.1,144.2,102.5,111.1,109.8,132.3,119.4,149.1
2030,139.6,42.5,71.3,116,108.8,120.8,101.2,85.9,94.4,118,120,109,145.2,145.4,91.2,107,103.1,123,122.4,145.4
2031,143.9,49.5,47.2,119,105.7,111.7,106.9,69.8,98.6,126.3,117.3,111.9,143.5,148.7,87.5,102.8,112.3,133.1,125.8,148.7
2032,138.5,66.4,67.5,119.8,100,113.6,110.7,83.2,118.3,129.2,118.6,111.7,149.2,138.1,101,116.4,109,143.2,128.5,149.2
2033,143.6,51.4,60.9,123,105.9,107.2,103.6,74.3,110,114.9,128.5,121.6,158.6,141.5,92.6,108.6,105.1,133.3,122.4,158.6
2034,147.1,57.4,73.2,117.4,103.8,111.2,112.3,87.6,108.3,118.5,123.1,119.6,145.7,137.2,90.8,104.3,114.1,142.8,126.7,147.1
