"Year","ACCESS-ESM1-5","AWI-CM-1-1-MR","BCC-CSM2-MR","CanESM5","CNRM-CM6-1","CNRM-ESM2-1","EC-Earth3","GFDL-ESM4","GISS-E2-1-G","HadGEM3-GC31-LL","INM-CM5-0","IPSL-CM6A-LR","MIROC-ES2L","MIROC6","MPI-ESM1-2-HR","MPI-ESM1-2-LR","MRI-ESM2-0","NESM3","UKESM1-0-LL","ensemble"
1850,1.9,4.5,-1.1,5.9,2.2,2.6,NA,-0.7,0.7,-0.1,0.9,-0.5,1.5,1.3,0.1,-0.5,1.2,-2.7,0.4,5.9
1851,1.4,3.5,-1.1,2.5,0.8,1.9,-1.4,1.2,-0.5,0.6,2.6,-1.6,3.1,1.8,2.1,-0.4,2.5,-3.3,1.7,3.5
1852,1.6,2.6,-2.1,5.6,3.8,2.6,1.6,-0.1,-1.7,0.2,1.4,-1.1,3.6,2.6,1,0.6,1.8,-4.9,1.7,5.6
1853,1.7,2.6,-0.1,2.2,1.9,1.8,0.1,2.7,1,0.9,-0.2,-0.3,1.8,1.4,1.8,-0.2,3.5,-1.6,1.7,3.5
1854,1.5,2.7,1.5,4.3,0.9,2.2,1,0.3,0.4,-0.4,2.2,-1.8,1.5,2.3,0.5,-0.3,3.7,-4.3,3,4.3
1855,1.3,6.5,1.8,1.6,1.7,2.4,0.1,-0.6,1.2,0.3,0.3,-2.2,2.7,1.8,2.2,-0.9,3.2,-5.1,1.4,6.5
1856,2.9,3.3,1,2.2,3.1,2.3,0.6,0.6,0.5,1.5,0.4,-0.8,4.1,2.9,2.1,3,3.3,-2.9,2,4.1
1857,0.6,6.4,3.6,1.7,1.2,1,-1.4,3.8,0.1,0.5,1.4,-1.2,3.4,1.7,3.7,0.1,4.6,-4.8,3,6.4
1858,1.3,1.1,-0.8,1.8,1,2,0.4,1.6,-0.4,0.8,0.1,-0.5,2,2,2.1,1.2,3.1,-4.4,3.4,3.4
1859,1.5,1.7,-1,2.1,1.1,1.9,-0.6,4.2,0.1,-1,-0.2,-1.4,0.8,3.1,2,-0.3,0.6,-2.4,1.8,4.2
1860,0.9,2.9,0.8,0.9,3.2,2.3,0,3.4,-2.1,-0.3,0.3,-1.4,5.6,3.3,-1.5,-1,2.2,-3.4,3,5.6
1861,1.3,3.7,-1.7,3.4,0.5,3.5,-1.1,0.6,-0.8,0.6,0,0,2.5,3.9,0.5,0.1,1.8,-1.3,0.8,3.9
1862,2.5,2.3,2.8,2,1.3,2.7,-1.7,0.5,0.5,-1.4,0.2,-1.6,3.8,1.7,-0.9,-0.9,2.4,-3.5,3.5,3.8
1863,1.6,1.2,-1.2,2.2,3.3,1.7,-2,0.4,-0.5,-1.2,-0.6,-0.4,2.3,2.4,1.5,0.1,3.8,-4.9,3,3.8
1864,1.2,2.3,0.8,2,1.9,2.5,-3.2,1.2,-0.2,-0.2,0.2,-0.9,4.7,3.2,2.4,-0.4,5.5,-4.2,1.1,5.5
1865,2.8,3.8,-0.5,3.4,1.8,3.3,-2.8,2.4,-1.2,1.2,0.3,-0.7,2,1.5,-0.2,-1.8,3,-5.5,2,3.8
1866,2.7,1.8,0.8,0.9,1.1,2.2,-1.3,-0.4,1.9,1.4,-0.7,-1.3,4.2,1.4,0.3,0,4.8,-3.4,3.1,4.8
1867,1.7,3.5,0,4.9,1.1,2,-1.1,1.1,-1.7,0.4,0.6,-0.7,3.5,3.1,2.7,0.7,5,-4.2,2.1,5
1868,1.5,6.5,-1.2,0,2.1,2.7,-0.2,-0.6,2.4,-1.2,0.7,0.2,2,2.5,1.4,0.1,1.5,-3.7,1.9,6.5
1869,1.3,4.6,2.7,2.9,0.8,3.6,-1.4,-0.6,2.8,0.4,0.8,-1.3,4.6,2,2,-0.3,2.1,-3.7,1.9,4.6
1870,2.4,6.4,-0.2,2.1,0.9,2.1,-3,1.8,-0.3,2.9,-0.1,-1.4,2.6,2.7,1,0.1,4.6,-4.4,3.6,6.4
1871,1.8,1.8,1,0.4,0.5,1.2,-2,0.9,1.1,0.1,1.6,-1.1,3,5,1,1.2,2.7,-3.8,4,5
1872,1.8,1.7,-0.7,1.3,1.2,2.7,-1.9,1.3,-2.7,1.2,1.6,0.6,1.9,3.1,3,0.9,4.4,-3.8,1.3,4.4
1873,1.7,3.7,0.1,3.6,3.5,3,-2,-1.2,1,1.4,1.4,-0.8,3.8,3.1,2.8,0.9,3.9,-3.3,1.6,3.9
1874,1.5,4,1.2,3.9,4.6,3.6,-1.6,0.2,1.1,0.9,0.6,-0.1,2.6,2.4,2.1,-0.7,1,-5.7,3.4,4.6
1875,0.9,4.5,-1.4,2,2,2.6,-1.2,0.9,2.1,1.6,0.2,-0.3,4.2,2.2,1.3,-0.5,5.2,-5.9,2.7,5.2
1876,1.3,6.1,1.7,1.4,0.4,2.5,-2.3,2.5,0.3,1.2,0.1,-2,3.7,1.5,-0.5,1.6,3.7,-3.6,2.7,6.1
1877,1.7,7.9,-0.6,1.2,-0.3,1.1,-2.3,-0.4,1.1,-0.1,-0.1,-2,2.8,2.3,1.4,2.3,3.4,-3.4,1.8,7.9
1878,1.3,2.9,0.7,2.4,1.2,1.6,-0.4,1.3,0.7,1.5,0.7,-1.9,4,1.5,1.9,-0.4,2,-5,1.4,4
1879,1.7,1.4,-0.4,2.5,0.3,0.4,-0.7,0.9,1.3,1.3,0.5,-0.8,3.2,2.5,1.7,1.5,2.1,-1.6,2.5,3.2
1880,1.8,2.6,1.4,2.7,2.2,2.2,-1.6,2,0.1,2.6,0.2,-2,4.4,2.7,0.3,0.9,3.2,-5.3,2.2,4.4
1881,0.8,5.5,-0.1,3.5,-0.5,5.4,-2.2,1.1,1,2.4,0.9,-1.6,2.8,3.3,1.5,-0.7,3.7,-2.1,2.6,5.5
1882,1.5,3.2,1.1,3.6,-0.6,1.6,-2.1,0.8,1.2,2.3,0.5,-0.9,3.7,2.1,1.2,1.3,2.7,-4.5,1.8,3.7
1883,1,5.9,1.6,3.4,2.1,2.7,-2.9,-0.5,-0.4,0.9,-0.2,-1.7,1.9,3.4,0.6,2.5,4.2,-3.4,3.2,5.9
1884,1.8,4.7,-1,2.5,2.4,2,-0.6,1.2,0.6,-2.7,0.1,-1.5,3.2,2.1,-0.3,1.2,0.9,-3.9,0.6,4.7
1885,2.3,4.6,0.3,2.7,-0.4,2.8,-0.7,-0.9,0.9,1.9,0.3,-2,5.2,3.6,1,-0.7,1.2,-2.8,3.1,5.2
1886,2,2.5,1.1,2.7,1.1,1.1,-1.9,-1.9,1.3,1.6,0.6,-0.3,5,2.6,2,-0.8,2.9,-4.6,2.2,5
1887,3.3,3.3,0.7,3.6,2.3,3,-0.5,-0.4,0.8,0.1,-0.2,-1.5,3.4,1.2,0.5,-0.8,2.6,-2.5,3,3.6
1888,1,2.4,0.5,2.7,1.2,1.3,-2.9,1.6,-0.2,-0.1,-0.5,-1.1,2.5,2.4,1.5,0.9,2.7,-3.2,1.8,2.7
1889,1.1,2.2,-0.6,3.3,2.4,2.3,-1.3,-0.4,1.7,0.2,2.5,-0.9,2.8,2,1.9,0.2,2.5,-3.5,2.9,3.3
1890,1.6,2.8,-2,2.9,0.4,2.5,-2.5,0.6,-0.5,2,-0.3,-0.5,3.1,2.2,-0.5,1.8,2.9,-2.9,1.3,3.1
1891,2.1,2.2,-1.2,2.7,1.7,1.2,-0.6,-1.7,-0.9,1.5,0.1,-2.2,1.7,2.9,0.9,-0.1,4.4,-4.1,2.3,4.4
1892,1.8,4.7,1.2,1.3,2.4,2.5,-2.6,0,0,0.3,0.2,-1,5.9,2.1,1.1,0.2,1,-3.1,1.3,5.9
1893,1,3.6,0.2,2.7,1.2,3.3,-0.9,2.3,1.5,1.5,-0.8,-1,3.7,2.3,0.3,-0.9,2.1,-5.2,2.9,3.7
1894,1,2.3,1.5,0.9,3.8,3.5,-2.8,1,-2.7,1.7,0.3,-2.5,4.4,5.2,-0.2,0.5,2.5,-3,2.1,5.2
1895,1.2,4.4,1.4,1.9,2.6,4.6,-2.8,2.8,3.2,2.6,-0.3,-1.4,1,1.8,3.1,0,2.7,-3.4,1.8,4.6
1896,1.8,4.6,1.5,1.9,3.6,4.3,-2.4,2.1,1.3,0.1,-0.6,-1.8,3.9,5.2,0.4,0.8,4,-4.4,3.2,5.2
1897,1.3,7.1,-0.3,2.3,1.9,3.2,-2.1,1.7,-0.6,2.6,0.7,-0.7,3.9,1.3,0.7,-2.5,0.7,-3.6,1.2,7.1
1898,1.5,6.1,3.8,0.1,2.1,2.1,-3.2,1.9,1.6,4,0.5,0,3.8,1.7,0.9,-0.7,3.5,-1.6,1.6,6.1
1899,2.2,6,-0.2,2.9,2.2,2.9,-0.3,-1,0.3,-0.5,0.3,-1,4.8,3.3,0.2,0.5,3.3,-3.9,2,6
1900,1.4,6.2,-3.1,3.6,1.9,2.4,-1.2,2.6,-0.3,-0.4,1,-1.3,4.5,2.8,2.3,-0.4,4.1,-5.1,1.7,6.2
1901,1.4,4.9,-1.1,0.4,2.3,1.9,-0.6,-0.2,-1.4,2,0.1,-1,2.1,3.6,0.2,-0.3,2.4,-3,2.7,4.9
1902,2.4,4.8,-0.2,2.4,1.2,3.3,-1.6,1.4,0.7,1.7,0,-0.1,2.1,1.7,2.2,-0.8,3,-3.3,3.9,4.8
