"Year","ACCESS-ESM1-5","AWI-CM-1-1-MR","BCC-CSM2-MR","CanESM5","CNRM-CM6-1","CNRM-ESM2-1","EC-Earth3","GFDL-ESM4","GISS-E2-1-G","HadGEM3-GC31-LL","INM-CM5-0","IPSL-CM6A-LR","MIROC-ES2L","MIROC6","MPI-ESM1-2-HR","MPI-ESM1-2-LR","MRI-ESM2-0","NESM3","UKESM1-0-LL","ensemble"
2015,23.1,25.3,12.3,18.1,14.4,16.7,16.2,10.4,14.2,NA,20.3,14.3,13.7,16.4,14.6,13.9,12.4,NA,18.6,25.3
2016,22.7,23.7,7.7,19.1,14.8,13.5,21.2,14.1,13.7,NA,18.4,13.3,11.6,17.5,14.2,14.6,14.3,NA,17.2,23.7
2017,22.5,24.2,7.9,18.4,17.2,16.5,16.8,10.4,15.2,NA,20.6,14.6,14.2,18.6,19.1,12,15.7,NA,16.7,24.2
2018,23.8,23.7,10.8,17.4,14.2,15.9,20.3,7.9,21.2,NA,20,13.8,14.4,18.6,15.3,13.5,13.6,NA,17.7,23.8
2019,24,22.4,11.8,15.9,15.2,20,16.2,11.4,17.9,NA,22.5,14.1,12.9,17.4,15,16.4,17.8,NA,19.2,24
2020,19.9,22.3,16.2,18,18.9,18.6,17.4,11.6,16.3,NA,20,16.6,15.9,18.1,15.4,14.2,12.7,NA,22.5,22.5
2021,23.4,20.1,9.4,17.8,16.8,14.3,16.3,10.7,16.4,NA,21.5,14.9,14.4,19,20.9,15,15.6,NA,17,23.4
2022,18.9,25.4,8.8,17,15.4,17.5,18,11.9,15.1,NA,22,15.1,14.2,17.2,17.6,14.2,13.8,NA,19.2,25.4
2023,19.6,24.6,6.3,17.5,16.2,15.9,15.5,7.3,15.8,NA,19.7,15.3,14.6,17.6,17.4,14.1,14.6,NA,19.2,24.6
2024,23.3,21.1,7.2,20.4,15.7,16.8,16.2,13.9,15.7,NA,19.3,14.5,13.5,16.7,18.1,15.3,14.2,NA,20.5,23.3
2025,22.7,24.9,11.8,15.8,17.3,20,16.4,9.5,14.3,NA,20.7,15.1,13.7,19.2,15.6,13.8,13.5,NA,19.4,24.9
2026,21.9,22.3,15.3,18.5,18.4,17.4,16.4,10.8,14.7,NA,18.7,14.7,13.6,18.7,18.3,19.2,16.7,NA,17,22.3
2027,22.5,23.6,16.5,20.2,17.6,17.8,15.8,13.1,15.1,NA,21,15.8,14.7,16.6,14.6,16,15.3,NA,19.1,23.6
2028,21.2,22,17.7,15.6,14.8,18.3,16.8,8.2,16,NA,21.3,15.2,16.6,17.5,14.9,16,16.1,NA,20.5,22
2029,21,25.1,13,17.6,16.1,16.9,14.1,11.2,20.3,NA,18.1,15.1,14.6,18.3,16.4,17,16.4,NA,16.2,25.1
2030,25.6,27.5,15.7,18.3,18.1,18.2,16.7,10.8,20,NA,17.1,15.7,12.9,19.3,15.2,15,14.4,NA,21.7,27.5
2031,24.2,21,12.5,18.8,17.2,15.9,18.6,11,17.7,NA,20.2,16.1,15,20.3,18.7,18.5,17.5,NA,17.6,24.2
2032,24.3,28.9,9.1,21.9,15.4,17.7,17.3,7.8,14.6,NA,19.8,15.1,13.1,18.7,14.4,13.3,16.6,NA,18.6,28.9
2033,22.5,26.3,11.6,16.8,15.4,17.4,18.8,11.3,21.1,NA,19.4,15.4,12.9,19.4,15.5,14.7,14.6,NA,20.4,26.3
2034,21.7,25.4,17.4,19.2,18,17.6,21.5,14.2,19.3,NA,22.8,13.7,15.6,19.1,15.4,15.1,16.7,NA,19.3,25.4
2035,21.6,24.7,16.8,18.7,15.2,18.2,17.7,8.5,17.1,NA,21.4,14.9,13.7,21.2,14.1,14.3,18.4,NA,19.9,24.7
2036,22.1,25.7,9.2,18,15.6,17.9,16.9,12.6,15.9,NA,20.2,15.3,14.9,19.4,15.6,16.7,13.4,NA,18.6,25.7
2037,20.6,19.8,15.7,18.3,18.9,16.8,20.3,12.5,17.8,NA,21.5,15.3,13.1,18.1,18,16.7,16.3,NA,21.3,21.5
2038,22.9,21.6,8,18.2,16.2,18.7,18.4,9.2,16.7,NA,19.3,17.3,15.4,18.2,16.5,15.6,12.9,NA,20.4,22.9
2039,22.6,23.1,18.3,18.7,17.6,18.9,17.2,12.5,16.4,NA,21.5,14.1,13.7,17.5,15.8,14.4,15.3,NA,20.9,23.1
2040,19.9,24.3,13.3,17.9,19.9,15.8,17.3,11.7,13.9,NA,20.6,15.6,13.5,18.7,17.5,14.5,17.3,NA,21.9,24.3
2041,26,22.6,17.8,21.7,19.2,19.7,19.8,9.8,17.6,NA,21.7,15,15.9,17.3,15.6,17.3,14.5,NA,20.8,26
2042,22.1,23.7,15.1,22.7,15.4,20.9,19.4,12.6,15,NA,20.9,14.5,12.5,19.3,14.8,15.9,15.8,NA,20.5,23.7
2043,21.3,22.1,12.7,21.2,15.2,20.4,18,11.1,19.9,NA,24.1,14.9,14.2,19,14.5,16.6,14.9,NA,18.3,24.1
2044,26.1,29.1,11.5,20.9,16.1,16.6,19,11.4,17.9,NA,21.3,14.3,13.2,17.8,16.9,15.5,15.5,NA,21.6,29.1
2045,23.9,24.5,9.3,19.6,15.8,17.5,17.3,11.3,18.3,NA,20.8,17.5,15,19.6,15.9,15.1,16.9,NA,21.4,24.5
2046,25,25.7,13.1,19.2,19,16.8,19.7,11.6,14.9,NA,21,15.9,14.4,18.3,18,16.1,15,NA,23.2,25.7
2047,20.7,25.7,8.7,19,20.9,16.7,21.6,10.8,17.6,NA,24.5,16.9,14.6,19.3,16.4,14.8,17.6,NA,20.4,25.7
2048,23.1,26.2,11.6,19.7,16.3,19.2,18,11.4,17.2,NA,20.2,14.9,13.3,19,16.2,13.6,17,NA,22.2,26.2
2049,22.2,22.1,11.1,20.6,15.9,19,19.9,11.9,17.2,NA,23.1,17.1,14.7,17.6,19.1,18.3,15.3,NA,20.1,23.1
2050,23.6,25.9,17.7,22.2,18.3,19.7,19.6,12.2,19.9,NA,21.5,16.1,16.1,18.8,17.3,17.5,15.4,NA,24,25.9
2051,22.6,25.1,12.3,22.2,18,18.3,21.8,12.3,15.8,NA,21.9,16.6,15.7,21.1,16.2,14.9,15.8,NA,23.6,25.1
2052,22.7,25,14.8,20.7,17.5,18.5,19.2,9.8,24.7,NA,21.4,15.3,14.8,21.9,15.6,15.8,15.5,NA,24.5,25
2053,25.9,22.9,17,20.2,18.2,19.8,18.2,12.8,19.9,NA,23.9,15.8,14.6,18.7,15.8,13.1,15.9,NA,22.5,25.9
2054,24.3,22.6,13.1,21.8,17.6,18.1,20.4,11.2,17.6,NA,21.2,18.4,15.8,20.8,18.6,15.1,16,NA,23.8,24.3
2055,24.2,23.1,11.8,20.9,20.1,18.7,20.6,13.8,17.3,NA,24.1,16.3,14.2,20.2,14.9,14.5,14.6,NA,22.8,24.2
2056,24.6,23.4,13.2,19.6,18.3,19.2,19.5,11.3,14.5,NA,22.3,15.3,15.6,18.5,16.6,18.9,16.5,NA,23.5,24.6
2057,25.7,23.5,11.1,23,16.1,19.2,21.5,12.8,19.9,NA,21.6,17,14.5,21.5,16.3,15.8,15.6,NA,22,25.7
2058,26.9,22.5,12.4,20,19.9,19.6,20.4,13.7,18.2,NA,21.5,16.5,17,20.5,19,14.8,15.1,NA,24.1,26.9
2059,23.5,27.1,13.8,22.1,18.4,18.9,21.4,12.6,15.1,NA,21.7,17.3,14.1,21.7,17.7,17.2,16.4,NA,20.5,27.1
2060,25,27.2,18,22.8,17.5,19.7,20.4,13.6,17.8,NA,21.4,16.8,16.9,19.4,18.5,18.7,16.9,NA,23.5,27.2
2061,24.1,23.8,18.6,20.6,21.5,18.9,19.9,13.7,14.2,NA,20.9,18.6,14.5,19.4,17.8,17.4,16.2,NA,23.2,24.1
2062,22.8,23.8,14.7,21.7,21.6,20.1,20.3,15.6,17.4,NA,22.6,17.3,16,21.3,16.5,17.4,16.7,NA,24.8,24.8
2063,25.5,25.5,12.3,23,17.4,21,20.7,16.9,17,NA,20.7,17.2,15.6,19.6,17.7,17.7,17.2,NA,22.1,25.5
2064,25.6,24.1,19.1,21.8,18,19.7,22.4,11.5,18.3,NA,21,17.8,14.8,20.9,19.6,16.1,16.9,NA,22.5,25.6
2065,26.1,27.1,14.2,23.4,18.5,22.2,18.8,12.4,18,NA,22.6,18.8,16.1,20.1,17.7,16.4,17.3,NA,23.3,27.1
2066,24.9,26.3,23.7,19.9,21.7,19.9,22.9,12.8,14.9,NA,21.9,19,16.3,19.8,15.7,16.6,16.7,NA,24.6,26.3
2067,23.6,26.9,14,22.2,22.7,19.2,19.9,16.8,18,NA,22,17.8,14.4,21.2,18.3,15.6,15.8,NA,24.7,26.9
2068,26.1,22.9,19.3,22.4,18.1,21,19.9,13.6,15.3,NA,24.6,20,15.8,19.2,17.1,18.8,16.9,NA,23.3,26.1
2069,28.6,26,9.8,21.2,18.5,21.3,20.6,15.3,15.9,NA,22.4,18.9,14.6,22.7,18.3,16.9,17.8,NA,22.5,28.6
2070,27.7,25.7,20.1,22.9,19.9,18.8,21,15.9,14.9,NA,21.7,18,17.5,22,16.3,14.6,16.8,NA,22.8,27.7
