"Year","ACCESS-ESM1-5","AWI-CM-1-1-MR","BCC-CSM2-MR","CanESM5","CNRM-CM6-1","CNRM-ESM2-1","EC-Earth3","GFDL-ESM4","GISS-E2-1-G","HadGEM3-GC31-LL","INM-CM5-0","IPSL-CM6A-LR","MIROC-ES2L","MIROC6","MPI-ESM1-2-HR","MPI-ESM1-2-LR","MRI-ESM2-0","NESM3","UKESM1-0-LL","ensemble"
2015,5.8,-11.9,-1.2,4.7,2.4,3.5,0.7,-2.8,3.1,3.6,5.1,1.7,6.9,7,3.7,4.5,0.5,3.8,3.4,7
2016,6.1,-7.9,-1.5,3.5,2.6,2.6,0.6,-2.6,1.5,4.1,5.1,-0.6,7,8.3,4.8,5,2.1,6.4,3,8.3
2017,5.5,-4.3,3.2,1.6,1.3,1.5,-0.2,-0.1,2.8,3.4,5.4,0.6,7.9,10.3,1.6,4.9,1.4,6,4.8,10.3
2018,5.9,-5.1,1.5,2.6,3,3,1.7,-1.8,2.7,3.6,6.1,1.5,8.7,8.9,4.8,5.8,1,9.7,3.3,9.7
2019,5.8,-13.4,0.3,2.2,2.1,2.3,1.9,-0.5,3.8,3.2,6.3,2,7.8,8.9,2.1,4.3,2.7,4,4.1,8.9
2020,7,-3.5,1,2.8,2.7,2.5,3.6,-0.5,2.1,1.6,6.5,2,8.5,8.8,2.8,4.8,0.8,4.3,5.1,8.8
2021,6,-3.4,-1.1,4,2.4,3.1,1.4,-0.7,3.1,5,3.8,1.7,8.3,8,2.1,3.7,1.3,8.5,4,8.5
2022,5.8,-3.6,-1.1,2.6,2.7,2.7,0.7,-2.4,3.2,3.6,8.5,1.5,7.8,8.5,2.7,5.9,-0.1,6.3,4.1,8.5
2023,7.5,-5,-0.3,3.7,1.8,2.8,1.4,-3.2,4.5,5.5,5.3,2.4,9.1,7.3,2.9,4.8,0.5,6.3,3.3,9.1
2024,6.8,-9.3,-1.5,3,3.8,2.1,0,-2.1,4,1.9,6.8,5,8.9,7.6,3.2,6.6,0.5,3.5,6.7,8.9
2025,5.3,-7.5,-1.9,3.2,3,3.6,0.6,-2.8,3.1,5.3,6.1,2.8,8.1,9,2.4,4.8,1.2,3.9,3.9,9
2026,6.9,-3.7,-0.9,5.3,1.4,2.2,0.2,-2.4,3.3,5.7,7,1.6,6.9,9.8,2.4,4.7,1.9,5.3,3.7,9.8
2027,6.9,-2.8,-3.1,3.7,2.6,3,2.7,-1.8,3.6,3.7,8.2,4.5,6.9,9.7,1.8,5.5,0.1,7.3,4.3,9.7
2028,6.2,-3.3,-0.2,4.2,3,2.1,1.9,-0.8,1.5,3.7,7.4,2.6,10.5,10.3,3.3,3.9,1.1,5.4,3.8,10.5
2029,7.8,-9,-0.3,4.1,2.9,3.7,0.7,2,5,2.2,7.2,2.4,6.5,9.2,2.8,4.4,4.8,6.7,4.1,9.2
2030,6.2,-9.8,-0.1,4.9,2.3,3.6,1.2,0.6,2.4,5.8,7.4,1.4,7.3,10.2,2.4,6.4,2.6,7.5,6.5,10.2
2031,5.7,-5.1,-1,4.6,3.2,5.4,0.6,0,1.6,4.3,6.2,3.4,6.4,8,3.3,5,2.6,7.3,5.5,8
2032,5.8,-5.4,-1.4,4.6,3.8,3,2.1,-1.5,2.7,6.5,7.1,1.5,6.5,10.8,2.9,4.6,2.8,6.4,4.2,10.8
