"Year","ACCESS-ESM1-5","AWI-CM-1-1-MR","BCC-CSM2-MR","CanESM5","CNRM-CM6-1","CNRM-ESM2-1","EC-Earth3","GFDL-ESM4","GISS-E2-1-G","HadGEM3-GC31-LL","INM-CM5-0","IPSL-CM6A-LR","MIROC-ES2L","MIROC6","MPI-ESM1-2-HR","MPI-ESM1-2-LR","MRI-ESM2-0","NESM3","UKESM1-0-LL","ensemble"
1850,316.5,188.5,373.3,341.8,395.9,359.1,NA,280.2,250.5,281.8,205.4,389,304,437.9,230.5,369.2,336.3,477.4,310.1,477.4
1851,399.5,129.4,349.5,290.4,370.9,323.2,201.9,272.7,324.9,369.5,252,444.5,346,360.8,225.8,311.3,348.8,379.9,295.5,444.5
1852,353.9,135.4,259.9,321.9,312,287.2,277.5,290.7,319.2,247.5,275.2,424.3,317.6,460.4,200.7,415,400,472.1,262.7,472.1
1853,273.8,182.4,370.3,381.9,387,359.3,244.6,244.5,270.5,249.1,253.3,554.6,251.2,503.3,233.8,396,270.7,369.5,254.4,554.6
1854,418.5,158.2,319.8,351.4,428.6,330.8,175.7,337.1,312.4,231.7,251.7,441.7,198.1,342.5,177.2,297.5,362,461.1,302.5,461.1
1855,337.2,191.4,361.7,383,309.8,319.6,198.6,384.1,350.1,282.8,297.6,437,371.3,394.2,269.9,392,383.3,507.6,313.8,507.6
1856,313.6,179.5,336.5,355,367.9,450.2,313,298.4,282.5,253.8,270.3,542.8,251.5,364.2,259.6,398.1,456.7,463.3,315.7,542.8
1857,379.9,134.7,415,329,428.9,345.5,267.2,271.6,248.7,289.3,236.6,473.2,293,385.9,243.2,385,315.3,462.9,285.6,473.2
1858,406.9,156.5,416.5,369.1,354.2,382.4,186,292.9,310.6,287.1,267.1,407,330.5,382.2,238.6,445.3,333.1,315.3,305.2,445.3
1859,324.1,142.8,297.6,333.3,386.6,352.5,280.9,239.6,311.4,364.8,236.5,371.5,218.6,349.4,253.1,411.3,305.8,499.1,241.2,499.1
1860,331.8,140.9,324.6,325.6,376.1,353.1,219.1,272,213.9,317.9,288,421.3,321.1,365.4,241,385.1,323.7,510.1,256.6,510.1
1861,312.4,155.9,304.7,310.4,403.4,372.5,288.9,257.1,362.9,284.8,258,499.7,239.7,373.2,189.1,371.8,378.1,486.6,243.2,499.7
1862,384,156,410.8,293.1,397.5,278.5,234.8,310.3,366.4,244,377.1,475,226.1,331.5,211.1,399.2,444,498.8,269.5,498.8
1863,322.9,120.7,340.1,391.7,400.5,317.7,264.6,385.6,271.4,322,227.5,437.2,199.3,380.8,198.6,308.9,316.4,473.6,289.5,473.6
1864,350.1,170.8,310.8,356,320.6,372.9,301.6,306.2,297.9,232.7,337.3,418.7,256.3,442.5,232.5,409,336.6,511.9,261.6,511.9
1865,288.4,188.5,368.3,295.6,375.3,397.2,204.4,394.9,215.1,229.9,250,453.8,288,403.9,249.3,326.4,366.7,491.6,256.4,491.6
1866,371.6,241.6,479.2,401.8,322.8,455,295.6,305.9,253.7,207.2,296.6,382.6,308.3,340.7,267.7,395.8,468.7,399.4,319.7,479.2
1867,400.3,162.6,299.2,363,351,338.3,218.7,315.9,275.1,252.4,234.5,521.7,376.2,325.7,229.7,396.1,386.3,619,305.3,619
1868,323.7,163.7,347.1,278.2,372.6,340.2,221.8,313.9,244.3,218.6,259.7,552.9,321.7,370.4,216.7,444.2,362.9,404.8,305,552.9
1869,419.5,170.8,352.8,449.9,336.3,368.9,229.6,244.7,297.5,208.1,270,515.2,312.8,337.1,224.3,366,347.1,456.1,301.7,515.2
1870,349.9,189.9,305.8,325.8,349.5,385.3,277.1,233.5,287.2,282.5,239.6,472,309.1,367.1,209.7,398.1,361.9,582.4,319.9,582.4
1871,391.5,172,334.4,353.7,309.8,335,279.8,272.6,276.8,232.9,236.8,443.2,242.9,312.1,224,404.6,355.3,403.7,294.2,443.2
1872,380.1,200.9,401.2,358.3,382.5,311.1,267.2,331.1,380.3,321.2,256.5,454.8,248.8,300.1,226.5,436.6,367.2,464,244.7,464
1873,286.3,125.5,358.3,298.7,376.5,312.7,272.3,249.8,318.3,294.8,291,513.9,350.9,472.5,230.5,406.4,339.2,489.4,246.8,513.9
1874,328.7,179.7,327.2,278.7,303.1,369.3,231.9,350,258,329.1,287,528,255,346.8,229.5,338.1,502.5,420.1,277.8,528
1875,416.1,158.3,328.5,362.8,432.9,398.2,264.4,343,264.5,242.1,221.3,450.2,294.1,352.3,237,342.1,366.4,480.5,264.5,480.5
1876,299.4,157.3,378.8,369.4,315.3,341.9,175.9,361.5,289.4,238.8,271,429.7,343.8,309,239,376.5,456.6,534.6,334.3,534.6
1877,379.9,156.2,336,311.2,374,315.8,266.9,249.1,320.1,282.1,216.3,488.1,379.4,377.5,197.4,316,338.5,490.7,238.1,490.7
1878,417.8,174.9,369.4,322.4,416.2,349.2,286,314.2,297.7,241.9,282.8,461,310.6,372.1,249.6,444.5,374.1,449.3,283.7,461
1879,373.3,130.8,375.8,305.7,426,304.9,248.6,363.4,263.2,239.3,248.1,423.9,226.3,414.4,293.9,348.5,353,548.8,287.8,548.8
1880,317.7,194.2,270.7,344,322.8,392.3,281.5,370.9,252.9,307.5,325.7,523,256.6,357.5,208,329,438.8,524.7,284.7,524.7
1881,300.7,192.2,267.2,301.1,355.7,320.7,254.6,298.2,239.8,248,301.2,416.9,298.9,388.6,215.5,355.9,339.1,535.8,300.6,535.8
