"Year","ACCESS-ESM1-5","AWI-CM-1-1-MR","BCC-CSM2-MR","CanESM5","CNRM-CM6-1","CNRM-ESM2-1","EC-Earth3","GFDL-ESM4","GISS-E2-1-G","HadGEM3-GC31-LL","INM-CM5-0","IPSL-CM6A-LR","MIROC-ES2L","MIROC6","MPI-ESM1-2-HR","MPI-ESM1-2-LR","MRI-ESM2-0","NESM3","UKESM1-0-LL","ensemble"
2015,311.6,98.5,196.1,293.4,317.1,263.2,197.4,218.5,217.1,207,190.6,322.5,307.4,269.7,151.2,280.4,156.2,285.1,224.7,322.5
2016,294.8,98.6,196.2,290.2,278,231.1,211.8,186.1,182,144.5,317.1,278.8,312.9,342.8,139.6,223.4,174.2,344.2,190.2,344.2
2017,323.7,106.9,150.8,297.8,234.8,315.6,187.6,216.1,175,168.5,249.5,350.3,299.7,355.6,181.6,283.9,205.1,310.6,218.9,355.6
2018,290,144.3,188,265.5,294.1,224.4,200.3,209.1,156.6,252.1,183.1,320.9,265.8,305.3,136.7,351.8,314.3,445.4,217.1,445.4
2019,313.8,70.7,236.9,301.1,269.6,258.6,164.7,234.8,195,203.9,253.5,342.1,309.1,335.1,161.4,291.6,125.9,353.6,187.2,353.6
2020,275.6,145,267.4,344.1,353.4,287.2,169,245.5,187,164.1,243.5,273.2,356.3,313.8,185.9,316.6,204.2,302.8,224.5,356.3
2021,273.5,187.3,163.7,308.6,262.9,278.3,213.5,215.3,171.9,205.4,244.7,282.6,306.7,357.9,165.9,361.4,224.6,409.8,226.1,409.8
2022,252.2,141.4,116,293.8,267.9,284.4,209.6,256.5,201.4,196.1,253.9,297.4,393.8,265.8,208.4,322,293.6,312.8,186.1,393.8
2023,280.9,207.8,268.7,267.3,250.7,249.2,182.8,228.3,178.6,160.8,166.5,395.7,283.1,323.6,154.2,347.8,257.5,365.2,177.8,395.7
2024,290.2,114,276,285.1,265.6,233.2,183.4,223.2,161,209.7,165.6,390.2,181.1,266.1,227.3,261,253.7,346.8,203.4,390.2
2025,304.2,175.4,265.6,285.6,267.8,309.9,232.8,188.1,219,232.2,279.3,331.5,249,275.4,248.8,228.2,210,371,179.9,371
2026,268.1,127.3,195.2,387,262.2,272.2,232.7,269.7,194.7,171.1,216.3,353,346.4,283.2,204.3,429.7,249.7,372.5,184.1,429.7
2027,298,156.2,279.3,315.2,323.8,292,205.6,217,183,197.2,261.3,389.9,255.6,315,199.7,349.6,171.4,327.7,198.8,389.9
2028,297.4,138,286.4,368.4,324.7,198.5,176.2,205.7,190.3,188.7,204.8,323.5,351.7,353.8,231.4,285.7,237.7,321.3,192.6,368.4
2029,305.9,116.4,143.6,334.1,299.4,285.4,200.5,195.4,227,172.4,160.3,446.2,291.2,290.4,296.2,356.4,233.2,336.2,255.3,446.2
2030,295.1,181.8,177.3,286.6,274.5,284.6,182,229.4,198,144.5,225.3,331.3,248.7,354.9,220.8,289.9,244.9,458.1,252.6,458.1
2031,280.7,74.6,201.7,356.4,322.5,262.3,170.4,203.3,160.6,216.2,238.6,335.4,294.1,280.3,217.4,347.8,164.7,412.9,216.4,412.9
2032,259.6,188.9,166.4,315.2,274.1,256.1,203,226.3,180,183.4,205,394.5,285.7,345.6,150.1,256.7,158.6,342.9,213.5,394.5
2033,290.3,193.9,192.7,309.7,264.2,247,169.7,168.5,169.8,211.4,249.6,317.4,284.5,278.3,270.3,227.3,246.5,341.9,153.3,341.9
2034,290.6,106.7,194.7,270.9,313.2,269.1,200.8,191,186.4,193.8,250.4,317.6,311.5,338.4,154.5,318,290.6,397.3,257.1,397.3
2035,303.1,115.4,305,272.5,307.2,249.4,200.1,241,176.3,208.7,225,306.6,299.7,325.6,195.5,287.5,261.5,289.4,163.7,325.6
2036,297.7,136,202.2,346.3,314.6,242.9,203.5,196.3,210.8,236.3,207.8,350.4,351.7,335.4,203.1,277.5,224.9,431.3,208.6,431.3
2037,314.3,132.6,245.2,332.9,308.1,274.3,254.6,139.1,155.2,229.9,277.5,357.2,282.3,319,214.5,346.7,289,337.6,207.7,357.2
2038,317.6,178.6,273.8,330.4,300.4,295.6,179.4,237.3,172.8,237.6,226.1,353.6,286.9,307.5,138,248.9,379.5,354.2,206.2,379.5
2039,275.9,114.5,214.8,308.3,289.1,265.8,188.4,248.5,193.7,219.6,234,358.7,339.4,301.3,217.1,342.3,225.9,365.6,239.4,365.6
