"Year","ACCESS-ESM1-5","AWI-CM-1-1-MR","BCC-CSM2-MR","CanESM5","CNRM-CM6-1","CNRM-ESM2-1","EC-Earth3","GFDL-ESM4","GISS-E2-1-G","HadGEM3-GC31-LL","INM-CM5-0","IPSL-CM6A-LR","MIROC-ES2L","MIROC6","MPI-ESM1-2-HR","MPI-ESM1-2-LR","MRI-ESM2-0","NESM3","UKESM1-0-LL","ensemble"
2015,173.1,117.3,124.7,241.5,199.5,233.3,214.6,146.1,169,148.2,182.4,295.1,201.8,271.5,95.1,274,173.4,203.4,134.5,295.1
2016,203.5,165,169.8,234.9,264.4,229.9,170.2,78.3,208.2,154.8,155.1,255.1,112.3,246.8,137.7,246.1,212.5,290.1,157.3,290.1
2017,217.5,63.4,86.2,158.9,247.4,237.3,162.3,92.8,198.4,114.8,145,314.5,161.5,327.7,66.9,142.4,114.9,245.7,158.1,327.7
2018,204.4,118.8,120.3,202.6,197.4,250,218,201,136.5,154.2,164.6,272.8,74.9,233.5,134.9,234.6,127.8,208.3,160.2,272.8
2019,188,104.3,117.4,227.3,152.2,224.6,144.5,226.8,163.8,112.8,100.8,270.8,202.8,278.1,131.8,280.4,277,255.7,143.7,280.4
2020,211.6,57.5,176.8,230.3,245.3,219.3,161.4,179.2,161.7,148.3,178.5,309,89.8,257.8,121,148.5,163.4,261.1,174.8,309
2021,158.4,48.4,190.4,212.1,228.7,275.8,159.7,132.2,102.5,110.8,75.2,408.7,214.8,230.1,91.8,185,174.6,258,115.4,408.7
2022,206.5,106,145,245.1,215.4,286.2,191.8,82.1,153.6,172.7,259.8,238.8,213.6,265.2,101.4,199.7,139.6,289.6,161.4,289.6
2023,168.2,139.4,229.5,214.5,243.1,206.3,157.4,187.2,182.6,100.2,171.4,296.1,82.3,262.2,110.8,169.1,92.7,192.6,159.2,296.1
2024,213.9,122.5,229.9,234.1,266.2,201.8,195.1,173,146.7,151.2,131,330.9,159.9,263.9,80.6,205.5,166.8,314.2,155.5,330.9
2025,193.7,92,139.9,276.9,177.7,239.9,225.9,78.8,194.2,163.9,187.7,262.1,222,242.8,131.1,209.4,143,291.6,117.5,291.6
2026,187.9,56.6,53.2,241.5,239.8,262,186.4,169,111.8,115.5,185.6,290.2,90.2,265.6,91.6,94.9,215.9,267.9,198.5,290.2
