"Year","ACCESS-ESM1-5","AWI-CM-1-1-MR","BCC-CSM2-MR","CanESM5","CNRM-CM6-1","CNRM-ESM2-1","EC-Earth3","GFDL-ESM4","GISS-E2-1-G","HadGEM3-GC31-LL","INM-CM5-0","IPSL-CM6A-LR","MIROC-ES2L","MIROC6","MPI-ESM1-2-HR","MPI-ESM1-2-LR","MRI-ESM2-0","NESM3","UKESM1-0-LL","ensemble"
2015,341.7,123.8,217,284.4,334,288.1,249.1,308.5,116.4,142.8,95.8,372.1,368.9,303,171.6,318.2,298.5,236,239.8,372.1
2016,324,241.6,164.4,300.5,337.5,250.9,210.2,247,205.6,179.7,102.1,327.5,349.5,263.3,202.5,333.6,362.6,152.3,257,362.6
2017,276.3,87.7,304.5,292.7,273,217.9,232.6,325.1,120.5,226.8,148.8,310.5,362.8,380.1,171,252.9,193.4,190,300.9,380.1
2018,299.1,178,144.1,271.3,317.7,267.4,240.6,263.4,138.4,134.4,58.1,384.6,320.6,365.2,173.1,327,316.7,219.3,345.2,384.6
2019,372.2,148,262.8,293.1,284.1,247.6,209.3,325.5,164.2,209.6,78.3,455.6,434.1,289.3,177.3,436.5,246.5,228.8,234.6,455.6
2020,310.1,73.4,229.7,302.4,322.4,254.7,333,327.9,141.2,91.5,143.2,384.5,249,312.9,168.4,310.3,273.8,282.8,296.4,384.5
2021,379,190.2,145.3,300,357.8,330.8,271.9,200.5,152.7,172.2,79.3,322,255.4,312.3,199.7,284.5,212.5,231.3,257.7,379
2022,316.7,133.7,86.3,289.1,235,309.8,246.4,239.6,159.7,193.6,132.6,460.7,418.5,337.4,176.8,299.1,205.1,207.7,405.9,460.7
2023,319.3,268.6,153.4,322.2,319.3,284.1,305.6,263.8,176,145.5,167.3,320.1,458.5,290.3,190.7,284.3,264.1,224.9,224.2,458.5
2024,493.8,172.2,122.1,255.2,250.6,196.9,224,218.3,164.3,164.6,224.9,349.1,413.1,334.4,124.9,273.8,210.1,186,280.6,493.8
2025,324.5,77.4,153.9,372.5,314.8,254.1,265.5,356.5,177.7,159.3,107.9,417,389.8,361,168.9,265.3,404.6,240.7,231.9,417
2026,268.9,153.9,204,316.1,344.7,226.2,241.8,372.4,132.4,164.5,153.1,410.2,323.4,298.5,185.3,231.5,337,263.2,211.2,410.2
2027,366.6,167.4,138.9,254.8,253.8,259.1,222.3,344.7,152.1,81.7,103.2,380.4,410.6,291.5,194.3,282.4,459,256.3,281.2,459
2028,224.7,131.7,112.9,280.6,252.4,251.6,223.7,445.5,128.7,164,160.5,445.8,258.7,343.6,142.6,245.1,379.2,263.1,247.7,445.8
2029,253.7,78.7,218,326.3,344.4,292.2,260.7,364.7,142.8,238.9,104.1,348.4,380.9,343.4,157.6,263.9,270.7,271.1,237.5,380.9
2030,267.6,100.7,94.1,310.8,374.6,296.8,217.1,231.7,85.9,256.9,157.9,388.6,298.6,374.2,144,298.9,232.7,303.2,399.9,399.9
2031,308.4,120.6,242.6,245.1,285,196.3,171.4,229.8,236.6,155.1,132,429.7,233.5,329.4,246.3,365.5,249.4,323.8,278.6,429.7
2032,247.4,81.2,193.3,234.3,282.3,299.4,209.9,283.2,146.3,216.4,109.4,393,320.9,283.2,137.9,292.6,272.3,247.2,251.6,393
2033,316.2,146.3,167.1,325.4,292.4,172.6,209.9,222.9,148.2,251.8,101.1,331.1,351.4,378.1,193.7,240.6,408.5,215.6,259,408.5
2034,297.9,111.3,262,298.4,229.7,237.4,234.8,278.2,204.3,192.8,98.2,409.6,435,370,163.3,250.5,237,224.8,197.1,435
2035,323.1,155.1,93.4,346.8,347.5,250.9,261.1,334.5,235.1,118.2,126.5,338.2,329,319.1,203.6,323.6,215.2,234.8,286.8,347.5
2036,320.8,120.8,238.8,346.7,302.7,237.4,209.6,420.9,140.3,186.9,45.3,382.4,320.2,367,156,239.7,250.4,135,232.1,420.9
2037,312.8,106.2,215.3,366.5,217.1,260.4,354.9,246.8,176.1,197.1,68.6,394,354.2,353.1,162.2,322.9,251.7,291.6,217.2,394
2038,346.1,173.8,283.5,267.8,234.3,221.7,261.6,302,145.6,106.8,68.3,353.6,314.7,384,246.9,271.6,290.9,252,286.5,384
2039,285.7,114.6,136.5,336.7,303.4,226.1,291,343.3,215.3,249.8,96.2,388.8,362,395.5,121.4,288.2,296.9,271.6,261.2,395.5
2040,274.1,59.3,184.6,271.7,298.3,238.3,266,297.7,116.6,199.3,86.9,324.9,391.6,299.9,152.7,232.1,266.6,236.9,211.3,391.6
2041,264.8,102.7,287,253.9,296.5,261.7,236.9,349.6,144.2,56.2,132.4,344.1,321.9,239,252.7,270.1,326.2,148.5,312.1,349.6
