"Year","ACCESS-ESM1-5","AWI-CM-1-1-MR","BCC-CSM2-MR","CanESM5","CNRM-CM6-1","CNRM-ESM2-1","EC-Earth3","GFDL-ESM4","GISS-E2-1-G","HadGEM3-GC31-LL","INM-CM5-0","IPSL-CM6A-LR","MIROC-ES2L","MIROC6","MPI-ESM1-2-HR","MPI-ESM1-2-LR","MRI-ESM2-0","NESM3","UKESM1-0-LL","ensemble"
2015,-1.5,-29.7,-3.8,-2.2,-3.4,-2.9,-3.5,-4.7,-4.4,-2.8,-8.7,-6.5,0.2,-1,-2.1,-6.7,-1.7,-5.2,-5.7,0.2
2016,-1.8,-21.1,-4.9,-2.7,-4.2,-3.7,-4.8,-7.3,-4.4,-4.5,-2.1,-3.1,-0.3,1.2,-5.4,-3.6,-1.3,-4.1,-3.5,1.2
2017,-1.1,-19,-4.6,-2.4,-4.8,-4.2,-4.1,-5.1,-3.3,-2.4,-2.5,-5.5,-3.5,-1.4,-5.8,-7.6,-3.9,-2.9,-4.9,-1.1
2018,-2,-14,-3.9,-1.3,-2.9,-2.9,-2.4,-6.4,-5.3,-4,-0.2,-3,2.9,-1.8,-7,-4.3,-6.8,-7,-4.5,2.9
2019,-2,-14.8,-4.3,-2,-3.5,-2.2,-5.9,-5.6,-3.8,-10.6,-3.9,-5.6,2.4,-2,-2.3,-2.9,-6.6,-4.6,-2.3,2.4
2020,-1.1,-11.9,-4.1,-1.7,-2.5,-2.2,-3.9,-5.4,-3.6,-3.7,-7.1,-3.8,3.3,-3.4,-3.7,-5.5,-5,-3.2,-4.8,3.3
2021,-1.1,-11.4,-8.4,-1.6,-2.2,-3,-4.4,-5.4,-4.2,-9.4,-0.6,-5.4,0.1,-3.8,0,-4.2,-3.6,-2.8,-4,0.1
2022,-1.9,-12.5,-8.9,-2.5,-4,-2.3,-3.2,-6.8,-4.2,-2.9,-4.8,-6.2,1.3,-2,-1.2,-4.7,-5.9,-2.8,-3.8,1.3
2023,-1.6,-18.5,-11.1,-3.7,-5.2,-3.8,-3.8,-5.3,-2.8,-9.6,-1,-4.5,0.7,-1.5,-7.5,-7.3,-5.3,-3.9,-2.3,0.7
2024,-1.5,-11.2,-1.7,-1.9,-3.9,-1.6,-3.8,-8,-3.8,-6.1,2.3,-5.9,0.9,-2,-3.2,-4.8,-4,-5,-6.1,2.3
2025,-1.5,-19,-8.1,0.6,-1.3,-4.3,-3.3,-7.4,-4,-3.3,3.3,-4.1,0.8,1.2,-5.9,-3.1,-1.7,-3.8,-4.7,3.3
2026,-1.2,-29.8,-10.3,-1.2,-4.9,-4.6,-3,-6,-3,-7.4,0.8,-5.4,1.1,-3.1,-1.6,-2.7,-0.3,-2.9,-3.3,1.1
2027,-0.9,-17.4,-9.9,-1.9,-2.6,-2.7,-3.4,-7,-4.2,-9.1,-2.2,-3.9,-2.7,1.8,-6.1,-5.3,-1.6,-5.4,-5.4,1.8
2028,-1.7,-14.4,-7.3,-1,-1.8,-3.3,-3.1,-5.7,-2,-11,0.4,-5.8,0.4,-1.5,-9.1,-3.2,-5.6,-1.7,-3.4,0.4
2029,-2.2,-12.9,-4.9,-2.6,-2.5,-2.4,-3.3,-3.2,-4,-6.8,-0.9,-6.2,1.3,2.2,-2.8,-2.3,-3.4,-6.5,-3.9,2.2
2030,-1.6,-20.7,-0.5,-1.1,-2.9,-2.1,-4.3,-4.5,-2.1,-5.7,-3.3,-4.2,-3.4,0.2,-5.3,-3.5,-9.9,-3.8,-3.9,0.2
