"Year","ACCESS-ESM1-5","AWI-CM-1-1-MR","BCC-CSM2-MR","CanESM5","CNRM-CM6-1","CNRM-ESM2-1","EC-Earth3","GFDL-ESM4","GISS-E2-1-G","HadGEM3-GC31-LL","INM-CM5-0","IPSL-CM6A-LR","MIROC-ES2L","MIROC6","MPI-ESM1-2-HR","MPI-ESM1-2-LR","MRI-ESM2-0","NESM3","UKESM1-0-LL","ensemble"
2015,29.7,12.1,19.2,27.9,29.4,27.3,29,22.1,27.6,NA,28.3,30.9,25.2,30.1,27.4,25.7,26.5,NA,29.9,30.9
2016,29.9,20.9,21.5,30.3,27.4,27.6,28.4,21.3,27.5,NA,26.4,31,25.2,29.5,26.7,26.6,28.5,NA,31.5,31.5
2017,26.3,21.6,18.9,28.4,26.8,28,25.6,20.3,27.3,NA,26.3,30.5,24.6,27.2,28.8,26.2,26.2,NA,26.1,30.5
2018,29.4,18.9,22.5,29.3,27.7,27.3,30.2,23.9,28.3,NA,26.7,32.8,25.7,27.6,28.8,26,24.5,NA,29.9,32.8
2019,27.7,21.9,22.6,29.9,27.9,26.2,29.7,20.6,30.2,NA,26.2,30.3,25.4,27.6,29.9,26.5,27.1,NA,28.5,30.3
2020,28.8,9.9,16.9,28.8,26.8,25.8,28.1,21,30,NA,25.3,32.4,26.5,29,30.6,27,27.2,NA,30.2,32.4
2021,28,14.5,19.6,31.7,27.4,30,28.5,25.5,24.2,NA,27.5,30.7,25.8,28.5,25.7,26.3,25.8,NA,28.3,31.7
2022,27,19,11.7,31.7,28.4,29.5,27.7,20.5,27,NA,27.7,31.3,25.2,30.1,27.5,28.2,27.3,NA,31.1,31.7
2023,29.2,19.8,22.2,26.8,27.6,27.8,28.6,19.4,32.5,NA,27.1,31.3,23.6,29.2,27.7,26.9,26.5,NA,29,32.5
2024,29.7,20,17.7,29.6,26.3,26.9,27.5,21.6,28.2,NA,26.9,28.8,24.8,28,29.2,27.7,28.3,NA,31.3,31.3
