"Year","ACCESS-ESM1-5","AWI-CM-1-1-MR","BCC-CSM2-MR","CanESM5","CNRM-CM6-1","CNRM-ESM2-1","EC-Earth3","GFDL-ESM4","GISS-E2-1-G","HadGEM3-GC31-LL","INM-CM5-0","IPSL-CM6A-LR","MIROC-ES2L","MIROC6","MPI-ESM1-2-HR","MPI-ESM1-2-LR","MRI-ESM2-0","NESM3","UKESM1-0-LL","ensemble"
2015,937,610.5,631,765.5,653.7,536.2,511.4,665.5,425.1,640.1,642.7,771.6,1090,859.5,869.6,737.2,528.7,666,746.5,1090
2016,892.4,697.6,583.9,701.7,523.9,623.8,542.8,581.4,460,816.3,707.7,836.8,1216.4,820.6,528,771.5,569,638.8,610.8,1216.4
2017,831.4,535.8,622.8,719.1,560.7,615.2,552.1,615.3,492.1,597.3,697.8,808.6,1282.9,921.9,700.6,760.3,606.2,625.8,910.8,1282.9
2018,863.2,592.7,515.5,758.3,563.7,552.4,588.7,812.5,468,661.5,728.6,794.7,1020.5,841.6,728.1,771,503.5,763.8,772.1,1020.5
2019,979.8,663.9,622.2,765.7,599.5,507.1,596,686.7,474.5,655.7,694.8,816.5,1005.3,836.3,513.4,719.1,507.5,795.6,610.6,1005.3
2020,833.3,540.5,587.2,733.5,574.1,601,658.1,745.9,445.3,639.4,680.1,812.4,1305.1,875.7,632.7,718.1,614.8,620.6,742.5,1305.1
2021,787.3,484.7,464.9,736.3,665.3,548.6,651.9,673.8,433.8,651.3,694,743.8,1217.6,871.8,716.9,736.1,686.2,653.9,772.2,1217.6
2022,960,605.3,501.2,848.4,511.8,421.6,539.3,692.3,483.4,652.6,655.3,688.6,1170.6,792,503.8,781.1,590.4,765.1,655.8,1170.6
2023,915.6,605.9,586.8,836.3,608.9,593.8,561.3,825.9,526.6,830.7,740.8,736.6,998.1,861.4,746.4,785.1,653.6,768.7,637.7,998.1
2024,915.9,666.3,556.1,792.2,655.1,533.1,620.7,653.7,492.8,714,710.4,730.9,1197.8,922.1,710.3,761.5,540.3,699,841.6,1197.8
2025,937.7,553.9,541.4,722.5,568.1,567,579,562.8,466.8,582.5,729.2,822.8,1142.8,961.4,656.7,707.6,665,816.9,643.6,1142.8
2026,837.5,774.1,569.4,782.2,612.6,535.7,500.2,797.7,588.4,594.6,687.7,821.7,1142.7,871.5,583.7,768.8,646.8,710,783.3,1142.7
2027,945.1,678.8,477.5,735.2,522.4,591.3,529.8,643.5,519.9,530.3,833.3,992.7,1292.8,940,604.5,771.2,554.5,751.9,791,1292.8
2028,867.1,586.2,602.5,690.2,566.2,565.7,557,604.5,523.7,580.7,638.3,737.3,1090.7,880.3,570.7,751.1,563.5,744.2,771,1090.7
2029,812.5,639.7,457.3,644.5,613.6,624.1,583.2,877.1,456.7,577.9,622.5,859,1016,832.1,723.3,747.9,634.7,817.9,622.9,1016
2030,844.1,552.9,502.6,727,487.1,534.4,572.3,647.6,436.4,575.2,732.1,808.9,1242.6,969.7,931.8,810,638,659,693.2,1242.6
2031,949.2,551.2,640.7,802.4,672.4,598.7,663,680.6,437.7,725.8,672.1,762.8,1435.3,850.6,631.4,829.8,466.4,656.8,775.7,1435.3
2032,976.2,526.5,625,798,691.2,734.9,606.5,719.8,447.5,880.8,640,853.6,1260.8,823.3,622.1,802.3,603.2,818.3,848.1,1260.8
2033,1042.3,559.6,544.6,743.7,602.4,615,584.6,822.4,467.9,631.3,592.4,720.9,896.7,813,616.3,763.8,644.5,940.2,705.4,1042.3
2034,900.3,710.2,555.6,840,486.1,531.9,552.7,745.7,501.8,693.8,705.6,864.6,1084.9,912.8,851.6,760.8,699.6,756.4,858.3,1084.9
2035,893.5,685.2,475.6,785.4,594,560.5,478,731.8,430.8,557.6,635.3,750.2,1380.1,900.4,651.9,684.5,613.1,681.2,844.6,1380.1
2036,828.2,668.2,497.7,836.5,625.2,633.9,625.1,757.6,475.7,645.5,644.7,754.7,1274.3,913.2,643,987.1,574.1,955.6,737.4,1274.3
2037,885.8,617.8,572.3,754.3,616.4,602.4,559.1,788.4,479.3,538.8,530.4,697.1,1256,1086.1,638.1,857,710.6,644.5,856.7,1256
2038,929.8,532.7,548,817.1,603.4,549.3,588.7,658.8,505.5,760,806.5,839.2,975.3,858.1,608.2,760.2,698.7,597.2,765.4,975.3
2039,974.2,741.5,469,798.5,685.3,602.7,583.9,705.4,494.4,708.4,784,773.8,1040.6,938.3,799.3,864.8,630.1,766.9,760.4,1040.6
2040,921.2,611.4,584.2,862.9,592.9,507.7,598.7,791.9,654.5,729.7,662.7,814,1295.8,941.8,709.8,766.5,633.3,735.9,693,1295.8
2041,868.7,573.9,613.6,744.4,584.2,580.5,619.7,733.2,584.6,743.4,587.7,808.8,1020.3,841.3,786,718.2,647.9,813.4,829.5,1020.3
2042,930.8,725.2,680.7,845.5,600.6,730,648.5,674.5,530.9,642.3,572.2,711.1,1002.9,798.2,828,738.1,736.8,790.5,843,1002.9
2043,962.1,508.3,457.4,853.2,546.7,568.7,574.2,751.8,454.6,512.1,627.6,790.9,1074.4,960.7,811,804.1,708.3,820.9,679,1074.4
2044,873.2,606.2,579.3,787.5,576.2,531,594.4,734.8,519.4,812,611.4,832.8,1009.2,906.6,627.7,815.8,777.4,751.2,851.8,1009.2
2045,927.1,610.8,539.2,802.3,489,623,630.6,713.7,497.7,682.3,749.9,837.5,1210.1,919.5,640.2,808.2,684.1,809,911,1210.1
2046,892.9,663.4,647.3,774.3,639.8,552.3,635,824.8,544.5,689,840.2,688,898.2,885.5,686.3,826.4,750.1,883.9,809.9,898.2
2047,881.1,699.8,540.6,843.8,593.1,531.1,603.4,711.5,521.8,546.1,755.1,803.6,983.3,853.1,600.7,749.7,797.1,784.1,787,983.3
2048,884.2,727.2,574.8,1015.9,676.9,466.2,580.4,612.6,541.1,959.5,628.9,822.4,1212.9,935.3,644.5,764.5,734.1,843.1,677.1,1212.9
2049,886.7,722.3,487.7,889.1,621.8,452.8,657.9,782.1,561.7,660.5,629.1,768.7,1153.4,843.8,678.9,742.6,766.8,745.2,632.9,1153.4
2050,939.8,552.8,502.4,804.5,649.5,453.4,606.2,729.3,523.2,582.6,831.4,768.8,1059,916.4,532.3,842,556.2,810.8,718.4,1059
2051,817.2,602.8,558.6,807,663.6,606.6,502.3,742,499.8,741.5,594.6,796.2,1152.1,882.9,586.7,871.5,498.6,903.4,757.6,1152.1
2052,844.9,665,619.4,775.1,513.9,506.4,563.1,727.5,495.8,622.8,650.8,927.9,1178.6,919.2,729.4,731.2,499.6,765.6,895.6,1178.6
2053,892,600.5,627.6,858.3,486.9,500,714.2,673.1,469.8,699.6,833.2,760.5,1124.3,902.6,649.8,751.8,753.8,898.8,799.6,1124.3
2054,893.8,622.6,470.3,769.2,560.6,573.7,622.9,818.1,534.2,668.3,650.6,868.4,1032.5,879.5,666.8,807.5,553,801,728.5,1032.5
2055,972.7,625.2,608.8,855.6,673.5,541.8,542.7,885.3,437,624.8,545.8,775.9,1231.9,943.8,678.2,739.9,634.8,844.3,743.3,1231.9
2056,937,626,635.6,899.5,646.6,611.7,565.8,733.2,479.3,600.8,744.9,820.8,1088.8,856.3,662.8,753.5,576.8,867,772.2,1088.8
2057,870.3,420.2,457.5,822.2,583.6,578.9,611,580.2,489.3,547.5,642.5,808.2,1190.9,850.2,568.5,816.3,635.8,707,806.8,1190.9
2058,782.7,637.5,688.2,804.8,526.9,512.1,567.1,775.4,471,683,726.1,841.9,1160,884.2,622.7,827.9,641.3,738,658.9,1160
2059,937.5,680.5,677.2,841.7,640.3,545.2,478.9,887,522,990.5,656.4,797.9,1251.6,975.6,589.3,720.2,490.2,772.8,834.9,1251.6
2060,987.4,564.2,481,793.4,591.7,594,550.7,859,434.3,690.7,606.8,759.2,1108.9,909.2,663.5,769.9,525.5,880.9,806.8,1108.9
2061,968.1,547.2,623.3,893.6,498.7,572.3,612.9,727.3,510.7,604.4,622.6,859.8,1018.9,787.5,701.4,872.2,614.8,865.8,774.6,1018.9
2062,938.4,566.1,565.3,856.5,510.5,510,631.6,542.3,512,644.2,720.4,740.7,1011.4,1019.5,734.4,809.9,665.4,868.8,835.5,1019.5
2063,995.9,711.2,586.3,879.3,596.9,605.9,661.6,694.2,587.7,580.6,684.6,760,1015.1,892.1,655.6,787.8,748.8,729.1,862,1015.1
2064,1024.1,607.5,634.1,816.6,582,688.5,506.4,709.3,501.6,818.5,833.9,826.6,1312.1,990.4,742.1,735.5,736.9,828.4,734,1312.1
2065,967,459.3,507.6,800.1,677.5,550.9,626,796,484.3,522.8,739.6,774.3,1316.3,969.8,583.5,843.8,832.9,830.2,747.9,1316.3
2066,1003.4,589.9,477.1,835.1,558,641.5,568.4,658.3,543.5,579.2,734.8,818.1,1050.8,834.9,649,776.9,631,666.3,966.5,1050.8
2067,961,599,552.5,822.9,602.6,523.3,690.7,865.2,596.7,562.6,799.3,806.5,997.7,910.1,617.6,772.5,773.6,844,641.6,997.7
2068,968,667.5,494.7,846.9,550.3,561.2,599.7,630.9,521.6,835.1,636.3,825.8,1207.8,929.2,555.9,813.9,784.4,723.9,747.8,1207.8
2069,905.2,458.6,555.8,917.6,510.9,573.7,755.7,960.5,575.1,852.2,669,749.5,1244.3,892.8,773.9,758.3,740.3,734.9,1008.3,1244.3
2070,989.8,493.8,480.7,821.4,492.5,616.7,622.5,685.5,504.4,803.2,597.5,827.8,1303.2,937.9,509.8,757.5,829.2,711,726.1,1303.2
2071,955.3,773.9,673.2,872.1,596.9,622.6,568.7,782.1,581.1,751.2,728.7,770.8,1181.9,886.6,569.9,730.4,675,675.7,816.7,1181.9
2072,992.6,534.6,556.2,812.8,525.4,527.7,708.6,664.6,403.3,682,671.3,739.7,1262,939.2,796.5,740.6,703.9,560.8,868.2,1262
2073,991.2,571.3,462.6,792.1,615.2,588.6,583.4,612.1,475.1,552.4,554.9,802.1,1015,883.4,773.8,806.6,802.7,773.3,824.5,1015
2074,1006.5,551.7,659.1,768.8,565.7,464.9,550.7,685.2,478.4,664.9,720.9,845,1084.8,825.7,569.6,795,568.5,744.2,678.8,1084.8
2075,903.7,577.7,383.2,851.4,682.6,551.3,686.7,843.8,458.8,749.4,765.1,763.4,1284.4,938.3,635.7,754.3,654.1,820.1,793.9,1284.4
2076,792.8,833.2,539.5,861.7,651.1,617.6,597.9,841.7,450.8,758.4,674.6,825.3,1327.9,939,542.2,802,669.3,763,799.6,1327.9
2077,939.1,539.3,518.2,858.4,522.2,522.8,634.6,694.1,512,697.2,720.4,809.1,1189,850.8,536.4,732.5,905.4,858.4,741.5,1189
2078,886.8,767.2,498.8,882.5,689.4,485.2,607.7,824.6,491,699,645.8,721.2,1098.5,975,576.8,688.8,601.6,801.8,786.4,1098.5
2079,828,511.4,534.8,852.6,512.1,642.5,593.1,736.7,539.4,508.6,812.1,806.3,1071.1,912.8,703.7,692.4,673.5,796,774.9,1071.1
2080,857.2,692.4,533.4,806.5,596.8,748.8,606.2,601.9,436.7,693.9,825.3,783.7,1060.7,859.1,715.6,811.5,816,733.4,761.6,1060.7
2081,958.4,692.3,603.5,881,548.1,561.1,629.8,844.4,504.6,731.1,863.4,1111.1,1298.6,795.7,705.2,792.9,759.6,785.8,890.1,1298.6
2082,811.7,682.7,591.7,834.8,617.2,662.3,706.7,752.3,568.4,734.2,616,806.3,1356.8,974.3,703.4,781,842.8,689.4,875.4,1356.8
2083,885.1,650.8,494,824.8,549.5,508.6,579.3,839.3,495.6,763.1,736.1,835.4,1039.6,1009.5,642.7,825.6,655.7,760.5,839.1,1039.6
2084,914.4,572.2,452.4,887,571.8,526.5,643,745.4,564.6,493.7,726.5,807,1011.2,847.5,706.4,794.5,729.6,706.2,750.9,1011.2
2085,887.3,570.4,562.3,1012.6,635.4,612.5,575.8,663.2,602.8,766.1,645.1,767,1212.3,966.1,602.6,737.5,624.4,673.7,834.9,1212.3
2086,952.9,599.9,596.2,870.4,734.6,537.5,558.2,877.8,461.4,761.7,576,728.7,1311.4,767.9,649.8,764,718.3,736.7,790.6,1311.4
2087,920.1,617.8,544.7,797.1,608.9,620.1,563.6,767.7,558.4,696.4,567.6,871.3,1087.7,868.7,617.3,756.1,702.3,808.4,770.4,1087.7
2088,1031.5,674,689,807.9,608.7,661.3,650.8,595,522.3,642.9,668.8,805.8,1136.5,954.1,888.6,656.7,626.9,809.9,911.5,1136.5
2089,953,550.2,554.4,867.2,523,619.1,563.2,822.8,456.5,572.6,757,998.8,1043.7,861.1,720.3,746,589.2,942.1,774.6,1043.7
2090,989,510.1,434.1,857.9,584.8,630.5,592.8,862.5,495.4,563.2,712,745.5,1123.7,905.4,622.5,764.8,559.8,729,780.8,1123.7
2091,860.7,649.3,541.6,897.9,618.5,701.1,526.7,705.3,500,745.6,761.2,790.5,1071.9,920.7,619.1,832.6,603.5,787.4,840.7,1071.9
2092,1017.8,664.1,560.9,797.7,744.3,577.3,679.2,841.8,460.8,620.5,692.6,793.8,1037.7,864.9,620,769.2,609.3,984.2,782.9,1037.7
2093,873.2,465,571.5,791.1,634.4,614.7,580,727,484.1,556.3,674.6,694.3,983.1,825.1,628.4,773.7,628.6,656.5,669.8,983.1
2094,844.6,572.9,568.1,865.6,599,793.4,682.5,650.9,499.7,604.3,639.2,797,977.7,915.1,721,739.7,594.9,711.7,710.1,977.7
2095,951,886.7,605.4,864.5,555.1,543.6,658.1,783.6,520.5,612.8,760,821.9,1323.5,888.5,852.5,806.4,699.1,757.7,818.7,1323.5
2096,954.8,640.8,605.5,800,617.5,485.1,670.3,824.3,508.2,698.3,718.1,782.3,1079.1,915.9,786.2,733.8,534.6,720.4,844.2,1079.1
2097,882.6,630.3,684.5,774.5,543.6,625.4,579.1,637.1,505.6,583.3,715.6,824.3,1101.2,915.1,641,766.3,632.4,743.3,777.8,1101.2
2098,886,599,411.2,795.7,580.6,460,702.6,806.8,517.5,805.1,797.1,762.3,1325.2,873.6,603.1,830,591.1,621.1,800.4,1325.2
2099,968.5,565.3,518.4,691.6,686.2,547.3,586.7,714.9,469.1,746.2,621,846.2,1125.1,880.8,687.7,812.2,654,782.8,1030.3,1125.1
2100,939.1,489.6,592,814.9,607.1,562.6,544,796.3,465.8,701.3,646,792.4,1070.8,1014.2,553.7,747.9,611.4,699.3,881.4,1070.8
