"Year","ACCESS-ESM1-5","AWI-CM-1-1-MR","BCC-CSM2-MR","CanESM5","CNRM-CM6-1","CNRM-ESM2-1","EC-Earth3","GFDL-ESM4","GISS-E2-1-G","HadGEM3-GC31-LL","INM-CM5-0","IPSL-CM6A-LR","MIROC-ES2L","MIROC6","MPI-ESM1-2-HR","MPI-ESM1-2-LR","MRI-ESM2-0","NESM3","UKESM1-0-LL","ensemble"
2015,53.4,25.5,22.2,56.2,29.3,37.3,28.5,32.4,28.4,19,37.3,43.8,41.9,40.2,26.6,37.8,39.8,39.5,40.8,56.2
2016,37,23.3,31.3,49.1,23.1,40.9,20.9,36.8,47.9,31.2,36.7,33.1,42.2,47.8,24.1,49.5,24.3,46.5,52.5,52.5
2017,28.5,20.2,27.2,61.9,29.9,46.8,21.6,17.1,31.3,32.5,63.1,47.9,92.4,52.3,14.4,44.8,28.1,34.2,44.9,92.4
2018,38.2,30.7,30,64.3,43.4,33.3,26.8,49.8,22.1,17.6,40.3,43.5,70.2,55.3,24.2,53,19.4,60.3,29.8,70.2
2019,39.1,83.6,35.9,46.6,34.1,29.3,50.7,19.3,32.7,20.1,28.6,45.1,51.5,54.1,12.3,44.9,42.4,31.1,40.9,83.6
2020,27.5,44.9,12.4,63.4,44.9,35.4,24,31.1,48.9,11.8,46.3,69.8,72.6,51.2,29.9,32.1,27.6,42,26.4,72.6
2021,34,11.8,27.2,61,41.1,49.4,24.5,26.2,34,14.6,30.1,45.5,30.5,48.6,31.4,47.7,39.4,26.2,39.3,61
2022,23.8,22.4,24.5,73.2,31.7,31,25.2,31.6,36.9,26.1,19.3,62.4,54.7,45.5,28.4,36.8,49.8,35.6,56.4,73.2
2023,40.8,21.4,47.1,58,30.8,27.3,22.1,36.2,42.8,29.6,16.2,62.1,40.3,59.4,23.5,31.9,33.7,29.9,35.8,62.1
2024,34.9,23.8,47.5,54,31.8,35.5,26.5,39.6,36.6,34.9,27.3,81.8,16.5,42.4,19.2,42.9,28.8,23.4,36.2,81.8
