"Year","ACCESS-ESM1-5","AWI-CM-1-1-MR","BCC-CSM2-MR","CanESM5","CNRM-CM6-1","CNRM-ESM2-1","EC-Earth3","GFDL-ESM4","GISS-E2-1-G","HadGEM3-GC31-LL","INM-CM5-0","IPSL-CM6A-LR","MIROC-ES2L","MIROC6","MPI-ESM1-2-HR","MPI-ESM1-2-LR","MRI-ESM2-0","NESM3","UKESM1-0-LL","ensemble"
2015,5.6,12.5,4.8,8.6,9.8,11.6,6.9,6.4,5.2,4.3,2.9,7,3.5,5.8,6.5,7.8,8.5,1.5,6.9,12.5
2016,5.5,9.6,1.3,8.2,10.6,11.8,10.9,8.7,7.1,-1.8,2.4,4.1,3.7,6.3,11.2,6.7,7.7,4.1,8.1,11.8
2017,6.2,13.8,2.5,7.4,8.7,10.4,8,8.8,5.9,4.2,3.4,6.2,1.9,9.3,9.4,5.2,12.7,-0.7,7.2,13.8
2018,7.5,13.5,4.2,8.2,10.5,9.9,7.3,6.3,5.2,5.1,0.9,3.5,3.9,12.3,6.2,7.5,10.5,-2,7.8,13.5
2019,7.1,15.1,5.4,6.7,10.6,11.7,9.8,8.1,6.4,0.9,1.6,7.6,4.8,5.1,8.5,8.9,2.6,1,6.2,15.1
2020,8.1,12,5.9,8.2,10.4,11,5.8,9.2,10,4.7,0.8,7.7,4.1,8.7,8.2,10.1,4.7,1.3,9.3,12
2021,7.1,18.2,1,6.8,9.7,9.1,6.8,6.7,5.8,4.2,4.4,4.9,2,9.8,5.1,7.8,4.7,2.8,7.5,18.2
2022,5.6,18.9,5.4,9,10.1,10.9,6.8,6.2,9.6,4.6,5.2,5.7,4.7,8.1,9.6,6.9,8.1,2.3,5.2,18.9
2023,6.1,9.9,1.4,6.7,11,9.6,8.2,9,7.3,8,2.9,9.2,8.1,4.1,9.4,6.9,10.9,-3.9,8.6,11
2024,7,14.4,3.7,7.5,10,12.8,6.6,9.5,8.4,4.2,2.7,6.4,2.3,8.9,9.5,7.2,5.7,1.1,8.1,14.4
2025,6.6,17,0.5,9.1,10.5,9.6,9,6.4,8.9,3.8,-2.3,5.4,4.3,9,7.8,10.3,9.1,-0.2,5.9,17
2026,4.6,8.7,6.9,8.4,11.9,9.1,5.5,6.5,10.2,4.6,0,3.2,4.1,5.8,8.4,6.3,10.6,1.1,8.9,11.9
2027,6.3,9.3,2.2,7,9.1,12.2,9.1,6.2,10.4,1,4.2,4.5,5.3,10.2,8.7,9.5,11.3,-0.1,7.4,12.2
2028,7.9,9.9,4.6,6,13.6,10.4,8.5,7.5,6.4,3.4,3.1,5.5,8.4,10,6.3,5,12,1.1,7.4,13.6
2029,6.8,14.4,5.3,7.5,9.7,11.1,9.3,6.9,8.4,7.1,5.8,7.8,8.7,12.4,10.3,8.9,8.8,1.1,10.3,14.4
2030,7.7,12.5,6.9,6.8,7.5,14.1,8.7,5.6,8.4,6.9,0.6,4.5,5.9,10.9,10.8,8.5,4.7,-1.6,7.2,14.1
2031,6.3,18.2,4.8,6,10.4,10.3,9.1,6.9,8.6,1.8,4.6,7.5,5,10.1,12.1,11.2,11.8,1.5,5.8,18.2
2032,8.2,23.2,3.6,6.9,10.9,11.5,10.5,5.5,8.4,5.2,3,8.1,2.9,7.4,10.4,11.7,10.4,-1.9,7.8,23.2
2033,9,22.5,2.7,5.7,9.2,11.4,7.9,9.6,5.7,2.9,3.2,9.7,9.3,7.1,8.9,9.4,5.2,3.3,6.9,22.5
2034,6.9,9.8,4.2,7.5,11.4,10.1,4.8,10.2,7.2,5.4,3.6,7.1,5.3,10.4,9,9.6,6.3,2.9,7.3,11.4
2035,7,16.2,2.9,9.5,13.1,12,7.4,8.8,9.3,6,-2.3,4.9,2.4,7,8.8,9.1,7.8,0.7,7.7,16.2
