"Year","ACCESS-ESM1-5","AWI-CM-1-1-MR","BCC-CSM2-MR","CanESM5","CNRM-CM6-1","CNRM-ESM2-1","EC-Earth3","GFDL-ESM4","GISS-E2-1-G","HadGEM3-GC31-LL","INM-CM5-0","IPSL-CM6A-LR","MIROC-ES2L","MIROC6","MPI-ESM1-2-HR","MPI-ESM1-2-LR","MRI-ESM2-0","NESM3","UKESM1-0-LL","ensemble"
1850,18.2,29.2,17.4,16.4,20.7,24.5,NA,17,21,17.6,19.1,19,18.6,23.2,22.7,16.6,22.2,13.3,20.9,29.2
1851,18.2,27.3,14.4,18,21.9,23.9,18.9,18,20.1,17.3,18.1,18.6,17.4,22.4,24.7,20.5,22.3,14.8,17.2,27.3
1852,18.4,26,16,18.4,20.3,23.3,18.6,19.3,21.9,19.3,20.5,21.5,18.9,22.8,21.2,19.5,22.2,13.2,17.9,26
1853,17.6,25.5,17.9,18,21.6,22.7,19.7,20,23.6,17.5,17.7,18.7,19.1,23.1,21.6,18.6,19,15.1,20.3,25.5
1854,18.1,25.5,19.3,18.5,20.4,23.5,18.3,17.1,23.8,17.5,18.9,18.1,19.8,24.1,21,17.7,19.3,14,18.5,25.5
1855,18.9,27.7,21.4,18,20.1,23.5,20,16.7,20.9,18.4,19.2,18.5,19,24,21.3,19,21.5,14.8,18,27.7
1856,19.9,28.9,18.5,19.5,22.7,23.6,19.4,16.4,22.3,18,17.8,19.6,19.6,21.9,22.4,18.1,22.2,14.8,22.4,28.9
1857,19.3,30.7,17,16.7,20.4,22.3,20.5,18,21.6,16.9,17.2,19.1,19.6,24.5,22.2,18.7,20.7,13.8,18.4,30.7
1858,18.2,24,20.3,18,20,23,17.2,17,20.5,16.8,17.8,20.5,19.3,24.9,22.1,19.3,21,18.6,17.6,24.9
1859,20.1,22.7,16.8,18.2,21.5,22.6,21.1,19.4,20.5,16.9,18.1,19.7,19.6,22.7,23.1,20.2,22.2,13.2,19.1,23.1
1860,19,29.1,17.9,19.2,23.3,23.6,17.5,17.7,21.9,18.4,19.7,18.8,19.2,24.5,22.9,18,22.4,13.6,19.6,29.1
1861,19,28.6,16,19.3,20,23.5,17.7,18.4,20.4,16.6,19.4,19.5,19.8,22.3,22.7,18.9,20.1,14.9,16.9,28.6
1862,18.5,27.5,15.1,17.3,22,23.5,18.5,16,22.3,17.9,18.8,20.4,19.2,24.1,21.7,19.6,22.9,15,18.7,27.5
1863,18.1,23,16,17.2,21,23.3,21.1,16.7,19.9,16,17.1,18.5,20.9,24.1,21.5,17.6,21.5,13.8,18.9,24.1
1864,18,26.7,15.9,16,20.4,23.8,18.7,16.5,20.9,16.4,18.9,17.8,18.4,24.6,21.5,17.8,21.7,14.4,18.4,26.7
1865,18.3,25.1,17.7,17.5,22.7,22.6,19.9,19.5,21.7,17,20.2,20,21.2,24.7,20.8,17.8,21.3,12.4,18.1,25.1
1866,17.8,25.8,20.7,21,20.7,20.8,17.9,16.6,20.3,17.3,17.5,19.6,19.3,23.2,21.4,17,21.3,15,18.6,25.8
1867,18.1,26,18,17.1,20.4,22.6,17.8,19.8,20.5,18.8,18.4,19.7,18.3,23.9,19.7,18.3,20.1,15.3,17.4,26
1868,18.9,26.8,17.2,18.1,22.1,22.2,20.1,17.5,18.7,16.9,17.3,19.1,19.8,23,20.4,17.9,21.1,13.5,19,26.8
1869,17.2,29.9,20.4,18.6,22,23.9,21.1,18,20.3,18.5,17.6,19.4,18.2,23,19.7,17.2,21.2,12.9,19,29.9
1870,17.6,25.9,16.3,17.8,21.1,22.6,21.1,17.3,22,17.6,18.9,24.2,19.4,25,21.5,17.8,21.8,16.4,18.8,25.9
1871,20,24,21.1,17.6,20.8,22.5,19.4,20.7,20.3,20.7,17.8,18.2,18.3,23.3,19.4,17.8,22.9,14.5,20,24
1872,18.8,28.4,16,17,20.9,23.3,19.3,18.8,21.9,15.7,18.8,18.7,17.2,22.2,20.3,18.3,19.5,15,19.5,28.4
1873,18.8,28.6,13.8,16.7,20.7,23.1,21.2,18.9,22.2,18.1,18.3,21.1,19.4,23.3,21.3,17.5,21,14.8,19.3,28.6
1874,18.9,26.7,15.9,17.6,19.7,22.5,18.1,16.5,19.8,19.2,18.5,19.4,18.5,23.6,23.2,20.1,22.8,14.6,20,26.7
1875,18.6,25.7,18.7,17.2,19.6,22,18.5,17,16.9,17.3,20.5,19.8,19.7,24.3,22,18.2,21.7,13.5,19.5,25.7
1876,18.1,22.8,15.6,20.2,21,22.9,22.3,19.8,19.6,17.8,17.9,16.5,19,23.8,20.8,20.8,21.5,12.8,18.9,23.8
1877,17.8,27.9,13.4,18.4,20.7,20.4,17.1,18.1,19.9,18.3,19.2,19.2,19.6,23,20,19.6,20.5,13.4,19.7,27.9
1878,17.6,26.8,19.6,17.9,19.8,24.5,18.7,19.9,20.9,17.2,18.5,17.7,20,23.3,21.3,17.7,20.3,15.3,17.4,26.8
1879,19.6,29,18.4,17.1,21.1,22.4,18.9,18.5,22.4,17.1,18.4,19.4,17,23.7,22.8,18.3,23.1,15.7,18.6,29
1880,18.4,28.3,14.4,19.6,22.6,23.7,19.2,17.9,20.1,18,16.2,17,19.9,26.2,20.8,18.6,20.9,13.4,18.7,28.3
1881,19.3,25.2,13.2,17.1,21.3,22.5,22,16.1,22.1,15.5,17.6,19,19.8,25.6,20.6,22.7,22.5,14.1,17.6,25.6
1882,20,26.9,16,18.1,21.9,22.4,21.5,18.2,24.4,18.5,19.5,19.9,20.8,23.4,21.1,17.9,22,14.2,16.3,26.9
1883,21.1,25.4,15.4,16.7,22.2,23.2,20.2,19,20.5,16.6,17.4,20.8,18.8,23.3,21.4,17.7,22.3,14.1,18.2,25.4
1884,18.1,28.8,15,17.7,21.4,24.3,19.8,18.1,24.4,16.7,16.4,19.1,17.8,25.4,20.8,18.8,20.5,13.8,17.9,28.8
1885,17.6,28.4,16.1,16.4,20.2,22,18.2,16,20.3,17.3,18.7,18.8,19.1,24.2,20.5,17.8,21.7,14.6,19.5,28.4
1886,18.1,26.6,19.8,18.1,22.1,23.3,18.5,18.9,21.5,20.7,18.3,19,17.9,24.5,20.7,18.1,22.5,14.8,19.9,26.6
1887,18.8,32.6,20.2,21.7,21.2,22.7,16.7,15.8,18.2,16.9,18.7,20.4,19.2,22.6,21.6,19.2,20.9,17.6,18.3,32.6
