"Year","ACCESS-ESM1-5","AWI-CM-1-1-MR","BCC-CSM2-MR","CanESM5","CNRM-CM6-1","CNRM-ESM2-1","EC-Earth3","GFDL-ESM4","GISS-E2-1-G","HadGEM3-GC31-LL","INM-CM5-0","IPSL-CM6A-LR","MIROC-ES2L","MIROC6","MPI-ESM1-2-HR","MPI-ESM1-2-LR","MRI-ESM2-0","NESM3","UKESM1-0-LL","ensemble"
2015,-11.4,-37.6,-30.6,-9.2,-14.2,-10.8,-14.7,-20.4,-14.9,-16.2,-23,-12.8,-8.6,-8.6,-23,-21.6,-12.1,-13.7,-17,-8.6
2016,-10.6,-30.6,-31.1,-8.8,-15.4,-10.2,-14.8,-14.4,-10.5,-20.6,-17.2,-9.6,-9,-8,-22.2,-12.3,-20,-15.8,-21.6,-8
2017,-11.6,-37.8,-21.8,-12.2,-14.3,-11.8,-14.3,-18.9,-16.7,-22.1,-14.5,-13.3,-15.2,-6.8,-18.1,-12.2,-13.2,-9.4,-20.3,-6.8
2018,-11.2,-34.4,-19.7,-11.3,-9.5,-14.4,-12,-15.5,-13,-19.8,-17,-19,-5.3,-6.6,-8.8,-13.1,-9.4,-14.9,-19.7,-5.3
2019,-12.2,-28.1,-12.8,-10.4,-12.1,-9.9,-15.7,-10.4,-13.2,-25.3,-18.4,-11.7,-10.3,-9.4,-10.5,-14,-14.7,-14.7,-19.2,-9.4
2020,-13.2,-30.2,-23.4,-10.7,-14,-14.4,-12.9,-23.9,-14.4,-17.4,-17.1,-20.8,-14.5,-9,-26.9,-19.6,-19.1,-12.9,-17.4,-9
2021,-11.2,-28.5,-16,-10.3,-12.4,-13.1,-9.4,-17.4,-12.1,-21.5,-14.4,-13.7,-4.2,-8.3,-18.2,-11.4,-11.8,-18.3,-18,-4.2
2022,-12.5,-26.1,-18.9,-11.3,-15.3,-11,-10.7,-18.6,-12.2,-17.4,-29.9,-13.3,-19.3,-7.4,-19.9,-19.6,-10.1,-12.4,-21.1,-7.4
2023,-12.1,-22.3,-14.4,-10.9,-10.2,-8.7,-15.9,-18.9,-16.7,-21.8,-17.1,-16.4,-4.9,-8.3,-14.3,-14.1,-9.5,-16,-19.9,-4.9
2024,-10.1,-25.1,-14,-11,-12.2,-11.4,-14.9,-16.8,-11.9,-23.5,-18.9,-14.7,-10.7,-7.1,-14.8,-19,-14.2,-16.3,-17.3,-7.1
2025,-11,-24.9,-22.8,-6.8,-11.4,-12.6,-11.5,-14,-10.9,-18,-21.2,-12.2,-12,-9.3,-18.4,-14.4,-11.5,-13.4,-17.9,-6.8
2026,-11,-29.3,-13.6,-11.8,-13.3,-11.6,-14.8,-16.8,-11.1,-19.2,-23.7,-16.7,-5.6,-7.5,-15.3,-18.7,-10.2,-16,-20.7,-5.6
2027,-12.8,-24.9,-18.2,-8.3,-7.5,-8.2,-17.3,-14.6,-13.7,-18.9,-21,-14.9,-4.2,-7.3,-15.8,-13.8,-16.2,-18.1,-22.1,-4.2
2028,-9.1,-27.4,-12.4,-10.2,-10.3,-11.4,-14.3,-16.7,-12.3,-25.6,-11.1,-14.2,-12.5,-9.6,-15.4,-18.3,-11.9,-14.5,-18,-9.1
2029,-11.1,-28.1,-9.6,-8.3,-11.5,-12.2,-12.7,-17.1,-10.6,-20,-16.6,-13.3,-10.9,-8.6,-10.7,-13,-12.9,-12.1,-21.4,-8.3
2030,-11.3,-26.8,-17,-9.7,-14.2,-10,-9.2,-10.9,-16.9,-19.4,-19.2,-10.4,-5.5,-5.6,-13.9,-13.9,-11,-21.9,-16.8,-5.5
2031,-10.5,-24.3,-25.6,-8.7,-13,-9.9,-8,-17.6,-10.5,-20.5,-24.9,-10.3,-9.9,-8.6,-15.7,-15.3,-10.9,-15.8,-21.1,-8
2032,-11.3,-29.3,-20.9,-11.1,-14.1,-12.8,-10.6,-11.3,-12,-20.9,-19.6,-16.6,-7.1,-3.6,-15.9,-23.8,-13.8,-13.3,-17.4,-3.6
2033,-9.3,-28.2,-20.1,-6.5,-11.4,-7.5,-13.2,-13.4,-9.2,-18.5,-20.5,-10.9,-10.6,-6,-10.1,-15.9,-11.2,-17.2,-18.2,-6
2034,-11.1,-26.4,-10.4,-8.6,-12.8,-13.7,-9.7,-17.5,-16.3,-21.9,-28.3,-11.4,-10.6,-3.2,-17.9,-11.9,-16.3,-11.2,-18.4,-3.2
2035,-7.4,-28.7,-30.2,-6.9,-11.8,-6.9,-12.8,-11.4,-11.6,-20.6,-25.8,-10.7,-2.9,-8.1,-16.3,-20.8,-13.4,-11.9,-16.2,-2.9
2036,-11.1,-25.7,-24.7,-6.7,-11.6,-8,-11.5,-14.9,-11.8,-17.7,-17.2,-14.4,-7.4,-8.8,-13.8,-14.1,-10.2,-16.8,-18.2,-6.7
2037,-9.6,-28.7,-24.7,-9.4,-10.4,-8.7,-11.5,-18.3,-8.9,-19.6,-13.4,-10.1,-9.1,-4.5,-7.4,-13.2,-12,-9.9,-18.9,-4.5
2038,-12.5,-32.3,-17.4,-8.7,-12.3,-9.8,-11.2,-11.6,-12.2,-19.3,-18.2,-11.6,-9.3,-5.2,-20.9,-13.1,-12.6,-15.3,-18.7,-5.2
2039,-11.4,-33.7,-17.3,-6.4,-10.5,-8.7,-10.9,-10.2,-14,-19,-27.4,-13.5,-7,-6.7,-13.9,-13.7,-6.2,-15.4,-17.2,-6.2
2040,-10.8,-27.5,-16,-6.1,-10.8,-12.1,-10.8,-15.5,-12.7,-16.8,-18.7,-16.1,-12.4,-8.9,-12.2,-16.3,-11.7,-9.2,-17.1,-6.1
2041,-9.2,-24.9,-17.2,-9.6,-10.7,-9.6,-15,-17.3,-9.4,-21,-15.4,-9.7,-13,-4.8,-5.9,-21,-11.7,-17.7,-18.8,-4.8
2042,-9.7,-32.4,-15,-10.4,-12,-7.3,-10.6,-22.2,-11.1,-14.8,-15.7,-14.6,-13.3,-11.8,-19.2,-9.5,-6.5,-13.7,-17.2,-6.5
2043,-8.8,-26.9,-17.1,-9.1,-12.3,-10.3,-11.1,-13.8,-13.5,-13.9,-19.8,-10,-1.7,-5.5,-22.3,-13.8,-9.8,-15.6,-10.8,-1.7
2044,-8.6,-33.1,-24.2,-9.1,-10.9,-12.5,-10,-15.9,-15.2,-16.1,-26.2,-13.1,-7.9,-9.5,-15.9,-9.4,-12.1,-10,-14.9,-7.9
2045,-7.3,-27,-17.3,-6.6,-11.8,-12.9,-13,-9.3,-15.1,-19.5,-12.4,-11.8,-5.9,-9.1,-10,-15.2,-11,-11.4,-17.5,-5.9
2046,-8.1,-35.8,-24,-8.5,-12.6,-9.4,-14.3,-21.9,-12.8,-13.9,-17.3,-9.2,-5.3,-4.4,-14.6,-13,-7,-11.5,-16.6,-4.4
2047,-7.7,-26.5,-16.8,-6.4,-10,-11.5,-10.3,-22.5,-14.5,-17.7,-20.6,-10.1,-7.8,-6.6,-13,-17.6,-12.5,-13.9,-19.1,-6.4
2048,-7.8,-25.7,-11,-7.8,-13,-6.4,-8.8,-7.3,-14.7,-22.5,-15.4,-7.9,-6.4,-4.3,-18.1,-12.2,-11.9,-9.9,-13.7,-4.3
2049,-7.1,-31,-16.5,-4,-10,-9,-13.2,-18.1,-11.1,-20.2,-15.2,-13.6,-5.2,-9,-12.1,-13.2,-10.5,-7,-16.8,-4
2050,-8.7,-28.2,-15.7,-6.4,-11.9,-11.8,-9.1,-19.1,-10.5,-19,-16.1,-9.7,-5.5,-5.4,-14,-15.2,-17.1,-9.2,-16.4,-5.4
2051,-8.2,-24.5,-7.9,-3.8,-10.3,-8.2,-10.9,-13.5,-11.9,-20.4,-9.1,-10.2,-3.6,-4.3,-16.4,-12.2,-8.5,-8,-11.5,-3.6
2052,-8.8,-33.7,-18.5,-7.6,-6.4,-8.1,-13.7,-12.1,-13.1,-11.7,-12.4,-10.1,-7.5,-4.5,-8.8,-13.4,-9.5,-11.5,-13.1,-4.5
2053,-8.8,-27.5,-13.6,-6.1,-11.4,-7,-12.9,-12.5,-9.9,-18.6,-19.8,-6.9,-0.1,-8.4,-13.3,-14.7,-10.8,-10.9,-14.8,-0.1
2054,-8.3,-24.8,-13,-9.3,-9.7,-8.6,-11.8,-16.5,-11.8,-14.8,-10.5,-16.1,-8.8,-5,-19,-12,-8.8,-10.2,-15.2,-5
2055,-9.2,-19.5,-17.5,-6.4,-12.4,-10.5,-8.6,-14,-11.2,-15.2,-14,-5.9,-9.1,-1.1,-19.3,-11.2,-10.1,-11.2,-15,-1.1
2056,-10.1,-26.6,-18,-7,-8.9,-11.4,-11,-15.4,-11.4,-12.9,-18.1,-11,-2.1,-4.7,-21.4,-13.1,-6.4,-16.6,-14.3,-2.1
2057,-7.1,-30.7,-15.7,-5.3,-8.1,-10.3,-13.1,-9.7,-8.2,-11.6,-20.2,-11.2,-4.7,-3.6,-7.6,-18.6,-18.8,-8.3,-17.7,-3.6
2058,-9,-23.7,-8,-2.3,-6.9,-8.9,-5.9,-13.8,-10,-14.2,-12.2,-7.5,-1.1,-3.6,-13,-8.9,-6.5,-14.7,-14.1,-1.1
2059,-5.9,-18.8,-15,-5.6,-10.7,-10.7,-9.9,-11.1,-13,-16,-22.5,-8.5,-6.8,-1.2,-9.3,-9.8,-7.8,-15.8,-9.8,-1.2
2060,-7.4,-26.5,-7.2,-5.5,-9.7,-10.5,-13.1,-10.4,-7.8,-12.7,-8.6,-4.5,-7.4,-8.8,-10.6,-12.9,-9,-7.4,-15.4,-4.5
2061,-6.2,-26,-10.5,-4.5,-11.4,-8.2,-11.6,-7.5,-7.2,-16.3,-21.4,-10.1,-1,-6.1,-14.6,-12.8,-7.5,-7.1,-15.3,-1
2062,-8.1,-27.9,-9,-6,-9.9,-8.5,-9.8,-12,-9.5,-13.8,-7,-8.3,-2.9,-4.8,-12.7,-17.3,-12.6,-11.7,-13,-2.9
2063,-7.5,-28.3,-8.2,-5.5,-12.8,-9.4,-9,-12.9,-9.3,-8.9,-9.5,-8.8,-3.6,-6.7,-13.1,-14.6,-20.5,-8.4,-13.3,-3.6
2064,-8.6,-18.6,-6.3,-2.9,-7.9,-9,-8,-9.8,-7.9,-17.9,-14.2,-10,-11.2,-6.6,-13.2,-12.8,-10.1,-14.7,-12.1,-2.9
2065,-6.6,-18.5,-17.1,-3,-10.9,-7.8,-9.4,-10.1,-8.1,-12.5,-14.8,-12.4,-8.7,-5.5,-15.3,-14.7,-6.4,-10.8,-12.6,-3
2066,-7.7,-26.1,-18.8,-1.6,-9.7,-11.3,-8.7,-9.1,-10.8,-14.2,-21,-6.1,-8.3,-8.1,-13.5,-7.2,-14.5,-10,-12.2,-1.6
2067,-8.6,-25.6,-9.3,-5.6,-8.3,-6,-13.9,-11.5,-9.6,-17.4,-17,-7.6,-14.5,-5.8,-10.9,-9.4,-15.8,-7.4,-9,-5.6
2068,-7.7,-23.9,-20.1,-4,-9.6,-8.6,-9.2,-17.7,-9.8,-19.3,-23.7,-7.7,-8.7,-5,-11.7,-15.5,-7.4,-10,-5.6,-4
2069,-8,-27.6,-17.8,-4.5,-9.6,-8,-11.5,-7.1,-9.2,-15.3,-16.1,-4.7,-7.1,-5.3,-13,-7.5,-11,-10.4,-14.2,-4.5
2070,-6.2,-23.3,-14.4,-5,-9,-7.7,-10.6,-8.7,-10.7,-9.5,-20.7,-5.8,-0.1,-1.5,-16.2,-11.8,-4.7,-8.2,-14.6,-0.1
2071,-6.6,-11.4,-9.2,-4.5,-10.8,-9.1,-9,-14.4,-11.7,-15,-22.1,-4.8,-0.5,-0.8,-6.5,-6.7,-16.3,-13.7,-8.7,-0.5
2072,-6.9,-21.9,-14.8,-0.2,-7.9,-8.6,-8.3,-10.2,-12.4,-17.1,-13,-6.4,-10.2,-4.3,-13.1,-14.9,-9.9,-10.6,-13.2,-0.2
2073,-7.6,-26.7,-9.7,-3.8,-6.2,-6.8,-12.4,-14.3,-9.2,-13.4,-15.7,-6,-4.2,-3.1,-14.9,-9.8,-8.3,-8.2,-13.5,-3.1
2074,-6,-16.2,-8.3,-0.2,-8.4,-6.7,-11.5,-12.6,-8.5,-16.8,-9.9,-5,-2.6,-3.8,-8.2,-13,-10.9,-4.8,-10.5,-0.2
2075,-7.7,-15,-13.3,-3.6,-6.6,-11,-11.4,-13.8,-9.7,-8.8,-14,-6.6,-7.9,-1.7,-9.7,-8.5,-5.5,-8.1,-11,-1.7
2076,-7.9,-19,-13.5,-5.1,-7,-6.8,-7.5,-15.6,-9.4,-19.8,-11,-5.1,-9.6,-3.5,-5.6,-10.9,-6.6,-8.3,-13.4,-3.5
2077,-8.2,-20.3,-18.5,-2.8,-8.9,-7.8,-6.1,-9,-8.9,-11,-17.2,-5.7,-3.9,-3.2,-14.2,-10.2,-16.2,-2.9,-11.1,-2.8
2078,-6.5,-24.8,-15.3,-4.7,-6.9,-7,-6.5,-5.8,-7.8,-14.3,-19.6,-8.8,-0.1,-3.5,-3.2,-13.7,-13.1,-9.1,-9.4,-0.1
2079,-6.9,-23.5,-13,-2.8,-3.8,-7.9,-10.1,-8.5,-11.7,-12.9,-12.7,-4.5,-4.5,-3.2,-12.1,-10.4,-8.6,-13.3,-12.7,-2.8
2080,-6.3,-20.8,-14.8,-1.5,-6.6,-9.1,-6.1,-6.1,-7.8,-13.4,-11.1,-4.5,-6.3,-4.3,-13.5,-16.4,-6.6,-12.5,-10.8,-1.5
2081,-5.5,-23.4,-4.1,-1.8,-5.6,-7.3,-10.2,-5.8,-9.8,-14.6,-6.2,-5.7,-7.3,-2.3,-10.3,-12.1,-11.5,-14.4,-11.6,-1.8
2082,-5.6,-14.8,-7.9,-1.4,-5.6,-3.7,-8.4,-12.2,-6.5,-12.3,-12.7,-8,-7,-4.9,-7.4,-14.5,-9,-7.2,-5.5,-1.4
2083,-5.1,-12.9,-8.2,-2.6,-5.7,-4.7,-9.8,-11.8,-9.3,-11.1,-14,-5,-4.4,-4,-13.6,-9.3,-5.3,-5.9,-7.2,-2.6
2084,-4.7,-20.8,-7.7,-1.2,-7.3,-7.7,-7,-8,-11.8,-11.2,-17.5,-6.6,-3.7,-4.1,-11.1,-9.6,-6.6,-9,-9.6,-1.2
2085,-6.2,-18.7,-16,-3.2,-7.2,-4.9,-8.7,-4.8,-10.6,-9.6,-14.8,-4.3,-3,-4.5,-5.4,-8.7,-7.7,-7.7,-8.8,-3
2086,-6.5,-16,-11.3,-1,-7.8,-5.9,-8.2,-11.8,-6.9,-7,-19.2,-3.6,-3.6,-1.4,-5.9,-6.3,-4.8,-9.7,-9.5,-1
2087,-5.4,-18.1,-13.9,-0.9,-6.2,-7.2,-5.4,-14.9,-7.2,-8.9,-24,-3.3,-3.1,-2.7,-11.6,-10.2,-11.2,-14.5,-7.5,-0.9
2088,-4.3,-17.1,-10,-1.9,-4.5,-2.1,-9,-6.2,-9.7,-17.2,-8,-1.6,-7.4,-3.1,-9.6,-9.9,-6.6,-9,-6.3,-1.6
