"Year","ACCESS-ESM1-5","AWI-CM-1-1-MR","BCC-CSM2-MR","CanESM5","CNRM-CM6-1","CNRM-ESM2-1","EC-Earth3","GFDL-ESM4","GISS-E2-1-G","HadGEM3-GC31-LL","INM-CM5-0","IPSL-CM6A-LR","MIROC-ES2L","MIROC6","MPI-ESM1-2-HR","MPI-ESM1-2-LR","MRI-ESM2-0","NESM3","UKESM1-0-LL","ensemble"
2015,91.2,53.8,73.4,93.4,117,86.4,87.7,134.4,56.9,64.6,56.8,98.7,163.2,101.9,100.3,87,106.8,80,108.5,92.7
2016,89.9,105.3,97.9,96.4,110.2,73.4,90.5,107.5,45.4,105,104.8,107.4,143.4,92.9,91.2,90.1,85.6,107.8,86.6,96.4
2017,82.8,75.1,87.1,99.9,102.5,97.6,85,119.7,65.8,65.7,66.6,102.1,182,93.6,109.7,82,149.7,119.3,96.1,99.1
2018,77.3,75.5,131.3,101.4,91,80.6,107.4,127.1,64,63.8,71.2,98.2,150,107.8,96.8,103.5,125,109.3,90.4,98.5
2019,85.5,83.3,58.1,101.5,102.7,88.7,95.4,99.7,60,90.7,70.2,95.4,132.7,99,77.7,84.3,136.6,92.9,95,92.1
2020,83.3,67.1,73.7,94.5,93.6,81.5,85.3,109.3,64,98,68.3,106.7,134.3,111.6,105.3,90.5,161,80.1,92.9,94.8
2021,79.8,57.4,50.1,102.6,103.5,99.4,103.4,109.9,52.5,85.6,88,119,136.8,112.8,100.4,96.4,135.6,107.5,77,95.7
2022,87.7,129.9,69.2,88.9,116.6,92.2,110.8,102.7,74,121.4,64.8,104.2,97.4,112.7,84.6,99.2,114.6,90.7,80.4,96.9
2023,97.5,49.1,77.6,102.1,106,91.2,91.8,104.7,56.8,112.8,58.2,115.9,122.7,103.9,95.8,93.7,132.5,98.3,95.9,95.1
2024,89.4,123.5,76.8,105.8,98.3,110.5,81.3,98.6,54.5,70.7,77.4,116.9,190.9,105.6,92.5,87,130.5,69.2,114.1,99.7
2025,85.1,62.4,89.4,97.4,105.4,89.3,114.5,92.6,46,81.8,90.2,118.3,106,107,93.6,82.9,119.1,146,111.1,96.7
