"Year","ACCESS-ESM1-5","AWI-CM-1-1-MR","BCC-CSM2-MR","CanESM5","CNRM-CM6-1","CNRM-ESM2-1","EC-Earth3","GFDL-ESM4","GISS-E2-1-G","HadGEM3-GC31-LL","INM-CM5-0","IPSL-CM6A-LR","MIROC-ES2L","MIROC6","MPI-ESM1-2-HR","MPI-ESM1-2-LR","MRI-ESM2-0","NESM3","UKESM1-0-LL","ensemble"
1850,158.7,172.2,151.1,132.8,148.4,130.5,NA,145.8,132.6,119,115,163,134.2,133.6,151.7,140.9,154.5,156.5,128.4,142.7
1851,130.3,140.1,146.2,128.3,157.3,147.4,120.8,172.6,141.2,125.6,116.6,172,119.3,116.1,130.1,142.7,150.3,158.4,132.2,139.3
1852,129.6,172.5,144.5,122.2,153.9,135.4,150.3,124.9,127.5,158.6,134.5,177.8,132,142.3,150.7,114.7,184,149.6,132.7,144.1
1853,130.6,152.8,129.8,129.6,151,136.5,131.2,174.8,140.3,143.3,108.5,156.7,108.4,122.5,141.6,135.5,124.6,128.6,122.9,135.2
1854,173.6,140.1,148.2,124.7,154.1,130.3,139.8,158,119,142.1,124.8,148.4,116.6,134.9,131.5,122.4,167.5,150.8,143.6,140.5
1855,132.8,174.4,150.8,127.8,137,118.1,126.3,135,125.1,139.5,139.3,159.9,118.7,138.2,157.8,134.1,147,164.1,128.5,139.7
1856,137.4,133.5,158.1,124.6,132.2,160.2,163.1,145,132.2,118.3,144.9,170.4,105.1,146.9,142.6,142.8,186,154.5,138.6,144
1857,131.6,159.8,166.3,132.7,152.6,147.4,131.5,155,161.3,151.6,127.2,172.9,142.7,123,153.6,155.7,124.4,155.1,147.6,146.9
1858,133.9,162.2,199.4,114.4,154.1,163,135.7,113.1,140.8,150.1,130.1,173.3,129.5,125,144.3,132.9,154.6,154.2,134.2,144.5
1859,148.8,142.1,136.5,110.5,154.7,150.2,126.8,163.6,140,135.1,123,163.2,121.3,125.3,150.9,121.5,145.8,166.1,131.9,139.9
1860,143.7,132.8,127.3,132.2,141.2,157.9,141.9,121.3,135.3,122.3,134.1,163.2,121,142.2,158.4,136.2,188.8,166.1,136,142.2
1861,138.2,107.5,154.9,132.8,151.8,142.8,126.3,164.6,126.6,142.9,126.7,181.8,125.7,140,148.7,120.7,160.2,147.4,145.2,141.3
1862,151.6,161.7,164.5,118.5,135.7,145,117.9,170,167.7,130.9,124.6,191.5,122.2,136,160.9,141.8,160.9,147.5,133.2,146.4
1863,140.9,140.6,152.7,121.7,146.8,138.9,121.4,153.9,133.2,136.2,118.7,155,134.4,132.1,128.3,127,147.4,161.6,133.5,138.1
1864,156.2,131.2,124.5,130.4,148.1,149.7,123.8,146.6,143.2,118.5,130.2,177.3,117.6,139.3,134.5,140.1,191.8,181.6,125,142.6
1865,143.4,132.5,177.2,106.2,160.8,141.8,119.9,171.7,130.6,143.1,152.8,168.2,113,149.8,153,141.4,159.4,156.7,127.7,144.7
1866,151,153.1,161.4,132,134.8,158.2,133.7,160.8,135.5,117.8,129.9,146.6,120.1,125.3,125.4,140.3,191.6,149.3,142.1,142.6
1867,151.9,172.7,136.2,134.5,145.9,157.5,129.3,167.6,134.8,142.4,120.7,176.6,125.1,124.4,143.4,133.1,166.4,182.7,120.3,145.6
1868,151.3,157.2,130.8,126.2,152.3,160.9,113.2,151.7,128.1,104.3,96.3,173.1,120.3,117.8,128.3,131,134.9,144,135.8,134.6
1869,152.7,147.1,160.3,133.5,151.4,149.3,129.5,136.7,130,113.4,113.8,169.2,140.4,117.4,145.1,129,169.7,177.4,134.5,142.1
1870,150.7,178.5,173.6,127.8,160.1,163.5,108.6,95,119.4,106.2,119.4,159.7,152.9,131.9,132.5,137.5,134.9,133.6,133.8,137.9
1871,140.5,149.2,157.1,131.5,137.3,146.8,139.8,139.6,130.3,117,139.2,166.2,146.5,115.4,129.5,130.6,172.1,157.6,127.6,140.7
1872,125.6,154.7,138,132.9,157.7,153.3,130.6,186.2,133.1,166.5,137.5,179.6,131.4,126.2,139.9,160.4,185.8,185.5,131.4,150.3
1873,118.7,141.3,152.8,120.6,143.2,143.5,147.8,150.7,143.5,125.5,144.6,164.2,139.5,133.2,146.6,132.2,201,166.3,123.5,144.1
1874,141.3,164.7,163.3,135.8,145.1,152.3,109.1,166.5,133.1,148.1,125.6,156,126.4,138.5,155.7,122.1,163.8,140,143,143.7
1875,151.7,144.5,148,129.9,154.2,185.1,100.1,165.7,129.8,158.6,100.5,175.7,114.3,134,129.6,140.8,155.8,182.7,120.4,143.2
1876,135.2,130,163.6,125.9,129.4,154.7,141,175,133.9,131.9,105.3,162.7,130.7,128.1,137,134.7,187.5,156,129.6,141.7
1877,148.5,163.9,161,119.2,161.9,175.3,129.8,131.8,158.3,116.3,115.7,184.3,147.4,127.8,153.3,139.2,147.4,146.1,122.9,144.7
1878,165.1,182.1,167.3,136.3,148,146.8,136.1,156.9,122.2,126.6,120.2,183.2,129.8,116,126.5,123.4,140.8,174.5,161.5,145.4
1879,135.1,134.2,141.7,135.5,157.2,129,125.3,146.5,121.8,134.7,129.6,191.1,129.9,120.2,144.1,132.2,163,187.9,127.9,141.4
1880,152.7,103.1,142.5,126.9,152.3,178.9,137.1,148.7,132.9,138.5,131.9,156,112.8,124.8,147.9,108.5,157.8,155.6,122.8,138.5
1881,148.2,178,166.9,129,147.3,148.9,132.5,143,124.1,126.2,123.5,156.5,134.1,133.2,135,120.8,147.8,154,124.8,140.7
