"Year","ACCESS-ESM1-5","AWI-CM-1-1-MR","BCC-CSM2-MR","CanESM5","CNRM-CM6-1","CNRM-ESM2-1","EC-Earth3","GFDL-ESM4","GISS-E2-1-G","HadGEM3-GC31-LL","INM-CM5-0","IPSL-CM6A-LR","MIROC-ES2L","MIROC6","MPI-ESM1-2-HR","MPI-ESM1-2-LR","MRI-ESM2-0","NESM3","UKESM1-0-LL","ensemble"
2015,385.8,520.2,433.5,399.9,567,525,256.4,302.9,286.8,311.9,570.6,427.2,448.6,383.1,350.9,309.4,387.4,398.3,304.3,398.4
2016,385.8,318.2,131,291.2,485.6,514.1,365.1,309.4,374.9,394.2,479,448.8,511.4,338.7,267.9,347.1,495,421.1,404.2,383.3
2017,400,390.2,319,336.1,463.4,392,291.7,359.7,249.7,322.2,371.4,482,343.3,364.2,374.7,372.1,511.2,341.7,290.2,367.1
2018,371.8,383,458.9,313.1,400,472.4,368.4,431.9,324.1,383.5,443.9,407.8,393.6,427.6,479,362.2,618.9,391.9,371.9,410.7
2019,366.2,469.7,549,393.7,446.5,488,355.6,401.5,275.8,308.4,515.1,424.8,354.5,340.9,426.9,395.9,422,397.9,349.3,404.3
2020,358.3,333.6,529.3,324.6,451.7,420.1,324.2,407.3,301.4,335.6,391.3,451.2,348.6,394.5,349.9,356.3,436.7,444.5,402.6,387.5
2021,412,416.7,400.9,399.9,426.8,472.8,307.5,389.7,338.6,451.2,489.3,477.6,429.4,368.8,412.3,409,493.4,410.4,354.2,413.7
2022,347.9,391.4,413.5,351,451.2,452.7,382.5,335,315.2,352,465.5,510.2,355.3,375,320.9,349.3,572.7,387.6,361.4,394.2
2023,377.1,510.4,484.8,372,440.6,459.6,340.3,493.5,293,325.5,352,415.8,438.5,390.6,296.5,446.4,426.6,362.5,345.4,398.5
2024,394.8,276.1,468,390.4,485.3,470.9,332.9,378.8,280.2,405.7,283.6,457.5,601.6,368.4,422.7,463,541.3,380.7,388,410
2025,387.2,471.8,308.2,360.7,458.4,541.8,347.3,529.8,311.1,483.6,390.6,441.7,419.4,357.7,257.9,399.4,794,410,381.8,423.8
2026,378.4,468.4,350,363.7,460.9,506.4,333,573.6,307.9,399.7,447.2,453.7,213.8,444.1,361.3,192.1,536.1,401.6,268,392.6
2027,366.8,445.8,495.5,389.6,429.8,409.6,292.7,443,335,309.5,234.6,442.7,480.8,374.7,649.1,344.4,429.3,393.9,382.2,402.6
2028,451,314.7,248,398.6,433.4,466,346,419.9,336.5,385.9,527,462.9,477.6,390.9,261,330,444.1,480.3,395.1,398.4
2029,455.6,354.2,486,399.6,504.4,476.9,357.4,420.8,348.8,377.3,448,470.9,562.2,341.4,389.4,359.6,540.3,396.3,336.5,422.4
2030,397.6,502.6,290.8,402.3,446.3,515.7,320.2,471.2,312,385,297.6,473.1,322.2,365.2,445,372.6,520.8,347.3,302.2,394.2
2031,389.7,397.9,317.8,359.4,450.2,522,334.4,365.1,411.9,300.1,438.8,437,292.2,374.6,491,377.6,602.4,392.9,347.2,400.1
2032,385.2,401.8,475,393.8,468.2,383.5,321.1,304.8,346.8,388.1,593.7,427.8,579.3,378.2,546.3,461.6,463.5,511,382.9,432.2
2033,404.6,366.2,275.7,378.1,494.3,490.9,392.9,375.5,382.1,279.9,485.2,414.2,552.9,414.3,497.8,424.4,611.2,439.4,405.3,425.5
2034,461.2,381.5,345.4,423.1,467,488.6,354.5,595.5,388.5,363.2,415.6,456.9,449.1,424.7,325.1,403.6,477.6,475.5,350.9,423.6
2035,367.1,482.1,482.5,353.2,474.7,536.1,392.4,262.3,362,333.1,422,491.4,343.3,354.5,300.5,232,510.3,339,312.4,386.9
2036,450,504.9,418.3,405.2,550,490.7,318.6,502.5,300.9,344.5,564.9,439.5,517.3,432.5,311.1,431.4,546.9,467.8,408.7,442.4
2037,393.4,358,166.2,402.9,447.3,494.5,462.2,541.4,268.8,496.9,400.9,450.8,513.1,370.5,614.5,370.5,370.4,334.1,331,409.9
2038,387.8,673.6,243.1,390.5,456.5,497.6,341.7,416.3,314.7,399.8,444.8,535.5,418.7,379.9,291.7,419.5,536,423.3,363.4,417.6
2039,412.9,336.4,297.9,393.1,573.4,552.7,406,504.1,320.1,241.9,354,406.6,390.3,410.9,377.4,403.8,513.9,461.2,359.7,406.1
2040,395.6,396.7,379.5,398.9,532,470.7,313.4,598.3,283.5,377.6,484.4,373.4,360.1,435,295.3,406.8,478.1,559.8,365.5,416
2041,400.8,371.8,476.8,409.7,577.3,470.1,335.9,478.6,312.6,360,476.8,474.2,502.5,386.4,458.9,369.2,591.8,204.1,319.7,419.9
