"Year","ACCESS-ESM1-5","AWI-CM-1-1-MR","BCC-CSM2-MR","CanESM5","CNRM-CM6-1","CNRM-ESM2-1","EC-Earth3","GFDL-ESM4","GISS-E2-1-G","HadGEM3-GC31-LL","INM-CM5-0","IPSL-CM6A-LR","MIROC-ES2L","MIROC6","MPI-ESM1-2-HR","MPI-ESM1-2-LR","MRI-ESM2-0","NESM3","UKESM1-0-LL","ensemble"
2015,20.7,26,15.9,19,17.4,20,18.9,13.5,19.6,20.5,21.3,16.9,21.2,23.3,16.1,15.1,18,15,17.7,18.7
2016,19.8,22.9,17.3,19.2,17.4,20.5,18.4,15.6,21.6,19,18.5,16.7,20,24.3,16.8,15.2,19.6,14,18.9,18.7
2017,20.7,26.6,14.7,18.6,18.3,19.2,17.6,17.4,17.4,19.9,19,17.9,18.9,23.8,15.2,15.6,15.5,12.9,17.5,18.2
2018,20.9,24.4,15.4,17.9,18.9,20.5,18.3,14.8,18.5,20,19.9,18.2,21.9,23.3,16.6,15.6,16.5,14.8,18.3,18.7
2019,20.2,26,19.6,19,18.3,20,18.4,15.3,18.6,19.7,21.4,16.8,20.3,24.5,17.8,15.7,18.4,13.8,17.9,19
2020,21.1,25,18,18.9,19.2,19.5,18.3,18.7,20.2,18.5,20,16.9,20.3,24.5,15.7,15.5,17.2,14.5,19,19
2021,20.7,26.5,19.3,19.4,18,19.5,18.5,16.1,19.9,19.2,18.3,16.9,19.3,23.9,17.4,15.2,16.2,15,18.5,18.8
2022,20.9,21.9,16.5,18.9,18.2,19.6,17.8,15.6,18.9,19.5,19.7,17.6,20.6,24,18,15.1,18,15.4,19.6,18.7
2023,20.9,27.3,15.2,18.7,18.4,19.6,18.3,18.3,21.3,18.9,20.9,17.8,21.9,24.3,17,15.6,18,15.2,18.5,19.3
2024,20.5,24.7,18.4,18.9,19,19.4,18.4,16.2,20.1,18.5,20.7,16.9,20.6,24,17.6,15,18.5,14.9,19,19
2025,21.3,25.3,17.9,18.8,19.3,20.3,17.4,16.9,19.6,19.2,19.7,17,22.1,24.2,18.1,15.7,18.2,12.8,18.1,19
2026,21.2,24.7,17.7,18.7,19.1,20.3,19.2,16.8,18.4,22.5,19.4,17.7,20.7,24.6,19,15.8,18,14.6,19.3,19.4
2027,20.2,26.2,21.1,19.5,18.6,19.9,17.7,16.2,20.1,18.8,20.3,17.1,21,24.4,17.9,15.5,17.3,13.6,20.9,19.3
2028,21.1,27.7,16.9,19.1,19.2,20,18.8,16.8,21.5,18,20.3,17.8,22.8,24.2,16.5,15.1,18.3,14.7,19,19.4
2029,20.9,22.5,18.3,19.3,18.2,20.1,18.7,16.9,19.9,25,19.8,18,21.8,23.9,17.8,15.1,17.9,13.9,19.5,19.3
2030,21.6,25.4,18.4,19.7,19.2,19.4,18,17.1,19.3,18.6,19.5,17.6,20.8,24.9,16.8,16.4,19.7,14.6,20,19.3
2031,21.2,24,21.9,19.1,18.4,20.3,18.7,17.9,18.9,21.9,19.9,18.7,19.9,25.4,18,15.4,19.8,14.2,21.1,19.7
2032,20.7,24.7,16.6,19.2,19.3,19.8,18.4,16.3,20.2,19.6,21.6,18,21.7,24.5,19,15.4,17.2,15.4,20.3,19.4
2033,21.6,22.7,19.9,19.7,19,19.6,18.1,18.5,19.1,22.1,19.9,18.1,24.4,24.5,16,15.8,20,14.6,20.5,19.7
2034,21.5,21.8,19.9,19.1,19.5,20,17.9,15.2,19,19.7,23.4,17.5,22.5,24.4,16.6,15.7,19.9,14.6,19,19.3
2035,21.6,24.6,22,19.3,18.9,19.8,18.5,16.3,19.2,19.3,21.2,18.6,20.6,24.1,16.9,15.8,19.8,16.3,19.7,19.6
2036,22.6,26.3,15.6,19,19,20.1,19.1,17,19,21.2,21.2,18.1,21.2,24.8,17.8,16,19.5,13.8,19.7,19.5
2037,21.3,26.4,14.7,19.4,18.7,20.2,18.7,16.6,19.7,19.4,19.2,18.7,20.4,24.1,17.1,15.9,17.8,13.5,20.4,19.1
2038,21.3,24.8,19.1,19,18.9,21.9,18.7,16.9,20.3,21.6,19.9,18.5,24.1,24.5,16.8,15.6,18.5,14.3,20.3,19.7
2039,21.4,24.4,17,19.5,19.8,19.5,18.7,16.3,19.7,18.7,22,19.1,20.9,25.2,16.8,15.8,17.5,14.9,20.3,19.3
2040,21.8,23.8,23.3,20.5,18.9,19.9,18.3,16.5,19.4,19.4,18.9,17.6,22.1,24.9,18.3,15.9,18.6,14.7,21.7,19.7
2041,21.4,23,17.9,19.8,19.8,20.6,19.5,16,19.7,20.2,21.3,18.6,19.6,24.4,17.9,15.6,18.8,14.4,20.9,19.4
2042,22.1,22.2,17.7,20,19.5,20.7,17.7,17,21.1,19.6,21.1,17.8,23.1,25.5,16.7,16.5,18,14.1,20.6,19.5
2043,21,25,21.9,20.6,18.7,20.1,19.4,16.9,22.4,19.3,20.2,18.4,21.9,24.6,17.8,15.4,18.9,14.2,19.3,19.8
2044,22.4,24.2,18.2,19.6,18.6,19.6,19.4,18.6,20.3,19.6,20.9,18.3,21.8,24.4,17.7,15.2,19.4,14.7,21.3,19.7
2045,21.4,23.8,12.7,20,20,19.9,18,18.5,20.3,18.4,18.9,17.8,20.7,25.6,19.6,15.9,18,14.6,19.6,19.1
2046,22.6,25.8,16.9,20,18.5,21,19.2,16.6,20.1,19.9,19.5,18.5,22.2,24.9,17.8,15.6,17.4,16.4,19.3,19.6
2047,21.9,25.7,14.8,19.9,19.6,21.7,20.1,16.1,20.4,22.6,23.7,19.2,22,25.1,16.8,15.7,19,14.8,20.5,20
2048,22.9,22.7,16.3,19.5,19.1,20.6,19.6,16.9,20.3,20.6,21,18.7,19.7,24.6,17,16.4,19.8,14.1,20.1,19.5
2049,23,25.8,17.6,19.8,19.1,20.3,19.7,17,20.6,19.9,17.6,17.9,20.7,25.2,17.1,16.5,19.5,15.3,21.3,19.7
2050,22.1,24.4,14.6,19.7,19.6,20.3,19.7,16.9,21.4,19.9,19.9,18.3,22.3,24.7,18.2,16,18.4,13.8,20.9,19.5
