"scenario","Year","ACCESS.ESM1.5","AWI.CM.1.1.MR","BCC.CSM2.MR","CanESM5","CNRM.CM6.1","CNRM.ESM2.1","EC.Earth3","GFDL.ESM4","GISS.E2.1.G","HadGEM3.GC31.LL","INM.CM5.0","IPSL.CM6A.LR","MIROC.ES2L","MIROC6","MPI.ESM1.2.HR","MPI.ESM1.2.LR","MRI.ESM2.0","NESM3","UKESM1.0.LL","ensemble"
"historical",1850,130.5,40.6,87.4,73.7,70.8,73.2,NA,123.7,67.2,109.3,113,91.2,250.3,163.5,113.2,89,95.1,97.2,81.4,103.9
"historical",1851,155.9,62.1,68.1,64.1,74.2,67.9,42.7,104.3,57.9,116.9,118.7,107.6,218.2,139.2,102.7,82.8,96.4,95.9,87.8,98.1
"historical",1852,134.2,96,67.1,73,88.1,70.3,60.2,115.7,78.8,103.7,141.1,101.2,246.5,133.3,118.5,102.8,57.7,107,82.9,104.1
"historical",1853,157.2,46.8,75,67.8,71.9,67.4,64.2,109.6,80.9,90.8,120.5,102.2,258.8,125.3,84.1,87.4,95,104.9,100.5,100.5
"historical",1854,144.2,40.2,79.4,73.7,81.7,75.1,66.9,116.4,75.2,87.5,123.6,99.2,243.4,139.1,89.3,82.8,96.7,127,92.1,101.8
"historical",1855,147.6,68.4,60.6,63.6,68.5,81,70.8,100.6,63.1,90.2,118.9,99.4,234.8,151.4,109.4,90.8,78.3,125.9,83.4,100.4
"historical",1856,132.1,35.4,51.9,66.5,69.8,65.9,61.9,144.6,73.2,91.9,121.5,99.8,250.7,145.8,102.9,105.9,79.6,121.9,80.4,100.1
"historical",1857,136.6,51.2,69.3,63.3,89.6,83.2,48,112.7,57.8,125.7,144.2,109.1,238.7,118.3,110.4,103.3,100,84.7,97.8,102.3
"historical",1858,130.6,48.9,100,65.3,75.2,67.2,67.3,133.4,90.2,75.8,129.7,94.3,264.4,116.7,86.4,90.3,92.8,93.5,89.2,100.6
"historical",1859,144.3,64.1,58.5,58,74.1,65.4,58.3,113.7,58.9,105.2,121.7,90.6,230.2,133.1,103.4,83,90.4,109.5,95.8,97.8
"historical",1860,148.4,66.1,88.6,75,63.4,76.3,62.3,91.3,74.9,95.7,121.1,99.9,216.7,127.6,107.4,112.7,90.9,114.6,97.7,101.6
"historical",1861,135.7,64.5,62.3,63.8,74.5,72.5,69.1,105,75.8,91.6,112.5,112.2,231.3,133.3,114.8,97.8,87.8,106.2,84.2,99.7
"historical",1862,151.9,74.7,74.7,67.8,66.5,78.1,73.3,78.2,60.8,99.9,111.8,98.2,271.9,141.5,93.9,101.6,99.8,99.1,79.6,101.2
"historical",1863,147.6,56,79.6,73.6,77.9,71.6,53.5,92.8,62,82.7,143.3,101.7,203.3,132.2,95.5,89.9,88.7,126.4,87.2,98.2
"historical",1864,161.4,63,115.8,58.9,81.5,69.6,75.7,81.2,86.2,96.2,117.7,110.5,246.1,120.1,83.8,99.9,94.8,125.4,98.7,104.6
"historical",1865,137.7,48.9,95.6,72.5,75.6,82.1,57.7,120.2,74.8,155.6,108.9,119.6,240.8,121.6,97.3,96.9,103.2,114.3,86.8,105.8
"historical",1866,147.2,47.8,62.3,71,73.6,80.7,79.9,101.4,70.7,110.5,111.3,103.9,225.2,127.6,110.4,92,113.1,98.6,79.9,100.4
"historical",1867,130.4,58.3,68.6,80.9,79,82.4,62.6,111.7,61.5,113.3,118.6,104.1,238.3,117.2,103.2,89.2,87.6,108,80.8,99.8
"historical",1868,138.3,57.6,75,61.8,79.3,67.4,64.8,129,93,88.5,117.2,108.1,224.6,117,99.5,108,78.8,109.3,100.9,101
"historical",1869,149.3,77.4,55.3,65.9,78,80.5,56.3,146.2,76,95,130.6,93.7,245,132.5,88.7,94.4,79.8,103.1,117.4,103.4
"historical",1870,146.1,54.4,70.2,78.1,90.8,63.6,59.6,115.9,75.5,112.9,113.9,100,252.9,126.4,113.3,94.1,94.9,116.9,79.6,103.1
"historical",1871,149,50.7,84,68.6,82.2,77.6,71.7,102,83.1,103.9,128,104.4,206.2,127.1,94.6,109.4,101.6,114.5,123.3,104.3
"historical",1872,168,59.8,76.2,63.6,82.2,69.8,62.2,94.9,56.6,128.1,122.3,97.7,211.7,128.8,105.2,111.4,109.1,95.9,83.9,101.4
"historical",1873,174.7,40.1,88.6,63.6,92.8,79,77.2,151,70.3,81.4,107,101.8,237.1,137.7,104.3,89.7,96.1,137.2,73.6,105.4
"historical",1874,140.2,79.1,125.6,74.8,95.2,58.3,67.7,120.3,84.5,89.7,103.2,105.8,226.2,130.8,95.9,97.4,98.9,104,86.7,104.4
"historical",1875,146.5,65.4,61.2,76.1,83.8,76.7,91.6,120,64.2,111.1,130.3,117.3,277.5,132.8,116.7,76.8,90.9,98.2,101.3,107.3
"historical",1876,132.1,61.1,78.8,75.7,70.1,65.1,57.3,86.6,58.2,86.8,135.4,107.4,208,140.7,99.1,100,89.6,94.5,93.8,96.9
"historical",1877,140.1,56.5,58.8,70.2,70,80.9,81.8,126.2,68.4,118.5,110,101.8,252.8,124.7,108.6,72.4,82.3,100.2,80.2,100.2
"historical",1878,141.2,48.6,83.5,71.8,87.7,60.3,74.2,122.6,70.1,78.9,116.5,109.2,232.2,126,109.4,102.7,81.2,118.4,90.9,101.3
"historical",1879,151.8,60.9,74.6,66.4,78.3,63.2,76.1,102.6,64.8,112.2,110.8,113.3,189.2,128.8,111.8,102,61.3,126.4,112.6,100.4
"historical",1880,157.5,78.8,43.1,72.5,78.4,75,77.7,90.9,77.5,115.1,116.2,108.7,228.3,127.9,96.3,88.8,83.3,126.2,84.2,101.4
"historical",1881,127.2,59.3,93.7,76.7,74.7,87,62.9,113.8,48.5,117.1,133.7,113.8,269,129.7,96.2,89.6,89,105.2,112.5,105.2
"historical",1882,141.3,52.7,64.3,74.6,57.2,69.2,53.4,127.5,82.1,79.7,119.7,107.6,235.6,141.6,109.3,109.1,70.6,106.6,107.3,100.5
"historical",1883,136.7,43.6,74.9,58.5,91.3,68.4,60.7,109,67.5,107.3,118,106.7,268.4,134.7,89.3,99.6,112.7,120.6,96.3,103.4
"historical",1884,139.7,61.7,67.3,61.8,60.4,85.5,71,103.7,79.2,112.3,124.6,111.1,235.2,124.6,105.1,84.5,82,104.9,77.4,99.6
"historical",1885,143.6,43.9,70.6,49.1,67,62.8,49.9,84.8,65.3,98,98,95.1,196.7,123.8,95.7,85.6,73.5,122.5,88.8,90.2
"historical",1886,128.2,58.5,70.4,76.2,74.3,69.6,60.2,93.6,75.5,84.5,133.3,113,213.7,126,95.3,97.5,81.3,110.2,94.7,97.7
"historical",1887,145.2,58.1,77.7,66.4,78.8,78.7,74.8,98.2,72.2,70.5,93.9,93.4,214.4,125.6,104.6,85.7,75.7,94,83.7,94.3
"historical",1888,146.1,62.9,84.3,68,88.3,69.6,71,90.9,77.3,84.8,97.1,99.2,249.5,137.5,109.2,81.3,71.1,108.5,68.7,98.2
"historical",1889,154.9,52.5,57.7,72.1,70.6,73.5,66.3,111.2,70.2,113.2,135,111.2,200.9,135,97,99.3,85.2,108.8,77,99.6
"historical",1890,136.6,108.5,66.8,50.5,63.7,76,65.6,135.1,67.1,92.3,131.3,99.4,244.1,120.9,127.9,106.8,90,94.5,90.8,103.6
"historical",1891,139.4,41.8,84.5,72.8,73.4,64.4,60.4,116.9,71.8,98.3,108.7,91.8,226,110.7,120,107.4,89.2,124.3,88.4,99.5
"historical",1892,163.6,47.7,63,64.4,78.5,74.8,61.1,97.7,67.9,99.8,133.8,106,214.4,119.3,121.8,92.6,70.7,126,87.9,99.5
"historical",1893,156.8,69.9,81.3,69.9,64.4,67.6,75.2,120.8,62.8,121.8,125.3,96.9,236.1,124.4,108.4,82.6,102,104.2,73.8,102.3
"historical",1894,146.8,75.7,84.3,72.9,59.7,72.5,61.5,80,65.7,95.4,148.4,107.8,205.4,139.2,94.9,105,92.6,85.9,85.9,98.9
"historical",1895,125.1,73,77.7,62.7,70,73.1,51.6,103.3,81.9,115.7,125.2,100.6,210,122.1,104.2,97.2,93.7,85.1,90.1,98
"historical",1896,153.6,48.9,92,60.5,76,75.2,72.1,135.5,62.4,89.1,114.7,93.6,233.9,117.5,106.1,96.8,84,85.4,85.2,99.1
"historical",1897,142.3,56,63.1,65.4,84.5,95.6,48.9,105.8,73.5,90,130,101.5,271.8,140,91.5,88,86.9,94.5,98.7,101.5
