"Year","ACCESS-ESM1-5","AWI-CM-1-1-MR","BCC-CSM2-MR","CanESM5","CNRM-CM6-1","CNRM-ESM2-1","EC-Earth3","GFDL-ESM4","GISS-E2-1-G","HadGEM3-GC31-LL","INM-CM5-0","IPSL-CM6A-LR","MIROC-ES2L","MIROC6","MPI-ESM1-2-HR","MPI-ESM1-2-LR","MRI-ESM2-0","NESM3","UKESM1-0-LL","ensemble"
1850,28.7,26.6,44.9,32.9,37.4,35,NA,50.9,37.5,24.8,44,47.2,75.9,50,32.2,30.1,66.8,34.2,32.9,40.7
1851,29.3,30,43.7,43.5,39.5,44.7,20.1,50.8,37.8,44.7,42.2,44.1,90.5,63,32.4,35.7,41,40.6,37.9,42.7
1852,31.7,39.7,44.1,43.9,38.8,40.2,17.8,37.6,42.7,30.4,45.3,49.6,74.7,57.7,34.2,43.8,59.7,40.8,32.5,42.4
1853,33.7,37.6,39.7,44.1,28.9,35.1,29.5,44.4,46.9,25.5,47.2,39.9,81.8,63.6,32.3,34.8,54.8,56,28.8,42.3
1854,30.2,28,30.9,44.4,37.5,34.7,30.9,35.4,38.5,29,41.8,41.9,94.7,33.3,32.7,36,60.9,26.5,28.2,38.7
1855,32.6,37.7,50.3,43.6,30.8,24.6,22.7,46.1,27.9,40.4,39.9,39.4,59.9,40.9,42.8,40.7,39.2,36.8,30.6,38.3
1856,22.2,51.5,64.1,38.3,27.1,32.2,26.3,46.8,42.1,22.3,42.7,50.1,41.3,55.3,20.2,29.9,42.7,42.1,33.3,38.4
1857,23.6,28.6,54.6,47.3,32.8,40.5,18.7,32.3,26.5,35.6,43.6,47.1,60.2,42,26.3,32.8,40.2,47.6,25,37.1
1858,24.3,37.5,50.5,37.9,31,33.5,24.4,27.6,25.2,33.1,38.7,44.4,77.7,54.3,25.2,39.6,47.7,36.1,35.3,38.1
1859,18.9,29.2,35.3,64,37.7,24.5,24.6,51.9,37.6,29,46,38.7,40.5,46.3,35.6,39.3,40.4,31.8,24.9,36.6
1860,36.1,49.6,28.9,45.5,29.7,34.9,21.7,51.4,30,28.6,42.7,47.9,74.9,55.5,27.3,40.3,47.4,37.2,32.5,40.1
1861,32.4,41.9,45.7,39.5,30.1,29.9,20.1,41.6,46,27.6,42.5,47.7,66.3,43.8,42.1,32.1,44.8,43.4,29.2,39.3
1862,27.4,37.7,59.5,39.9,34.5,30.7,25.5,48.9,46.6,27.6,32.7,46.2,81.1,51.5,30.3,37.2,38.7,30.1,31.8,39.9
1863,25.6,43.3,53,38.1,32.6,35.2,33,31.7,44.4,31.3,51.1,61.1,80.3,44.7,36.3,37.6,45.1,32.5,23.9,41.1
