"Year","ACCESS-ESM1-5","AWI-CM-1-1-MR","BCC-CSM2-MR","CanESM5","CNRM-CM6-1","CNRM-ESM2-1","EC-Earth3","GFDL-ESM4","GISS-E2-1-G","HadGEM3-GC31-LL","INM-CM5-0","IPSL-CM6A-LR","MIROC-ES2L","MIROC6","MPI-ESM1-2-HR","MPI-ESM1-2-LR","MRI-ESM2-0","NESM3","UKESM1-0-LL","ensemble"
2015,55.8,47.4,50.9,84.6,48.1,60,42.6,78.1,37,NA,46.1,102.4,127.7,63.1,51.8,57.8,55.8,NA,82.4,64.2
2016,66,39.4,46.9,80.8,80.6,52.3,49.2,37.6,52.5,NA,62.2,83.7,116.6,112.1,52.3,51.6,72.2,NA,47,64.9
2017,72.6,63.5,48.7,79.7,72.7,36.5,59.7,50.3,42.5,NA,57.5,91.3,123,87.5,59.7,75.8,79.6,NA,60.7,68.3
2018,68.7,16.7,48.3,62.5,77.8,42.9,37.6,85.8,52.5,NA,63.5,82.8,156.1,103.1,75.2,61.5,88.9,NA,50,69.1
2019,70,48.3,53,79.3,31.4,48.2,54.1,56.5,32.4,NA,73.9,86.4,106.3,82.4,64.7,65.3,81.9,NA,75.1,65.2
2020,69.7,112.4,29.6,78.3,85,50.2,55.4,76.3,56.2,NA,76.9,75.6,134.9,84.4,69.8,50,67,NA,63,72.6
2021,80.7,40.5,54.9,90.9,43.5,29.1,40.1,78.3,57,NA,39,89,97,66.1,53.5,51.7,74.7,NA,78.9,62.6
2022,74.2,65.9,58.5,76.6,56.9,67.6,59.8,52.7,55.7,NA,57.2,101.5,128.7,76.9,65.3,49.3,64.9,NA,51.8,68.4
2023,74.2,54.2,54.2,74.9,41.8,40.9,41.8,90.8,51.8,NA,82.6,72.8,104,110.6,48.8,56.4,66.1,NA,87.2,67.8
2024,86.5,32.7,52.8,79.8,51.9,47.7,44.7,57.2,34.7,NA,46.5,105.1,167.3,132.7,57.7,63.3,50.9,NA,48.7,68.2
2025,88.3,23.2,90.9,84,38.1,42.6,49.1,73.2,51.1,NA,88.5,89,103.6,89.3,55,69,64.5,NA,37.9,66.9
2026,93,93.8,34.4,83.9,63.9,37.9,61.4,137.5,44.1,NA,61.7,82.7,105.3,74.5,64.6,44,81.6,NA,48,71.3
2027,49.9,39.6,57.8,76.5,52.1,37.3,62.3,88.6,25.5,NA,54.5,86.5,124.8,98.4,100.9,53.4,82,NA,41.3,66.6
2028,84,51.8,33.8,75.2,44.5,43.9,51.8,139,39.3,NA,57.4,81.3,117.4,106.4,42.9,60,88.8,NA,74.2,70.1
2029,74.6,77.1,64.7,57,50,53.5,52.9,44.9,31.5,NA,42.6,94.5,125.5,80.2,54.2,64.3,93,NA,56.8,65.7
2030,72.1,14.8,46.9,92.8,56.5,42.4,41.5,69.2,47.7,NA,70.9,88.3,173,93.6,68.6,60.9,84.7,NA,84.7,71.1
2031,68.6,39.7,68.3,72.9,74.2,33.6,57.1,81.2,25.6,NA,56.6,88.9,153.3,100.4,54.7,46.4,80.3,NA,126.2,72.2
2032,81.4,67.2,42,63.1,48.7,49.8,58.9,95.7,52.5,NA,72.6,90.4,144.1,122.3,75.9,63.7,56.2,NA,56.5,73
2033,79.7,23.9,34.6,85,56.8,55.6,52.1,85,43.8,NA,46.1,88.1,134.4,91.3,70.7,58.2,112.5,NA,63.9,69.5
2034,72.1,33.6,80.4,64.3,43.9,47.1,40.4,29.7,70.8,NA,66.7,91.2,137.1,79.6,77.8,61.4,82.3,NA,52.2,66.5
2035,80.7,25,40.8,66.2,26.8,53.9,60.3,80.2,53.8,NA,51.2,92.8,131.3,92.8,71.6,53.8,83.5,NA,82,67.5
2036,68.6,45.5,52,59.8,42.7,44.5,52.2,69.4,44.9,NA,39.9,92.7,117,67,66.8,47.3,86.9,NA,61,62.2
2037,77.2,45,34.7,98.5,64.6,84.6,59.9,41.5,78.9,NA,56,80.2,133.6,93.5,53.3,68.9,83.7,NA,64.2,71.7
2038,71.9,29,57.9,83.5,52.5,51.3,50.5,46.3,64.4,NA,57.8,82.5,126.5,87.1,60.8,44.4,107.8,NA,101.1,69.1
2039,79.8,60.9,40.7,81,44,31.6,50,51.3,56.5,NA,41.7,80.2,126.3,105.9,70,43,93.2,NA,64.7,65.9
2040,70.7,16.2,27.1,62.5,69.3,45.8,49.3,54.4,57.9,NA,65.7,96.6,118.8,104.7,71.1,50.9,82,NA,62.1,65
2041,77,53.6,39.6,64.8,71.5,46.5,54.9,87.8,50.9,NA,60,89.2,145.4,91.8,64.4,41.4,102.6,NA,39.3,69.5
2042,97.5,26.5,68,63.8,54.9,42.5,55.3,54.8,49.5,NA,53.7,80.5,132.1,116.6,71.7,47.5,70.1,NA,66.6,67.7
2043,72.6,56.9,24.6,78.4,42.4,69.4,76.7,118,32.1,NA,36,89.8,102.7,90.4,67.7,42.3,73.5,NA,55.6,66.4
2044,54.5,14.4,63,78.2,64.3,45.3,76.2,45.8,45.8,NA,77.7,108.2,107,72.7,78,49.2,66.1,NA,39.5,63.9
2045,49.5,81.1,57.9,71.2,27.2,66.4,47.8,78.9,38.5,NA,66.5,91.9,161.3,103.5,55.8,43.6,82,NA,28.2,67.7
2046,69.8,20.3,50.2,79.5,48.2,66.4,65.4,62.1,77.1,NA,68.3,67.8,133,69,61.1,43.4,90.5,NA,50.4,66
2047,102,26.6,42.6,81.5,77.6,66,53.1,87.3,36.1,NA,51.9,97.4,136.8,66.5,65.4,46.6,68.8,NA,73.3,69.4
2048,78.8,37.2,75.4,76,58.5,41,59.9,94.3,43.8,NA,58.7,92.5,106.5,66.2,69.9,62.8,58,NA,70.4,67.6
