"Year","ACCESS-ESM1-5","AWI-CM-1-1-MR","BCC-CSM2-MR","CanESM5","CNRM-CM6-1","CNRM-ESM2-1","EC-Earth3","GFDL-ESM4","GISS-E2-1-G","HadGEM3-GC31-LL","INM-CM5-0","IPSL-CM6A-LR","MIROC-ES2L","MIROC6","MPI-ESM1-2-HR","MPI-ESM1-2-LR","MRI-ESM2-0","NESM3","UKESM1-0-LL","ensemble"
2015,342.3,265.6,236.5,269.6,202.7,212.5,218.1,227.6,139.8,NA,252.3,291.5,463.3,304.1,277.2,252,243.6,NA,346.8,267.4
2016,335.4,137.7,214.2,271,252.2,206.1,229.5,180.2,153.2,NA,265.1,288.3,441.3,364.4,274.6,242.4,279.1,NA,240.4,257.4
2017,340.2,173,234.3,267,189.8,157.5,260.8,331.9,167.5,NA,219.5,315.2,401.8,291.5,260.2,252.3,294.3,NA,314.8,263
2018,337.7,187.6,271.4,287.8,195.3,153.9,191.2,334.7,140.3,NA,262.4,292.4,457,266.2,280.3,248.5,309.5,NA,230.4,261.6
2019,349.5,196.4,212.9,262,187.2,171,208.7,228.6,133.4,NA,324.8,301.8,396,281.9,280.1,255.7,288,NA,290.9,257
2020,343.1,355.6,163.5,271.1,233.5,160.7,228.2,300.4,156.1,NA,284.4,277.1,494.5,308.5,272.4,234.5,270.3,NA,223.5,269.3
2021,351.1,276.8,167.2,294.1,212.5,163.6,259.1,282.5,142.4,NA,250.9,308.9,478.6,245.3,249.4,244.9,304.5,NA,256.1,264
2022,352.5,267.9,175.1,282.6,204.1,172,194.1,299.7,123.2,NA,282.9,305,411.1,240.3,284.2,251.5,254.8,NA,317.2,259.9
2023,345.5,227.7,188.8,285.4,195.2,150.1,180.5,359.2,167.1,NA,273.8,293.1,525.9,369.5,254.8,248.6,266,NA,255.2,269.8
2024,372.5,251.9,184.1,296.7,182,173.7,218.7,230.7,147.1,NA,248.3,330.6,513.9,372.2,249.5,260.4,307.4,NA,249.9,270
