"Year","ACCESS-ESM1-5","AWI-CM-1-1-MR","BCC-CSM2-MR","CanESM5","CNRM-CM6-1","CNRM-ESM2-1","EC-Earth3","GFDL-ESM4","GISS-E2-1-G","HadGEM3-GC31-LL","INM-CM5-0","IPSL-CM6A-LR","MIROC-ES2L","MIROC6","MPI-ESM1-2-HR","MPI-ESM1-2-LR","MRI-ESM2-0","NESM3","UKESM1-0-LL","ensemble"
2015,136.3,58.3,89.9,125,127.7,130.8,125.5,115.3,115.4,155.1,141.1,137.3,196.1,161.3,127.7,119.4,143.7,149.3,139.8,131.3
2016,142.5,72.5,100.1,127.9,132.2,137,113.9,101.4,109.5,147.1,160.5,131.4,180.7,164.6,131.6,109.4,136.2,151.1,124.5,130.2
2017,142,57.4,95.8,129.4,127,131.8,116.2,107.4,121.8,142.7,166,135.4,162.9,170.8,128.7,107.4,135.8,152.9,128.8,129.5
2018,142.7,73.3,103.2,129.1,128.6,136.4,122.6,109.5,116.3,149.3,170.9,133,191.1,157.2,124,131.3,140.4,150.7,136.3,134
2019,148.9,63.2,96.6,124.7,122.2,130.7,114.1,124.5,126,141.3,165.2,138.1,219,162.2,127.9,122.2,156.2,154.7,137.8,135.6
2020,149.8,76.9,92,131.6,131,130,115.2,105,125.8,156.2,168.7,133.3,203.1,165.4,124.4,112.4,134.6,168.6,142.5,135.1
2021,146.1,50.2,112.6,132.1,125.9,138.1,122.1,97,124.8,153.2,198.5,137.6,203.1,169.4,113.4,129.2,116,131.8,132.4,133.3
2022,142.7,61.6,118.6,129.8,127.4,143.9,118.9,122.7,124.5,147.1,174,138.6,174.5,172.3,146.4,133.3,134,130.3,143,136
2023,145.9,60.6,101.8,132.7,132.1,138,116,94.6,117.7,147.3,175.6,146.5,218.2,169.3,145.4,115.2,140.3,133.3,134,135
2024,152.3,80.4,109,134.6,133.9,146.7,116.6,96.9,121.5,152.7,195.2,141.4,204.3,176.2,126.3,135.1,161.2,153.8,128.1,140.3
2025,152.8,74.6,109,135.7,133.7,140.9,123.9,109.4,107.9,155,172.5,152.5,180.4,169.6,138.2,112.9,164.2,146.8,140,137.9
2026,155,74.3,95.3,129,135.2,138.1,124.3,127.1,120.9,161.5,167.7,148.1,215.3,172.6,125.8,131.2,123.5,155.3,146.7,139.3
2027,149,78.5,84.9,131.9,131.2,139.4,118.5,123.8,127.4,145.6,170,139.4,193.6,167,140,126.6,123.4,155.3,146.7,136.4
2028,157.9,69.8,84.2,130.6,128.7,140.4,125.3,118.1,124.1,150.9,182.7,143.9,210.5,167.7,146.9,132.6,157.8,153.5,145,140.6
2029,154.8,79.5,121.7,137.8,135.2,147.8,123.3,106.7,128.8,148.4,172.6,147.2,219.1,175.1,144.7,118.1,137.7,161.4,136.9,141.9
2030,155.9,71.4,118,137.3,139.9,139.7,124.1,121.3,124.1,166.3,168.3,155.2,216.3,171.3,133.2,123.3,141,143.8,149.5,142.1
2031,154.8,71.8,107.5,139.1,132.7,139.6,120.9,105.6,136.2,167.4,191.2,149.2,218.3,175.8,134.6,134.2,138.7,137.7,156.9,142.7
2032,155.6,66,102.6,142.7,134.5,139.1,123.1,123.4,118.8,152.1,172.2,143.4,202.1,179,125.5,132.4,144.7,158.8,161.5,140.9
2033,154.6,87.7,107.8,143.9,141.1,140.3,124.8,134.1,132,161.9,159.4,139.1,191.5,167.4,143.3,124.8,143.7,151.6,147.3,141.9
2034,155.1,75.7,106.8,137,134.6,142.4,127.3,115.1,127,158.9,157.4,154,205.9,173.4,139.9,128.9,123.5,160.2,154.3,140.9
2035,163.1,72.5,99.8,144.1,132,153.5,125.6,97.4,125,160.3,164,139,229,168.8,133.3,129.6,147,149.1,148,141.1
2036,161,78.3,96.2,144,133.7,141.4,131.7,120.8,127.6,157.5,200.5,145.5,214.2,176.3,130.5,118.2,150.2,166.2,153.8,144.6
2037,161.7,75,80.8,142.8,137.1,141.2,126.6,107.9,129.4,156.8,174.5,146.9,186.3,181.2,137.9,129.1,161.2,147.9,167.5,141.7
2038,170.2,78.9,79.3,145.1,144.4,141.2,123.8,119.2,129,177,179.7,146.4,205.7,185.9,140.2,113.8,163.2,158.2,163.3,145.5
2039,162.6,82.2,123,144.5,148.3,136.8,128.3,111.2,116.8,170.4,193.5,142.7,218.3,176.4,122.4,137.1,156,157.9,162.3,146.9
2040,171.1,86.6,124.1,147.2,146.9,152.2,125.8,114.2,130.2,170,176.6,142.2,219.9,178.1,135.3,148.7,147.7,169.1,157.4,149.6
2041,164.3,75,97.3,148.2,137.5,143.5,125.7,128.6,128.4,178.3,191.3,152,209,173.4,150.3,135.9,177.1,165.3,154.5,149.2
2042,162.3,83.1,105.2,146.9,137.1,146.4,130.3,127.7,121.1,167.3,190.1,150.9,217.5,179.3,140.3,126.8,155.3,152.5,165.2,147.6
2043,165,75.7,122.3,148.1,142.9,149.4,127.6,111.6,115.6,162.5,165,150.5,229.6,178.6,142.4,128,175.7,153.1,167.3,147.9
2044,164.6,92.8,101.7,150.5,144.5,145,134.1,143.9,121.1,177,185.4,160.5,226.5,181.5,125.9,117.3,172.5,151.7,169.9,150.9
2045,165.3,67.4,129.2,151.9,144.1,150.8,138.9,116.8,128.7,175.4,172.1,154,226.7,172.9,148.9,139.1,148.2,162.6,165.4,150.4
2046,168.5,73.9,102.6,153.5,149.6,145.4,132.3,108.7,124.3,176.4,194.2,148,215.2,184,156.1,134.5,137.2,176.1,167.4,149.9
2047,164.1,74.8,117.9,164.5,141.2,150.8,136.3,123.4,129.6,181.8,185.2,161.4,208.6,191.1,133.3,140.9,155.9,170.7,181.4,153.3
2048,172.2,70.1,121.8,152.2,140.2,152,135.8,110.6,136.5,171.3,194.6,162.1,231.7,187.3,137.2,144.3,156.6,181.1,167.4,153.9
2049,168,76.3,132.4,157.7,147.6,141.8,129.1,128.7,129.7,176.7,183.3,166.9,214.6,194.2,135.1,143.1,158.7,172.4,173.7,154.2
2050,171.9,92.4,120.1,163.1,149.5,153.8,133,120.8,131.8,164.4,186.2,160.2,204.5,187.2,148.2,135.1,164.9,158.7,168.4,153.4
