"Year","ACCESS-ESM1-5","AWI-CM-1-1-MR","BCC-CSM2-MR","CanESM5","CNRM-CM6-1","CNRM-ESM2-1","EC-Earth3","GFDL-ESM4","GISS-E2-1-G","HadGEM3-GC31-LL","INM-CM5-0","IPSL-CM6A-LR","MIROC-ES2L","MIROC6","MPI-ESM1-2-HR","MPI-ESM1-2-LR","MRI-ESM2-0","NESM3","UKESM1-0-LL","ensemble"
2015,15.4,0.1,3.4,9.1,7.5,15.1,0.5,0,4.6,NA,33.6,6.7,52,29.8,17.6,10.2,8,NA,2.5,12.7
2016,17.1,0.2,0.1,1.4,6.6,12.1,4.5,9.2,9.8,NA,34,9.4,37.4,26.5,12.6,17.3,12.8,NA,8.9,12.9
2017,16.3,0,0.2,0.4,7.2,10.9,3,1.1,5.4,NA,32.5,7.4,31.3,31.7,16.1,14.5,7.6,NA,10.5,11.5
2018,20.4,0,0.1,1.3,7.4,13.3,1.3,0.4,8.7,NA,27.5,10.7,53.7,38,12.7,16.4,4.2,NA,6.8,13.1
2019,19.7,0,1.9,3.4,5.8,17.3,3.8,0,0.4,NA,30.9,10.6,41.5,30.9,17.6,12.9,11,NA,7.2,12.6
2020,18.5,3.7,0.1,5.6,11.3,11.4,2.1,2.7,14.4,NA,34.8,8.6,64.6,28.7,13.6,11.3,11.2,NA,14.1,15.1
2021,15.9,0,0.2,6.8,8.1,18.4,2.4,2.6,6.8,NA,34.2,7.5,62.4,23.8,17,14.1,9,NA,7.2,13.9
2022,14.7,0.1,2.3,11.6,4.8,11.5,2.5,11.6,8.4,NA,35.8,9.5,51.8,20.6,19.5,11.3,12.4,NA,9.2,14
2023,13.1,0,0.7,7.6,6.6,6.8,4.3,0.5,4,NA,33.5,8.1,65.5,31,16.7,10.9,13,NA,14.4,13.9
2024,19.4,0,0.2,5.2,11.2,11,3.8,4.2,2.5,NA,35.8,10.9,64,37.8,16.8,10.2,11.6,NA,13.2,15.2
2025,23.2,0,8.4,9.3,10.1,15.6,1.1,12,7.2,NA,32.5,5.9,38.9,26.3,12.8,17.9,18.8,NA,20.1,15.3
