"scenario","Year","ACCESS.ESM1.5","AWI.CM.1.1.MR","BCC.CSM2.MR","CanESM5","CNRM.CM6.1","CNRM.ESM2.1","GFDL.ESM4","GISS.E2.1.G","HadGEM3.GC31.LL","INM.CM5.0","IPSL.CM6A.LR","MIROC.ES2L","MIROC6","MPI.ESM1.2.HR","MPI.ESM1.2.LR","MRI.ESM2.0","NESM3","UKESM1.0.LL","ensemble"
"historical",1850,133.5,74,95.1,95.3,84.1,92,111.3,40.7,118.8,88.6,90.5,153.4,100.7,82.1,77.1,116.6,101.4,83.6,96.6
"historical",1851,135.9,66.2,110.9,86.6,99.5,67.7,95.5,45.6,78.9,109.7,99.1,166.9,120.8,90.5,92.8,113.9,106.2,74.6,97.8
"historical",1852,114.9,101.6,88.5,88.1,93.4,80.8,102,42.5,81.4,108.8,109.7,177.4,128.5,99.2,86,78.8,93.8,94.4,98.3
"historical",1853,142,89.4,84.4,94,91.6,83.3,108.2,36.8,89.7,103.7,105.6,143.7,124.3,77,89.5,104,100.8,93.1,97.8
"historical",1854,146.3,99.7,76.4,92.3,97.3,105,120.6,38.7,95.3,91.3,94.2,156.2,112.6,87.4,90.8,98.1,120.1,95.8,101
"historical",1855,101,92.4,63,69.9,103,77.2,93.2,42.8,96.9,92.9,108.5,185.4,119.3,97.6,103.7,121.2,91.2,92.7,97.3
"historical",1856,129.4,105.3,97.4,90.3,91.3,90.1,123.7,43.1,75.2,75.6,103.1,138.1,130.2,81.5,95.2,101.2,93.9,88.8,97.4
"historical",1857,120.2,91.1,95.3,64.7,86.5,75,101,53.3,69,99.1,109.7,121,138.8,116.7,96,101.8,90.6,92.9,95.7
"historical",1858,122.2,68.8,86.4,74.5,85,78.1,104.3,42.9,104.1,89.5,100.2,204.7,114.5,92.1,92.8,85.1,108.1,90.2,96.9
"historical",1859,177.7,55.8,83.1,98.4,92.5,68.1,121.8,45,84.4,109,90.3,139.4,119.3,108.3,80.6,86,77.3,97.2,96.3
"historical",1860,130.1,80.6,102.4,77.6,95.2,95.9,112.5,46.3,90,109.1,112.1,143,128.5,106.2,95.5,110.7,94.6,96.4,101.5
"historical",1861,130.5,43.8,85.8,80.2,82.4,82.5,97.8,48.2,109.7,82.6,109.3,201.5,115.6,91.6,86.5,102,86.4,104.1,96.7
"historical",1862,145,71.7,101.7,85.7,89.6,79.9,113.2,53.2,94.4,96.4,103.9,163.3,127.2,84.1,90.5,103.8,92.5,99.4,99.8
"historical",1863,146.2,92.6,85.8,84,80,78.8,102.5,51.6,70.5,111.6,102.2,144.1,114.6,102.5,89.6,100.8,115.2,111.9,99.1
"historical",1864,144.4,91.3,64.6,76.4,85.5,80.1,94.8,38.1,93.2,86.8,93.4,147.5,118.6,81.1,95.1,113.3,88.5,111.2,94.7
"historical",1865,138.4,108.6,53.2,84.6,64.8,72.1,114.8,35.2,99.9,93.8,80.9,162.7,116.9,69.6,101.6,108,100.8,89.2,94.2
"historical",1866,102.8,94.2,78.4,79,79.2,87.2,106.6,45.2,81.2,93.8,93.8,132.7,121.5,102.5,95.2,104.1,103.6,90,93.9
"historical",1867,132.9,142.8,113.5,75,93,88.7,105.9,45.3,96.7,95.4,108.9,155.9,132.6,88.7,91.8,84.4,99.5,91.8,102.4
"historical",1868,132.2,75,96.2,86.6,91.8,78,123.4,39.4,97.2,104.2,95.8,140,123.5,94.5,116,92.3,104.4,80,98.4
"historical",1869,140.9,92.1,99.1,81.8,76.9,76.4,103.5,32.7,84.2,94.8,98.8,148.5,115.3,108.6,106.4,122.5,95.5,105.8,99.1
"historical",1870,122.6,85.5,93.4,89.8,87.1,73.4,110.4,37.9,118.8,105.6,84.8,168.7,115.6,96.1,110.6,120.3,95.3,94.3,100.6
"historical",1871,148.6,89.3,68.4,97.9,114.5,68.2,128.1,40.2,98.1,99.9,99.8,165.8,104,75.4,92.2,113.9,116.3,97.9,101
"historical",1872,144.5,58.8,90.9,67.2,79.6,87.4,118.8,38.9,103.1,91.7,103.5,120.9,122.4,93.8,93.4,110.3,84.5,84.7,94.1
"historical",1873,146.4,50.3,115.6,70.4,93.6,65.5,99.7,47.2,87.8,101.5,96.6,153.1,119.8,86.1,78.3,112.2,118.5,95.5,96.6
"historical",1874,128,61.1,112.9,69.6,91.5,76.8,135.2,39.5,83,72.9,91.3,193.6,128.3,100,106,99.5,98,69.8,97.6
"historical",1875,149.8,79,74.4,76.5,94.7,73.3,102.9,51.1,120.1,81.8,109.4,131.2,131.6,113.7,79,103.8,105.6,89.9,98.2
"historical",1876,132.4,79.7,89.1,83.8,94.3,82.4,120.3,41.4,67,90.3,100.8,166.5,138,87.2,102.6,111.1,76.1,101.1,98
"historical",1877,122.7,62.8,92.5,87,95.1,83.7,92.5,48.3,95.4,93.7,96.7,181.5,122.5,92.6,89.8,106.1,99.6,90.1,97.4
"historical",1878,109,66.8,70.6,96.3,82.6,84.7,97,55.8,105,82.7,100.8,156.5,137.4,88,92.1,78.4,118.7,99,95.6
"historical",1879,144.1,63.8,96.6,95.9,76.9,93.4,114.2,54.4,82.6,76.7,99.6,161.5,119.2,86.7,95.5,100.4,125.4,82.2,98.3
"historical",1880,128.1,109.1,70.1,83.8,83.5,77.8,118.4,42.9,97.9,112,97.3,178.7,88.8,99.6,105.2,79.5,122.4,98.6,99.6
"historical",1881,124.5,64.2,120.1,90,98.8,96.6,110.7,49.7,109.1,97.9,85.4,119.1,110,79.2,100,88,89.8,98.8,96.2
"historical",1882,152.3,117.2,88.4,90.5,75.6,78.5,105.5,52.6,88.8,94.6,109.4,135.1,119.5,100.7,92.3,88.9,101.2,77.9,98.3
"historical",1883,133,84.2,107.9,83.6,80.3,89.1,117.8,54.1,77.3,91.6,97.9,146.7,110.5,89.2,99.5,136.3,92.6,85.7,98.7
"historical",1884,145.3,74.5,72.8,85.8,92.1,99.4,97.9,41.6,82.2,92.3,91,197.5,123.3,88.3,90.7,100.5,91.7,79.6,97
"historical",1885,93.6,45.6,94.1,68.4,90.2,80.7,118.7,55.7,94,109,105.6,168.8,111.3,89,100.7,96.7,106.6,88.1,95.4
"historical",1886,150.9,62.9,88.5,77.4,78,78.4,132.7,46.1,82.9,72.3,106,126.9,143.8,101.9,92.5,100.3,79.6,119.4,96.7
"historical",1887,118.5,83.1,75.4,89.9,90,85.8,118.1,42.2,81.5,77,101.2,125.7,117.7,74.4,76.4,97,123.9,79.4,92.1
"historical",1888,161.1,75.8,87.1,81.5,82.1,96.6,121.7,48.1,68.8,98.1,92.5,157.6,128,89.7,104.1,82.1,110.7,85.2,98.4
"historical",1889,107.8,70.1,82.7,84.5,98.5,85.5,101.9,43.8,85.7,95.4,96.3,174.1,129.7,98.7,85.8,123.5,99.3,96.5,97.8
"historical",1890,139.9,70.5,80.9,86.1,82.2,65.3,87.3,46.4,64.8,104.3,89.5,188.4,100.7,80.3,111.9,112.5,88.9,121.4,95.6
"historical",1891,104.4,82.6,64.5,69.1,98.8,79.5,112.6,45,86.6,87.8,89.3,181.2,129.5,91.1,102,99.3,130.4,79.5,96.3
"historical",1892,127.9,82.7,91.3,79.8,87.8,91.2,102,45.2,67.4,118.2,103.8,141.1,138.7,107.8,97.6,81.7,101.6,93.4,97.7
"historical",1893,158.7,95.5,102.5,83.6,87.6,60.4,117.2,54.5,111.1,113.3,108.7,143.1,110.5,93.7,94.5,94,107,87.3,101.3
"historical",1894,132.9,69.6,58.8,74.6,82.7,80,114.3,45.8,82.2,100.8,92,170.9,119.2,93.6,97.2,105.1,79,94.7,94.1
"historical",1895,126.6,106.2,79.1,86.2,74.3,80.3,84.9,57.9,81.4,97.2,100.2,215.2,105.1,98.2,101.9,99.6,97.3,93,99.1
"historical",1896,140.1,99.8,81.1,83.7,95.3,78,116.5,47.1,70,105.5,95.8,146.6,125.2,115.5,81.8,124.5,81.6,90.9,98.8
"historical",1897,149.2,119.7,95.4,83.5,91.4,80.5,109,48.8,69.3,84.1,98.5,155.1,134.3,64.7,108.1,94.6,128.3,69.3,99.1
"historical",1898,163.1,84.7,63.9,90.9,94.8,95.3,122.2,49.7,75.8,97.8,83.6,133.2,130.9,84.3,109.9,91.4,119.2,98,99.4
"historical",1899,128,94.8,59.1,79.2,85.1,84.2,106.4,51.6,76.8,94.4,95.5,166.2,131.9,65.8,113,116.5,116.4,104.4,98.3
"historical",1900,151.4,99.1,85.9,78.3,101.4,96.4,104.4,46.6,79.8,119.1,92.9,106.9,110.6,84.6,97.6,101.7,107.7,70.8,96.4
"historical",1901,126.2,89.7,112.4,77.5,69.9,78.6,112.9,41,88.3,98.1,94.1,154.5,116.8,96.9,98.6,109.7,122.1,90.7,98.8
"historical",1902,126.2,99.2,84.3,79.1,92.3,85.1,88.7,52.5,62.9,104.9,102.2,168.5,136.7,84,110.2,109,84.2,91.6,97.9
"historical",1903,120.3,69.7,71.2,81.5,95.2,81.9,95.2,51.3,91.2,106.1,98.9,123.1,121.6,93.7,113,107.2,111.9,71.5,94.7
"historical",1904,148.7,56,105.8,88.5,90.9,77.4,96.7,57.5,83.1,100.7,86.9,152.3,134.9,93.4,102.8,102,104.4,93.5,98.6
"historical",1905,122.1,97.4,70.7,82.2,98.6,82.5,101,42.9,100.2,94.4,117.7,171.2,144,103.1,83.2,113,104.2,88.8,101
"historical",1906,148,81.9,93.1,76,92.2,78.4,135.4,45.4,82,96.6,95.4,194.3,126.3,105,95.3,103.6,100.7,96.6,102.6
"historical",1907,126,74.2,86.3,93.8,81.1,69.8,127.3,50.6,78.8,100.2,95.4,157.6,129.4,93.5,94.6,84.2,101.9,80.1,95.8
"historical",1908,149.3,82.2,100.7,84.4,91.4,89.6,128.7,33.7,80,103.4,103.9,122.7,105.5,96.4,98.6,95,100.9,93.3,97.8
"historical",1909,130.6,93.3,78.5,73.9,92.1,61.3,120.3,49,81.2,89.8,103.2,129.7,127.6,84.3,89.5,126.3,90.2,87.3,94.9
"historical",1910,113.4,74,106.3,90,97.9,80.1,112.3,53.9,48.6,102.2,95.8,139.9,136.9,95,88,108.6,110.4,79,96.2
"historical",1911,131.1,89.2,74.9,79,93.1,88.4,107.4,38.4,87.6,99.2,106.1,115.4,124.3,107.1,108.4,84.2,112,100.3,97
