"Year","ACCESS-ESM1-5","AWI-CM-1-1-MR","BCC-CSM2-MR","CanESM5","CNRM-CM6-1","CNRM-ESM2-1","EC-Earth3","GFDL-ESM4","GISS-E2-1-G","HadGEM3-GC31-LL","INM-CM5-0","IPSL-CM6A-LR","MIROC-ES2L","MIROC6","MPI-ESM1-2-HR","MPI-ESM1-2-LR","MRI-ESM2-0","NESM3","UKESM1-0-LL","ensemble"
2015,101.1,124.2,122.1,152.6,167.2,152.6,78.8,111.7,93.7,NA,222,154.9,198.7,160.6,82.3,158,163.6,NA,143.8,140.5
2016,124.5,75.9,175.2,143.5,175.5,203.9,125.4,114,136.6,NA,238.9,186.5,251,148,82.5,131.9,180.7,NA,93.1,152.2
2017,120.5,61.3,250.3,174.2,131.3,236.6,104.6,124,143.5,NA,205.2,140.8,131.4,131.7,86.2,155.4,159.7,NA,109.8,145.1
2018,106.6,149.2,163,163.4,137.6,156.1,93.5,144.9,104,NA,189.2,204.9,216.9,160.3,96.1,191,142.2,NA,95,147.9
2019,112,114.8,187.9,150.3,172.3,186.6,130.9,80.8,130.4,NA,199.7,168.7,122.9,186.1,92.1,180.1,171.5,NA,97.2,146.1
2020,116,63.7,154.8,173.3,182.8,160.5,99,163.5,119.7,NA,164.8,181.2,58.3,145.5,83.8,190.8,115,NA,95.3,133.4
2021,114.8,87.4,212.5,165.6,155.4,221.2,102.3,134.3,117.2,NA,213.1,164.2,138.6,161.5,88.7,162.9,182.8,NA,111.1,149
2022,131.6,60.2,164.7,165.4,174.1,219.4,126.6,129.6,164.8,NA,176.4,183.6,136.1,129.7,92,148.1,143.2,NA,83.8,142.9
2023,126.8,74,147.8,180.7,173.2,150,119.4,157.3,110.1,NA,214.4,192.2,74.2,140.4,91.9,170.8,141.6,NA,120.9,140.3
2024,123.4,132.6,183.6,147,154.6,213,114.2,158.3,144.6,NA,197.3,175.9,219.9,117.7,84.2,180.8,132.4,NA,143.8,154.3
2025,99.5,124.5,187.4,168.1,182.8,200.1,87.9,73,114.1,NA,194.4,203.5,107.7,144.3,98.9,181.9,174.7,NA,132.9,145.6
2026,127.9,78.6,78.2,181.1,183.7,196.4,110.6,134.7,123.2,NA,256.8,177.4,154.8,188.5,83.6,181.3,161.9,NA,145.1,150.8
2027,122.5,82.1,84.6,160.1,171.4,204.8,96.2,141.2,106.3,NA,206.1,137.4,165.6,169.9,105.1,152.8,143.9,NA,106.9,138.6
2028,122,96.8,130.4,146.2,181.5,209.7,86,102.3,130.5,NA,198.4,205.5,299.9,190.5,82,215.9,110.5,NA,108.1,153.9
2029,126,157.6,208.6,172.3,167.7,159.8,124.2,123.9,146.5,NA,237.7,188.8,161.2,164.1,81.4,176.9,116.6,NA,113,154.5
2030,135.5,88.2,149.1,149.2,172.8,149.3,66.4,118.2,137.9,NA,245,164.1,188.9,157.3,100.9,149.9,107.1,NA,115.6,140.9
2031,103.2,90,239.3,165.3,168.2,187.5,91.9,102.7,157.5,NA,174.8,174.5,126,173.4,104.1,170.1,170.5,NA,134,149
2032,137.5,121.9,134.1,195.9,196.2,120.2,109,147,100.6,NA,190.2,185.3,218.8,146,92.3,177.8,141.5,NA,108.8,148.4
2033,115.9,145.6,148.3,166.4,231.6,185.5,109.8,176.3,160.3,NA,205.9,204.9,166.8,195.5,79.8,200.9,151.6,NA,105.1,161.8
2034,110.5,102.3,146.7,208.7,245.5,138.5,167.4,161.6,151.7,NA,267.9,186.8,212.8,237.8,95.9,162,139.1,NA,108.1,167.3
2035,123.9,128.3,248.6,171.5,192.3,197.5,151.9,128.6,103.6,NA,232.1,165.6,121.5,189.3,98,160.4,161.6,NA,104.4,157.6
2036,127.4,76.1,273.5,180.6,170.6,176.9,125,119.2,90.1,NA,196.9,112,150.1,157.8,101.4,193.6,140.5,NA,119.5,147.7
2037,155.7,112.8,109.9,177.5,158.4,192,116.2,141.3,139.2,NA,204.7,166.5,156.4,171.6,99,192.9,186.1,NA,108.4,152.3
2038,121.8,89.2,231.3,185.1,195.3,197,106.2,207.2,112.2,NA,243.1,154.2,87.6,179.2,104.3,158.5,147.2,NA,110.9,154.7
2039,129.7,104.4,191.4,203.6,165.1,140.7,74.5,138,137.9,NA,191,181,192.7,208.5,98.7,166.2,151.1,NA,129.1,153.2
2040,133.7,121.9,130.8,235.2,169.9,173.8,103.9,94.4,152.1,NA,220,161.9,194.6,201.3,83.6,209.6,153.4,NA,115.4,156.2
2041,109.3,167.3,179.9,184.9,205.7,203.5,87.7,99.6,154.6,NA,216.6,172.7,114,144.3,84.9,161,175.6,NA,104.8,151
2042,119.9,144.3,132.9,189.5,194.7,206,129.7,188.8,139.5,NA,280.6,192.4,177.5,195.6,92.3,170,122.5,NA,104.1,163.5
2043,116.7,137.6,216.9,171.9,135.1,160.4,99.2,186.9,133.1,NA,213.2,178,219.8,145.9,109.5,181.2,112.4,NA,98.5,153.9
2044,118.3,58.5,194.5,173.5,186.2,228.1,101.7,151.4,158.1,NA,250.3,172.3,191,188.7,90.8,173.6,139,NA,86.8,156.6
2045,102.7,67.9,262.4,192,184.3,162,102.9,105.3,141.1,NA,220.4,155.2,105.9,156.5,108.8,177.1,147.2,NA,126.3,148.1
2046,136.4,114.2,262.2,212.8,198.4,172.5,86,117.5,181.1,NA,237.8,164,124.9,151.8,91.2,191.8,172.1,NA,117.6,160.7
2047,131.3,131.9,232.3,209.2,185.1,232.1,104.9,187,126.3,NA,247.6,187.4,176.3,180.5,87.1,165.4,188.5,NA,113.4,169.8
2048,126,105.1,180,163.4,220.3,205.9,108.6,80.4,154.4,NA,194.6,182.4,223.6,167.6,86.4,203.9,98.8,NA,79.1,151.8
2049,127.9,139.4,269.3,197.1,185.6,190.9,91,108.5,148.5,NA,245.8,201.1,116,102.2,104.8,202.3,149.8,NA,97.3,157.5
2050,109.8,107.5,251.3,191.3,174.2,192.7,124.9,129.7,139.6,NA,237.1,185.4,260.6,188.1,97.4,211.7,135.8,NA,97.6,166.7
2051,135.2,43.6,208.3,174.3,224.2,190.6,85.6,119.6,167.8,NA,220,148.1,130.9,188.4,79.3,203.3,123.4,NA,84.9,148.7
2052,95.9,113.9,197.9,176.2,185.9,208.3,100.1,127.5,161.6,NA,235.2,174.3,103.5,178,98.5,187.6,131,NA,131.7,153.4
2053,121,99.4,239.5,190.9,199.8,179.2,113.4,111,168.6,NA,186.7,178.4,214.1,193.6,113.3,195.3,174.4,NA,84,162.5
2054,135.4,47.9,217.4,195.3,220.3,182.4,75.7,138.4,124.8,NA,198.5,187.4,212.3,187.6,90.1,171.8,136.5,NA,136.3,156.4
2055,107.9,133.2,225.5,175.2,201.5,196.7,98.8,147.4,121.2,NA,213,159.9,242.8,146.6,109.3,209.2,154.2,NA,137,163.5
2056,124.2,129.8,90.1,188.1,194.7,191.3,110.9,148,179,NA,239.6,202.9,248.1,171,87,239.8,184.1,NA,107.9,166.9
2057,133.7,176.7,79.3,163.7,167.3,211.9,108.4,220,137.7,NA,220.7,146.5,240,150.1,97.2,185.5,158.3,NA,143.7,161.2
2058,124.5,59,133,181.8,209,239.8,106.7,117.7,120.2,NA,225.6,205.4,97.9,177.6,91.9,213.1,167.2,NA,122.4,152.5
2059,117.9,115.1,221.4,181.3,205.2,229.6,136.4,118,100,NA,234.6,164.8,122.2,176.5,107.4,183.8,133.1,NA,102.8,155.9
2060,131.9,108.2,141.3,188.7,201,210.8,101.9,125.2,147.5,NA,274.2,193.8,143.6,194.8,97.8,165.4,109,NA,110.3,155.6
2061,118,121.9,219.4,167.7,182,191.2,81,185.7,144.5,NA,224.8,181.6,143.1,208.7,95.5,208,143.4,NA,124.6,161.2
2062,143.2,119.3,211.8,190.9,162.7,198.6,150.4,145.8,167.4,NA,214.6,184.2,159.2,181,113.8,201.2,162.8,NA,113.6,165.9
2063,111.3,82.3,221.2,166.7,168.8,242.3,135.2,176,155,NA,216.2,194,177.9,154.2,88,212.7,139.9,NA,144.9,163.9
2064,141.6,71.9,164.6,190.6,155.3,200.9,105,111.1,154.5,NA,257.8,158,243.6,181.2,99.7,189.9,175.8,NA,120.6,160.1
2065,117.7,126.2,180.6,201.7,155.4,184.7,97.9,194.6,125.2,NA,253.8,144.7,177.8,208.8,89.4,176.6,135.4,NA,100.3,157.1
2066,113.2,75.1,265.3,151.3,177.3,185.5,107.5,204.2,127.7,NA,229.2,164.2,218,178.5,90.6,175.3,178.5,NA,125.2,162.7
2067,154.1,82.2,266.7,213.5,178.6,165.4,108.4,119.3,141.3,NA,235.2,215.7,102,230.4,111.8,203.8,158.3,NA,110,164.5
2068,116.7,89.8,149.5,220.7,222.3,188.3,108.3,63.9,149.9,NA,250.3,184.2,282.6,190.6,111.7,213.4,183.4,NA,109.1,166.7
2069,121.2,117,328.1,217,202.2,147.2,112.7,150.8,119.2,NA,237.6,243.9,143.1,146.9,101.2,158.1,114,NA,119.7,163.5
2070,112.5,164.2,206.3,228.1,167.2,192.4,89,120.9,152.8,NA,202.4,185.1,186.8,160.2,100.8,178,134.1,NA,115.8,158.6
2071,129.3,107.5,151.2,212.6,207.2,204,101.1,184.4,135.1,NA,265.3,191.8,269.1,208.5,114.9,200.4,123.4,NA,154.2,174.1
2072,145.3,106.4,243.4,197.7,224.5,163.7,95.8,187.5,100.9,NA,242.8,203.3,148,119.7,98.9,192.7,151.1,NA,147.4,162.9
2073,108.7,127.1,161.4,212.8,160.1,196,115.8,82.8,190.9,NA,178.9,218.9,339.3,183.9,112.7,197.1,153.4,NA,119.9,168.2
2074,137.7,108.5,256.9,195,207.9,225.1,96.8,30.5,147.9,NA,240.5,189.8,188,182.8,91.4,200,186.9,NA,134.9,165.9
2075,119.8,61.9,200.9,235.8,173,193.2,134.5,122.7,109.6,NA,196.4,189.8,157.9,236.9,90.8,179.9,138.5,NA,115.8,156.3
2076,143.8,147.7,185.8,204.8,213.9,181.7,124.8,157.2,139.7,NA,222.9,184,191.5,232.1,99.2,215,133.5,NA,138.2,171.5
2077,128.8,208.2,153.4,196.4,201.2,181.7,104.8,157.9,135.5,NA,277.3,177.6,215.4,145.9,87.4,206.6,160.4,NA,109.8,167.5
2078,135.4,173.2,163.9,208.8,185.6,234,143.6,161.8,138.4,NA,283.6,240.2,166.7,170.9,91,204.5,189.6,NA,130,177.7
2079,153.8,105.1,116.8,219.6,168.5,174.5,116.7,144.3,137.6,NA,243.6,200.2,292.9,195.9,100.2,158.8,108.3,NA,141.8,163.4
2080,124.5,185.9,142.3,251,164.4,191.2,119.6,118.6,168.1,NA,254.7,231.4,222.7,160,103.6,187.3,171.1,NA,124.4,171.8
2081,102.4,92.5,54,221.7,237.5,230.3,128.3,176.7,198.4,NA,211.8,162.1,310.5,228.3,80.1,181.6,144.8,NA,119.7,169.5
