"Year","ACCESS-ESM1-5","AWI-CM-1-1-MR","BCC-CSM2-MR","CanESM5","CNRM-CM6-1","CNRM-ESM2-1","EC-Earth3","GFDL-ESM4","GISS-E2-1-G","HadGEM3-GC31-LL","INM-CM5-0","IPSL-CM6A-LR","MIROC-ES2L","MIROC6","MPI-ESM1-2-HR","MPI-ESM1-2-LR","MRI-ESM2-0","NESM3","UKESM1-0-LL","ensemble"
2015,296.8,304.3,573.1,436.5,446.4,413,297.9,433.1,329.4,NA,473.8,443.6,445.4,489.6,260.2,451.4,431.7,NA,340.5,403.9
2016,340.3,232.9,488.5,402.5,466,461.9,310.7,236.9,374.1,NA,469.1,511.4,579.5,366.9,275,466.5,414.4,NA,275.9,392.5
2017,348.6,281.5,689.1,441.6,385.9,485.5,305.7,306.2,442.7,NA,456.1,430.7,308.9,407.4,263.6,476.6,431.7,NA,332.8,399.7
2018,340,345.7,480.5,439.5,444.9,452.9,259.6,366.6,343.6,NA,485.7,443.2,516.9,383.7,272.2,469.4,407.7,NA,309.3,397.7
2019,288.8,286.4,466.3,427.6,415.4,448.4,304.3,278.9,394.8,NA,441.1,429.1,425.1,451.3,281,495.3,390.8,NA,290.3,383.2
2020,328.7,318.5,441.5,447.2,447.8,405.4,306.1,364.7,376.9,NA,431.5,442.3,219.2,382.1,252.9,503.7,425.3,NA,293.9,375.7
2021,353.4,341.8,580.6,446.5,444,499.3,316.6,354.4,350.2,NA,398.6,461.1,374.5,421.9,266.6,433.5,448,NA,380.3,404.2
2022,365.8,249.1,449.1,440.1,423.7,458.7,299.3,370.6,471.2,NA,407.6,474.8,429.8,455.6,252.6,420.5,371,NA,304.1,390.8
2023,333,364.1,477.6,480.7,484.3,449.6,285.6,444.8,329.6,NA,426.9,488,355.5,383.4,275.6,505.5,432.3,NA,306.9,401.4
2024,351.1,334.6,482.2,419.4,435.4,508.8,352.7,341,372.4,NA,425.6,408.6,560.1,405.3,259.9,480.7,421.4,NA,366.6,407.4
2025,315.6,285.8,577.7,454.3,456.1,522.3,263.2,334.2,405.8,NA,472.8,445.8,377.3,475.3,295.4,533,447.3,NA,369.1,413.6
2026,326,290,401.1,495,436.3,468.8,305.4,459.1,435.1,NA,500.3,397.6,431.2,436.4,247.1,475.8,401.4,NA,364.7,404.2
2027,295.6,361.4,407.8,520.9,441.8,412.6,265.5,338.6,418.3,NA,478.1,424.4,491.7,499,282.2,395.5,403.7,NA,354.2,399.5
2028,349.3,251,475.1,452.6,427.2,454.2,297,391.2,385.2,NA,485.7,454.4,562.2,467.3,275.2,498.5,342.6,NA,327.2,405.6
2029,332.9,285.2,531.8,482.5,432.6,462,287.5,405.9,418.4,NA,538.1,453.6,372.9,407.5,266.7,503.2,374,NA,384.3,408.2
2030,350.7,221.1,438.7,462.6,429.7,426.3,224.6,436.2,385.4,NA,539.6,425.5,506.2,400.8,271.6,448.3,372.2,NA,317.9,391.6
2031,300.6,263.2,528.7,482.6,426.9,461,307.4,393,384.4,NA,475.5,404,299.7,426,262,456.6,451.8,NA,332.1,391.5
2032,356.1,343.9,526.6,504.6,478,414.9,285.9,443.2,313.6,NA,458.7,483,522.2,418.9,294.4,480.1,420.4,NA,325.2,415.9
2033,308.9,378.1,532.7,471.9,495.6,464.6,258.3,390.1,423.7,NA,426.3,446.3,475.2,457.1,256.7,507.4,447,NA,302.4,414.3
2034,337.2,256.6,399.5,520.9,550.6,443.6,363.3,356.9,392,NA,537.3,474.9,475,621.4,280.1,473.1,455.5,NA,329.9,427.5
2035,359.9,314.4,499,482.5,430.6,486.4,335.7,431.1,376.2,NA,470.2,448.3,346.4,415.8,298.2,452.9,451.2,NA,350.6,408.8
2036,354.9,244.6,520.9,492.5,457.6,453.3,331.3,381.6,360.3,NA,468.5,384.4,385.4,380.8,309.6,517.4,472.4,NA,322,402.2
