"scenario","Year","ACCESS.ESM1.5","AWI.CM.1.1.MR","BCC.CSM2.MR","CanESM5","CNRM.CM6.1","CNRM.ESM2.1","GFDL.ESM4","GISS.E2.1.G","HadGEM3.GC31.LL","INM.CM5.0","IPSL.CM6A.LR","MIROC.ES2L","MIROC6","MPI.ESM1.2.HR","MPI.ESM1.2.LR","MRI.ESM2.0","NESM3","UKESM1.0.LL","ensemble"
"historical",1850,250.9,226.9,255.7,288.3,271.6,244.7,281.1,154,270.1,186.1,302.6,436.7,316.8,215.1,225.4,364,264,243.9,266.6
"historical",1851,307.8,208.7,288.1,255,279.2,260.1,300.8,168.4,201.6,207,307.2,459.8,343.6,237.3,243.5,357.2,277.3,252.7,275.3
"historical",1852,257.2,207,250.9,251.3,273.7,228.7,324.6,143.3,241.9,211.9,340.2,447.6,348.1,243.7,243.4,278.5,287.6,262.2,269
"historical",1853,312.9,238.8,296.9,283.3,283.8,249.5,294.5,147.1,207.6,218.3,316.9,453.2,321.5,212.7,267.8,313.9,284.8,269.1,276.3
"historical",1854,291.1,255.7,215.7,291.6,292.1,266.2,352.4,157,251.2,184.7,288.3,478.2,298.9,223.6,267.4,330.2,290.9,283.3,278.8
"historical",1855,234.7,219.3,273.3,241.2,269.1,233.8,270.4,147.1,237.5,217.5,325.7,466.1,332.4,228.1,275.4,347,253,285.6,269.8
"historical",1856,251.9,226.7,284.6,253.9,294.1,234.4,314.3,151.7,234.5,187.7,310.8,391,363.7,219.3,267.7,316.1,262.5,254,267.7
"historical",1857,243.5,214.4,248.5,243.7,282.1,256.5,328.5,183.7,213.1,207.5,320.3,423.3,338.3,281.1,275.4,296,293.5,248.6,272.1
"historical",1858,241.8,185.4,325.7,233.8,284.1,239.1,328.5,166.9,279.3,187.5,315.8,512.5,305.2,236.3,263.7,269.8,267,243.8,271.5
"historical",1859,316.2,181.9,243.9,267.9,267.6,250.4,318.5,156.8,238.7,238.5,313.5,437.8,344.1,243,254.7,301.1,279.5,245.5,272.2
"historical",1860,279,199.8,253.1,240.6,278.2,251.4,321.3,151.1,225.4,211.4,334.6,401.6,348.4,240,253,345.5,294.1,261.4,271.7
"historical",1861,257.8,215,265.2,257.9,256.1,239.4,324.3,157.1,249.5,195.8,340.4,540,329.6,216.2,239.8,342.6,277,253.8,275.4
"historical",1862,273.9,237.4,245,289.7,275.2,225.6,310.4,171.5,256.8,235.5,297.7,464.5,319,220.3,266,318.8,244.4,259.4,272.8
"historical",1863,264.7,259.5,275.2,265.2,238.2,240.9,298.4,182.1,192.5,228.2,320.8,482.7,337.4,236.6,258.6,304.9,285.6,271.2,274.6
"historical",1864,362.9,215,230.2,247.2,262.3,220.8,294.2,147.8,239.1,208.4,300.3,424,298,220.2,274.7,318.1,284.2,277.1,268
"historical",1865,285.7,252.1,226.4,288.6,259.8,235.6,292.4,146.8,291.6,193.2,297.4,444.2,320.8,229.4,273.7,314.8,265.7,213.2,268.4
"historical",1866,216.2,233.8,314.8,254.9,285.8,257.2,281,154.4,215.9,202.5,328.1,379.4,331,266.8,275.5,325.9,262.3,251.1,268.7
"historical",1867,283.8,311.1,286.4,248.6,264.8,249.5,302.6,134.6,274.1,196.1,343.9,432.6,356.8,242.9,263.8,304.1,300.9,241.3,279.9
"historical",1868,300.1,227.6,264.8,289.3,285.4,259.3,346.5,167.2,211,228.6,310.9,448.2,343.1,244.5,284.3,324,293.4,220.5,280.5
"historical",1869,313.6,219.3,307.6,251.8,271.3,228,269,153.3,202.8,192.2,326.9,475.6,340,237.6,295.2,340.4,282.6,269.4,276.5
"historical",1870,239.7,204.2,299.5,281.2,272.9,233.1,277.2,165,264.9,218.1,309.3,411.6,327.8,235.5,263.6,321.1,328.5,231.1,271.4
"historical",1871,276.3,219.6,296.3,278.5,285,244.3,348.5,129.1,240.9,214.5,319,467.7,344.9,227.4,251.4,339.5,304.6,264.4,280.7
"historical",1872,253.6,167.2,283.9,238.1,270.7,233.3,310.5,148.9,255.1,208.7,318.3,420.4,327.9,238,267.2,342.8,301,208.7,266.4
"historical",1873,315.3,199.2,289.1,228.5,244.8,231.2,301.3,167.3,234.2,227.9,330.1,427,347,241.1,270.2,354.4,319.1,265.9,277.4
"historical",1874,291.8,183.2,307.9,242.2,280.2,231.7,381.9,153.8,205.4,198.8,301.8,461.5,369.7,234.6,288.5,289.8,279.3,250.6,275.1
"historical",1875,289.3,216.7,263.4,253.2,289.1,231.3,284.1,161.6,243,183.3,352.3,453.6,341.5,275.1,239.8,315.3,279.3,266.1,274.3
"historical",1876,259.6,207.3,266.3,259.4,272.3,235.2,341.9,155.5,219.8,193.2,335.6,495.3,340.8,219,254.8,341.9,240,257.4,272
"historical",1877,287.8,219.4,271.1,250.9,276,231,314.7,162,181.5,204.4,298.8,541.3,291.2,232.6,240.3,311.7,292.7,244.5,269.6
"historical",1878,299.9,197.1,235.3,270.1,266.9,257.7,332.2,169.1,308.8,198,299.9,440.3,360.2,226.7,268.2,318.2,262.1,257,276
"historical",1879,314.4,182.8,298.2,308.3,242.9,263.5,329.3,186,241.8,172.7,334.7,438.2,329.4,224.4,283.3,305.4,341.4,255.9,280.7
"historical",1880,291.2,267,273.3,283.7,250.1,235,358.3,151.3,242.4,228.5,312.4,467.2,306.2,228,297.6,278.8,314.6,260.6,280.3
"historical",1881,269.4,182.5,326.2,286.1,263,242.7,319.6,171.5,247.8,222.3,309.1,398.8,302.1,230.7,299.9,313.7,264.2,278.2,273.8
"historical",1882,289,278.7,294,277.2,239.8,232.8,291.9,171,215.8,194.2,320,416.9,372.1,256.9,258.1,304.6,268.1,250.5,274
"historical",1883,275.2,220.8,262,272.4,258.9,260,282.5,202.5,237.7,211.8,323.6,455.6,318.6,236.3,278.8,374.3,268.8,241.1,276.7
"historical",1884,306,212.6,250.8,267.4,275.5,259.4,303.7,154.1,229,219.2,310.2,516.3,350.3,250.1,290.4,304.7,312.9,224.3,279.8
"historical",1885,229.1,162.9,281.3,286.8,235.3,229,314.9,204.9,257.5,232.8,338.3,511.7,336.3,238.6,259.4,318.7,321.7,267.8,279.3
"historical",1886,338.8,160.1,305.6,267.5,260.3,258,344.9,188.2,251.6,175.5,317.2,418.4,358.8,258.6,265,311.5,277,298.9,280.9
"historical",1887,246.9,253.8,237.6,249.6,262.7,251,348.6,191.8,238.2,200.3,298.5,439.8,315.1,227.6,244.2,291.6,301.9,243.5,269
"historical",1888,327.4,211.8,288.5,253.7,282,267.6,365.5,155,213,224.9,330.8,458,364.1,216.9,290.3,277.5,283.5,224.8,279.7
"historical",1889,285.2,181.1,279.8,271.7,275.6,231.2,269.9,160.4,268.8,214.2,335.3,491.9,325.2,215.7,265.4,353.5,294.2,268.5,277.1
"historical",1890,312.4,192.5,222.6,261.8,255.9,207.4,287.9,158.3,194.8,219,332.1,525,323.8,202.5,269.1,344.7,302.5,306.8,273.3
"historical",1891,274.6,176.6,213.1,268.1,282.1,239.6,332.3,167.7,257.6,216,324.1,515.5,338.6,237.7,266.3,334.6,368,253.8,281.5
"historical",1892,229.6,230.1,246.4,281.1,276.3,244.8,287.1,185.3,162.1,239.9,327.9,445.9,355,276.1,258.3,289.4,314.3,267.5,273.2
"historical",1893,293.1,232.8,326.4,277.1,257.6,209.4,295.8,159.3,257.2,228.7,354.9,464.8,375,242.9,247.4,284.4,322.6,253,282.4
"historical",1894,237.1,195.1,281.3,236.9,259.5,254.4,336.9,188.2,223.5,194,324.1,430.8,336.6,238.5,283.4,283.4,255,260.9,267.8
"historical",1895,244.2,214.4,270.5,297.2,273.4,242.9,301.1,172,245.9,223.8,325.5,495.9,314.3,248.8,280.6,303.2,233.9,267.2,275.3
"historical",1896,291.3,216.6,296.8,272.4,281.8,243.1,352.2,159,218.2,200.4,322,415.1,345.9,265.9,240.5,331.6,257.3,233.5,274.6
"historical",1897,314.5,254.3,306.6,269.2,261.8,259,308.9,174.8,209.9,206.4,314.6,462.9,350.9,181.2,284.8,318.6,336.6,239,280.8
"historical",1898,326.4,231.5,237.2,315.3,255.8,261,296.2,183,201.1,230.7,307.8,456.2,332.9,218,305.9,289.5,273.7,269.4,277.3
"historical",1899,239,264.9,215,279.1,244.1,262,313.2,140.5,210.3,183,302.5,461.6,317.6,199.5,321.6,307.1,292.3,273.6,268.2
