"scenario","Year","ACCESS.ESM1.5","AWI.CM.1.1.MR","BCC.CSM2.MR","CanESM5","CNRM.CM6.1","CNRM.ESM2.1","GFDL.ESM4","GISS.E2.1.G","HadGEM3.GC31.LL","INM.CM5.0","IPSL.CM6A.LR","MIROC.ES2L","MIROC6","MPI.ESM1.2.HR","MPI.ESM1.2.LR","MRI.ESM2.0","NESM3","UKESM1.0.LL","ensemble"
"historical",1850,269,198.4,324.2,314.1,247.6,248.9,271.1,221.2,192,341.8,316.3,414.4,288,218.7,285.8,265.5,342.1,186.7,274.8
"historical",1851,284.2,235.5,272.4,311.6,298.6,257.1,290.8,211,150.8,312.5,300.1,415.5,284.5,177.3,275.8,261.4,346.1,193.6,271
"historical",1852,267.5,229.6,313.4,302.3,276.6,217.9,275.9,212,172.4,327.6,288.3,382.5,277.7,204.6,311.2,248.5,320,177.7,267
"historical",1853,266.9,177.8,373.1,298.8,283.6,239.3,292.2,230.6,195.6,330.6,296.9,377.3,311.4,168.8,275,316.1,353.5,180.2,276
"historical",1854,262.1,181.4,286.1,315.4,288.3,265.1,272.6,205.5,202.6,356.8,304.4,386.5,290.3,175.9,295.1,276,363.1,187.3,273
"historical",1855,219,194.6,313.8,312.1,273.8,264.1,322,231,147,341.9,283.4,402.5,292,185.8,301.4,278.4,303,176.6,269
"historical",1856,263.6,194.8,292.1,303.7,276.4,235.2,291.3,230.7,184.4,329.3,298.7,384.6,280.2,190.8,306.1,264.1,346.3,198.8,270.6
"historical",1857,270.5,217.6,300.4,313.6,288,258.9,285.4,204.6,184.4,332.2,262.2,406.4,302.8,196.1,306.2,289.6,297.3,178.1,271.9
"historical",1858,267,201.5,303.4,290.1,239.7,271.3,248.9,240.3,169.1,365.6,299,388.9,265.5,147.4,298.1,281.7,364.5,200.2,269
"historical",1859,273.7,193.1,342.2,286.3,266.9,247.8,252.1,222.2,213.9,323.6,300,382.4,281.8,199.4,283.8,262.7,320,176,268.2
"historical",1860,266,222.2,307,292,263.4,269.4,249.3,210.2,190.8,363.5,301.9,310.3,274,178.2,314.3,292.6,344.3,175.3,268
"historical",1861,284.9,197.2,266.4,289.8,263.9,283.8,274.4,203.8,187.8,294.8,321.1,346.9,267.5,183,300.7,302.8,354.9,184,267.1
"historical",1862,263.6,207.8,323.1,309.7,281.3,257.2,244.7,240.9,186.4,311.8,325.7,404.7,301.9,177.1,274.7,265.6,334.9,197.2,272.7
"historical",1863,237.9,183.5,310.6,309.7,274.3,280.8,206.8,228.2,175.3,334.2,255.9,352.8,284.6,173.5,281,300.5,335.6,180.3,261.4
"historical",1864,285.6,218,272.9,271.8,289.9,284.1,246.7,226.3,154.3,314.3,285.2,411.6,285.5,176.1,298,277.7,355.1,211.3,270.2
"historical",1865,257.7,170.1,448,299.1,267.6,286.2,273.7,224.4,199.7,324,274.4,330.8,269.5,172.9,283.3,322.9,360.5,202.7,276
"historical",1866,255.6,186.1,327.1,329.8,262,292.4,256.9,186.6,184.4,344.6,310,361.1,269.1,183.2,298.2,344.8,356.7,172.9,273.4
