"Year","ACCESS-ESM1-5","AWI-CM-1-1-MR","BCC-CSM2-MR","CanESM5","CNRM-CM6-1","CNRM-ESM2-1","EC-Earth3","GFDL-ESM4","GISS-E2-1-G","HadGEM3-GC31-LL","INM-CM5-0","IPSL-CM6A-LR","MIROC-ES2L","MIROC6","MPI-ESM1-2-HR","MPI-ESM1-2-LR","MRI-ESM2-0","NESM3","UKESM1-0-LL","ensemble"
2015,4.3,1.6,0.6,3.2,2.6,3.8,1.6,0.4,0.8,NA,4.1,2,6.2,4.1,1.9,0.4,3.5,NA,1.4,2.5
2016,4.2,4.5,1.3,2.4,2.9,3.7,1.9,2.4,1.2,NA,3.9,2.5,5.1,4.1,1.7,0.4,4.1,NA,2,2.8
2017,4.2,1.1,-0.3,2.1,2.8,3.5,1.8,1.2,1.2,NA,4.1,1.6,5.4,5.7,2,0.7,3.4,NA,1.6,2.5
2018,4.5,1.9,0.9,2,3.1,3.7,2.2,1.8,0.6,NA,3.5,1.5,6.8,6.7,2.1,1.2,2.9,NA,1.2,2.7
2019,4.9,1.5,1.1,2.6,2.9,3.7,2.2,0.9,1.4,NA,3.9,2.8,6.8,5.6,2.3,0.5,3.8,NA,1.9,2.9
2020,5,4.5,1.4,2.7,3.1,3.3,1.9,2.6,2,NA,4.1,1.5,8,4,1.9,0.1,3.7,NA,1.7,3
2021,4.4,1.5,0.9,2.9,3.1,3.7,2,1.5,1.5,NA,4,1.9,7.1,5.1,2.2,0.8,3.6,NA,1.3,2.8
2022,4.4,2.8,0.9,3.5,2.8,3.2,1.3,2.6,2.6,NA,3.9,1.9,7.6,4.9,2.4,0.2,4.2,NA,1.8,3
2023,4.4,-0.6,0.9,3.1,3.3,3.4,1.8,1.6,1.6,NA,3.7,2,8.4,5,2.5,-0.1,3.7,NA,2.6,2.8
2024,4.9,-0.4,1.2,3.2,2.9,3.3,2.2,2.1,1.7,NA,4.6,2.5,7.6,5.8,1.9,1.1,3.7,NA,1.7,2.9
2025,5,1,2.5,3.2,2.9,4.6,1.4,2.4,2.2,NA,4.2,1.8,6.6,4.6,1.9,1,4.3,NA,2.7,3.1
2026,4.8,2.3,0.6,3.6,3.1,3.7,1.7,1.5,2,NA,4.1,2,7.1,5.7,2,0.7,4.3,NA,2,3
2027,5,1.3,1.8,3.6,3.2,3.8,2.2,1.6,2,NA,4.2,1.9,7,5.4,2.2,0.2,3.9,NA,2.5,3
