"scenario","Year","ACCESS.ESM1.5","AWI.CM.1.1.MR","BCC.CSM2.MR","CanESM5","CNRM.CM6.1","CNRM.ESM2.1","GFDL.ESM4","GISS.E2.1.G","HadGEM3.GC31.LL","INM.CM5.0","IPSL.CM6A.LR","MIROC.ES2L","MIROC6","MPI.ESM1.2.HR","MPI.ESM1.2.LR","MRI.ESM2.0","NESM3","UKESM1.0.LL","ensemble"
"historical",1850,-4.8,0.5,-6.5,-6.5,-4.4,-6.7,-7,-10.4,-8.1,-7.3,-8.1,-2.2,-4.9,-6.1,-8.4,-1.5,-13.1,-8.7,-6.3
"historical",1851,-5.3,0,-7,-6.3,-5.8,-5.1,-3.5,-9.6,-10.3,-4.2,-7.3,-0.7,-2.8,-5.3,-8.8,-2.8,-8.4,-9.1,-5.7
"historical",1852,-5.6,1.1,-8.3,-4.7,-5,-5,-6.5,-10,-12.7,-6.6,-7.3,-2.4,-5.5,-5,-6.7,-3,-9,-9.3,-6.2
"historical",1853,-5,0.7,-7.4,-4.6,-5.3,-4.1,-3.3,-9.2,-7.6,-6.8,-8,-3,-4.8,-6.3,-7.3,-2.4,-9.5,-9.9,-5.8
"historical",1854,-2.5,0.7,-11.1,-3.6,-4.8,-5,-4.4,-9.3,-8.9,-8.1,-8.9,-1.5,-5.3,-6.2,-6.8,-2.8,-13.7,-8.1,-6.1
"historical",1855,-5.4,2.2,-7,-4,-6.6,-6.7,-5.6,-8.5,-8.8,-6.9,-7.3,-0.6,-6.1,-7,-9,-3.7,-13,-10,-6.3
"historical",1856,-5.5,1.7,-3.8,-4.9,-7.7,-5.1,-5,-9.1,-9.2,-5.7,-6.2,-1.3,-4.4,-5.1,-8.8,-3.1,-8.1,-9.7,-5.6
"historical",1857,-4.4,1.5,-5.1,-4.9,-6.2,-5.7,-4.1,-8.4,-9.8,-7.5,-6.6,-0.3,-3.9,-7.3,-6.9,-6.6,-13,-8.6,-6
"historical",1858,-3.1,1.5,-5.1,-6.7,-7.7,-7,-10.8,-9.4,-12.6,-7.7,-8.5,-1.8,-7.1,-7,-7.3,-1.9,-13.5,-8.8,-6.9
"historical",1859,-3.9,0.3,-5.9,-3.6,-4.9,-7.1,-4.4,-7.9,-9.1,-9.3,-6.8,-3.9,-5.2,-4.7,-8,-1.9,-12.7,-7.8,-5.9
