"Year","ACCESS-ESM1-5","AWI-CM-1-1-MR","BCC-CSM2-MR","CanESM5","CNRM-CM6-1","CNRM-ESM2-1","EC-Earth3","GFDL-ESM4","GISS-E2-1-G","HadGEM3-GC31-LL","INM-CM5-0","IPSL-CM6A-LR","MIROC-ES2L","MIROC6","MPI-ESM1-2-HR","MPI-ESM1-2-LR","MRI-ESM2-0","NESM3","UKESM1-0-LL","ensemble"
2015,-2.2,-11.1,-6.4,-4,-2.9,-1.7,-3.1,-4.2,-2.1,-2.7,-5.5,-2.6,2.6,-1.3,-1.7,-3.9,-2.6,-4.4,-3.2,-3.3
2016,-2,-10.3,-5.3,-4.8,-2.6,-2.4,-4.4,-6.4,-3.2,-1.9,-0.7,-4,2.3,-0.7,-1.7,-6.3,-2.8,-1,-4.1,-3.3
2017,-2.1,-5.2,-6.2,-4.1,-2.8,-1,-4,-4.6,-3.7,-4.3,-2,-5,0.1,0.2,-3.5,-9.1,-3.5,-3.5,-4.1,-3.6
2018,-2,-18.9,-5.4,-4,-3.5,-1.9,-3.2,-4.5,-3.4,-3.9,0.8,-4.1,3.4,-0.9,-4.2,-3.3,-0.3,-0.2,-4,-3.3
2019,-1.9,-9.5,-3.9,-4,-3.1,-1.9,-4.6,-6.2,-1.9,-2.3,1.2,-3.9,4.9,-1.5,-2.9,-2.1,-1.3,-2.1,-3.5,-2.7
2020,-2,-26.6,-2.1,-4,-2.5,-2.3,-4.4,-7.5,-2.6,-1.9,-2.8,-4.7,5.3,-1.1,-5.9,-5,-5.3,-3.4,-3.1,-4.3
2021,-2.2,-13.2,-3.6,-3,-1.7,-2.3,-3.5,-4,-2.1,-3.9,3.6,-4.2,4.4,0.4,-1,-2.4,-3.5,-5,-2.9,-2.6
2022,-2.4,-10.4,-3,-4.5,-1.8,-2.3,-4.2,-4.4,-2.4,-3,-1.6,-3.5,1.3,0.3,-0.6,-2.5,-0.9,-4.3,-2.6,-2.8
2023,-2.5,-4.3,-0.9,-4.9,-2.4,-1.9,-3.1,-7.9,-3.6,-2.8,1.7,-3.2,5.6,-0.5,-2.5,-3.8,-4.4,-4.7,-3.3,-2.6
2024,-1.9,-10.3,-2.6,-3.7,-2.7,-1.9,-4.6,-9.2,-1.7,-1.6,4.7,-2.5,3.7,0.7,0.8,-4,1,-2.6,-4.3,-2.2
2025,-2.2,-7.3,-3.9,-3.2,-1.8,-1.9,-3.1,-6.4,-3.8,-3.2,0.8,-2.8,-0.2,-0.2,2.1,-7.2,1.6,-2,-3.8,-2.6
2026,-1.4,-8.7,-3.4,-2.7,-1.5,-1.3,-3.7,-2.4,-3.6,-3.5,-0.3,-3.2,4.9,-0.2,-6.5,-4.3,-2.6,-1,-3.5,-2.6
2027,-1.5,-17.2,-2.2,-3.5,-3.1,-1.3,-4,-3.6,-1.7,-2.7,0.6,-2.8,5.7,-0.4,-3.5,-4.2,-0.6,-3.6,-2.7,-2.8
2028,-2.1,-7.7,-4,-3.3,-2.7,-1,-2.8,-4.4,-3.2,-4.3,1.8,-2.7,2.1,-1.3,-1.2,-1.8,0.4,-2.5,-3,-2.3
2029,-2.3,-7,-6.4,-2,-2.8,-1.4,-2.9,-1.9,-2.3,-2.9,2.2,-2.2,5.8,1.2,0.9,-4.7,-2.7,-0.8,-2.5,-1.8
2030,-1.8,-10.1,0.9,-4.2,-1.6,-1.7,-3.5,-5.8,-1.8,-2.5,-0.1,-2.1,4.1,0.6,-0.3,-2.5,-2.5,-1.9,-2.5,-2.1
2031,-2.1,-6.9,-2.8,-2.8,-2.3,-1.8,-3.8,-2.5,-1.8,-3.7,2.3,-2.8,4.3,0.8,-1.2,-3.3,-3.7,-2.3,-2.4,-2
2032,-1.8,-5.7,-4,-1.9,-2.3,-2,-3.2,-4.3,-2.8,-2.3,-0.6,-3.5,5.2,0.9,-2.6,-3.2,-3,-1.4,-1.6,-2.1
2033,-2,-6.3,-1.8,-1.3,-2,-2.4,-4.4,-5,-1.8,-3.1,0.6,-4.5,3.5,-0.3,0.3,-5.2,-1.2,-2.2,-2.7,-2.2
2034,-1.7,-10.1,-3.3,-3,-2.4,-2.6,-4.2,-4.8,-2.5,-2.8,-0.4,-4.7,4.8,-1.1,-3.1,-6.4,-5.1,-1,-2.4,-3
2035,-2,-10.9,-3.4,-3,-3.1,-1.8,-3,-6,-2.7,-3.2,0.2,-2.7,5.9,-0.4,-0.5,-3.8,-1.4,-1.2,-3.7,-2.5
2036,-1.6,-13.3,-2.7,-2.7,-2.1,-2,-2.2,-3.7,-1.3,-2.8,3.6,-3.2,4.7,0.2,0.4,-6.4,-2.5,-0.1,-3.7,-2.2
2037,-1.3,-10.6,-5.3,-2.6,-1.8,-2.3,-3.1,-3.7,-1.6,-2.3,2.8,-3.3,-0.3,1.3,-3.6,-0.3,-0.3,-1.8,-1.6,-2.2
